Estimated daily crossings,Latitude,Longitude,Name
216,40.650418,-77.245606,/State Rte 35
160,40.613000,-77.325178,Red Barn Ln
160,40.560973,-77.364310,US Hwy 22
185,40.569841,-77.204691,Pfoutz Valley Rd/US Hwy 22/William Penn Hwy
216,40.571723,-77.405723,Valley St/Foster St
160,40.573259,-77.461231,Sheesley Rd/T382
160,40.563211,-77.243029,W Main St
160,40.569122,-77.394552,Meadow Ln
276,40.570114,-77.401298,North St
160,40.566417,-77.401854,Wilson St/Beale St
185,40.554888,-77.320538,T441/Center Rd
160,40.566253,-77.402559,Wilson St
160,40.585523,-77.364750,Weatherby Way/T-558
246,40.540459,-77.345081,/Rte 322
276,40.532950,-77.386394,4th St/Market St
246,40.569697,-77.401160,Main St
246,40.571397,-77.396439,Banks Ln/Orange St
185,40.652170,-77.266979,Ritzman Rd/Fairview Rd
362,40.570256,-77.395647,N 3rd St/Washington Ave/Bridge St/S 3rd St
216,40.579279,-77.371723,US Hwy 22
362,40.580726,-77.372349,State Rte 35/Rte 35
160,40.550943,-77.358384,Swamp Rd
185,40.572161,-77.393548,5th St/Clark Ln
216,40.566137,-77.405362,Wilson St/State Rte 35 S
160,40.552695,-77.359777,Kilmer Rd
216,40.576437,-77.369493,Rte 322
160,40.629593,-77.375109,/T527
276,40.564977,-77.232673,E Main St/Rte 333
185,40.621549,-77.305037,State Rte 35/T602
160,40.557861,-77.413234,Jam House Rd/Cottage Rd
216,40.532527,-77.384954,N 3rd St/E Third St/Main St
160,40.583924,-77.358749,Industrial Park Ct/E Industrial Dr
160,40.570607,-77.392596,Schweyer Ave
185,40.620806,-77.006969,State Rte 2023/T427
185,40.548015,-77.313522,/Center Rd
185,40.563012,-77.244073,Farm Dr/William Penn Hwy
160,40.559157,-77.378871,Reichert Ln
362,40.567719,-77.402480,Cramer Ln/Juniata St
160,40.635174,-77.276196,T601/Fayette Acres
160,40.531621,-77.387512,/Main St
216,40.638862,-77.265185,T509
185,40.519989,-77.512686,Cider Press Rd
246,40.573075,-77.378257,/Loop Rd
160,40.628114,-76.952269,/US Hwy 11
160,40.570827,-77.409207,Valley St/Licking Creek Rd/Mifflin St
160,40.639080,-77.273507,T603/Beaver St
160,40.532262,-77.385565,/Main St
160,40.553183,-77.359711,Kilmer Rd/US Hwy 22
305,40.533073,-77.386013,/Market St
160,40.689037,-77.113027,Walnut St/Water St
216,40.539247,-77.357230,Ja-Pa Rd/Henry St
160,40.654347,-77.227897,State Rte 35/T-556
160,40.535256,-77.380667,State Rte 75
185,40.531454,-77.389192,7th St
216,40.566402,-77.402488,Wilson St/Juniata St
160,40.563329,-77.394126,State Rte 3002/William Penn Hwy
276,40.563896,-77.237221,Pond St/Mill St
185,40.570754,-77.392230,/Schweyer Ave
160,40.559823,-77.238216,State Rte 333
276,40.564898,-77.234128,/Atheletic Field St
216,40.571147,-77.367545,US Hwy 22
160,40.562918,-77.238331,Burns Rd
185,40.536165,-77.352975,Fleisher St/Short Aly
160,40.540220,-77.281637,Saner Ln
246,40.531818,-77.389910,Market St/8th St
216,40.688596,-77.109377,Market St/Rd Around Cemetery
305,40.568478,-77.396737,S Main St
160,40.515125,-77.388731,T-360/Butcher Shop Rd
160,40.574299,-77.397398,Twenty-Eighth Division Hwy/William Penn Hwy
216,40.494176,-77.424174,Mule Ln
185,40.577400,-77.369981,Rte 322
160,40.568257,-77.235679,Mill St/Evergreen St
445,40.570576,-77.396366,Banks Ln/Lemon St
160,40.571071,-77.393757,Washington Ave/Shearer Ln
160,40.597873,-77.497665,US Hwy 22
362,40.567906,-77.397750,S Front St
276,40.576482,-77.366992,Cedar View Dr/Apt Dr/Cedar View St
185,40.565160,-77.229765,Allen St
160,40.518217,-77.386396,State Rte 333
160,40.563559,-77.238528,Pond St
160,40.647262,-77.257062,T452
160,40.571758,-77.393588,5th St/Rapp Ln
160,40.565237,-77.230777,/William Penn Hwy
160,40.562877,-77.429404,/State Rte 4003/Stetler Rd
160,40.568485,-77.401038,River Dr/Zelders Ln
216,40.531650,-77.391837,9th St/Milford St
160,40.568721,-77.405230,Patterson Ln
160,40.566362,-77.401262,Wilson St/River Dr
160,40.588885,-77.234635,State Rte 333
216,40.541994,-77.347560,US Hwy 22
246,40.573569,-77.408036,State Rte 333/Thomas St
276,40.531963,-77.389455,Market St/7th St
185,40.600925,-77.389374,Rte 322
160,40.524441,-77.391745,State Rte 75
160,40.600840,-77.414834,T527/US Hwy 22
185,40.554730,-77.362866,/State Rte 75
160,40.658904,-77.220731,Cody Ln
185,40.637556,-77.274649,/T603
216,40.565529,-77.232660,Tanner St/State Rte 333
185,40.569337,-77.226748,T-466/US Hwy 22
216,40.569447,-77.231124,S R 322
160,40.600009,-77.411888,Pebble Dr
160,40.571415,-77.393243,Washington Ave/Orange St
185,40.569750,-77.392467,Jefferson St
185,40.641948,-76.939949,US Hwy 11
276,40.580863,-77.372133,State Rte 35/Rte 35
160,40.558919,-77.411421,Cottage Rd
160,40.516740,-77.394918,Cemetery Rd
160,40.593837,-77.354418,State Rte 35/T-503
160,40.508460,-77.363170,/Tuscarora Rd
160,40.534792,-77.352902,/T-394/River Rd E
160,40.653084,-77.302433,/Mountain Rd
216,40.628374,-77.377098,T527
160,40.564970,-77.425271,Locust Grove Rd
160,40.565131,-77.424847,Licking Creek Rd/State Rte 4002
160,40.601402,-77.330113,T408/State Rte 35/Orchard Rd
185,40.532955,-77.383445,Main St
160,40.566833,-77.401196,Lemon Ln/River Dr
185,40.560011,-77.273985,State Rte 2007/US Hwy 22
216,40.688584,-77.111203,T308/
160,40.567489,-77.238132,East Ave
160,40.371187,-77.602103,Laughlin St/Water St
185,40.369739,-77.606104,Church St/Main St
216,40.573346,-77.383984,Meadowbrook Ln
160,40.518098,-77.386486,/Butcher Shop Rd
185,40.638754,-77.273124,E Main St/Main St/Beaver St
185,40.629430,-77.375474,/T527
216,40.591093,-77.424011,State Rte 333
160,40.561845,-77.405172,Cherry St
246,40.563960,-77.236179,/Pond St
246,40.573686,-77.459732,Anna Ln
160,40.574525,-77.383593,Springhouse Ct
216,40.564873,-77.180457,Old Rte 22
160,40.533705,-77.395204,/Northwest Ave
160,40.534023,-77.383373,1st St/Market St
472,40.580599,-77.372563,State Rte 35/US Hwy 22
185,40.573204,-77.460484,/T382
246,40.568918,-77.396790,S Main St/Creamery Ln
305,40.585074,-77.369826,Municipal Rd/Butcher Shop Rd
160,40.567811,-77.251240,Freed Rd/Smith Rd
390,40.532920,-77.389449,Milford St
160,40.577311,-77.391347,Mulberry Dr/Sycamore Dr
216,40.569663,-77.383242,Cedar Springs Rd/Ginger Ln
185,40.539152,-77.355235,State Rte 3002/William Penn Hwy
160,40.569057,-77.405753,Foster St
160,40.652642,-77.259208,T452
185,40.689522,-77.109249,Water St/Main St
160,40.571594,-77.393567,5th St/Orange St
160,40.637606,-77.272082,Beaver St
246,40.574405,-77.368836,Cedar Springs Rd/Cedar Spring Rd/US Hwy 22
185,40.647031,-77.230396,Bair Ln
185,40.563448,-77.394318,State Rte 3002
160,40.531476,-77.387917,6th St/Main St
216,40.559835,-77.276719,/Rte 322
216,40.566469,-77.253174,Smith Rd
362,40.568857,-77.402485,Juniata St/Tuscarora St
246,40.533425,-77.387798,Milford St/5th St
160,40.569789,-77.237871,S R 322
160,40.603166,-77.393341,State Rte 1002/Rte 322
160,40.563642,-77.238136,Pond St/Colyer St
305,40.584803,-77.369327,State Rte 35/T392/Butcher Shop Rd
160,40.565611,-77.360582,/Industrial Park Rd
246,40.568826,-77.398081,S Front St/Creamery Ln
362,40.568481,-77.398061,S Front St
334,40.532761,-77.389955,Milford St/7th St
185,40.566806,-77.233102,State Rte 333
160,40.566122,-77.402595,South St
