Estimated daily crossings,Latitude,Longitude,Name
472,40.152066,-76.296988,Forney Dr
418,40.007377,-76.117202,Lincoln Hwy E
334,40.091340,-76.398530,Harrisburg Pike
185,40.055935,-76.462501,/Prospect Rd
390,40.113293,-76.524831,S Plum St
160,39.926763,-76.198151,Main St
185,40.203517,-76.205799,Gentleness Dr/Hoover Dr
246,40.140689,-76.298533,Owl Hill Rd
276,40.098084,-76.097653,Mecks Trailer Ct
160,40.029759,-76.345808,Cottontail Ct/Pheasant Ridge Cir
160,40.071268,-76.353714,McGovernville Rd
160,40.046043,-76.508274,Old Chickies Hill Rd/Breezyview Dr
472,40.047874,-76.255684,Greenfield Rd
160,40.014817,-75.990785,Cains Rd/White Horse Rd
160,40.168305,-76.408927,Old Line Rd
334,40.158236,-76.205291,Brubaker Aly
160,40.104187,-76.073801,E Jackson St
160,39.976419,-76.184036,Heritage Dr
526,40.146732,-76.601925,S Cherry Aly/Ruby Aly
160,40.164280,-76.590825,Green Meadows Mobile Home Park
658,40.051497,-76.314935,/Thomas M Armstrong Blvd/W Liberty St
305,40.065704,-76.289208,Delancy Pl
305,40.039548,-76.210153,Old Philadelphia Pike/Witmer Rd
216,40.090416,-76.669195,Pine Aly/Race St/N Pine Aly
216,39.989324,-76.000920,Hoffmeier Rd/Old Hwy
276,40.130991,-76.617185,Main Dr/
160,40.073091,-76.084511,Summitville Rd/S Custer Rd/S Custer Ave
160,40.027991,-76.500706,Perry St
160,40.108120,-76.656986,Bainbridge Rd
160,40.129544,-76.714380,/Turnpike Rd
246,40.070190,-76.570085,Stirrup Ln/Equine Dr
160,40.138570,-76.283932,Windsor Ln/Rudy Dam Rd
185,39.824532,-76.090285,White Rock Rd/King Pen Rd
305,40.155116,-76.591664,Kiwanis Blvd
246,40.220986,-76.081080,S Muddy Creek Rd/Grouse Dr
246,40.167594,-76.404006,Rambler Rd/Rapho St
160,40.045999,-76.494739,Kinderhook Rd
1667,40.035908,-76.315324,W Filbert St/Campbell Ave
334,40.151688,-76.326147,Sensenich Dr/Pinewood Ave
185,40.224218,-76.407588,I- 76
445,40.021914,-76.319705,Calvert Ln
185,40.082341,-76.358580,State Rte 283
160,40.213183,-75.991271,Hilltop Rd
305,40.030730,-76.506858,Walnut St/N Front St
445,40.038026,-76.419955,Maples Trailer Park
472,40.106304,-76.349696,Olde Meadow Ct/Hollow Dr
418,40.007968,-76.348403,E Charlotte St
185,40.146608,-76.231584,E Newport Rd
185,40.062988,-76.288306,Hilltop Approach/Parkside Ln
185,40.113939,-76.210919,S State St
334,40.084688,-76.307523,Bloomingdale Ave/Lititz Pike
472,40.148968,-76.599841,S Spruce St/Apple Aly
276,40.038781,-76.459158,Indian Head Rd
160,40.033212,-76.347801,Banyan Circle Dr
499,40.037031,-76.329141,Spencer Ave/Watson Ave
334,40.015255,-76.328550,Rabbit Hill Ln
216,40.038830,-76.465327,Indian Head Rd
160,40.128442,-76.468440,Ridgewood Manor
334,40.143689,-76.293227,Pierson Rd/Owl Hill Rd/Kissel Hill Rd
216,40.143700,-76.381120,Buchdale Dr/Bucknoll Rd
390,40.069269,-76.411039,Church St
334,40.053479,-76.312080,Lincoln St/N Water St
246,40.162834,-76.291137,Royal Tern
160,40.047892,-76.489850,Norwood Rd
216,40.025234,-76.254973,Southgate Dr
160,40.074751,-76.275895,Barclay Dr/N Eden Rd
185,40.168014,-76.208231,Ridgewood Dr
305,40.066774,-76.332756,US Hwy 30
160,40.046845,-76.268007,Pitney Rd
216,40.153442,-76.303778,Church Sq
185,40.092920,-76.112691,S Shirk Rd
185,40.095327,-76.333096,Buch Ave/Ringneck Ln
160,40.197842,-76.007198,E Maple Grove Rd
658,40.052060,-76.289254,New Holland Ave
185,40.135662,-76.283677,Warren Cir
160,39.958393,-76.324085,New Danville Pike/Arrowhead Cir
216,39.994227,-76.241736,Paramount Ave/Lampeter Rd
185,40.112878,-76.313076,Royal Hunt Way/Kingsbridge Dr
185,40.025176,-76.365912,Townhouse Ln
160,40.208939,-76.394291,Newport Rd
160,40.121951,-76.069058,Lantern Ln
579,40.095787,-76.304984,Echo Valley Ln/Lititz Pike
1511,40.037986,-76.351420,Columbia Ave/Wellesley Ave
185,40.069319,-75.938917,Stonyknoll Dr
246,40.031544,-76.419436,/Henley Ln
160,39.809828,-76.148345,Clendenin Rd
499,40.036602,-76.292093,New Green St
246,40.153183,-76.598027,Pleasant Aly/E Park St
160,40.168134,-76.408750,Old Line Rd
579,40.063014,-76.338858,Harrisburg Pike
160,40.114320,-76.215861,Stoltzfus Ave
526,40.040106,-76.496316,Ave F/N 9th St
445,40.129188,-76.216046,N State St/Newport Rd/US Hwy 222
362,40.027037,-76.314584,Prospect St
246,40.179750,-76.170953,Washington Ave/E Chestnut St
216,39.894341,-76.158195,Park Ave
185,40.192917,-76.202988,Julia Rd/Marilyn Ave
160,39.970646,-76.010696,T459
334,40.043759,-76.512664,Breezyview Dr
160,40.048381,-76.440472,Spring Hill Ln/Concordia Rd
185,40.038913,-76.392810,Weaver Rd/Post Oak Rd
160,40.117472,-76.477591,James Way/Thoreau Dr
362,40.071777,-76.309219,Belmont Ave
445,40.128609,-76.215719,N State St
216,40.071247,-76.409868,Church St
334,39.988751,-76.179962,N Decatur St/Hartman Bridge Rd
185,40.081456,-76.404809,Bowman Rd
1097,40.042863,-76.310393,/N Arch St
1459,40.034273,-76.296025,/Dauphin St
334,40.002547,-76.243992,Lamppost Ln
305,40.036501,-76.354376,Dickinson Ave/Temple Ave
305,40.044982,-76.438292,Hill St
1433,40.046064,-76.305175,E James St/N Duke St
160,40.181465,-76.172274,State Aly/W Chestnut St
736,40.031003,-76.496924,Union St/S 5th St
334,40.093065,-76.666150,Arch St/3rd St
499,40.181762,-76.184479,Cocalico St/Rupp Aly
334,40.022125,-76.246005,Whitetail Path
216,40.007390,-76.292617,Putter Ave/Meadia Ave
246,40.184792,-76.284822,Broad St/E Lexington Rd/Pine Hill Rd
160,40.022017,-76.491586,S Front St
246,40.143856,-76.193569,US Hwy 222
216,40.002377,-76.092393,Mc Ilvaine Rd/Lincoln Hwy E
216,40.157370,-76.054508,Conestoga St/Lancaster Ave
472,40.112451,-76.515693,Agourides Mobile Home Park
216,40.243196,-76.241320,Middle Creek
1097,40.006036,-76.337890,Livingston Ln
631,40.154288,-76.302633,Church Ave
160,40.138140,-76.307735,Crosswinds Dr
185,40.040854,-76.343301,Wheatland Ave
305,39.975720,-76.282447,Candlewyck Ct/Cobblestone Dr
334,40.102557,-76.430952,South Aly/Holland St
334,40.086385,-76.187561,Dogwood Dr
160,40.159210,-76.047585,Randall Dr
579,40.232100,-76.136116,Main St/Cherry St
160,40.052823,-76.366218,Wood St
160,39.916083,-76.243472,Mount Airy Rd
276,40.162975,-76.201373,Locust Bend Rd/N 7th St
216,40.009052,-76.429366,Central Manor Rd/Charlestown Rd
185,40.104003,-76.433636,W Main St
499,40.209014,-76.024406,/I- 76
334,40.024181,-76.328807,Penrose Ave/Fairview Ave
276,40.110901,-76.495770,N Jacob St/North Aly
216,40.103166,-76.077993,S Kinzer Ave
160,40.217858,-76.285582,Melony Ln/Farm del Cir
216,40.033286,-76.491704,Wright St/S 9th St
334,40.156943,-76.398457,W End Ave/S Fulton St
185,40.007663,-76.310958,Hoover Rd/Second Lock Rd
246,40.038063,-76.440202,W Main St
185,40.109619,-76.024041,Martin St/Earl Ave
185,40.014031,-76.236156,Country Meadows Dr/Fel Pel Dr
185,40.103264,-76.364526,Cameron Dr
216,40.170011,-76.190595,Honeysuckle Ln
185,40.121792,-76.336204,Sloan St
160,39.986980,-76.352172,Crestgate Pl/Murrycross Way
658,40.031568,-76.498096,K Ave/Pleasant Ave
185,40.143268,-76.296960,Laurel Ave/Conway Dr
160,40.149822,-76.247529,Twin Brook Rd/Meadow Ln
160,40.205176,-76.392145,Newport Rd/White Oak Rd
185,39.979616,-76.271811,Willow Valley Lakes Dr
362,40.199801,-76.121103,US Hwy 222
160,40.268908,-76.115983,Galen Hall Rd/Swamp Church Rd
185,40.065090,-76.362526,Mercers Mill/Speedwell Rd
160,39.952526,-76.116648,W White Oak Rd
160,40.070038,-76.305754,Santa Barbara Dr/Billview Dr
216,40.187469,-76.189907,N Academy Dr/W Main St/S Academy Dr
160,40.110690,-76.309906,Fletcher Dr/Spurrier Dr
246,40.109773,-76.528601,Charlan Blvd/Farmington Way
185,40.082456,-76.234179,Snake Hill Rd
943,40.038816,-76.297760,Howard Ave/John St/E King St
