Estimated daily crossings,Latitude,Longitude,Name
160,41.045834,-76.866754,State Rte 1011/River Rd
185,40.879329,-76.979886,Market St/21st Century St
216,41.042427,-77.130203,I- 80
246,41.018457,-76.865095,Broad St
185,40.955929,-76.895313,T616/T363
362,40.965545,-76.881531,Pine Aly/Walnut Aly
160,41.074666,-76.878298,/Union Ave/White Deer Pike
160,41.071419,-76.868099,T520/T522
160,40.942655,-76.984349,Beaver Run Rd/T347/T422
216,41.069892,-76.914417,Arnold Rd
160,40.908659,-76.853339,Agway Ln
185,40.910793,-76.853258,Reitz Ave
276,40.966704,-76.890200,Raspberry Aly/Buffalo Rd
160,40.913121,-77.054147,9th St/Church St
390,40.966866,-76.894204,Buffalo Rd/7th St
160,40.962583,-76.915782,Farley Cir
216,40.964610,-76.905839,Meadow Ln/Fairground Rd
160,40.936492,-76.880491,London Ln
160,41.132189,-76.908357,Beamer Rd/Russell Rd
160,40.917734,-77.053025,N 8th St
160,40.969988,-76.886143,Hufnagle Blvd
472,40.962198,-76.885262,Saint Louis St/Strawberry Aly
160,40.884476,-76.989739,Manor Rd/Manor Dr
185,41.074411,-76.919972,Mountain Rd
185,40.965019,-76.905802,Tressler Dr/Fairground Rd
246,40.973810,-76.893888,Birchtree Ln/Willowbrook Blvd
334,40.963397,-76.892415,Saint Mary St/N Derr Dr
185,41.038833,-76.870815,/Westbranch Hwy
160,40.947506,-76.932826,Brooks Dr
246,40.957201,-76.891452,S Derr Dr
276,40.922327,-77.041959,Scottsdale Dr
160,40.959484,-76.898522,Wilson Aly/N 14th St
216,40.937623,-76.875111,Gundy Ln/Westbranch Hwy
246,40.921263,-77.039088,Cherry St/Forest Hill Rd
160,41.069673,-76.931993,Arnold Rd
305,41.019808,-76.868960,T399/Packer St/High St
160,40.990782,-76.889520,Timberhaven Dr/Pursel Blvd
246,41.051951,-76.866930,/State Rte 1011/I- 80
472,40.960818,-76.889877,S 8th St/Pine Aly
334,41.020818,-76.868830,9th St
865,40.960430,-76.892127,T616/N Derr Dr
185,40.972847,-76.891938,/William Penn Dr
788,40.960078,-76.892605,Market St
631,40.955763,-76.880863,Snake Rd
362,40.965861,-76.880971,S Water St/Pine Aly
276,40.960819,-76.882954,Saint George St/S 4th St
160,41.137913,-76.911709,Hidden Creek Rd/Whitetail Rd
160,40.951940,-76.910711,T355/Old Schoolhouse Rd/Smoketown Rd
160,41.056716,-77.084244,I- 80
160,40.866190,-77.201469,Pa 235/Long Rd
160,40.877206,-77.136257,Blyler Ln/Creek Rd
216,41.109836,-76.900835,Columbia Ave/US Hwy 15
216,40.945673,-76.904101,T508/Dogwood Ln/T514
445,40.965518,-76.888644,Saint Mary St/Raspberry Aly
160,40.964790,-76.911541,Reitz Blvd
305,40.963333,-76.893702,Saint Mary St/N 10th St
160,40.925917,-77.029705,Hardees Dr
1798,40.956950,-76.883816,/7th St
160,40.980186,-76.882594,Forestwood Dr
185,40.975709,-76.884710,Applewood Dr/Cherrywood Dr
246,41.063050,-76.871644,Westbranch Hwy
418,40.962916,-76.892372,N 8th St/N Derr Dr
160,40.925211,-77.055530,Penny Ln/Ann St
160,41.019254,-76.883002,Milroy Rd/Cross Roads Dr
185,40.977865,-76.887825,Reish Rd/Loan Rd
160,40.918730,-76.920691,Deer Run Dr
216,40.969530,-76.896169,Logan Ave/Maple St
216,40.945321,-76.966444,Old Turnpike Rd/Johnson Mill Rd
185,41.109058,-76.895578,T536/White Deer Ave
216,40.905747,-76.849412,Rohland St/Westbranch Hwy
185,40.919165,-77.048901,N 4th St/Mill St
334,40.964678,-76.887786,Raspberry Aly
579,40.988166,-76.879137,International Dr
160,40.974621,-77.049025,Buffalo Rd/Gast Rd/Forest Hill Rd
418,40.920763,-77.047505,/Thompson St
276,40.910838,-76.853627,Reitz Ave/Westbranch Hwy
185,40.887083,-77.037285,Tower Rd/Dice Rd
160,40.959838,-76.898627,N 14th St
160,40.900430,-77.159651,Laurel Rd/Main St/Hazel St
185,40.926115,-77.021907,Cedar Green Center
276,40.958146,-76.907852,Fairground Rd
788,40.960586,-76.885763,Saint Catherine St
160,40.938679,-76.894840,Red Fox Ln/Country Hill Rd
160,40.914391,-77.049052,S 6th St/Quarry Rd
445,40.961412,-76.891334,Cherry Aly/Currant Aly
