Estimated daily crossings,Latitude,Longitude,Name
276,32.688273,-80.846731,Wall St
185,32.356791,-80.605937,James D Washington Rd/Kinte Dr
246,32.195142,-80.741578,/Broad Pointe Dr
160,32.260725,-80.881052,Buck Island Rd/Browns Way
160,32.431884,-80.640660,Sams Point Rd/D/w To Horse Ring
526,32.209718,-80.683593,Folly Field Rd/Grasslawn Ave
246,32.299776,-80.967802,/Argent Pl/Colonel Thomas Heyward Rd
160,32.221584,-80.670584,Salt Spray Ln
216,32.215979,-80.852590,Alljoy Rd/Palmetto Ave/Estill Beach Dr
658,32.152678,-80.731445,N Forest Beach Ct
216,32.238117,-80.743270,Outerbridge Cir/Hadley Ln
216,32.428750,-80.638162,Jade St/Madeline Ln
526,32.265327,-80.881535,Buck Island Rd
246,32.179903,-80.727255,Shelter Cove Ln/King Neptune Dr
160,32.434975,-80.744797,D/w/Blue Dolphin Dr
276,32.254238,-80.968018,Caine Dr
185,32.306014,-80.641798,Gingerwood Rd/Bay Point Rd
216,32.301069,-80.949384,Seaford Pl
216,32.432071,-80.719988,D/w
216,32.222619,-80.717616,Sea Trout Ct
185,32.422898,-80.636687,Shelby Ln
185,32.203834,-80.694082,Beachwood Dr
160,32.234269,-80.935659,Kims Way/Old Miller Rd
185,32.392013,-80.699033,Camellia Rd/Palm Dr
305,32.486484,-80.740535,Trask Pkwy
216,32.240874,-80.720925,Wild Azalea Ln
160,32.401519,-80.687972,McTeer Cir/Scheper Ln
160,32.398708,-80.682001,Sutcliffe Dr/State Rd S-7-151/Johnny Morrall Cir
160,32.528705,-80.768051,Seabrook Point Dr/Seabrook Point Ct
305,32.213637,-80.723935,Merchant St
943,32.402953,-80.628585,Paul Heyward Dr/Sea Island Pkwy
305,32.211673,-80.880202,Myrtle View St
1407,32.431695,-80.670855,Port Republic St/Scott St
216,32.359225,-80.874341,State Rd S-7-18/Okatie Hwy
246,32.110720,-80.817192,/Bald Eagle Rd
305,32.439698,-80.681709,Boundary St/Hamar St
334,32.217475,-80.737515,Gum Tree Rd
216,32.195229,-80.741387,Broad Pointe Dr/Aberdeen Ct
418,32.248551,-80.834560,Coastal Dr/Fording Island Rd
160,32.432057,-80.768547,D/w
246,32.325150,-80.474674,Marsh Dunes Rd/Periwincle Ct
185,32.206871,-80.728747,Wedgefield Dr
216,32.162422,-80.752364,Wexford Cmn
160,32.222766,-80.710215,Bill Fries Dr/Fort Howell Dr
185,32.427920,-80.775520,James Hambersham
160,32.212284,-80.743620,/Honey Horn Plantation Rd
499,32.200258,-80.699463,Bradley Beach Rd/William Hilton Pkwy
160,32.340338,-80.923048,Davant Cir/Colonel Hazzard Rd
216,32.523199,-80.722810,Cornelius Dr/Stuart Point Rd
1615,32.142705,-80.752084,S Forest Beach Dr/Pope Ave
246,32.432133,-80.720804,Horton Rd/D/w
276,32.437840,-80.673997,Newcastle St/Greene St
216,32.246418,-80.728914,Sweet Bay Ln/Sweetbay Ln/Highbush Dr
185,32.272744,-80.900032,Mayfair Dr
472,32.160645,-80.754517,Dunnagans Aly
246,32.276562,-80.887339,Fairway Dr/Whiteoaks Cir/Greenwood Dr
246,32.208334,-80.704510,Greens Rd
185,32.414504,-80.494818,Seaside Rd/Sea Island Pkwy/Coffin Point Rd
185,32.602708,-80.801708,D/w/Sheldon Dr
276,32.471942,-80.629410,White Dogwood Rd/Pine Run Trl
499,32.112382,-80.824643,Merganser Ct/S Sea Pines Dr
305,32.422767,-80.640949,Shorts Landing Rd/Wiggins Rd
472,32.300171,-80.946323,Palmer Grace Dr
160,32.342523,-80.838403,Field Trial Run
246,32.404968,-80.504412,Sebring Rd
185,32.278648,-80.946301,Okatie Hwy
160,32.438927,-80.720767,D/w
160,32.454388,-80.644141,/Middle Rd
185,32.256609,-80.827423,Old Sawmill Dr/Old Sawmill Trce
305,32.238686,-80.905170,Farm Lake Dr/Mill St
185,32.269084,-80.907521,Whitehall Rd
160,32.352432,-80.679795,Guantanamo St/Soissons St
418,32.439712,-80.684186,Boundary St/Palmetto St
160,32.171480,-80.760672,Knightsbridge Ln
526,32.174467,-80.732527,William Hilton Pkwy/Marina Side Dr
160,32.561009,-80.710532,D/w
160,32.346088,-80.901529,Camp Saint Mary Rd/Okatie Bluff Rd
185,32.475313,-80.671214,Trotters Loop
185,32.317391,-80.476159,Dolphin Rd/Winter Trout Rd
160,32.453343,-80.789074,Landon Way/Landon Ln
362,32.208354,-80.684939,Folly Field Rd
246,32.135244,-80.772993,Cordillo Pkwy
185,32.365500,-80.606660,James D Washington Rd/Orange Grove Rd
305,32.276759,-80.873997,Buck Island Rd/Arley Way
1200,32.154558,-80.767761,Greenwood Dr
160,32.297653,-80.954073,Huquenin Ln
160,32.433749,-80.682126,North St/Bay St
246,32.415620,-80.647153,Sams Point Way/Robin Dr
246,32.302720,-80.995320,Columbia Ln/College Park Cir
185,32.389086,-80.577203,/Frances Butler Ln/Penn Center Cir W
246,32.260620,-80.904588,Shell Hall Dr
160,32.345461,-80.837296,Duck Pen Ct
160,32.368847,-80.553402,D/w
185,32.238789,-80.733833,Royal James Dr/Lenora Dr
160,32.163715,-80.781741,Ashton Cove Dr
160,32.436251,-80.647445,Waterside Dr
390,32.416936,-80.743750,Goethe Hill Rd
216,32.418945,-80.647507,Ashley Dr/Miller Dr W
185,32.353240,-80.876316,Baileys Rd
216,32.375370,-80.694325,9th St/Madrid Ave
276,32.204974,-80.687388,Moonshell Rd
185,32.222304,-80.723482,/Fallen Arrow Dr/Headlands Dr
185,32.404371,-80.526227,The Avenue/Kizer Dr
160,32.365927,-80.870451,Snake Rd/State Rd S-27-54
605,32.385914,-80.692133,Venus Ln
160,32.411914,-80.738370,Appaloosa Ct
160,32.346267,-80.901115,Camp Saint Mary Rd
445,32.252762,-80.871311,Lakeside Dr
160,32.225816,-80.704105,Cardinal Rd/Beach City Rd
160,32.407673,-80.529028,Campfire Dr
160,32.449011,-80.768159,/Laurel St E
216,32.413873,-80.658834,Youmans Dr/Geechie Rd
185,32.237318,-81.000013,/Heritage Pkwy
736,32.347982,-80.677715,Olongapo/Panama St
216,32.202446,-80.752542,Grant Dr/Spanish Wells Rd
762,32.315812,-80.480562,/Tarpon Blvd
418,32.208620,-80.695739,William Hilton Pkwy
216,32.178315,-80.768821,Sol Blatt Jr Pkwy
160,32.222120,-80.717062,Bethea Dr/Lamotte Dr
160,32.402862,-80.636471,Hester Ln
216,32.252738,-80.858541,Joe Hamilton Ln
160,32.498557,-80.743427,Trask Pkwy/Bogus Ln
160,32.391114,-80.532469,Big House Rd
160,32.227317,-80.727443,Oyster Rake Ct/Oyster Rake Ln
246,32.240307,-80.870696,3rd Ave/Buckeye St
216,32.426347,-80.742085,Jennings Rd/Broad River Blvd
160,32.198938,-80.736207,Camden Ln
246,32.246784,-80.744065,Waterway Pl/Santa Maria Dr/Skull Creek Dr/Waterway Ln
160,32.216808,-80.859878,Myrtle Island Rd/Palmetto Beach Dr
185,32.234759,-80.858274,Pritchard St/Maiden Ln
968,32.426038,-80.727417,Robert Smalls Pkwy
185,32.287632,-80.852690,Bamberg Dr
276,32.153978,-80.774648,Governors Rd/Country Club Ln
216,32.500338,-80.729978,Bruce K Smalls Dr/Moses Rd
246,32.242665,-80.858621,Kitty's Crossing Shops
246,32.261119,-80.921736,Fieldhaven Ct
246,32.393075,-80.701625,Battery Green Ct
334,32.414540,-80.688379,Allison Rd/Ribaut Rd
160,32.328532,-80.630674,D/w
185,32.261051,-80.720296,Sugar Pine Ln
246,32.155522,-80.745196,Shipyard Dr
305,32.168065,-80.771941,Delander Ct
390,32.270843,-80.873947,Barrngton Ave/Barrington Ave/Alley
185,32.270384,-80.878647,Buck Island Rd
185,32.169356,-80.772450,Arrow Rd
185,32.437848,-80.624660,Sandy Ln
526,32.439608,-80.675109,Boundary St/Church St
185,32.229139,-80.723467,Fox Hunt Dr/Foxhunt Dr
305,32.406359,-80.734427,Parris Island Gtwy
185,32.435828,-80.644185,Mises Rd/Prescient Ave
305,32.395830,-80.765051,Fulwood Ln
160,32.230531,-80.700111,Fort Howell Dr
788,32.136779,-80.810578,Cutter Ct
579,32.207508,-80.881856,S Drayton St
246,32.431455,-80.720283,D/w
216,32.240086,-80.832591,Heritage Lakes Dr/Allyan Ct
684,32.215404,-80.719702,William Hilton Pkwy
216,32.426941,-80.480170,Talbert Dr
362,32.214824,-80.688275,Clubhouse Dr
