Estimated daily crossings,Latitude,Longitude,Name
390,32.934801,-80.687053,I- 95
185,32.883603,-80.623825,State Rd S-15-295
362,32.901903,-80.664482,N Lucas St/S Lucas St/Hampton St
631,32.501289,-80.302651,Jungle Rd/Mary St
160,32.907609,-80.643779,/Francis St
160,32.715864,-80.609034,Green Pond Hwy/
216,32.736693,-80.841995,White Farm Ln
216,32.898148,-80.661937,Morral St/Black St Exd/Block St
160,32.804853,-80.772093,/Black Creek Rd
216,32.737318,-80.575543,Jackass Rd/Bennets Point Rd/Ace Basin Pkwy
445,32.493902,-80.339512,State Rd S-15-683/Budy Rd
160,32.877910,-80.660036,Spring Rd/Ashland Rd
246,32.878271,-80.639734,Brittlebank Rd/Scotts Ct
276,32.941381,-80.618705,/Sidneys Rd
160,33.049818,-80.498409,Carlisle Ln
160,32.867111,-80.833328,Scuffletown Rd/Brick Rd
216,32.993334,-80.636597,Jefferies Hwy
160,32.968789,-80.812880,Bell's Hwy
276,32.894465,-80.662448,Lockhart St/Mincey Ave
160,33.033285,-80.842308,3rd St
185,32.932987,-80.618839,/Mike St
160,33.034863,-80.841617,Marion/Joel Padgett St
160,32.892616,-80.630800,Miley St/Hampton St
526,32.730264,-80.848527,I- 95
658,32.881145,-80.655484,June St/Gadsden Loop
216,32.891972,-80.685601,Ivanhoe Rd
160,32.972266,-80.827278,Hydrick Rd/Bell's Hwy
445,32.734444,-80.845884,I- 95
160,32.924668,-80.665434,N Jefferies Blvd
160,32.708490,-80.814103,Locke Ct
185,32.489918,-80.321793,Chancellor St/Jungle Rd
160,32.889751,-80.653376,Crane Dr/Cleveland St
160,32.898569,-80.654155,Simmons St/Carn St
276,32.757055,-80.822237,I- 95
216,32.693274,-80.625857,Ace Basin Pkwy
160,32.926120,-80.410509,Cottageville Hwy/US Hwy 17 Alt/Camp Buddy Rd
246,32.944675,-80.613818,Ramsey Hill Dr/Chestnut Rd
160,33.065011,-80.631077,Augusta Hwy
160,33.014733,-80.668569,Primrose Ln
334,32.926996,-80.669806,Azalea Dr
334,32.926412,-80.691262,Hiers Loop Rd/Lafrance Ct
362,32.884423,-80.719053,/Medlar Ln
185,32.943010,-80.653079,/Jefferies Hwy
160,32.983437,-80.858261,Bells Hwy/Goff Hill Pl
246,32.743580,-80.556605,US Hwy 17/Ace Basin Pkwy
276,32.914887,-80.672463,Josie Dr/Bells Hwy
216,32.749316,-80.751560,Hendersonville Hwy/Combahee Rd
246,32.895009,-80.669816,Greenpond Hwy/Proctor St/Beachwood Rd
185,32.906945,-80.647064,Savage St/Agnes St
160,32.973249,-80.622054,Keegan Dr
160,32.876411,-80.688903,Raquet Ct/Racket Ct
246,32.897257,-80.656729,Black St Exd/S Lemacks St
445,32.484482,-80.326975,Edings St/Myrtle St
526,32.730602,-80.848233,I- 95
185,32.916341,-80.634245,Liberator Dr/Dynamite Dr
185,32.890652,-80.684660,Ivanhoe Rd/S Jefferies Blvd
160,32.912700,-80.647113,Colleton Loop Rd/Robertson Blvd
160,32.933946,-80.623055,Sidneys Rd
185,32.481479,-80.337568,Myrtle St
160,32.876849,-80.689188,Fairway Ct/Racket Ct
160,32.875506,-80.755656,/Sniders Hwy
390,32.939127,-80.686012,I- 95
246,32.913336,-80.672207,Pine Ridge Rd
160,32.922983,-80.684504,Pansy St/Kimbrell St
216,32.924641,-80.675867,Gloria St/Hazel St
334,32.932560,-80.689678,Lagrande Ln/Cycle Ln
185,32.937363,-80.656680,/Jeffries Hwy
185,32.940998,-80.618928,Sidneys Rd/Sunshine Rd
305,32.847356,-80.735451,I- 95
390,32.905889,-80.703159,I- 95
526,32.904026,-80.666764,Benson St/S Jefferies Blvd/N Jefferies Blvd
160,32.985877,-80.859804,Williams Rd
160,32.947088,-80.794896,Azalea Patch Rd/Southern Charm Rd
160,32.732193,-80.613399,State Rd S-15-460/
185,32.920890,-80.692453,Mallard St
216,32.526107,-80.269897,Cowpens Rd
276,32.481927,-80.327649,Seabrook St/Point St
160,32.992195,-80.617109,London Ln
305,32.903594,-80.649555,Rabb/Warren St
710,32.899003,-80.668707,Moore St/Greenpond Hwy
334,32.771289,-80.802644,I- 95
246,32.936982,-80.656943,Jeffries Hwy
276,32.736029,-80.813526,Corinth Ct/Jonesville Ave
418,32.899727,-80.663837,Shaffer St
216,32.958765,-80.709253,Jones Swamp Rd/Ruffin Rd
276,32.489322,-80.342657,Palmetto Blvd/Ebbtide St
160,32.909543,-80.681151,Ireland Hills Dr/Salley St
185,32.501982,-80.304173,Shores Dr
185,32.958024,-80.617705,/Jockey St
305,32.747901,-80.831214,/I- 95
160,32.915696,-80.649485,Robertson Blvd
276,32.496570,-80.308199,Cupid St
160,32.885113,-80.704549,Ivy League Dr/Wilford Ln
185,32.907028,-80.650443,Wichman St/Savage St
185,32.733181,-80.813572,Lowcountry Hwy/Herman Ln
160,32.924464,-80.614185,Bill Ct/Phillips Rd
499,32.928306,-80.689296,Hiers Loop Rd
185,32.896255,-80.642175,Edgewood St/Hampton St
160,32.709992,-80.609761,Green Pond Hwy/Ace Basin Pkwy
362,32.753077,-80.825928,/I- 95
160,32.774365,-80.714493,Hendersonville Hwy
216,32.893605,-80.660915,Proctor St
246,32.744337,-80.836601,Wilmington Ln
185,32.897668,-80.669357,/Laurel Ave/Greenpond Hwy
362,32.484630,-80.324308,Palmetto Blvd/Mitchell St
276,32.905505,-80.649335,Price St/Hill St
276,32.897859,-80.676745,Dowling Ave/McTeer St
994,32.932978,-80.693324,Upchurch Ln
160,32.897019,-80.669314,Greenpond Hwy
305,32.490996,-80.314270,Palmetto Blvd/Dawhoo St
418,32.888725,-80.693132,Beach Rd
160,32.955023,-80.647417,Jefferies Hwy
160,32.937817,-80.663116,Robert E Lee Dr
216,32.910091,-80.652417,Collins St/Grant St
526,32.949724,-80.682160,I- 95
216,32.928000,-80.689614,Hiers Loop Rd
160,32.828845,-80.605691,Stepping Stone Ln/Cooks Hill Rd
216,32.897838,-80.648484,Padgett Loop/Hampton St
246,32.760338,-80.817017,I- 95
160,32.904453,-80.656594,Wichman St/Tracy St
1071,32.928855,-80.688718,Hiers Loop Rd
185,32.929747,-80.661955,Wintergreen Rd/N Jefferies Blvd
185,32.771935,-80.713993,Ritter Rd/Hendersonville Hwy
216,32.932731,-80.696763,Bell's Hwy/Evergreen Ln/Service Ln
276,32.921082,-80.681503,Terrace Dr/Peachtree Rd/Dorsey St
160,32.895646,-80.650444,Robertson Blvd
418,32.925558,-80.683601,Hiotts Ln
160,32.929552,-80.617980,Barbara Ln/Phillips Rd
216,32.895123,-80.677398,Thompson St/de Treville Rd
185,32.789307,-80.479107,Sparks Ln/Charleston Hwy
658,32.500996,-80.302402,Lily St/Mary St
160,32.933179,-80.472125,Cottageville Hwy/Majestic Oak Way
160,33.047262,-80.611709,Prairie Ln
216,33.103190,-80.787101,Johnsville Rd/Fralix Rd
305,32.484596,-80.339377,Townsend St/Myrtle St
216,32.914120,-80.670813,Pine Ridge Rd
160,32.895832,-80.659923,Rivers St
276,32.904476,-80.654535,Wichman St/N Lemacks St
160,33.046205,-80.789915,/Mount Carmel Rd
499,32.879806,-80.711443,Sniders Hwy
552,32.493044,-80.339210,Village Ct/Buoy Rd
185,32.906508,-80.657125,Webb St/Heyward St
160,32.862926,-80.652669,/Green Pond Hwy
160,32.905264,-80.654782,Savage St/N Lemacks St
160,32.931881,-80.703799,Bell's Hwy/Stormy Ln
185,32.895671,-80.709476,Beach Rd/I- 95
160,32.923998,-80.667460,Azalea Dr/Dandridge Rd
160,32.930282,-80.623522,Hawk Ln/Redtail Ct
160,32.888444,-80.651541,Tubman Dr
185,32.806531,-80.712027,Loyd Ln/Hendersonville Hwy
305,32.485187,-80.323377,Palmetto Blvd/Catherine St
160,33.079195,-80.811417,Lowcountry Hwy
160,32.774660,-80.714674,Grover Ln/Hendersonville Hwy
185,32.895352,-80.678493,Dowling Ave/de Treville Rd
362,32.892833,-80.853474,Lowcountry Hwy/Armi Ln
305,32.922691,-80.685995,Railroad St/Kimbrell St
246,32.893575,-80.661156,Craig St/Proctor St
160,32.956561,-80.643176,Knights Ave/Lakeshore Dr
160,32.501397,-80.315262,Island Cove Dr/Island Cove
334,32.773992,-80.460592,Ace Basin Pkwy
499,32.941936,-80.685640,Sigwald
160,33.014756,-80.668461,Primrose Ln/Risher Mountain Rd
216,32.892074,-80.673391,Oak Cir/Coleman Dr
185,32.928781,-80.657301,White Sands Rd/Wintergreen Rd
216,32.934452,-80.694255,Upchurch Ln//State Rd S-15-717
216,32.771309,-80.464475,Pine Hill Ln
160,32.938410,-80.657527,Lemon Rd/Oswald Ct
305,32.905381,-80.647010,Hill St
246,32.896934,-80.672352,S Jefferies Blvd/May St
160,32.875520,-80.775075,Maclean Rd
276,32.894681,-80.706260,Beach Rd/Monteleon Ln
334,32.488748,-80.323615,Jungle Rd/Marianne St
185,32.876759,-80.777208,State Hwy 63/Sniders Hwy
160,33.076976,-80.643862,Connie Bee Ln
