Estimated daily crossings,Latitude,Longitude,Name
160,43.737720,-98.795093,I- 90/370th Ave
160,43.735892,-98.769644,I- 90
160,43.587979,-98.437193,S 3rd St/S 1st Ave
160,43.708269,-98.480762,S Campbell St
185,43.592085,-98.438840,N 3rd Ave/N 2nd St/2nd St
160,43.696238,-98.444242,/388th Ave
160,43.592539,-98.440168,1st St/N 4th Ave
185,43.591042,-98.438765,N 2nd St/N 2nd Ave
160,43.718025,-98.482154,N Duff St/E 5th St
216,43.713335,-98.485324,Commerce St/E Commerce St/Main St
160,43.724613,-98.711170,3rd St/S Johnston St
276,43.706036,-98.485825,/S Main St
160,43.703200,-98.480422,254th St/S Campbell St
160,43.708631,-98.480738,S Campbell St
160,43.715330,-98.485176,Main St/W 2nd St/E 2nd St
160,43.589487,-98.437281,N 3rd St
160,43.591130,-98.435992,4th St/N 2nd Ave
160,43.593760,-98.424969,389th Ave
160,43.931937,-98.804509,239th St
185,43.695558,-98.365553,I- 90/392nd Ave
160,43.701468,-98.474500,254th St
160,43.715794,-98.694092,375th Ave
160,43.731429,-98.712485,Pleasant St/East St
160,43.723850,-98.712557,Oppal St
160,43.730721,-98.747029,252nd St
160,43.723784,-98.713516,US Hwy 16
160,43.730541,-98.747208,252nd St
160,43.592064,-98.440157,/N 3rd Ave/N 1st St
160,43.718073,-98.483586,E 5th St/Sanborn St/N Sanborn St
185,43.701074,-98.508867,254th St
160,43.714014,-98.476246,Vine St/E 1st St/N Vine St
160,43.733839,-98.712500,East St
160,43.705707,-98.463035,387th Ave
160,43.723624,-98.712780,US Hwy 16
160,43.588030,-98.435790,S 1st Ave/1st Ave/S 4th St
160,43.708536,-98.508565,I- 90
160,43.723890,-98.713943,US Hwy 16/S Main St
160,43.730295,-98.747421,US Hwy 16/252nd St
160,43.710307,-98.485519,Main St/S Main St/Davenport St
160,43.592592,-98.438826,N 4th Ave/2nd St
216,43.589073,-98.435852,N 4th St/S 4th St/Main St
160,43.708780,-98.611008,I- 90
160,43.702841,-98.479962,/I- 90
185,43.694996,-98.432896,I- 90
160,43.725650,-98.713939,Main St/S Main St/W 2nd St/E 2nd St
160,43.723581,-98.712564,US Hwy 16/Oppal St
334,43.706832,-98.485767,S Main St
160,43.737565,-98.781426,/I- 90
160,43.713126,-98.476330,/E Commerce St
160,43.708499,-98.621896,I- 90
160,43.719092,-98.482083,N Duff St/E 6th St
185,43.717907,-98.720699,I- 90
160,43.591077,-98.437362,3rd St/N 2nd Ave
216,43.541619,-98.439832,388th Ave/265th St
305,43.691564,-98.444096,388th Ave
185,43.930562,-98.803968,239th St
160,43.590038,-98.438718,N 1st Ave/N 2nd St
160,43.591179,-98.434604,N 5th St/N 2nd Ave
185,43.708385,-98.558655,I- 90
185,43.589541,-98.438695,N 2nd St
160,43.709793,-98.485568,S Main St
185,43.712740,-98.485378,Main St
185,43.695266,-98.365552,I- 90/392nd Ave
216,43.713033,-98.485357,Main St
160,43.592204,-98.434673,N 5th St/N 3rd Ave
160,43.737848,-98.781315,I- 90
160,43.720197,-98.482011,N Duff St/E 7th St
160,43.701271,-98.486078,254th St/386th Ave
160,43.723187,-98.709582,US Hwy 16/Maple St
160,43.733066,-98.711026,Walnut St
160,43.694705,-98.438263,/I- 90
276,43.589614,-98.435897,N 4th St
160,43.701230,-98.639957,254th St
160,43.726626,-98.713947,E 1st St/Main St/W 1st St
160,43.730670,-98.445268,388th Ave/252nd St
160,43.593182,-98.440163,1st St
160,43.718749,-98.713958,/S Main St
160,43.713046,-98.476345,Vine St/E Commerce St
185,43.588995,-98.438669,N 2nd St/Main St/S 2nd St
216,43.590176,-98.435935,4th St/N 4th St/N 1st Ave
216,43.708656,-98.558684,I- 90
160,43.713160,-98.476324,Vine St/
160,43.710372,-98.486921,Lawler St/Davenport St
160,43.695812,-98.345541,I- 90
160,43.733366,-98.711037,Walnut St
160,43.708225,-98.508570,I- 90
185,43.718099,-98.719739,/I- 90
160,43.709149,-98.674140,I- 90
160,43.591007,-98.440133,N 1st St/N 2nd Ave
185,43.694716,-98.433584,I- 90
160,43.735615,-98.769769,I- 90
160,43.592144,-98.436049,4th St/N 3rd Ave
160,43.813304,-98.444974,388th Ave
160,43.730754,-98.764480,US Hwy 16/372nd Ave/252nd St
216,43.590145,-98.437315,N 3rd St/N 1st Ave/3rd St
185,43.714354,-98.485255,1st St/Main St
