Estimated daily crossings,Latitude,Longitude,Name
185,43.700185,-98.015986,E Ivy Ave
579,43.700646,-98.030860,Court Merrill St/S Edmunds St
185,43.720819,-98.018673,N Burr St/E 12th Ave
390,43.711490,-98.021320,N Langdon St/E 3rd Ave
160,43.833223,-98.028584,245th St/N Main St
216,43.722128,-98.010286,Circle Dr
160,43.706631,-97.993422,Doris Ct
246,43.695516,-98.152264,/I- 90
552,43.695675,-98.033783,S Minnesota St/Mitchell Blvd
552,43.698003,-98.017503,E Kay St/I- 90 Bus
185,43.713594,-98.012150,E 5th Ave/N Gamble St
185,43.712510,-98.017036,E 4th Ave/N Capital St
216,43.720720,-98.033954,N Minnesota St/W 12th Ave
185,43.710378,-98.032389,N Wisconsin St/W 2nd Ave
185,43.705689,-98.041904,Palmer Pl/S Edgerton St
185,43.717143,-98.258950,N Lindman St
160,43.718723,-98.027028,W 10th Ave/N Rowley St
160,43.723667,-98.017303,N Capital St/E 15th Ave
185,43.707529,-98.014175,S Mentzer St/E Ash Ave
185,43.693690,-98.067227,I- 90
839,43.711474,-98.025553,E 3rd Ave/W 3rd Ave/N Main St
160,43.700994,-98.025478,Milan Ave/S Main St
305,43.716638,-98.025427,W 8th Ave
334,43.717232,-98.015590,N Winsor St
305,43.702161,-98.008441,/E Havens St
276,43.701125,-98.026850,Milan Ave/S Rowley St
276,43.691749,-98.011623,I- 90/S Burr St
305,43.694797,-98.033768,W Norway Ave/S Minnesota St
185,43.693773,-98.013466,I- 90 Bus/S Burr St
362,43.707589,-98.043436,S Dobson St/W Ash Ave
216,43.727130,-98.032693,N Wisconsin St/W 18th Ave
160,43.694743,-98.166175,402nd Ave
246,43.717742,-98.027027,W 9th Ave/N Rowley St
216,43.706470,-98.000166,Christine St/E Birch Ave
160,43.711630,-98.265861,N Earl St/W 2nd Ave
185,43.709155,-98.033801,N Minnesota St/S Minnesota St
160,43.762900,-98.070508,N Harmon Dr
334,43.706621,-98.036308,S Iowa St/W Birch Ave
160,43.542624,-97.985243,S 2nd St/411th Ave/265th St
160,43.696473,-98.051639,Loma Linda Dr
160,43.548522,-97.984037,N 3rd St/E Maple St
185,43.716981,-98.022747,N Kimball St
160,43.703348,-98.044503,/W Elm Ave
160,43.692066,-98.038164,Thomsen Pl
160,43.547416,-97.984024,N 3rd St/E Main St/S 3rd St
276,43.715439,-98.027785,W 7th Ave
305,43.713375,-98.005929,N Marshall St/5th Ave
160,43.739443,-98.047467,N Ohlman St
276,43.705507,-98.032443,S Wisconsin St/W Cedar Ave
216,43.707528,-98.046988,S Ohlman St/W Ash Ave
216,43.712533,-98.010101,E 4th Ave/N Kittridge St
185,43.704489,-98.033753,W Douglas Ave/S Minnesota St
160,43.688035,-97.973852,Bartscher Rd/255th St
216,43.711422,-98.032398,N Wisconsin St/W 3rd Ave
390,43.711459,-98.022645,N Kimball St/E 3rd Ave
276,43.707640,-98.035188,S Montana St/W Ash Ave
185,43.712342,-98.039749,W 4th Ave/N Juanita St
160,43.711328,-98.047052,W 3rd Ave/N Ohlman St
160,43.751345,-98.047736,N Ohlman St
362,43.711461,-98.019905,N Davison St/E 3rd Ave
216,43.698893,-98.034271,/Ninde St/S Minnesota St
160,43.711478,-98.018557,N Burr St/E 3rd Ave
390,43.694850,-98.026764,S Rowley St/W Norway Ave
160,43.691061,-98.036738,S Miller Ave/Quince St
160,43.545427,-97.979828,S 6th St/E Elm St
185,43.716495,-98.022745,N Kimball St
276,43.712374,-98.037072,W 4th Ave/N Iowa St
334,43.740878,-98.047519,Arrowhead Pass/N Ohlman St
160,43.706852,-97.993372,Quiett Ln/Doris Ct
160,43.709533,-98.017089,N Capital St/E 1st Ave/S Capital St
445,43.688798,-98.009478,Highland Way/S Burr St
160,43.708399,-98.022655,E Hanson St/S Kimball St
276,43.692019,-98.012313,I- 90/I- 90 Bus/S Burr St
160,43.708208,-98.024066,S Lawler St/E Railroad Ave
