Estimated daily crossings,Latitude,Longitude,Name
216,44.530000,-98.990780,W 1st Ave/US Hwy 14/W 14th St/197th St
390,44.519138,-98.978551,E 4th St/E 7th Ave
216,44.518290,-98.988660,W 3rd St/N Broadway/E 3rd St
185,44.521638,-98.983614,E 6th St/E 3rd Ave
160,44.517637,-98.935390,Willow Grove/3rd St NE
160,44.518260,-98.978549,E 3rd St/E 7th Ave
160,44.517102,-98.999853,W 2nd St
160,44.517660,-98.943110,3rd St NW/N Elm St
216,44.522323,-98.995538,5th St
160,44.526283,-98.983616,E 3rd Ave
160,44.341742,-98.983698,210th St/360th Ave
185,44.522712,-98.983609,E 7th St/E 3rd Ave
160,44.341638,-98.983698,210th St/360th Ave
185,44.517084,-98.980805,E 5th Ave/E 2nd St
160,44.521670,-98.978425,E 6th St
160,44.514597,-98.988640,SW 1st St/S Broadway/SE 1st St
185,44.520616,-98.992020,W 5th St/W 2nd Ave
185,44.524764,-98.983606,E 3rd Ave
160,44.523215,-98.993655,Park Cir
160,44.734441,-98.988066,State Hwy 45
160,44.529378,-98.988695,/N Broadway
216,44.519400,-98.992026,W 4th St/W 2nd Ave
160,44.517100,-98.934693,Park Pl
185,44.518587,-98.972279,E 10th Ave
216,44.520643,-98.984646,E 5th St
160,44.518250,-98.979447,E 6th Ave/E 3rd St
334,44.519645,-98.978542,E 7th Ave
160,44.521646,-98.988700,N Broadway/W 6th St/E 6th St
216,44.529970,-98.989512,/W 14th St
160,44.896985,-98.927310,172nd St/363rd Ave
160,44.518270,-98.990340,W 1st Ave/W 3rd St
185,44.519178,-98.980829,E 5th Ave/E 4th St
216,44.523810,-98.983613,E 8th St/E 3rd Ave
160,44.517150,-98.942130,N Linden St
185,44.518269,-98.992046,W 3rd St/W 2nd Ave
160,44.522854,-98.996206,W 7th St
160,44.520646,-98.982236,E 4th Ave/E 5th St
185,44.515664,-98.982208,E 4th Ave/E 1st St
160,44.517132,-98.934526,Park Pl
160,44.500832,-99.003850,199th St/W 14th Ave
185,44.524474,-98.983616,E 9th St/E 3rd Ave
160,44.519751,-98.976223,E 8th Ave/Donlin St
160,44.519071,-98.976215,E 8th Ave/E 4th St
160,44.328872,-98.987440,Olinger Ave/Crusader St
160,44.524420,-98.985675,E 9th St/E 2nd Ave
160,44.515279,-98.983623,3rd Ave SE/E 3rd Ave
185,44.520612,-98.978525,E 5th St/E 7th Ave
185,44.519177,-98.972278,E 4th St/E 10th Ave
185,44.525804,-98.982492,Vista Dr
160,44.519633,-98.982228,E 4th Ave/E 4th St
160,44.437176,-98.701345,374th Ave
246,44.517640,-98.938071,3rd St NW/3rd St NE/N Commercial Ave
185,44.529985,-98.988490,E 14th St
185,44.520648,-98.985372,E 5th St/E 2nd Ave
160,44.523812,-98.988680,N Broadway/E 8th St/W 8th St
246,44.519864,-98.992018,W 2nd Ave
160,44.514581,-98.987924,SE 1st St
160,44.486583,-99.044345,200th St/357th Ave
160,44.779670,-99.108180,180th St/Polo Dr
160,44.517526,-98.934026,/3rd St NE
160,44.522693,-98.980814,E 5th Ave/E 7th St
160,44.523809,-98.985680,E 8th St/E 2nd Ave
160,44.515738,-98.987038,E 1st Ave/E 1st St
185,44.521575,-98.995050,/W 6th St
160,44.519422,-98.987006,E 1st Ave/E 4th St
160,44.520652,-98.943101,W 6th St
160,44.501017,-99.003848,199th St/W 14th Ave
160,44.519070,-98.974910,E 4th St
160,44.896880,-98.729790,172nd St
160,44.329388,-98.986556,Seaman St/Eggebraaten Ave
185,44.519633,-98.980825,E 5th Ave/E 4th St
160,44.519822,-98.976224,E 8th Ave
216,44.517074,-98.987008,E 1st Ave/E 2nd St
216,44.516450,-98.936732,N Maple St/2nd St NE
160,44.516432,-98.938121,2nd St NE/2nd St NW/N Commercial Ave
160,44.522712,-98.985689,E 2nd Ave/E 7th St
160,44.516530,-98.934906,Park Pl
185,44.530939,-98.988426,15th St
160,44.519637,-98.983616,E 4th St/E 3rd Ave
276,44.515636,-98.980819,E 1st St/E 5th Ave
185,44.517937,-98.957486,/US Hwy 14
160,44.521628,-98.993692,W 6th St/W 3rd Ave
160,44.511572,-99.200381,Dakota Ave/7th St
160,44.522709,-98.985369,E 2nd Ave/E 7th St
160,44.517573,-98.934488,Park Pl/3rd St NE
160,44.329353,-98.985851,/Mma Per Pl/Sunshine Dr/Seaman St
160,44.522740,-98.993693,/W 7th St/W 3rd Ave
185,44.521655,-98.990363,W 1st Ave/W 6th St
160,44.523608,-98.993086,Park Cir/
160,44.508470,-98.983615,Co Rd 27/360th Ave
160,44.543350,-98.963409,361st Ave
185,44.515430,-98.983623,E 3rd Ave
160,44.328935,-98.987027,Olinger Ave/Crusader St
160,44.518200,-98.973566,E 9th Ave/E 3rd St
185,44.519072,-98.973561,E 9th Ave/E 4th St
160,44.520640,-98.990352,W 5th St/W 1st Ave
246,44.515781,-98.988640,E 1st St/N Broadway/S Broadway/W 1st St
185,44.520627,-98.986998,E 1st Ave/E 5th St
246,44.517088,-98.988640,N Broadway/W 2nd St/E 2nd St
216,44.517113,-98.992000,W 2nd St/W 2nd Ave
246,44.517650,-98.936707,N Maple St/3rd St NE
185,44.519073,-98.973392,E 4th St
160,44.519414,-98.990332,W 1st Ave/W 4th St
160,44.518858,-98.973562,E 9th Ave
160,44.529126,-99.200261,Dakota Ave
305,44.519834,-98.978539,E 7th Ave
160,44.518250,-98.980805,E 5th Ave/E 3rd St
185,44.518170,-98.972280,E 3rd St/E 10th Ave
185,44.517640,-98.939466,3rd St NW/N Oak St
160,44.370539,-98.751957,208th St
160,44.483714,-98.773000,US Hwy 14
185,44.529986,-98.988670,N Broadway/W 14th St/E 14th St
185,44.518250,-98.977836,E 3rd St/E 7th Ave
160,44.328939,-98.986624,Crusader St/Eggebraaten Ave
185,44.515683,-98.983624,E 1st St/E 3rd Ave
185,44.518874,-98.972279,E 10th Ave
246,44.519413,-98.988660,W 4th St/N Broadway/E 4th St
185,44.521648,-98.985371,E 6th St/E 2nd Ave
160,44.779669,-99.107155,Pollock Rd/180th St
185,44.530698,-98.988676,/N Broadway
160,44.518285,-98.997870,W 3rd St
160,44.329396,-98.986998,Olinger Ave/Seaman St
160,44.514981,-98.988640,S Broadway
160,44.329008,-98.988358,Crusader St
185,44.519156,-98.972458,E 4th St
160,44.517650,-98.940762,3rd St NW/N Catalpa St
160,44.520623,-98.988699,W 5th St/N Broadway/E 5th St
160,44.483389,-98.772140,US Hwy 14
160,44.531543,-98.988681,N Broadway
160,44.528530,-99.300605,197th St/344th Ave
160,44.522711,-98.990304,W 7th St/W 1st Ave
160,44.866018,-98.705403,354th Ave/174th St
160,44.518766,-98.973563,E 9th Ave
160,44.528890,-99.270710,197th St
160,44.518582,-98.973564,E 9th Ave
185,44.530940,-98.988678,15th St/N Broadway
160,44.515250,-98.863447,366th Ave/198th St
160,44.519744,-98.974485,Donlin St
160,44.518348,-98.998646,W 3rd St/Riverside Ave
160,44.515625,-99.044369,198th St/357th Ave
160,44.529770,-99.200270,197th St/Dakota Ave
160,44.511559,-99.201505,7th St
160,44.518320,-98.998651,Riverside Ave
185,44.522709,-98.988704,W 7th St/N Broadway/E 7th St
185,44.520639,-98.984260,E 5th St
160,44.897029,-98.777584,172nd St
160,44.514721,-98.988640,S Broadway
160,44.513580,-98.988640,S Broadway/2nd St SE
160,44.471970,-98.983600,201st St/360th Ave
216,44.522744,-98.995519,W 7th St/5th St
334,44.519167,-98.979491,E 6th Ave/E 4th St
185,44.519302,-98.972278,E 10th Ave
