Estimated daily crossings,Latitude,Longitude,Name
276,44.010369,-97.119821,5th St NW/Union Ave N
185,44.014825,-97.121371,Liberty Ave N/9th St NW
160,43.993193,-97.109747,Washington Ave S/10th St SE
216,43.894911,-96.928845,4th St/2nd Ave
185,44.010328,-97.115625,5th St NW
684,44.007110,-97.118245,Josephine Ave N/2nd St NW
246,44.001962,-97.114003,3rd St SW/Egan Ave S/3rd St SE
276,44.000463,-97.112515,4th St SE/Harth Ave S
276,44.009316,-97.125662,4th St NW/Olive Ave N
276,44.016945,-97.124181,West Ave N/N West Ave
334,44.005039,-97.121416,Liberty Ave S/Liberty Ave N/Center St W
246,44.002098,-97.109707,Washington Ave S/3rd St SE
160,44.119948,-97.217491,/Dion Ave
788,44.012636,-97.113870,7th St NW/Egan Ave N
390,44.010846,-97.098382,Antelope Ave N/6th St NE
185,43.995444,-97.109766,Washington Ave S/9th St SE
684,44.007135,-97.114024,2nd St NE/Egan Ave N/2nd St NW
185,44.014214,-97.116226,8th St NW
216,44.009707,-97.151835,Country Ests/County Estates Ln
160,44.009276,-97.115400,Van Eps Ave N/4th St NW
246,44.013714,-97.121361,8th St NW/Liberty Ave N
160,44.004497,-97.104020,Garfield Ave S
246,43.962838,-97.015857,Hares Point Rd/Hares Ln
246,44.009849,-97.098017,5th St NE
185,43.942257,-96.978597,Lake Ridge Dr//Lake Dr
390,44.003951,-97.115394,Van Eps Ave S/SW 1st St
334,44.008238,-97.115389,3rd St NW/Van Eps Ave N
390,44.015027,-97.105595,9th St NE/Prairie Ave N
579,44.016971,-97.112512,Harth Ave N
185,44.013712,-97.119844,8th St NW/Union Ave N
160,43.891645,-97.009009,241st St//460th Ave/Co Hwy 52
390,44.009860,-97.098386,Antelope Ave N/5th St NE
185,44.007697,-97.169547,452nd Ave/SW Hwy 34
160,44.009903,-97.101128,Ashmont Rd/5th St NE
160,43.942287,-96.984904,Zimmermann Dr/461A Ave
552,44.011296,-97.111165,Lee Ave N/6th St NE
160,44.001049,-97.126016,3rd St/3rd St SW/Olive Ave S
185,44.119391,-97.216060,Pearce Ave S/Pearce Ave N/Main St E
