Estimated daily crossings,Latitude,Longitude,Name
160,44.044697,-96.591464,S Prairie St/E Elm Ave
246,43.862871,-96.769331,243rd St
185,44.060764,-96.595092,/Skenendo Ave/Blackhawk Dr
160,43.980410,-96.811092,S Loban Ave/Cornell St
185,44.051452,-96.597386,N Center St/W Prospect Ave
160,44.047380,-96.593498,S Crescent St/E 3rd Ave
305,43.979096,-96.814081,S Main Ave/SE 3rd St
160,43.906326,-96.792581,240th St
160,44.043815,-96.607399,Kuhle St
160,44.052487,-96.598716,W Bridge Ave/N Henry St
216,43.880187,-96.758219,I- 29
160,44.058349,-96.587364,/Old Hwy 13/481st Ave
185,43.979074,-96.815570,S Florence Ave/State Hwy 34/SE 3rd St
160,43.978029,-96.815827,S Florence Ave/Circle Dr
334,44.050487,-96.601534,N Wilson St/W 1st Ave
160,44.050229,-96.759430,I- 29
246,44.049437,-96.601542,N Wilson St/W 2nd Ave
160,44.037729,-96.759558,I- 29
216,44.048413,-96.588126,E Pipestone Ave/N Lindsay St/S Lindsay St
160,43.979050,-96.816987,SW 3rd St/State Hwy 34/S Crummer Ave
160,43.861186,-96.808348,S Allen Ave
160,43.984004,-96.817827,NW 2nd St/
160,43.877185,-96.728158,242nd St/474th Ave
160,44.000301,-96.650894,4th St
160,44.049367,-96.618895,State Hwy 32/Big Sioux Rd
216,43.905832,-96.653874,1st Ave
160,43.984980,-96.812513,NE 3rd St/N Perry Ave
160,44.000316,-96.648640,4th St/N Pierce St/E 4th St
246,43.983974,-96.813992,NW 2nd St/N Main Ave/NE 2nd St
185,44.108996,-96.759418,226th St
216,44.049437,-96.595383,N Wind St/E 2nd Ave/W 2nd Ave
658,44.060739,-96.593392,N Crescent St/Skenendo Ave
160,43.978123,-96.809216,/S Allen Ave
160,43.963412,-96.506057,236th St/485th Ave
160,44.000296,-96.651521,4th St/Fred Ave
185,44.051261,-96.602937,W Community Dr
160,43.978919,-96.789645,235th St
390,44.049431,-96.598748,W 2nd Ave/N Henry St
185,44.058857,-96.594628,Black Kettle Dr
185,43.876025,-96.757961,/I- 29
160,43.855495,-96.728144,/474th Ave
160,44.043693,-96.592755,/E Broad Ave
246,44.059692,-96.594516,/Bear Tooth Pass
185,44.065819,-96.759543,229th St
160,44.050463,-96.588433,E 1st Ave/N Lindsay St
160,44.058338,-96.593437,N Crescent St/Old Hwy 13
160,44.043609,-96.759520,I- 29
160,43.979068,-96.815811,S Florence Ave/State Hwy 34
185,43.997204,-96.654411,1st St/Owens
216,44.044709,-96.587476,S Summit St/E Elm Ave
160,43.997229,-96.655170,1st St/Prospect Ave
246,44.195620,-96.759368,220th St/472nd Ave
216,44.051460,-96.598720,W Prospect Ave/N Henry St
160,44.195583,-96.767367,220th St
185,43.909586,-96.758792,/I- 29
160,44.051466,-96.601525,N Wilson St/W Prospect Ave
160,44.195661,-96.807496,220th St
246,44.059897,-96.594532,/Bear Tooth Pass
185,44.043693,-96.595350,W Broad Ave/S Wind St/E Broad Ave
246,43.980177,-96.814062,S Main Ave
160,44.038883,-96.587616,/481st Ave
160,44.156247,-96.759710,/I- 29
160,44.040820,-96.593429,S Crescent St
160,43.982710,-96.814017,S Main Ave/N Main Ave
160,43.906915,-96.655411,Depot St
216,43.953559,-96.758652,I- 29
185,44.154241,-96.460449,/2nd St
185,44.038699,-96.595477,S Wind St
160,43.993773,-96.812685,234th St
185,44.065860,-96.758223,229th St
185,44.038933,-96.595479,S Wind St
216,43.982124,-96.811073,/S Loban Ave
160,44.108883,-96.759053,I- 29
216,43.930610,-96.758900,I- 29
216,44.029869,-96.759570,I- 29
185,44.046429,-96.597350,Railroad St/S Center St
185,43.905994,-96.627398,479th Ave/240th St
710,44.060739,-96.592902,Little Raven Cir/Skenendo Ave
246,43.850031,-96.769422,I- 29
216,44.048442,-96.582014,E Pipestone Ave/Water St
216,43.976254,-96.815880,S Lois Ln/SW 5th St
160,44.044123,-96.605137,Ash Ave/Cedar Dr
160,43.979052,-96.824747,SW 3rd St
185,43.906288,-96.655260,3rd St/Depot St
246,44.050512,-96.600169,W 1st Ave/N West St
160,43.964368,-96.728372,236th St/474th Ave
160,44.152775,-96.839570,223rd St
216,43.848254,-96.770838,244th St/I- 29
472,44.048384,-96.598731,W Pipestone Ave/S Henry St/N Henry St
185,44.046338,-96.606377,S 13th St/W Park Ave
334,44.060718,-96.591656,Skenendo Ave/Blackbird Trl/White Shield Dr
160,43.986932,-96.811566,NE 4th St/Field of Dreams
216,44.050537,-96.598739,W 1st Ave/N Henry St
160,43.981026,-96.816932,SW 2nd St/S Crummer Ave
160,44.058339,-96.594056,Black Kettle Dr/Old Hwy 13
160,44.152462,-96.761202,/223rd St
305,44.195729,-96.758234,220th St/I- 29
185,44.043731,-96.605600,Cedar Dr/W Broad Ave
246,43.906273,-96.653900,3rd St/1st Ave
160,44.044484,-96.606384,Anton Ave
160,44.049116,-96.617119,State Hwy 32
246,44.046300,-96.599332,W Park Ave
160,43.978926,-96.758752,235th St/I- 29
160,43.950022,-96.809118,S Allen Ave/237th St
160,44.007040,-96.458908,233rd St
216,43.848255,-96.771172,244th St
185,43.978210,-96.758693,I- 29
160,43.978848,-96.869073,SW 3rd St/467th Ave
185,44.039018,-96.595479,W Alton Ave//S Wind St
185,44.094715,-96.759032,I- 29
246,43.978216,-96.805431,Wildwood Ave/Discovery St
185,44.048511,-96.580114,E Pipestone Ave
160,43.974889,-96.814822,S Phillips Ave
160,44.189398,-96.588467,/481st Ave
185,44.058994,-96.594806,/Bear Tooth Pass/Black Kettle Dr/Beartooth Pass
160,43.980999,-96.814048,S Main Ave/SE 2nd St/SW 2nd St
216,43.885102,-96.758594,I- 29
185,44.038823,-96.595479,/S Wind St
185,43.978911,-96.788851,235th St/471st Ave
160,44.047396,-96.602970,W 3rd Ave/S 11th St
185,43.848251,-96.770302,244th St
160,44.048423,-96.607740,N Veterans St/W Pipestone Ave/S Veterans St
216,43.906362,-96.758827,240th St/I- 29
185,43.877351,-96.757190,242nd St
160,43.979168,-96.869071,467th Ave
160,43.981969,-96.818018,SW 1st St
216,44.039884,-96.595455,S Wind St/Frederick Ave
185,43.964458,-96.758634,236th St
160,43.982295,-96.809233,S Allen Ave
216,44.154803,-96.460448,Main St/2nd St
246,44.061780,-96.595091,Blackhawk Dr
160,44.042483,-96.587558,S Summit St
246,44.051460,-96.595457,N Wind St/E Prospect Ave/W Prospect Ave
160,43.862871,-96.768267,243rd St/472nd Ave
160,44.193279,-96.861631,Co Hwy A/467th Ave
160,44.152740,-96.819092,223rd St
160,43.978981,-96.848924,SW 3rd St/468th Ave
160,43.906149,-96.641393,240th St
246,43.967473,-96.758212,I- 29
246,43.938834,-96.758845,I- 29
160,43.862849,-96.808363,S Allen Ave/243rd St
185,44.048581,-96.578905,E Pipestone Ave
276,44.040533,-96.597799,Allen Dr/S Center St
160,44.044695,-96.593429,S Crescent St/E Elm Ave
160,44.050478,-96.602935,W 1st Ave/N 11th St
185,44.051305,-96.759391,230th St/I- 29
276,43.975559,-96.758665,I- 29
185,43.982554,-96.811077,S Loban Ave/Loban Ave
160,44.048376,-96.593474,N Crescent St/E Pipestone Ave/S Crescent St
185,43.978978,-96.754725,235th St
160,44.137923,-96.758907,224th St
160,44.137913,-96.759537,224th St/I- 29
160,44.000315,-96.647222,N Miller St/E 4th St
185,43.891872,-96.758682,241st St/I- 29
160,43.935283,-96.708422,475th Ave/238th St
160,44.048670,-96.577266,E Pipestone Ave/230th St
185,43.977098,-96.814827,/SW 4th St/S Phillips Ave
160,43.848259,-96.688049,476th Ave/244th St
185,43.907227,-96.653852,1st Ave/2nd St
216,43.850728,-96.768816,I- 29
160,43.911096,-96.758815,I- 29
160,43.978926,-96.790159,/235th St
246,44.048378,-96.601524,N Wilson St/W Pipestone Ave/S Wilson St
160,44.047914,-96.607768,S Veterans St
160,44.000301,-96.650661,4th St
246,44.047398,-96.597375,S Center St/W 3rd Ave
160,44.078042,-96.586973,481st Ave
160,43.978544,-96.693458,State Hwy 34
185,44.065811,-96.759188,229th St/I- 29
216,44.050976,-96.591484,N Prairie St
160,43.982421,-96.809231,S Allen Ave
216,44.037676,-96.594429,/Circle Dr
216,44.046309,-96.600104,W Park Ave/S West St
160,44.111182,-96.453031,226th St
185,44.048395,-96.605719,S 13th St/N 13th St/W Pipestone Ave
185,44.054198,-96.759357,/I- 29
216,44.041416,-96.603129,Jones Dr
160,43.869473,-96.587371,481st Ave
390,44.048376,-96.600141,W Pipestone Ave/S West St/N West St
160,44.043693,-96.591478,S Prairie St/E Broad Ave
185,44.188655,-96.760026,/472nd Ave
160,43.998253,-96.648657,S Pierce St/E 2nd St/2nd St
185,43.980534,-96.809243,S Allen Ave
246,44.060756,-96.594648,Skenendo Ave/Black Kettle Dr
185,44.047391,-96.595479,S Wind St/E 3rd Ave/W 3rd Ave
160,44.058325,-96.596744,Old Hwy 13
305,44.040355,-96.599781,Little Crow Dr/Allen Dr
185,44.038557,-96.595455,/S Wind St
246,44.037534,-96.594174,Circle Dr
185,44.039890,-96.597799,S Center St/Frederick Ave
276,44.050517,-96.591437,E 1st Ave/N Prairie St
185,43.975761,-96.816048,S Lois Ln
246,44.175298,-96.759419,I- 29
160,43.978899,-96.788215,235th St
185,44.048255,-96.759490,I- 29
216,44.038723,-96.607953,480th Ave
160,43.908228,-96.648184,478th Ave/1st St
160,44.044700,-96.589514,S Bates St/E Elm Ave
185,44.044695,-96.595373,W Elm Ave/S Wind St/E Elm Ave
246,44.060033,-96.594547,/Bear Tooth Pass
160,43.983996,-96.816905,N Crummer Ave/NW 2nd St
160,44.042320,-96.593446,E Lafayette Ave/S Crescent St
418,44.047405,-96.600130,W 3rd Ave/S West St
246,43.920890,-96.748577,239th St/473rd Ave
160,43.989701,-96.667098,235 St
160,43.978933,-96.790661,235th St
276,43.902887,-96.758766,/I- 29
185,44.094730,-96.758083,227th St
160,43.993755,-96.814043,234th St/Co Hwy M/N Main Ave
160,43.983962,-96.809215,S Allen Ave/NE 2nd St
185,43.983971,-96.811054,N Loban Ave/NE 2nd St
160,44.049434,-96.591460,E 2nd Ave/N Prairie St
185,44.043693,-96.591849,/E Broad Ave
160,43.978228,-96.809218,S Allen Ave/Discovery St
185,44.048376,-96.595422,E Pipestone Ave/S Wind St/W Pipestone Ave/N Wind St
160,44.047367,-96.607795,S Veterans St/W 3rd Ave
160,43.906372,-96.748538,240th St/473rd Ave
185,44.051894,-96.607633,N Veterans St/W Community Dr
216,44.021927,-96.607965,232nd St/480th Ave
160,43.906189,-96.728383,240th St/474th Ave
160,43.999910,-96.651039,Prospect Ave/Railroad St
185,44.039019,-96.596534,W Alton Ave
276,44.051092,-96.604445,W Community Dr
246,44.040070,-96.600757,Allen Dr/Eastman Dr
160,44.152463,-96.760720,223rd St/Co Hwy B
160,44.111181,-96.453325,226th St
216,44.063212,-96.595121,Blackhawk Dr/Fourbear Ave
185,44.052415,-96.759358,I- 29
160,44.188798,-96.759119,/I- 29
185,44.048378,-96.591459,E Pipestone Ave/S Prairie St/N Prairie St
185,43.987921,-96.758828,I- 29
160,44.050948,-96.566976,Flandreau Park Rd
246,43.862871,-96.758677,243rd St/I- 29
185,44.036837,-96.759564,I- 29/231st St
216,43.979118,-96.812598,S Perry Ave/SE 3rd St
276,43.979094,-96.814180,SE 3rd St
160,43.979150,-96.809879,/SE 3rd St
160,43.895624,-96.668088,477th Ave
160,43.982138,-96.809235,/S Allen Ave
185,44.058800,-96.594546,Black Kettle Dr
246,44.050501,-96.589542,E 1st Ave/N Bates St
362,44.041218,-96.598857,Little Crow Dr
160,44.043730,-96.603817,W Broad Ave/Birch St
160,43.997343,-96.655537,Prospect Ave
216,43.980981,-96.811088,S Loban Ave/SE 2nd St
160,43.979135,-96.811139,S Loban Ave/SE 3rd St
160,44.043690,-96.593434,S Crescent St/E Broad Ave
160,43.984955,-96.811037,N Loban Ave/NE 3rd St
160,43.982958,-96.812519,S Perry St/NE 1st St/N Perry Ave
185,44.051314,-96.607647,N Veterans St
160,44.058334,-96.595634,Old Hwy 13
160,43.978818,-96.873167,/SW 3rd St
185,43.983968,-96.812512,N Perry Ave/NE 2nd St
185,44.049427,-96.593465,N Crescent St/E 2nd Ave
185,44.038457,-96.595419,S Wind St/Circle Dr
160,44.047354,-96.606332,S 13th St/W 3rd Ave
160,44.046520,-96.595396,Railroad St/S Wind St
276,44.049439,-96.602927,W 2nd Ave/N 11th St
160,44.047379,-96.588122,S Lindsay St/E 3rd Ave
160,44.084137,-96.546032,/483rd Ave
185,43.976664,-96.816921,S Florence Ave/SW 5th St
160,43.923849,-96.758952,I- 29
445,44.062974,-96.592236,Blackbird Trl/Fourbear Ave
305,44.039066,-96.599632,Eastman Dr
160,43.998217,-96.653550,Prospect Ave/2nd St
185,43.979302,-96.788852,/471st Ave
160,43.983962,-96.809514,NE 2nd St
160,43.980982,-96.812542,SE 2nd St/S Perry Ave
160,43.905998,-96.628056,240th St
216,43.848255,-96.771347,244th St/I- 29
160,43.982674,-96.809229,S Allen Ave
160,44.045772,-96.587440,S Summit St/E Park Ave
185,44.048491,-96.580500,E Pipestone Ave/
185,43.981955,-96.812509,S Perry St/S Perry Ave/SE 1st St
160,43.980996,-96.818025,SW 2nd St
246,43.984950,-96.809192,S Allen Ave/N Allen Ave/NE 3rd St
185,43.870991,-96.757916,I- 29
185,43.979949,-96.758755,I- 29
160,43.979155,-96.809218,S Allen Ave/State Hwy 34/SE 3rd St
216,43.976160,-96.814824,S Phillips Ave/SW 5th St
160,43.979039,-96.819062,SW 3rd St
160,44.137915,-96.759148,224th St
185,44.058887,-96.593429,N Crescent St
185,43.980418,-96.809244,Cornell St/S Allen Ave
160,44.045787,-96.595395,E Park Ave/S Wind St
160,44.044104,-96.603816,Ash Ave/Birch St
160,44.043699,-96.587499,S Summit St/E Broad Ave
160,43.982962,-96.814015,NW 1st St/NE 1st St/N Main Ave
216,43.980602,-96.811090,S Loban Ave
160,44.022296,-96.759577,232nd St/I- 29
160,43.906361,-96.760686,/240th St
185,44.181349,-96.829388,469th Ave/221st St
160,44.080331,-96.759110,228th St/I- 29
246,44.123450,-96.759576,225th St/I- 29
216,44.060300,-96.594635,Bear Tooth Pass/Black Kettle Dr/Beartooth Pass
160,44.051334,-96.757888,/230th St
160,44.050486,-96.607650,W 1st Ave/N Veterans St
160,43.999533,-96.651576,Fred St/Prospect Ave
160,43.999261,-96.651983,3rd St/Prospect Ave
160,44.043579,-96.606880,W Broad Ave
216,44.052502,-96.595444,W Bridge Ave/N Wind St
160,44.094699,-96.759836,227th St
160,44.050520,-96.593486,N Crescent St/E 1st Ave
160,43.979042,-96.840167,SW 3rd St
160,43.907199,-96.648179,478th Ave/2nd St
160,43.971783,-96.829216,469th Ave
216,43.981961,-96.811073,S Loban Ave/SE 1st St
160,43.885010,-96.758592,/I- 29
418,44.047401,-96.598725,S Henry St/W 3rd Ave
216,44.047563,-96.759495,I- 29
160,43.995790,-96.758933,I- 29
160,43.940610,-96.828943,469th Ave
160,44.043727,-96.605154,W Broad Ave
216,44.050491,-96.604277,N 12th St/W 1st Ave
185,44.148199,-96.759559,/I- 29
160,43.877361,-96.758471,242nd St
160,44.106331,-96.759019,I- 29
160,43.999261,-96.651569,Fred St/3rd St
160,44.043341,-96.587525,S Summit St
276,44.048389,-96.597349,N Center St/W Pipestone Ave/S Center St
160,43.862826,-96.798398,470A Ave/243rd St
216,43.928112,-96.758918,I- 29
160,43.998245,-96.650134,Irvin St/2nd St
362,44.181517,-96.759296,I- 29
160,43.982994,-96.816910,N Crummer Ave/NW 1st St
160,43.983984,-96.815485,NW 2nd St/N Florence Ave
305,44.049437,-96.597331,N Center St/W 2nd Ave
160,44.043701,-96.588308,/E Broad Ave
246,44.052493,-96.597377,N Center St/W Bridge Ave
160,44.058340,-96.594761,Old Hwy 13
276,43.978950,-96.756794,235th St
185,44.007875,-96.759337,233rd St/I- 29
216,43.848255,-96.771248,244th St
334,44.046835,-96.598713,S Henry St
160,44.049440,-96.600157,W 2nd Ave/N West St
160,43.849140,-96.468259,244th St
160,43.907242,-96.655492,Depot St/2nd St
185,44.048424,-96.587355,E Pipestone Ave/S Summit St/N Summit St
185,43.853963,-96.765909,I- 29
185,44.047396,-96.601562,W 3rd Ave/S Wilson St
160,43.935323,-96.758864,I- 29/238th St
185,43.848251,-96.770029,244th St
185,43.976243,-96.817202,S Florence Ave
160,43.907242,-96.655543,2nd St
276,44.050537,-96.597377,W 1st Ave/N Center St
185,43.920879,-96.758006,239th St
160,44.163086,-96.759594,I- 29
160,43.934574,-96.708428,475th Ave
