Estimated daily crossings,Latitude,Longitude,Name
185,42.547656,-96.522578,W Wood Ln
246,42.528512,-96.482162,State Hwy 105/Main St/N Main St
334,42.675466,-96.669990,R Jones Trl/Arnold Palmer Ln
160,43.083778,-96.705276,297th St
185,43.077487,-96.795394,S 19th St/Quality Park Dr
160,42.851726,-96.796073,313th St/I- 29
185,42.489299,-96.483795,E Saint Andrews Cir/St Andrews Cir
390,42.547637,-96.524612,N Shore Dr/Suncoast Dr
160,42.939009,-96.794906,307th St/I- 29
160,42.887640,-96.567108,482nd Ave/Renken Rd
185,42.786234,-96.789779,State Hwy 11
160,43.076445,-96.769470,S East St/E Maple St
160,42.505322,-96.500572,Steamboat Dr/W Anchor Dr
305,42.504046,-96.489721,/I- 29
160,43.080393,-96.783867,N 10th St/W Main St
185,42.605117,-96.575149,/330th St
216,42.681844,-96.680572,E Clay St/S Walnut St
160,43.064634,-96.795927,I- 29
276,43.022664,-96.633895,W 3rd St/Union St
185,42.521122,-96.491723,Riverside Ln
246,43.082590,-96.778510,N 6th St/W Spruce St
276,42.505615,-96.481872,Stevens Port Dr
160,43.076365,-96.773994,3rd Ave/W Maple St
185,43.022569,-96.625587,Park Ave/Circle Dr
246,42.509928,-96.492758,S Derby Ln
160,43.076316,-96.779731,S 7th St/W Maple St
160,43.083685,-96.772687,297th St/2nd Ave
160,42.495996,-96.495368,Wind Flower Bend
216,42.534244,-96.503128,Lakeview Dr/Lakeview Ct
185,42.992273,-96.795442,/I- 29
160,42.528437,-96.480362,Fern Ave
185,42.496057,-96.504493,Sandstone Cir
160,42.528026,-96.482566,Main St
185,42.678352,-96.686638,/S Court St/Lincoln St
246,42.495132,-96.500609,Bluestem Trl
185,43.083680,-96.774840,297th St
276,42.496185,-96.488426,Prairie Blvd
246,42.666559,-96.662216,/I- 29
160,42.550889,-96.606102,480th Ave
334,43.024357,-96.622845,Lincoln Dr
185,42.531159,-96.554697,Fieldstone Ct
216,42.619642,-96.595451,329th St
246,42.546797,-96.523673,W Wood Ln/Suncoast Dr
160,42.529639,-96.485511,Military Rd/Centennial Dr
246,42.953510,-96.795098,306th St/I- 29
185,42.779113,-96.785205,471st Ave
362,42.505844,-96.484619,Oak Tree Ln/Stevens Port Dr
216,42.526380,-96.486534,Wallace Ave/Main St
160,42.489126,-96.482246,St Andrews Cir/E St Andrews Cir
160,43.019918,-96.626067,Church St/E First St
160,43.083719,-96.588600,297th St/481st Ave
246,43.083684,-96.787367,297th St
526,42.497606,-96.497307,Oxbow Trl
185,43.082475,-96.792343,N 18th St/W Spruce St
216,42.489912,-96.492004,Dakota Dunes Blvd
185,42.749919,-96.746727,473rd Ave
160,43.022615,-96.624190,Lincoln Cir
185,42.522916,-96.491828,Marie Ave/Campbell St
160,43.051430,-96.489341,486th Ave
305,42.524643,-96.499976,River Dr/
185,42.681336,-96.679473,S Elm St/E Clay St
305,42.986709,-96.795240,/I- 29
160,43.072769,-96.785338,Augusta Dr
216,42.531255,-96.484054,State Hwy 105/Delier St
160,43.054810,-96.608360,480th Ave/299th St
160,42.674642,-96.668457,Gary Player Ln
246,42.524887,-96.483970,/Louis Ave
160,42.564866,-96.526817,Connors Rd/484th Ave
216,42.521665,-96.490631,Riverside Ln/Merrill Ave
418,42.524816,-96.489547,/Melrose Ave
246,42.526390,-96.484204,Maim St/Main St
160,42.546942,-96.504409,Pearl St/Washington St
305,42.526843,-96.503402,Cott's Dr
185,42.604174,-96.561932,N Railroad Ave
160,42.540395,-96.526561,484th Ave
160,42.674303,-96.679720,Eagle Dr/Country Club Dr
185,42.507148,-96.491625,I- 29
334,42.521114,-96.499092,I- 29
185,42.529384,-96.497497,Gateway Dr/N Derby Ln
216,42.504552,-96.485526,Oak Tree Ln/Civil Bend Ct
185,42.511800,-96.494166,S Derby Ln
418,43.022666,-96.628135,Hwy 11/E Third St
305,42.522329,-96.489486,Riverside Ln/Melrose Ave
160,42.681474,-96.682533,S Pinckney St/E Jefferson St
185,42.549836,-96.511421,Leisure Ln
276,43.083682,-96.789257,297th St
185,43.070930,-96.786056,SW 13th St/St Andrews Dr
276,42.505516,-96.488456,/Two Rivers Dr
362,42.524786,-96.491897,/Marie Ave
216,42.490624,-96.491622,E Sawgrass Trl/Dakota Dunes Blvd
390,42.525128,-96.502204,Sodrac Dr
246,42.601311,-96.561119,3rd St/Division St
185,43.077374,-96.774024,3rd Ave/W Birch St
160,42.670714,-96.665253,/477th Ave
185,43.083679,-96.801688,297th St
185,42.490998,-96.490638,E Sawgrass Trl/E Sawgrass Trai
658,42.525374,-96.481125,River Dr/Military Rd
216,42.684986,-96.687393,Clay St/S Franklin St
334,42.488183,-96.487480,N Royal Troon
305,43.083682,-96.788572,297th St
216,42.526432,-96.484001,Louis Ave/N Main St
160,43.079494,-96.772590,E Oak St/2nd Ave
276,42.687125,-96.684081,N Douglas St/E Pleasant St/W Pleasant St
160,43.020047,-96.623428,Lincoln Dr/E First St
216,42.489329,-96.480216,St Andrews Cir/E St Andrews Ct
160,42.909983,-96.794866,309th St/I- 29
579,42.686766,-96.685935,N Franklin St/W Main St/S Franklin St
305,42.681476,-96.688179,S Douglas Rd/S Douglas St
160,42.523001,-96.488288,Parkside Ave/Campbell St
160,42.486913,-96.487686,Murfield Ct/S Royal Troon
216,42.497549,-96.494499,Prairie Bend
185,42.486351,-96.495353,Quail Hollow Cir
160,42.548216,-96.542288,Deer Run Cir
160,42.492091,-96.488738,Augusta Cir
160,43.024733,-96.635330,W Fifth St/Ofstad St
305,42.501910,-96.488033,/I- 29
246,42.493947,-96.497612,/W Pinehurst Trl
216,42.686601,-96.682899,E Pleasant St/N Court St
216,42.602223,-96.561448,Srailroad Ave
160,42.680766,-96.685798,Park Pl
216,42.687935,-96.683418,N Douglas St
216,42.505415,-96.488750,Two Rivers Dr
216,42.495148,-96.500000,Bluestem Trl
160,42.679789,-96.688003,S Douglas St
185,42.486254,-96.498909,Spyglass Ct
160,42.553754,-96.511635,I- 29
160,43.023687,-96.625663,E Fourth St/Park Ave
160,42.749955,-96.745795,320th St
160,43.074251,-96.773856,E Willow St/3rd Ave/W Willow St
185,42.687319,-96.677640,E Sharon St/Pinckney St
160,43.025823,-96.633575,Union St/W 6th St
160,43.079460,-96.774062,E Oak St/W Oak St/3rd Ave
216,43.023679,-96.628128,Hwy 11/479th Ave/E Fourth St
246,42.541794,-96.525397,Izaak Walton Dt/Suncoast Dr
185,42.496471,-96.493133,Meadows Blvd/Dakota Dunes Blvd
185,42.687318,-96.679176,Pearl St/E Rose St
160,42.682885,-96.682830,E Clay St/S Pearl St
160,42.619699,-96.606109,480th Ave/329th St
216,42.527337,-96.483177,Military Rd/Main St/N Main St
216,42.682507,-96.684814,S Grant St/E Jefferson St
216,42.605117,-96.576427,330th St/I- 29
160,42.510087,-96.501846,N Shay Rd/S Shay Rd/W Flurie Rd
185,43.019830,-96.628113,479th Ave
185,43.022666,-96.631812,W 3rd St
185,43.021608,-96.630950,Iowa St/W Second St/E 2nd St
185,42.686102,-96.681800,E Pleasant St/N Grant St
160,42.822279,-96.596061,315th St/480th Ave
185,42.521420,-96.491157,Riverside Ln/Marie Ave
216,42.691427,-96.695986,Main St
185,42.649479,-96.636459,/I- 29
813,42.525164,-96.495971,River Dr/N Derby Ln
160,42.487143,-96.491719,Dakota Dunes Blvd/Crooked Tree Ln
216,42.524876,-96.484896,River Rd
185,42.541763,-96.497403,N Derby Ln
160,42.497733,-96.502300,Fawn Hollow
160,43.069529,-96.773680,/3rd Ave
390,42.522123,-96.499224,/I- 29
160,43.075280,-96.775345,Ash St/W Ash St/S 4th St
160,42.846438,-96.795992,I- 29
185,42.499224,-96.506122,W Log Cabin Ln
185,43.077377,-96.773902,3rd Ave/W Birch St/E Birch St
160,43.080389,-96.784347,W Main St/S 11th St
160,42.779215,-96.707428,318th St/475th Ave
185,43.081463,-96.796278,/I- 29
246,43.054607,-96.795421,I- 29
185,43.022474,-96.625595,Park Ave
246,42.788456,-96.792713,/I- 29
246,42.674174,-96.669570,R Jones Trl/Jack Nicholas Dr
185,42.681194,-96.676460,E Washington St/S Green St
185,42.685455,-96.679191,N Pinckney St
185,42.528313,-96.482314,/Main St
160,43.083678,-96.800429,297th St
552,42.685733,-96.683623,S Court St/E Main St/N Court St
216,43.078994,-96.787208,/Sunset Dr
160,42.601926,-96.562919,4th St/
160,42.688808,-96.687667,Pleasant St/Harrison St
362,42.498247,-96.488960,Bison Trl/Whitetail Pl
185,42.495414,-96.485984,/Prairie Blvd
160,42.600911,-96.561752,3rd St
246,42.533542,-96.552360,Wynstone Dr/Brookside Dr
246,42.546583,-96.506767,Wycoff Dr/S Frontage Rd
160,42.496911,-96.494583,Meadows Blvd/Prairie Bend/Wind Flower Bend
276,42.534237,-96.504455,Lakeview Ct/Lakeshore Dr
185,42.600407,-96.570545,I- 29
160,42.680956,-96.681373,Walnut St/E Jefferson St
160,43.014662,-96.795631,I- 29
160,43.020147,-96.629539,Dakota St/E First St
185,43.083678,-96.776355,297th St
216,42.605067,-96.564318,/330th St
276,42.788231,-96.792481,/I- 29
160,43.079533,-96.771110,E Oak St/S 1st St
246,42.537546,-96.500755,S Frontage Rd
160,42.487927,-96.499142,Firethorn Trl
185,42.783110,-96.782171,318th St
185,42.489738,-96.493136,Crooked Tree Ln
334,42.540328,-96.501953,Alcoma Dr/S Frontage Rd
185,42.664027,-96.657086,326th St
305,42.507145,-96.486660,S Derby Ln
185,42.626376,-96.532271,Co Rd 7
499,42.524651,-96.498617,/River Dr
276,42.488355,-96.486526,N Royal Troon
160,43.011254,-96.559715,/302nd St
160,43.025823,-96.633428,W 6th St
160,43.024751,-96.632469,W 5th St/Broad St
160,42.686805,-96.678062,Pinckney St/E Rose St
246,42.677378,-96.685461,E Lexington St
185,42.509880,-96.514259,W Flurie Rd
276,42.535953,-96.503462,Lakeview Dr/Lakeview Pl
185,42.605032,-96.562889,330th St/N Railroad Ave
160,42.968441,-96.794912,I- 29
216,42.521671,-96.497291,/S Derby Ln
160,42.496399,-96.495666,/Wind Flower Bend
160,42.939037,-96.783055,/307th St
216,42.601838,-96.561744,Division St
185,42.688414,-96.683029,W Twin St/N Douglas St/E Twin St
185,42.605005,-96.562019,Main St/330th St
160,43.020084,-96.630971,Iowa St
185,42.605093,-96.565513,Division St/330th St
160,42.851783,-96.722854,319th St/474th Ave
334,42.539717,-96.501617,/S Frontage Rd
246,42.849019,-96.796021,I- 29
160,42.694282,-96.697614,/I- 29
579,42.524835,-96.488350,/Parkside Ave
160,42.683120,-96.677970,S Elm St/E Main St/Elm St
216,42.783553,-96.782732,318th St
160,43.021608,-96.632454,Broad St/W Second St
736,42.504791,-96.494735,Tower Rd
472,42.524246,-96.479949,Military Rd
185,43.078360,-96.779785,S 7th St/W Elm St
445,42.504876,-96.490331,Two Rivers Dr/Dakota Dunes Blvd/I- 29
160,42.761590,-96.673127,State Hwy 50
418,43.083687,-96.793313,297th St
185,42.575487,-96.536415,I- 29
185,42.522963,-96.492462,Campbell Dr
276,42.495198,-96.501714,Bluestem Trl
160,42.547581,-96.550888,334th St/N Shore Dr
276,43.069171,-96.795853,298th St/I- 29
216,42.682554,-96.675361,/Green St
362,42.505806,-96.484771,Oak Tree Ln
185,43.079405,-96.778427,W Oak St/S 6th St
185,42.786113,-96.806443,State Hwy 50/470th Ave
334,42.506595,-96.486114,S Derby Ln/Two Rivers Dr
390,42.688202,-96.686363,N Jackson St/Jackson St/W Pleasant St
185,42.529767,-96.499361,/I- 29
185,42.600283,-96.557433,1st St/N Railroad Ave
216,43.080358,-96.786247,SW 13th St/NW 13th St/W Main St
160,42.683038,-96.690170,S Franklin St
216,42.498554,-96.498291,Sagebrush Pass
185,42.499064,-96.476577,Oak Tree Ln
160,43.072564,-96.786087,SW 13th St/Augusta Dr
185,42.690458,-96.697313,/I- 29
185,43.076352,-96.775398,S 4th St/W Maple St
160,42.486115,-96.480690,E Sawgrass Trl
