Estimated daily crossings,Latitude,Longitude,Name
185,42.884565,-97.412792,Dakota St/16th St
246,42.873631,-97.414146,West St
160,42.876328,-97.380458,E 8th St
160,42.900269,-97.390213,Ella Ln
185,42.864250,-97.393964,US Hwy 81
216,42.883388,-97.403414,W 15th St/Maple St
216,42.880592,-97.494552,Portside Ln/Starboard St
160,42.952451,-97.318271,444th Ave/Co Rd
684,42.872747,-97.409016,W 5th St
418,42.877393,-97.396749,Broadway St/W 9th St
185,42.887104,-97.415168,W 19th St/West St
216,42.867701,-97.387431,Levee St/Park Dr/Mulberry St
185,42.879467,-97.363251,Marsh Rd/State Hwy 50
160,42.908904,-97.395580,Piper St/E 31st St
160,42.879812,-97.327589,Belair Rd/State Hwy 50
160,42.904134,-97.381731,Kentucky Ave
246,42.870963,-97.384379,Picotte St/E 4th St
788,42.884339,-97.399731,W 16th St/Locust St
185,42.895104,-97.387096,Mulberry St/Valley Dr
160,42.879854,-97.296326,/Mulligan Ln
160,42.881608,-97.240082,311th St/448th Ave
160,42.908701,-97.553388,State Hwy 50
160,42.877538,-97.415513,West St/W 9th St
185,42.879791,-97.377841,Whiting Dr/E 11th St
185,42.897967,-97.390248,Capital St/E 25th St
185,42.872441,-97.393730,W 5th St/Walnut St
185,42.885381,-97.368755,Whiting Dr
160,42.869056,-97.458526,Gary Ave/Sid St
216,42.889360,-97.172422,Meckling St/Washington St
185,42.877746,-97.395247,Cedar St/W 8th St
185,42.877576,-97.377280,Birch Rd/Peninah St
160,42.882563,-97.371093,Ash St
276,42.886374,-97.382095,E 18th St/Burleigh St
160,42.992332,-97.398626,US Hwy 81
305,42.869891,-97.398573,Linn St/W 3rd St
216,42.896557,-97.387109,Bunker Ln/Mulberry St
216,42.897956,-97.402231,W 25th St
305,42.880340,-97.367388,Gehl Dr
362,42.878853,-97.341659,Country View Ave/Greenbriar St
362,42.877569,-97.407312,W 9th St/Summit St
216,42.885427,-97.412877,W 17th St/Dakota St
160,42.908819,-97.407522,31st St
216,42.887076,-97.388302,E 19th St/College St
160,42.878999,-97.385689,Pearl St/E 10th St
216,42.879232,-97.378672,Whiting Dr/Willow Ln
246,42.871110,-97.407307,W 4th St
185,42.891397,-97.172498,/Washington St
160,43.021666,-97.398694,US Hwy 81
160,42.887704,-97.170893,Mc Cook St/Iverson St
305,42.895108,-97.388584,Valley Dr
160,42.879584,-97.337970,E Side Dr
160,42.957022,-97.180787,Lincoln Ave
499,42.878941,-97.396720,Broadway St/W 10th St
246,42.904820,-97.387776,Lakeview Dr/29th St
658,42.878319,-97.364473,Bramble Rd
216,42.908897,-97.397409,Broadway St/31st St/E 31st St
160,42.881044,-97.398510,W 11th St
216,42.883466,-97.379751,Jolane Dr/E 15th St
276,42.901549,-97.397679,Broadway St/W 27th St
160,42.905257,-97.377340,Peninah St
185,42.890647,-97.404818,W 21st St
160,42.873579,-97.377878,E 7th St/State Hwy 50
160,42.877693,-97.391927,E 9th St/Douglas Ave/W 9th St
246,42.923463,-97.281122,/3rd St
246,42.873786,-97.397029,Broadway St/W 6th St
246,42.876887,-97.391916,Douglas Ave
185,42.879769,-97.351665,/State Hwy 50
160,42.881320,-97.220274,311th St/449th Ave
276,42.876178,-97.408682,W 8th St/Belfast St
160,43.082595,-97.396989,/297th St
160,42.883733,-97.379795,Jolane Dr/Jo Ln
160,42.909341,-97.208956,309th St
216,42.905592,-97.407837,Mulligan Dr/Abbott Dr
160,42.888003,-97.382092,E 20th St/Burleigh St
216,42.877545,-97.411310,W 9th St/Redmond St
891,42.871124,-97.396993,W 4th St/Broadway St
185,42.892424,-97.394656,Cedar St/W 22nd St
160,42.905696,-97.417105,439th Ave/Benedict Dr
160,42.878950,-97.382675,E 10th St/Burleigh St
160,42.874352,-97.495753,State Hwy 52/Shore Dr
160,42.894306,-97.405977,Shurlock St/W 23rd St
160,42.868820,-97.401824,Green St/W 2nd St
160,42.880516,-97.160670,452nd Ave
185,42.905078,-97.407813,Mulligan Dr
276,42.875083,-97.396790,Broadway St/W 7th St
246,42.880948,-97.371670,National St
160,42.859978,-97.456419,Tootys Ave/S Deer Blvd
216,42.879795,-97.404828,W 11th St/Spruce St
185,42.908859,-97.512806,Homestead Ln/State Hwy 50
472,42.893202,-97.173857,Raider Ave
185,42.908796,-97.413234,Adkins Dr/31st St
216,42.905643,-97.389283,Julie St/Francis St
216,42.891725,-97.391228,James Pl/Murphy Ln
160,42.881474,-97.417095,W City Limits Rd/W 12th St
160,42.874643,-97.494747,435th Ave/Lake St
216,42.887089,-97.379700,E 19th St/Robert St
160,42.866670,-97.216758,312th St
216,42.867022,-97.386725,/Park Dr
305,42.904835,-97.397654,W 29th St/Broadway St
160,42.895213,-97.406000,Shurlock St
160,42.877736,-97.394279,W 9th St
246,42.873410,-97.413416,West St
160,42.881935,-97.240084,311th St/448th Ave
390,42.873841,-97.407433,Summit St/Spruce St
160,42.873709,-97.388972,Pine St/E 6th St
160,42.981173,-97.396340,304th St
276,42.882561,-97.401176,W 12th St
216,42.901634,-97.391277,Anna St/Mary St
185,43.082722,-97.160550,S Till Ave
185,42.904521,-97.407822,Mulligan Dr/Dunham Dr
276,42.890641,-97.391970,Douglas Ave/W 21st St/E 21st St
185,42.904606,-97.410933,Abbott Dr/Adkins Dr
160,42.879773,-97.349608,State Hwy 50
185,42.872866,-97.496496,/Shore Dr
185,42.887076,-97.389481,Pine St/E 19th St
418,42.872470,-97.397014,W 5th St/Broadway St
185,42.882562,-97.373660,Whiting Dr/E 14th St
216,42.875272,-97.407407,Park Dr/Summit St
216,42.871522,-97.405473,Park St/Summit St
246,42.888885,-97.391991,W 20th St/Douglas Ave
