Estimated daily crossings,Latitude,Longitude,Name
216,36.156826,-82.827411,W Bernard Ave/E McKee St
160,36.140900,-82.952621,W Old Kentucky Rd/Shackleford Rd
185,36.133327,-82.858597,Cindy Dr
216,36.180124,-82.813681,/E Andrew Johnson Hwy
185,36.221596,-83.028976,Gap Creek Rd/N Mohawk Rd/W Andrew Johnson Hwy
246,36.172449,-82.886613,Pruitt Rd/US Hwy 11E/W Andrew Johnson Hwy
305,36.310518,-82.854948,I 81
216,36.188717,-82.979356,Main St/W Andrew Johnson Hwy
185,36.130229,-82.854857,Asheville Hwy/Bellwood Ln
160,36.096422,-82.854705,E Allen's Bridge Rd/Meadow Creek Rd
185,36.194653,-82.802982,Centennial Ln/Kingsport Hwy
160,36.169089,-82.827548,US Hwy 321/N Main St
160,36.169697,-82.762016,Central St/Shiloh Rd
160,36.164150,-82.799116,Jenifer St
185,36.293038,-82.890353,Dove Trl
390,36.170502,-82.826544,Doughty Ave/N Main St
185,36.167180,-82.825325,Circle Dr
305,36.168236,-82.817368,Monte Vista Dr
334,36.164814,-82.767914,Belair Dr
160,36.198805,-83.013824,Pottertown Rd
160,36.024200,-82.904838,Cedar Creek Rd
160,36.174346,-82.798815,Circle Heights Dr
305,36.226150,-83.033977,/I 81
305,36.178694,-82.766940,S Rufe Taylor Rd
216,36.187848,-82.743398,Jay Brooks St
160,36.159240,-82.848119,Wesley Ave
160,36.072576,-82.867189,Lakeshore Dr/Asheville Hwy
185,36.262740,-83.007335,Eagle Briar Ln
185,36.166484,-82.792187,Sun Valley Dr
246,36.177791,-82.824475,/US Hwy 11E
246,36.193214,-82.782249,Snapps Ferry Rd
334,36.169610,-82.809249,Apple St/Mason St
185,36.154791,-82.764829,Faith Ct
185,36.160367,-82.842669,Home St/Wesley Ave
160,36.152143,-82.719265,Erwin Hwy/State Hwy 351
185,36.155802,-82.881639,Hal Henard Rd
216,36.167386,-82.794160,Kevin Ln/Lyle Cir
445,36.141840,-82.855266,E Savanna Ct/W Savanna Ct/Reed Ave
216,36.186633,-82.943301,US Hwy 11E
160,36.178515,-82.760155,Larkspur Ln
362,36.162885,-82.830030,E Depot St
160,36.157177,-82.879588,Hal Henard Rd
160,36.181319,-82.747176,Doak St
160,36.180904,-82.784564,Fairgrounds Rd
216,36.188895,-82.960031,Main St/N Spring St
185,36.295607,-82.885468,I- 81
216,36.238300,-83.074280,Stone Mountain Rd/Tom White Hollow Rd/W Andrew Johnson Hwy
160,36.052425,-82.859061,/Asheville Hwy
160,36.151115,-82.715434,Old Jonesboro Rd
334,36.176768,-82.828883,Raymond Rd
160,36.185070,-82.908972,Blue Springs Pkwy
472,36.195010,-82.955904,W School St
185,36.187934,-82.958840,US Hwy 11E
1304,36.225028,-83.045035,Sunrise Church Rd/W Andrew Johnson Hwy
160,36.160319,-82.728859,Erwin Hwy/Moon Creek Rd/Greenwood Rd
160,36.200786,-82.965209,Loblolly Dr/Mountain View Dr
185,36.043905,-82.867155,Cedar Creek Rd/Odell Cir
216,36.171066,-82.876099,/W Andrew Johnson Hwy
216,36.229274,-82.668399,E Andrew Johnson Hwy
185,36.224240,-83.039402,I 81/W Andrew Johnson Hwy
160,36.249701,-82.663974,/Trent Rd/Old Stage Rd
276,36.174423,-82.801369,Woodlawn Dr/Morningside Dr
160,36.171108,-82.978073,/McMillan Rd
246,36.131153,-82.854134,Asheville Hwy
185,36.175381,-82.852493,Lonesome Pine Trl
185,36.145763,-82.866407,Pelican Ln
276,36.344430,-82.787261,I- 81
160,36.148850,-82.689960,Limestone Trl
160,36.153314,-82.885341,Hal Henard Rd
160,36.156853,-82.784626,Holly Creek Rd
160,36.183243,-82.899041,/Blue Springs Pkwy
216,36.187284,-82.943226,Woodbury Dr
334,36.170733,-82.803043,Tusculum Blvd/Forest Hills Dr
246,36.187820,-82.959821,US Hwy 11E
418,36.178932,-82.820930,US Hwy 11E/State Hwy 93
185,36.178981,-82.794793,Bob Smith Blvd
185,36.200549,-82.778483,Campbell Rd
276,36.174166,-82.835745,US Hwy 11E
160,36.234277,-82.835412,Lobo Ln
185,36.186396,-82.941082,US Hwy 11E
472,36.176734,-82.797575,US Hwy 11E
334,36.188341,-82.957657,Railroad St/Dulaney Rd/W Andrew Johnson Hwy
160,36.209873,-82.775458,Cimarron Trl
216,36.114874,-82.868082,Hixon Cir/Hackberry St
445,36.186284,-82.974942,W Greene Dr
185,36.185903,-82.937475,/US Hwy 11E
445,36.164358,-82.838164,Davis St/W Summer St
276,36.144398,-82.848122,Asheville Hwy/Idletime Dr
658,36.165836,-82.827507,Palmer St/N College St
160,36.050305,-82.766330,Greene Mountain Rd/Camp Joshua Ln
246,36.199028,-82.721642,/US Hwy 11E
684,36.176896,-82.798468,/E Andrew Johnson Hwy
160,36.199410,-82.947085,Brown Springs Rd
631,36.170032,-82.804916,Tusculum Blvd
160,36.174975,-82.917900,US Hwy 11E
276,36.141370,-82.854191,Wilson Dr
185,36.036197,-82.943554,/Church Hill Rd
160,36.169457,-82.827268,Montford Ave/N Main St
246,36.180054,-82.820563,Kingsport Hwy
160,36.201275,-83.032718,Moonlight Ct/Stargazer Dr
160,36.155631,-82.826030,Leming St
216,36.330375,-82.821173,I- 81
216,36.158573,-82.837761,Aspen St/W Main St
305,36.161507,-82.801437,Mount Bethel Rd/Sun Valley Dr
246,36.251921,-82.668271,Chandler Rd
246,36.337814,-82.804371,Service Rd
246,36.197202,-82.946716,/Blue Springs Pkwy
216,36.172582,-82.860901,Blue Springs Pkwy
216,36.158834,-82.829619,W Milligan Dr/S Unaka St
305,36.230703,-83.022959,I- 81/I 81
160,36.193868,-82.784102,Bolton Rd
276,36.244452,-82.982042,I 81
362,36.171231,-82.807312,Timbers Trl
216,36.215748,-83.065905,Rest Area
160,36.148789,-82.856993,W Main St
160,36.023972,-82.903208,Cedar Creek Rd
216,36.390980,-82.657602,/I- 81
185,36.351460,-82.765254,Service Rd
160,36.175866,-83.097082,McDonald Rd
185,36.166950,-82.785339,/Old Shiloh Rd
216,36.163177,-82.804932,Stansberry Cir
246,36.278354,-82.914457,/Flatwoods Rd
305,36.166073,-82.817230,Juniper St/Sevier Ave
185,36.164009,-82.963262,Valleydale Rd/Shackleford Rd
658,36.176933,-82.794633,US Hwy 11E/Justice Dr
216,36.277423,-82.914127,I 81
246,36.159779,-82.811881,/Burkey Ln
160,36.178993,-82.803902,Piggyback Ln
276,36.192715,-82.782869,Bolton Rd/Snapps Ferry Rd
160,36.275119,-82.815094,/Van Hill Rd
185,36.170530,-82.858088,US Hwy 11E Bus
160,36.195343,-82.950640,Dogwood St/Main St
891,36.174278,-82.759720,/Shiloh Rd
631,36.223511,-83.045840,Speedway Ln
305,36.151440,-82.836736,Lynn Ave/Crescent St
216,36.172487,-82.844928,US Hwy 11E/W Church St
185,36.163275,-83.083150,Concord Rd
160,36.096528,-82.973103,Bright Hope Rd
160,36.172753,-82.825298,N Hill St/N Main St
246,36.161036,-82.841903,W Floral St/Anderson St
216,36.183544,-82.973180,W Greene Dr/Midway Rd
160,36.227399,-82.901917,/Rogersville Rd
160,36.169887,-82.928459,Raders Sidetrack Rd
216,36.147250,-82.701115,Tabernacle Rd/Keller Rd
160,36.195988,-82.953612,Rolling St/7th St
185,36.106074,-82.771798,Old Jonesboro Rd/Greystone Rd/Jones Bridge Rd
160,36.161295,-82.839442,Davis St/Wesley Ave
160,36.183668,-82.891560,Guinn Dr
185,36.176977,-82.850081,Powell St
185,36.223403,-82.698412,/E Andrew Johnson Hwy
276,36.192591,-82.783022,Snapps Ferry Rd
552,36.167477,-82.811508,E Bernard Ave
160,36.140727,-82.821898,Whispering Ridges Rd
305,36.353326,-82.754219,I- 81
160,36.171381,-82.790457,Old Shiloh Rd
160,36.140862,-82.783859,J Mell Johnson Rd/Buckingham Rd
362,36.177621,-82.789829,E Andrew Johnson Hwy
276,36.185931,-82.936015,W Andrew Johnson Hwy
160,36.193937,-82.792947,Kiser Blvd
185,36.186146,-82.937455,/W Andrew Johnson Hwy
160,36.316314,-82.832166,Boulder Loop/Van Hill Rd
185,36.178253,-82.823040,/US Hwy 11E
160,36.191462,-82.986599,W Hills Dr/W Andrew Johnson Hwy
246,36.170082,-82.826172,N Main Exn
216,36.177581,-82.826613,Windy Hill
185,36.159982,-82.830899,S College St/E McKee St
246,36.181411,-82.927077,/W Andrew Johnson Hwy
160,36.194032,-82.792219,Delwood Cir/Kiser Blvd
185,36.189652,-82.982544,US Hwy 11E
185,36.176150,-82.919668,US Hwy 11E
216,36.403601,-82.630235,I- 81
160,36.158028,-82.837593,Carson St/Aspen St
160,36.183478,-82.741535,Lakeview Dr E/E Main St/Lakeview Dr W
185,36.182943,-82.734198,Edens Rd
216,36.191672,-82.987837,US Hwy 11E
185,36.190426,-82.785869,Kiser Blvd/Snapps Ferry Rd
334,36.200623,-83.124060,I 81
160,36.225436,-82.926305,/Brown Springs Rd
246,36.173014,-82.766158,Easy St
246,36.183846,-82.785089,Fairgrounds Rd
216,36.166416,-82.843987,N Sunset St/W Summer St
185,36.172185,-82.736969,Capri Dr
246,36.162912,-82.805994,Elgin St/Alderman Dr
185,36.152794,-82.797081,Buckingham Rd/Skyway Ln
160,36.217118,-83.022599,US Hwy 11E
305,36.185838,-82.935436,W Andrew Johnson Hwy
185,36.197041,-82.952174,Dogwood St/Myers Cir
185,36.188074,-82.954802,/US Hwy 11E
160,36.113332,-82.707587,Seaton Rd/J R Gray Rd
160,36.175002,-82.852238,Lonesome Pine Trl
185,36.109561,-82.763082,Old Jonesboro Rd
216,36.171493,-82.877677,W Andrew Johnson Hwy
305,36.172993,-82.804848,Woodlawn Dr/Forest Hills Dr
185,36.207207,-83.087600,Mount Hope Rd/I 81
276,36.192774,-82.782648,Crumb Rd
185,36.144836,-82.816086,Granite Ln
160,36.231299,-82.950651,/Mount Carmel Rd
160,36.184551,-82.906091,Blue Springs Pkwy
334,36.141340,-82.862205,E Brad St/Strong St
445,36.178508,-82.781542,Haynes Blvd/E Andrew Johnson Hwy
334,36.177381,-82.788792,US Hwy 11E
160,36.117462,-82.860428,Windswept Ln
246,36.163477,-82.841737,Clem St
216,36.157190,-82.826834,W Bernard Ave
160,36.254519,-82.649428,Old Stage Rd
390,36.367143,-82.681424,I 81
246,36.186652,-82.933569,Dodson Pike/Emerald Rd
246,36.225751,-83.036993,I- 81
216,36.167654,-82.836230,S Highland Ave/W Church St
160,36.161168,-82.811984,Hilltop Dr
710,36.177075,-82.794708,Justice Dr/E Andrew Johnson Hwy
276,36.215281,-83.066657,I- 81
418,36.186956,-82.745075,/Ball Rd
276,36.179472,-82.819737,/E Andrew Johnson Hwy
185,36.166192,-82.760171,Shiloh Rd
185,36.223218,-82.698212,E Andrew Johnson Hwy
160,36.200103,-82.946763,Brown Springs Rd
334,36.349478,-82.771859,Service Rd
185,36.174499,-82.901307,Elmer Cox Dr/
160,36.155245,-82.826523,E McKee St
160,36.143997,-82.818802,Patricia Ln/Jones Bridge Rd
185,36.152437,-82.796855,Buckingham Rd/Buckingham Ct
246,36.355009,-82.723072,I 81
160,36.177232,-82.780510,Moore Ave/Doak Dr
216,36.279346,-82.910355,I 81
160,36.172340,-82.883560,US Hwy 11E/Pruitt Rd S/W Andrew Johnson Hwy/N Pruitt Ln
246,36.325635,-82.824558,Lonestar Rd/Main St
160,36.175499,-82.918677,US Hwy 11E
418,36.223374,-83.035358,Idell Rd/W Andrew Johnson Hwy
418,36.179061,-82.776819,US Hwy 11E/E Andrew Johnson Hwy
160,36.261293,-82.944693,Wells Hill Ln
276,36.167931,-82.824211,Kenwood Dr
185,36.222302,-83.039007,Idell Rd
246,36.354141,-82.741174,I 81
216,36.217163,-83.062660,Phillipi Rd/Barger Ln
185,36.156257,-82.798473,Buckingham Rd
185,36.209807,-83.014070,/W Andrew Johnson Hwy
160,36.181530,-82.741539,E Main St/Lakeview Dr W
216,36.204913,-83.101984,Potter Creek Loop/Potter Creek Ln
160,36.287320,-82.813702,Gatewood Rd/Melody Rd/Van Hill Rd
362,36.200978,-83.123978,I- 81
276,36.203405,-83.002052,Blue Springs Pkwy/W Andrew Johnson Hwy
185,36.126110,-82.858088,Wayland Dr/Asheville Hwy
160,36.170223,-82.837105,Locust St/Black Oak St
160,36.244598,-82.921699,Rogersville Rd
160,36.172111,-82.835339,Pine St
185,36.345151,-82.784104,I 81
