Estimated daily crossings,Latitude,Longitude,Name
246,36.268398,-89.488195,Kimberly Cove
185,36.260669,-89.485247,/Murdock Cv
445,36.373351,-89.480352,Walnut St
185,36.320224,-89.533222,Eddlemon Rd
276,36.374613,-89.476596,Berry Ln
160,36.358184,-89.429744,Edgewater Loop/State Hwy 21
216,36.269058,-89.487467,Hardison St/N Main St
160,36.281843,-89.466240,Madie Thompson Rd
472,36.373159,-89.480334,Walnut St
390,36.264204,-89.483700,Lake St/S Church St/Church St
185,36.267555,-89.484863,Bishop St
185,36.358888,-89.469141,Oak Ln
276,36.374956,-89.482057,Poplar St/Tulip St
160,36.400584,-89.475006,Parks Rd
160,36.322444,-89.541268,Sheep Ridge Rd/Tiptonville-Obion Levee Rd
160,36.259734,-89.518164,Levee Rd
216,36.268956,-89.479808,Hardison St/
160,36.377929,-89.444566,Church St
185,36.380403,-89.475413,Cedar St/Lake St
185,36.266274,-89.479763,/Madie St
216,36.259627,-89.482855,Dillard St/Wyatt St
305,36.265074,-89.487487,/King St Exd/N Main St
160,36.321571,-89.474497,State Hwy 78
418,36.264010,-89.483697,Lake St/S Church St
362,36.372668,-89.479774,Andy Cv
185,36.363139,-89.433473,Lovell Rd/State Hwy 21
185,36.376252,-89.486129,Wynn St/S Main St
276,36.376583,-89.466432,Carl Perkins Pkwy
160,36.381506,-89.466047,Parks Robinson Dr/Kentucky St
390,36.362465,-89.433110,State Hwy 21
305,36.379093,-89.463344,Martin Dr/Ashby Dr
160,36.381909,-89.471287,McBride St
276,36.369715,-89.468415,State Hwy 78
334,36.373851,-89.479185,Foster St/Moss St
185,36.365610,-89.433519,Leduke Exd/State Hwy 21
185,36.377257,-89.476863,School St/Cherry St
305,36.377382,-89.486101,S Main St/Haynes St
216,36.371953,-89.479799,Scott Cv
160,36.366992,-89.501339,Mooring Rd//Elm St
185,36.372817,-89.476922,Headden Dr/Cherry St
216,36.374484,-89.470339,Sherrell Dr
160,36.334296,-89.428361,Owl City Rd/Tom Mitchell Rd
362,36.372655,-89.479218,Emmitt Lewis Cir/Andy Cv/Moss St
160,36.267473,-89.479786,North St/
472,36.371675,-89.472707,Dixon St/Michael St
216,36.270105,-89.481494,Maze Rd/Bedford Forrest Dr
185,36.378235,-89.476842,Church St/Cherry St
