Estimated daily crossings,Latitude,Longitude,Name
160,35.577465,-87.248288,/Roy Thompson Rd/McAnally Rd
160,35.603209,-87.038875,W 15th St/S High St
185,35.551731,-87.208860,S Cross Bridges Rd/US Hwy 43
418,35.636601,-86.965924,Wilderness Trl
276,35.738831,-86.897146,Queens's Ct
390,35.652513,-87.014646,Carol Dr
246,35.572988,-87.143549,Polk Arms Driveway
160,35.586926,-87.095066,Stockton Dr
418,35.599555,-87.047286,Thompson Dr/Pickens Ln
246,35.609963,-87.024160,Midway Ave/N Jackson St
216,35.545370,-87.200721,Gray Ln
160,35.700844,-86.917617,Mahlon Moore Rd
216,35.605471,-87.044111,W 14th St
445,35.636514,-86.993463,Bear Creek Pike/Patterson Dr
216,35.629453,-87.100740,Blue Moon Rd
390,35.517403,-86.895983,/New Lewisburg Hwy/New Bristow Rd
160,35.628465,-87.117187,Bull Run Ct
185,35.609459,-87.028418,/Emanuel St
216,35.722837,-86.885718,Derryberry Rd
362,35.585164,-87.051432,Swift Cove
185,35.474429,-87.047230,/Moore Ln
1097,35.602186,-87.064395,Columbia Byp/Union Pl
631,35.607276,-87.064944,Medical Center Dr
160,35.642650,-87.245584,/Booker Farm Rd
160,35.536901,-87.213906,Hay Long Ave/Summer St
185,35.439417,-87.042300,Pulaski Hwy
160,35.569203,-87.079075,/Stoneybrook Rd
160,35.545230,-86.960540,Old Lewisburg Hwy/Vaughn Rd
160,35.716955,-86.980575,Somerset Dr
526,35.621445,-87.057474,Chickasaw Trl/Sharondale Dr
160,35.446557,-87.041556,Pulaski Hwy/Stiver Rd
216,35.683453,-86.930119,Macbeth Ln/Red Oak Trl
160,35.517894,-87.267874,Joy Rd/Pruitt Hollow Rd
390,35.596293,-87.032019,Polk Dr/Hazel St
160,35.588727,-87.024263,E James Campbell Blvd
185,35.586305,-87.048467,Cord Dr/Denham Ave
160,35.629983,-87.098285,US Hwy 43
160,35.521064,-87.222832,US Hwy 43
160,35.613577,-87.141837,/US Hwy 412
160,35.645796,-86.995634,Rita Ct/Steven Ct
246,35.624845,-87.023023,6th Ave/Fleming St
472,35.619725,-87.082801,Oak Springs Dr/US Hwy 412
160,35.627638,-86.962835,/Grace Dr
185,35.602385,-87.083448,Overlook Pl/Dawn Dr
160,35.629192,-86.877529,William Ln
160,35.673026,-87.009548,Ridgecrest Dr
160,35.713882,-86.924669,Sparrow St/Crane Ct
418,35.530494,-87.209564,Union St/S Main St
246,35.644539,-87.072214,Early Rd/Culver Rd
216,35.552350,-87.043499,/Pulaski Hwy
160,35.571363,-87.327423,Ridge Top Rd
185,35.621990,-87.085850,Twin Lakes Dr/Club House Dr
216,35.626693,-87.113551,Farmington Ct/Sheffield Ln
305,35.580902,-87.083259,Richmond Dr/Lyon St
185,35.803449,-87.088866,Algie Sewell Rd/Old Leipers Creek Rd
160,35.685921,-86.978163,Worker Bee Dr/Bee Hive Dr
472,35.599595,-87.047629,Lynnwood Dr/Pickens Ln
185,35.622741,-87.060464,Shawnee Dr/Chickasaw Trl
185,35.727191,-87.019413,Roy Sellers Rd
