Estimated daily crossings,Latitude,Longitude,Name
185,35.544123,-84.322984,/US Hwy 411
185,35.375665,-84.357916,Shadden Rd
276,35.601572,-84.451389,Young Dr/Heuer St
185,35.558625,-84.406187,Old Hwy 68
185,35.486370,-84.364590,County Farm Rd/State Hwy 68
736,35.545998,-84.320300,/US Hwy 411
334,35.597745,-84.446751,Mahala Rd/Blair Ave
246,35.367201,-84.301726,/State Hwy 68
390,35.652365,-84.462975,I- 75
216,35.575611,-84.486853,Head of Creek Rd
216,35.499768,-84.384916,US Hwy 411
185,35.519883,-84.355682,/Old US Hwy 411
160,35.273543,-84.384324,Jones Rd
246,35.597798,-84.505660,Bilderback Hts/State Hwy 68
160,35.576313,-84.130953,Cooks Hollow Rd
216,35.585133,-84.479858,Old Athens Pike
160,35.520081,-84.348942,/Sunset Dr
160,35.617571,-84.470745,Thompson St
185,35.591476,-84.460194,/Christianburg Rd
216,35.580383,-84.461728,State Hwy 68
246,35.604015,-84.468368,Broad St/N Clark St
160,35.539801,-84.443129,State Hwy 68
185,35.604014,-84.467630,Broad St/Williams St
185,35.497035,-84.353100,Little John Cir/
160,35.622700,-84.453145,Gaut Ave/N Main St
246,35.535372,-84.362518,Hiwassee Rd
276,35.600511,-84.520291,Hansard Hill Rd/Murrays Chapel Rd
185,35.490852,-84.353747,McClellan Rd
160,35.542373,-84.392396,Airport Rd/Rockwell Blvd
160,35.531564,-84.357850,Old Cemetery Rd
185,35.596520,-84.454925,Meadow Ln/Borden St
160,35.544726,-84.344309,Uphill Ln
160,35.579382,-84.428182,/Lees Chapel Rd
160,35.361370,-84.297715,/S Babcock St
305,35.377710,-84.305563,/Bank St
305,35.598922,-84.190815,Brae Ct
185,35.563017,-84.235664,Niwodihi Trl
160,35.617752,-84.471055,Thompson St/Washington Rd/Cedar Valley Rd
160,35.567570,-84.444183,/Kile Rd
185,35.371316,-84.301543,Bank St
246,35.604826,-84.463788,Park St/Chestnut St
246,35.362728,-84.293418,Loomis St/State Hwy 165
160,35.549928,-84.313306,/Prt Dr
216,35.512425,-84.344483,Ballplay Rd
160,35.366077,-84.310619,Mary Hunt Rd
305,35.595693,-84.489844,/Crestview Dr/State Hwy 68
185,35.640516,-84.475294,Ridge Rd/Cedar Valley Rd
160,35.363976,-84.290917,/Herford St
445,35.593296,-84.479967,/Willow Creek Blvd
276,35.541304,-84.330802,/Wayman Rd
390,35.606736,-84.365627,Limestone Dr
605,35.517569,-84.359234,Cook St
160,35.558434,-84.406079,Old Hwy 68
552,35.590657,-84.272010,Excellence Way
216,35.603227,-84.471405,/W Morris St
185,35.588641,-84.477249,/Old Athens Pike
160,35.366871,-84.320793,Mecca Pike/New Providence Rd
216,35.597482,-84.189605,Tanasi Ct
526,35.602164,-84.464339,Miller St/Summit St
334,35.597403,-84.464832,S Main St
334,35.520391,-84.359342,Houston St/Main St
185,35.591266,-84.242278,Church St/Hall St
185,35.373629,-84.304633,Mecca Pike/State Hwy 68
246,35.598847,-84.461292,Gilman St/E Walnut St
185,35.593613,-84.265916,Excellence Way
160,35.654129,-84.339292,/Moat Sewell Rd
185,35.608834,-84.485909,Chestnut St
185,35.612140,-84.489041,Oakland Rd
185,35.538323,-84.365384,Wind Chase Blvd
185,35.445832,-84.435775,Old Federal Rd
246,35.540927,-84.327520,/Stinnett/US Hwy 411
