Estimated daily crossings,Latitude,Longitude,Name
160,35.171580,-87.740103,E Daniel St/State Hwy 13
216,35.324023,-87.755989,/Fairlane Dr/Oran St
160,35.344065,-87.755865,W Mink Branch Rd/Mount Hope Rd
160,35.316661,-87.764847,Morris St
160,35.318855,-87.786886,64 Byp
160,35.176343,-87.736628,Park St/2nd Ave N
160,35.302379,-87.881175,Savannah Hwy
160,35.327587,-87.593396,US Hwy 64/Mrs Gower Rd
160,35.327406,-87.593492,/Mrs Gower Rd
246,35.169020,-87.741482,E James St
160,35.312762,-87.786374,Griggs Rd/Shelton Hollow Rd
246,35.321083,-87.762123,Water St/N Main St
185,35.381096,-87.996107,Vine St/W 2nd St
160,35.381983,-87.992304,Stockade St/Main St
246,35.391998,-87.974448,Riley Rd
160,35.311105,-87.765163,/Copeland St
160,35.173458,-87.735651,Depot St/1st Ave
185,35.311503,-87.771575,Poplar St/Old Hog Creek Rd
160,35.375088,-87.984327,Billy Nance Blvd/Main St/State Hwy 114
185,35.173465,-87.739324,W Wayne St/4th Ave S
160,35.307932,-87.792118,/Savannah Hwy
160,35.324926,-87.764795,Morrow St
185,35.311735,-87.777826,Longvue Dr
185,35.170718,-87.740858,State Hwy 13/E Martin St
246,35.311269,-87.763367,Copeland St/S Main St
160,35.326728,-87.755400,/Hurricane Meadows Dr
160,35.311113,-87.765051,Copeland St
160,35.333606,-87.688664,/Lawrenceburg Hwy
160,35.333563,-87.689171,Lawrenceburg Hwy
246,35.169008,-87.741233,E James St/S Oak St
185,35.323101,-87.753928,Thunderbird Dr
552,35.320185,-87.762268,Hill St/N Main St
160,35.317013,-87.759475,Mariva St
160,35.173152,-87.739344,Railroad St/4th Ave S
246,35.314506,-87.766675,Mc Williams St
246,35.322086,-87.761701,Hazel Dr
160,35.173243,-87.739195,/Depot St
216,35.174347,-87.739209,/4th Ave S/E Broadway St
246,35.310811,-87.763332,S Main St/Lloyd St
160,35.382591,-87.998922,Vine St/College Ave
160,35.116441,-87.756530,Robertson Trl
160,35.296524,-87.762156,Cobb Rd/Edwards Ln
160,35.333116,-87.753981,Betsy Dr
160,35.159825,-87.739301,Hickory Ln
160,35.169667,-87.738169,E Marshall St/3rd Ave S
160,35.319312,-87.765924,Hollis St
246,35.305377,-87.760613,Walnut St/Green River Dr
216,35.322148,-87.759675,Brewer Dr
185,35.217234,-87.719753,/Collinwood Hwy
472,35.320322,-87.763115,/W Public Sq/Hill St
216,35.319222,-87.764518,/Hollis St
160,35.297195,-87.762116,Old Lane Rd/Cobb Rd
160,35.323611,-87.745873,Old Hwy 64 E/Stockard St
160,35.324200,-87.763639,/N High St
160,35.013944,-87.678748,J Roberson Ln
160,35.372208,-87.667879,/Fortyeight Creek Rd
160,35.288781,-87.713526,Fostek Ln
216,35.311911,-87.777809,Longvue Dr/Savannah Hwy
185,35.195854,-87.826194,/Old Dogwood Flats Rd
305,35.312684,-87.766889,Taylor St/Deveros St
160,35.321338,-87.760557,Dexter L Woods Memorial Blvd
160,35.302586,-87.764606,Talmadge Kelly Dr
160,35.160814,-87.734833,Natchez Trace Pkwy
