Estimated daily crossings,Latitude,Longitude,Name
160,28.856107,-98.702728,Corlena Ave/S Edwards Ave
246,29.173297,-98.586971,Palo Alto Dr/Robles Dr
185,29.087175,-98.618716,Price Rd/Ortiz Ln
710,28.967900,-98.478815,Bowen Ave/2nd St
246,28.983704,-98.501339,/Bensdale Rd
390,28.990333,-98.431050,I-37/
246,28.916035,-98.539680,Poplar St/Simmons Ave
334,28.973954,-98.472573,Hwy 97 E/Austin St
605,29.039159,-98.568487,9th St/G Ave
710,28.964405,-98.493936,School St/W Adams St
216,29.234468,-98.799200,Poco St/N Benton St
185,28.914362,-98.287529,Co Rd 419
276,28.963895,-98.484209,E Adams St/W Adams St/N Main St
160,28.857962,-98.698957,Corlena Ave
526,28.921478,-98.547329,Commerce St/Campbell Ave
216,29.127570,-98.495883,Old Pleasanton Rd
185,29.174017,-98.587061,Charm Dr/Moss Rose Dr
246,28.965653,-98.491005,Sunset Dr
788,29.039858,-98.583364,Boyd St/Holly Dr
418,28.963025,-98.484209,Weems St/N Main St
160,29.047549,-98.581539,Pecan St/Joyce Marlene Dr
216,29.152526,-98.590499,Nstate Hwy16/N State Hwy 16
185,29.079578,-98.425831,FM 1784
390,28.925171,-98.551597,Willow St/Zanderson Ave
185,28.758189,-98.297957,FM 791/I- 37
246,29.073031,-98.488475,5th St/Oak St
710,28.957727,-98.492830,Greenlawn Ave/Hillcrest Dr
305,29.159320,-98.591328,Royal Oaks Rd/
185,28.935304,-98.559226,Bluewind/Spr 162
276,28.861377,-98.708641,St Louis Ave/Rodriquez Ave
216,28.851555,-98.699834,/S Edwards Ave
160,29.175574,-98.590220,Blue Lilly Dr/Wise Owl Dr
445,28.861337,-98.703460,Rose Blvd/Lee Ave
185,28.961275,-98.566141,/Old Pearsall Rd
276,29.070434,-98.593259,Bluewind
185,29.046409,-98.485458,US Hwy 281
160,29.105896,-98.431310,/FM 536
418,28.923814,-98.537137,Oak St
216,28.758474,-98.297704,/FM 791/I- 37
160,28.925070,-98.536904,Pleasonton Ave
160,29.235293,-98.804679,/FM 2790
160,29.123149,-98.484487,Espey Rd/US Hwy 281
305,28.784171,-98.319836,I-37 S
246,28.909573,-98.550131,Poplar St/
216,28.924389,-98.537892,A St
160,28.979199,-98.507240,Crestline Dr
185,28.971962,-98.470540,7th St/Commerce St
390,28.941500,-98.510844,/Hwy 97 W
305,28.953589,-98.506153,Sandy Ln/Oakhaven Rd
185,29.230278,-98.751578,Laura Lee Ln/Allen Ave
185,28.967888,-98.492370,N Bryant St
185,29.159232,-98.601985,Royal Oaks Rd/Bocawood Dr
390,29.052601,-98.432280,I- 37
276,29.068666,-98.487818,Willow St/W 9th St
160,28.862110,-98.715356,Marshall Ave/Palm
160,29.010112,-98.410193,Parkfield/Westfield Dr
418,28.952212,-98.506134,Kimberly Cir/Oakhaven Rd
160,29.118430,-98.595265,Longhorn Rd
684,28.919619,-98.544115,Brown Ave/Oak St
160,29.003172,-98.477970,2nd St
160,28.977932,-98.516260,Crestline Dr
276,29.088791,-98.621909,Ortiz Ln
216,28.953844,-98.483110,Cemetary Rd
917,28.957113,-98.487552,W Oaklawn Rd//Preston St
658,28.961913,-98.491166,Murray Dr/Sutton St
