Estimated daily crossings,Latitude,Longitude,Name
160,34.544388,-102.318001,W Cleveland St/SW 5th St
216,34.552154,-102.320684,NW 7th St/Etter St
552,34.555353,-102.312349,N Broadway/E Halsell St
246,34.553213,-102.313725,NW 2nd St/Andrews St
160,34.738373,-102.508185,US Hwy 60
185,34.735764,-102.513004,FM 1057/US Hwy 60
160,34.544489,-102.330884,Western Cir
216,34.547566,-102.312385,US Hwy 385/E Stinson St
160,34.549005,-102.295660,State Hwy 86
185,34.542242,-102.319867,South St/Front St
216,34.555250,-102.305539,NE 6th St/E Halsell St
305,34.555591,-102.316586,W Halsell St
160,34.552088,-102.308081,E Etter St
160,34.391552,-102.124320,Ave A
185,34.555334,-102.311127,/E Halsell St
185,34.547596,-102.313896,Stinson St/SW 2nd St
216,34.551093,-102.319728,W Bedford St/Front St
246,34.555605,-102.318299,W Halsell St
160,34.382244,-102.109510,Ave J/2nd St
305,34.553801,-102.326746,NW 12th St
216,34.380111,-102.109629,Railroad Ave/2nd St
160,34.547758,-102.303201,Rodeo Rd/
276,34.548220,-102.312508,S Broadway/US Hwy 385
160,34.543571,-102.308216,US Hwy 385
160,34.550028,-102.323573,SW 9th St/Jones St
185,34.538694,-102.092017,State Hwy 86
160,34.549055,-102.328154,W Bedford St/Western Cir
160,34.638561,-102.311658,/US Hwy 385
216,34.555146,-102.321830,Allen St/NW 8th St
160,34.550874,-102.308076,E Bedford St
246,34.555315,-102.309549,E Halsell St/NE 3rd St
160,34.545384,-102.312611,E Grant St/W Grant St/S Broadway
160,34.546492,-102.312571,S Broadway/Lee St
185,34.550061,-102.326473,NW 12th St/W Bedford St
160,34.540323,-102.334008,W 16th St
246,34.547652,-102.316561,Stinson St/SW 4th St
276,34.543790,-102.324093,Maple St
160,34.549707,-102.307937,E Jones St
418,34.554189,-102.325057,/W Dulin St
246,34.548160,-102.293327,State Hwy 86/Co Rd 514A
246,34.548704,-102.313877,SW 2nd St/Belsher St
160,34.544426,-102.319837,W Cleveland St/Front St
185,34.387325,-102.118339,Ave E/Railroad Ave
185,34.544076,-102.309842,SE 3rd St
185,34.481877,-102.233754,Co Rd 619/State Hwy 194
160,34.409631,-102.146581,/State Hwy 194
185,34.554326,-102.315037,NW 3rd St/W Dulin St
334,34.549910,-102.317805,Jones St/SW 5th St
160,34.388302,-102.112552,4th St/Ave D
185,34.549257,-102.327818,W Bedford St
160,34.549713,-102.308405,SE 4th St/E Jones St
160,34.698153,-102.008635,/Co Rd 530C
160,34.569213,-102.313035,US Hwy 385
246,34.552176,-102.323069,NW 9th St/Etter St
185,34.555301,-102.308221,E Halsell St/NE 4th St
160,34.547620,-102.315227,Stinson St/SW 3rd St
276,34.548889,-102.321041,/SW 7th St/Belsher St
246,34.555557,-102.313660,NW 2nd St/W Halsell St
160,34.551175,-102.324287,/NW 10th St
276,34.545484,-102.317959,W Grant St/SW 5th St
160,34.388998,-102.125553,Brad St
246,34.554396,-102.317684,NW 5th St/W Dulin St
160,34.548595,-102.308430,SE 4th St/E Belsher St
160,34.386635,-102.117481,/7th St/Railroad Ave
185,34.546566,-102.316602,SW 4th St/Lee St
160,34.377717,-102.108133,FM 145/State Hwy 194/Main St
216,34.549543,-102.326654,Bailes St
160,34.546366,-102.307162,SE 5th St/E Lee St
216,34.380615,-102.108952,Ave K
160,34.546480,-102.293329,Co Rd 514A
185,34.556676,-102.316529,Wheat St/Locust St
305,34.551082,-102.319115,SW 6th St/NW 6th St/W Bedford St
160,34.737563,-102.510263,Walnut/US Hwy 60
185,34.554226,-102.309582,NE 3rd St/E Dulin St
185,34.742617,-102.500331,/US Hwy 60
246,34.546755,-102.321071,SW 7th St/W Lee St
362,34.551199,-102.323075,W Bedford/NW 9th St
216,34.363453,-102.085951,/State Hwy 194
185,34.549509,-102.298873,Jones St
185,34.546712,-102.101945,2nd St
246,34.542808,-102.319856,Oak St/Front St
160,34.386231,-102.112580,4th St/Ave F
362,34.551122,-102.323076,NW 9th St/W Bedford St
418,34.548741,-102.315752,Belsher St
160,34.391358,-102.109352,Ave A/2nd St
160,34.388969,-102.124490,Jd St
246,34.545293,-102.327157,SW 12th St
160,34.550631,-102.325372,W Bedford St/Howe St
160,34.631900,-102.311785,US Hwy 385
362,34.552171,-102.321878,Etter St/NW 8th St
160,34.541951,-102.325214,Pine St/SW 10th St
160,34.541376,-102.327218,SW 12th St/Butler Blvd
246,34.555337,-102.311315,/E Halsell St
216,34.557698,-102.314927,Wheat St/NW 3rd St
246,34.545379,-102.327255,Western Cir
160,34.554148,-102.321848,NW 8th St/W Dulin St
472,34.548755,-102.316514,SW 4th St/Belsher St
390,34.548806,-102.319174,SW 6th St/Belsher St
216,34.549983,-102.321027,SW 7th St/Jones St
160,34.391559,-102.124784,State Hwy 194/Ave A
216,34.547572,-102.312531,Stinson St/S Broadway/E Stinson St
185,34.546616,-102.319238,SW 6th St/Lee St
185,34.343512,-102.038478,/Co Rd 529
160,34.550880,-102.308343,SE 4th St/E Bedford St
185,34.555615,-102.318634,NW 5th St/W Halsell St
160,34.547541,-102.311134,SE 2nd St/E Stinson St
276,34.553112,-102.326761,NW 12th St/W Andrews St
216,34.544943,-102.327516,Western Cir/Cleveland St
160,34.552217,-102.325072,Etter St
160,34.543843,-102.327187,SW 12th St/Maple St
160,34.390433,-102.117354,Ave B/7th St
185,34.546751,-102.319805,W Lee St/Front St
185,34.343093,-102.038998,/State Hwy 194
160,34.554166,-102.323043,NW 9th St/W Dulin St
160,34.541507,-102.337383,Butler Blvd
185,34.541503,-102.337033,/Butler Blvd
160,34.319875,-102.127694,FM 168/Co Rd 630
185,34.547272,-102.312267,US Hwy 385
216,34.553236,-102.315066,Andrews St/NW 3rd St
246,34.551003,-102.315131,SW 3rd St/NW 3rd St/W Bedford St
160,34.739882,-102.505980,/US Hwy 60
276,34.551056,-102.317788,NW 5th St/W Bedford St/SW 5th St
276,34.539837,-102.105714,FM 168
185,34.734809,-102.513024,FM 1057/US Hwy 60
160,34.635392,-102.311722,US Hwy 385
185,34.342871,-102.038489,State Hwy 194/Co Rd 529
160,34.545351,-102.311209,E Grant St/SE 2nd St
445,34.548781,-102.317853,Belsher St/SW 5th St
246,34.384537,-102.115850,Broadway
160,34.379330,-102.108653,1st St/Railroad Ave
160,34.542909,-102.105658,FM 168
160,34.554301,-102.313695,NW 2nd St/W Dulin St
160,34.390394,-102.115706,Broadway/Ave B
160,34.558515,-102.321785,Youts/NW 8th St
185,34.554119,-102.320653,NW 7th St/W Dulin St
334,34.549885,-102.316484,SW 4th St/Jones St
305,34.549872,-102.315763,Jones St
246,34.545928,-102.101020,N 1st St
185,34.538926,-102.110595,State Hwy 86
160,34.542199,-102.316729,SW 4th St/South St
160,34.549497,-102.299778,Jones St
160,34.553095,-102.306950,NE 5th St/E Andrews St
160,34.547970,-102.285802,/Calvert Dr
276,34.549812,-102.312464,Jones St/S Broadway/E Jones St
276,34.555602,-102.317757,W Halsell St
216,34.545400,-102.101028,St Joseph St/N 1st St
216,34.538919,-102.109998,State Hwy 86
160,34.544188,-102.308544,SE 4th St
160,34.555382,-102.318972,NW 6th St
246,34.555180,-102.324992,Allen St
216,34.540455,-102.335420,Ruskin Circle Dr
246,34.546001,-102.101945,2nd St
160,34.390990,-102.125255,/Brad St
160,34.548222,-102.327093,W Estes St/Western Cir
160,34.664167,-102.319100,/US Hwy 385
185,34.630437,-102.311808,/US Hwy 385
160,34.552097,-102.313762,NW 2nd St/Etter St
160,34.546693,-102.101009,N 1st St
185,34.556610,-102.312718,N Broadway/Locust St
160,34.545382,-102.312513,/E Grant St
160,34.554143,-102.305568,NE 6th St/E Dulin St
160,34.634930,-102.311731,US Hwy 385
185,34.549489,-102.299277,/Jones St
216,34.390458,-102.118962,Ave B/8th St
185,34.547279,-102.312542,S Broadway
276,34.548817,-102.319767,Belsher St/Front St
246,34.538517,-102.105800,FM 168
160,34.378457,-102.108683,1st St
160,34.384578,-102.117481,/State Hwy 194
160,34.545785,-102.325067,SW 10th St/Grant St
246,34.547684,-102.317888,Stinson St/SW 5th St
160,34.552001,-102.306994,NE 5th St/E Etter St
160,34.377728,-102.108689,1st St/Main St
160,34.547239,-102.303219,/Rodeo Rd
246,34.554032,-102.325628,/NW 11th St
160,34.555848,-102.324192,W Halsell St/NW 10th St
160,34.319554,-102.100832,/Co Rd 630
246,34.553105,-102.325634,W Andrews St/NW 11th St
276,34.548866,-102.319766,Front St/Belsher St
334,34.549937,-102.319143,SW 6th St/Jones St
216,34.387309,-102.115771,Ave E/Broadway
246,34.384236,-102.112620,4th St/Ave H
334,34.544342,-102.315340,SW 3rd St/W Cleveland St
160,34.388339,-102.115749,Broadway/Ave D
216,34.384837,-102.115837,Broadway
246,34.553182,-102.323062,W Andrews St/NW 9th St
160,34.540362,-102.230991,State Hwy 86/Co Rd 518
185,34.557837,-102.332588,/Co Rd 512
185,34.551213,-102.324286,W Bedford/NW 10th St
305,34.545434,-102.315302,SW 3rd St/W Grant St
160,34.387284,-102.112570,4th St/Ave E
246,34.385210,-102.112600,4th St/Ave G
276,34.538875,-102.105790,FM 168/State Hwy 86
246,34.555170,-102.324206,Allen St/NW 10th St
246,34.553125,-102.327271,W Andrews St
160,34.540431,-102.334003,W 16th St/Ruskin Cir/Ruskin Circle Dr
276,34.384015,-102.115859,Broadway
160,34.546398,-102.308482,SE 4th St/E Lee St
246,34.543753,-102.319844,Front St/Maple St
276,34.545458,-102.316640,W Grant St/SW 4th St
185,34.537589,-102.101078,/S 1st St
305,34.542857,-102.324234,Oak St
160,34.346994,-102.109246,/Co Rd 525
216,34.555824,-102.322292,W Halsell St
160,34.555651,-102.318963,NW 6th St/W Halsell St
160,34.544210,-102.308997,US Hwy 385
160,34.550971,-102.324291,W Bedford St/NW 10th St
362,34.551123,-102.322253,W Bedford St/SW 8th St
160,34.551986,-102.306334,E Etter St
160,34.550877,-102.308140,E Bedford St
216,34.549861,-102.315160,SW 3rd St/Jones St
185,34.544692,-102.333862,W 16th St/Western Cir
185,34.558048,-102.318602,NW 5th St
362,34.385183,-102.111011,3rd St/Ave G
362,34.555588,-102.316300,NW 4th St/W Halsell St
160,34.436339,-102.107617,/FM 168
362,34.553141,-102.320154,Andrews St
305,34.555556,-102.313474,NW 2nd St/W Halsell St
160,34.543294,-102.318026,W Bean St/SW 5th St
185,34.550014,-102.322284,Jones St/SW 8th St
246,34.543804,-102.325105,SW 10th St/Maple St
160,34.570203,-102.312952,US Hwy 385
185,34.593845,-102.312564,/US Hwy 385
185,34.546828,-102.326992,W Lee St/Western Cir
160,34.736085,-102.512985,FM 1057/US Hwy 60
160,34.554096,-102.319659,W Dulin St
160,34.543168,-102.338793,/W Bedford St
160,34.738902,-102.507795,/US Hwy 60
216,34.543764,-102.321102,SW 7th St/Maple St
216,34.552198,-102.324266,Etter St/NW 10th St
216,34.543110,-102.101065,S 1st St/Binzegger St
185,34.547775,-102.322037,/Stinson St
185,34.543246,-102.315371,SW 3rd St/W Bean St
185,34.387319,-102.117448,Ave E/7th St
185,34.388360,-102.117415,7th St/Ave D
276,34.544808,-102.327168,SW 12th St/W Cleveland St/Cleveland St
160,34.543117,-102.101993,Binzegger St/Sand St/2nd St
160,34.538707,-102.093057,State Hwy 86
160,34.558485,-102.319068,Youts
185,34.385249,-102.115820,Broadway/Ave G/Railroad Ave
185,34.389414,-102.118967,Ave C/8th St
160,34.541976,-102.327206,Pine St/SW 12th St
276,34.384234,-102.111129,3rd St/Ave H
160,34.541905,-102.321111,SW 7th St/Pine St
246,34.383258,-102.115872,Broadway/State Hwy 194
216,34.558502,-102.320579,NW 7th St/Youts
185,34.548630,-102.294621,State Hwy 86
160,34.746140,-102.364340,US Hwy 385
160,34.547820,-102.326908,Stinson St/Western Cir
216,34.549790,-102.326929,W Bedford St/Bailes St
276,34.553165,-102.321865,Andrews St/W Andrews St/NW 8th St
305,34.554176,-102.324226,W Dulin St/NW 10th St
160,34.391340,-102.108416,1st St/Ave A
160,34.542892,-102.327189,SW 12th St/Oak St
160,34.386279,-102.115794,Broadway/Ave F
160,34.628638,-102.405209,/FM 1055
160,34.391553,-102.125250,Brad St/Ave A
160,34.453473,-102.321179,Co Rd 513
160,34.387295,-102.114133,Ave E/5th St
160,34.534528,-102.407099,/FM 1055
276,34.547758,-102.321067,SW 7th St/Stinson St
160,34.568059,-102.313135,US Hwy 385/Co Rd 613
246,34.550964,-102.312430,E Bedford St/N Broadway/S Broadway/W Bedford St
160,34.378576,-102.108680,1st St
216,34.542289,-102.315392,SW 3rd St/South St
185,34.538908,-102.108991,/State Hwy 86
185,34.553185,-102.312360,E Andrews St/Andrews St/N Broadway
185,34.548400,-102.293981,State Hwy 86
185,34.735195,-102.513023,FM 1057
160,34.739668,-102.505793,/US Hwy 60
276,34.551101,-102.323533,SW 9th St/W Bedford St
185,34.742841,-102.500506,US Hwy 60
216,34.548671,-102.312503,E Belsher St/S Broadway/Belsher St
305,34.548730,-102.315192,SW 3rd St/Belsher St
185,34.549448,-102.327498,/W Bedford St
334,34.551029,-102.316458,NW 4th St/SW 4th St/W Bedford St
185,34.544364,-102.316668,SW 4th St/W Cleveland St
334,34.556644,-102.314965,NW 3rd St/Locust St
246,34.545402,-102.101945,St Joseph St/2nd St
160,34.546597,-102.317934,SW 5th St/Lee St
276,34.384448,-102.115849,Broadway
185,34.548693,-102.327676,/Western Cir
305,34.553148,-102.320665,Andrews St/NW 7th St
276,34.538874,-102.105741,FM 168/State Hwy 86
160,34.555167,-102.323023,Allen St/NW 9th St
160,34.737344,-102.510085,Walnut/US Hwy 60
160,34.370743,-102.498625,Co Rd 503/Co Rd 627
160,34.403359,-102.304470,/US Hwy 385
305,34.547716,-102.319205,SW 6th St/Stinson St
160,34.542231,-102.105674,FM 168
160,34.549493,-102.299539,/Jones St
362,34.554278,-102.312326,N Broadway/W Dulin St/E Dulin St
185,34.553196,-102.324245,W Andrews St/NW 10th St
160,34.543781,-102.337219,/W Bedford St
334,34.553312,-102.319044,Andrews St/NW 6th St
526,34.555551,-102.312382,N Broadway/W Halsell St
160,34.549507,-102.300354,Jones St
160,34.541937,-102.324191,Pine St
216,34.555816,-102.321837,NW 8th St/W Halsell St
160,34.712537,-102.324970,/US Hwy 385
185,34.553205,-102.325082,W Andrews St
216,34.380621,-102.109568,Ave K/2nd St
276,34.555602,-102.317654,NW 5th St/W Halsell St
185,34.555134,-102.325621,/NW 11th St
160,34.541159,-102.306583,FM 3215
246,34.543331,-102.319849,W Bean St/Front St
160,34.542843,-102.307337,US Hwy 385
305,34.555571,-102.314983,NW 3rd St/W Halsell St
160,34.553912,-102.319023,NW 6th St
185,34.542868,-102.325203,SW 10th St/Oak St
185,34.556620,-102.313445,NW 2nd St/Locust St
276,34.552209,-102.319079,NW 6th St/Etter St
160,34.378156,-102.108689,State Hwy 194/1st St
160,34.551412,-102.326779,NW 12th St/Howe St
160,34.414325,-102.108008,/FM 168
160,34.390312,-102.108432,1st St/Ave B
276,34.558490,-102.319534,NW 6th St/Youts
160,34.378710,-102.108676,/1st St
185,34.343191,-102.038485,Co Rd 529
160,34.390327,-102.109363,Ave B/2nd St
305,34.547729,-102.319789,Stinson St/Front St
160,34.453471,-102.321094,Co Rd 513
185,34.516161,-102.495702,/Co Rd 617
160,34.377469,-102.108692,1st St
246,34.545809,-102.327146,SW 12th St/Western Cir/Grant St
246,34.549951,-102.319745,Jones St/Front St
160,34.540173,-102.334015,W 16th St
160,34.545893,-102.287092,State Hwy 86
185,34.555221,-102.304219,E Halsell St/NE 7th St
185,34.543321,-102.319344,SW 6th St/W Bean St
160,34.436385,-102.107616,FM 168
160,34.547805,-102.325033,Stinson St/SW 10th St
276,34.542821,-102.321093,SW 7th St/Oak St
334,34.551119,-102.321892,W Bedford St/NW 8th St
160,34.543268,-102.316699,W Bean St/SW 4th St
160,34.544877,-102.309819,US Hwy 385/SE 3rd St
276,34.545738,-102.321082,SW 7th St/Grant St
160,34.742128,-102.504487,7th St
185,34.546623,-102.319806,Front St/Lee St
185,34.553124,-102.308246,E Andrews St/NE 4th St
160,34.546537,-102.315266,SW 3rd St/Lee St
