Estimated daily crossings,Latitude,Longitude,Name
160,33.657379,-101.224636,/US Hwy 82
185,33.675107,-101.378224,Ave M/Railroad Ave
185,33.680505,-101.385453,Ave G
185,33.655975,-101.249059,S Jefferson Ave/W Cedar St
160,33.761913,-101.387707,US Hwy 62/
160,33.668210,-101.534100,Tyler Ave/6th St
160,33.680908,-101.380600,10th St/Ave K
160,33.650932,-101.243083,S Emerald Ave/Fir St
185,33.659999,-101.249808,W Main St
160,33.665798,-101.243081,N Emerald Ave
185,33.665797,-101.242417,W 4th St
160,33.676824,-101.382990,Ave I/6th St
185,33.669280,-101.528250,/5th St
160,33.681910,-101.379397,Ave L/11th St
160,33.681883,-101.381761,11th St/Ave J
160,33.654526,-101.240621,S Crosby Ave/W Dogwood St
160,33.659996,-101.248779,W Main St
160,33.682891,-101.381770,12th St/Ave J
160,33.701954,-101.468295,/Ranch Rd 2236
160,33.687829,-101.383048,Ave I/
160,33.674267,-101.379412,US Hwy 82
160,33.679907,-101.385461,Ave G/Tilford Ave
160,33.652797,-101.243094,S Emerald Ave/W Elm St/Elm St
185,33.669280,-101.527967,Buchanan St/5th St
185,33.658880,-101.241849,S Durham Ave/W Aspen St
160,33.658886,-101.240635,S Crosby Ave/W Aspen St
185,33.678838,-101.380593,Watts Ave/Ave K
160,33.666604,-101.544013,7th//US Hwy 62/Washington
160,33.666782,-101.544275,US Hwy 62 W
160,33.687528,-101.382975,Ave I/17th St
160,33.652925,-101.250424,Co Rd 170/W Elm St
160,33.658883,-101.239348,W Aspen St/S Berkshire Ave
185,33.660061,-101.251277,W Main St/US Hwy 82
185,33.674362,-101.389004,Ave D/US Hwy 82
160,33.471008,-101.101102,Cap Rock Rd
160,33.670710,-101.530401,Fillmore Ave/4th St/Filmore
160,33.652930,-101.251058,Co Rd 170
160,33.665789,-101.240635,W 4th St/N Crosby Ave
160,33.645635,-101.272593,Co Rd 174/Co Rd 187
185,33.682886,-101.381243,12th St
160,33.677831,-101.386619,7th St/Ave F
216,33.666786,-101.535354,7th/US Hwy 62/Harrison Ave/Co Rd 107
185,33.674373,-101.381786,Ave J/US Hwy 82
246,33.687531,-101.377449,17th St
185,33.686555,-101.380580,16th St/Ave K
160,33.685853,-101.380581,15th St/Ave K
305,33.687962,-101.378217,E Oak St
185,33.655980,-101.250233,S Keith Ave/W Cedar St
160,33.679902,-101.377034,Avenue N/Tilford St
160,33.666097,-101.333481,/US Hwy 82 W
160,33.669278,-101.541554,Jefferson/5th St
160,33.683605,-101.048918,US Hwy 82
160,33.673847,-101.407645,/US Hwy 62
216,33.657419,-101.239351,W Birch St/S Berkshire Ave
160,33.688056,-101.379390,Ave L
160,33.684863,-101.380568,14th St/Ave K
160,33.669049,-101.433540,Co Rd 141
160,33.667585,-101.544014,Washington
160,33.675116,-101.382975,Ave I/Railroad Ave
216,33.661466,-101.238033,E 1st St/N Ayrshire Ave/W 1st St
160,33.728327,-101.387747,US Hwy 62
185,33.659991,-101.239351,W Main St/N Berkshire Ave/S Berkshire Ave
160,33.666782,-101.533598,US Hwy 62/US Hwy 62 W
160,33.685866,-101.386627,15th St/Ave F
185,33.677825,-101.390189,Ave C/7th St
185,33.676593,-101.537857,N 3rd St
160,33.678006,-101.536650,N 3rd St/Van Buren Ave
160,33.673975,-101.365029,Co Rd 158/US Hwy 82
160,33.674123,-101.364985,Co Rd 158/US Hwy 82 W
185,33.669280,-101.527467,5th St
160,33.654527,-101.249043,S Jefferson Ave/W Dogwood St
160,33.674208,-101.393365,US Hwy 82
160,33.659987,-101.244304,N Farmer Ave/W Main St/S Farmer Ave
185,33.682897,-101.379394,12th St/Ave L
160,33.674364,-101.385455,Ave G/US Hwy 82
160,33.667038,-101.515682,US Hwy 62/
160,33.654530,-101.245549,S Grain Ave/W Dogwood St
160,33.676448,-101.539111,N 2nd St/N Monroe
160,33.680904,-101.385448,10th St/Ave G
160,33.675113,-101.384241,Main Ave/Railroad Ave
160,33.683461,-101.063656,Ranch Rd 836/US Hwy 82
160,33.669280,-101.526728,5th St/Lincoln Ave
160,33.667660,-101.535363,Harrison Ave
276,33.659989,-101.246613,N Harrison Ave/S Harrison Ave/W Main St
160,33.666813,-101.526685,Ranch Rd 378
185,33.659983,-101.243082,S Emerald Ave/N Emerald Ave/W Main St
185,33.657380,-101.220543,Co Rd 209/US Hwy 82
185,33.674769,-101.534927,/1st St
160,33.674366,-101.386680,Ave F/US Hwy 82
160,33.667332,-101.240637,W 5th St/N Crosby Ave
216,33.687536,-101.379385,17th St/Ave L
160,33.674722,-101.387808,Avenue E
160,33.658479,-101.197227,/US Hwy 82 W
160,33.681860,-101.381262,11th St
160,33.679890,-101.388995,Tilford Ave/Ave D
216,33.658886,-101.243088,S Emerald Ave/W Aspen St
185,33.676444,-101.537852,N 3rd St/N 2nd St/N Jackson
160,33.668204,-101.531631,6th St/Taylor Ave
160,33.596080,-101.514223,Ranch Rd 378/Ranch Rd 40
160,33.675106,-101.381749,Railroad Ave/Ave J
160,33.674318,-101.380547,US Hwy 82
