Estimated daily crossings,Latitude,Longitude,Name
216,31.829055,-102.351038,I- 20
246,31.876982,-102.311346,NE Loop 338 Naval Base
334,31.884310,-102.375998,Alpine St/E 42nd St
216,31.868400,-102.351429,E 17th St/Byron Ave
276,31.875739,-102.414711,W 42nd St/Angus Rd
160,31.873335,-102.425823,W 42nd St
499,31.869767,-102.373916,E University Blvd/Adams Ave
276,31.834139,-102.477769,7th/W 19th St
216,31.858771,-102.348783,E 7th St/Park Ave
276,31.836691,-102.396790,W 5th St/Harless Ave
185,31.918800,-102.398287,Skyline Ave/W Centergate St
605,31.886996,-102.337453,Twin Oaks Cir
216,31.843558,-102.503315,W Bradley Dr/N Robin Ave
246,31.872659,-102.313773,/I- 20 Bus Loop W
418,31.880290,-102.381988,E 38th St/N Jackson Ave
185,32.017598,-102.374631,/N Hollyhock Ave
276,31.865522,-102.353698,Nabors Ln/E 14th St
390,31.847478,-102.383291,Mc Kinney Ave/W 10th St
160,31.878942,-102.310920,Bainbridge Dr/Richwood
216,31.869829,-102.371860,Bluebird St/Center Ave
216,31.824392,-102.448305,W McCoy St/N Nancy Ave
276,31.855721,-102.447674,W 29th St/N F-M 1936
246,31.862517,-102.401229,San Andres Dr/Santa Monica Ave
390,31.891971,-102.387997,Andrews Hwy/Belle Dr
160,31.761125,-102.539338,I- 20
334,31.836401,-102.365180,Lindberg St/S Sam Houston Ave
813,31.900070,-102.354966,N Grandview Ave/E 52nd St
185,31.864975,-102.304314,I- 20
160,31.721706,-102.350922,S Highway 385 State Rte/E Calcutta St
185,31.936371,-102.669731,/State Hwy 302
276,31.842755,-102.413557,W 14th St/N Ave D
160,31.838824,-102.450936,W 17th St/N Oklahoma Ave
276,31.838213,-102.352616,S Dixie Blvd/Ramos St
185,31.909077,-102.300950,State Hwy 191
160,31.797065,-102.517731,Black Gold Dr/War Admiral Dr
305,31.837127,-102.399720,W 6th St
276,31.901012,-102.292926,E Ridge Rd/Casa Loma Dr
160,31.893430,-102.393629,W 54th St/N Washington Ave
276,31.873747,-102.311078,I- 20 Bus
185,31.857224,-102.342659,I- 20 Bus/Ryan Ave
276,31.714318,-102.339106,E Antigua Dr/S Lucia Ave
160,31.876534,-102.336798,Teakwood Dr/Tanglewood Ln
390,31.896459,-102.309354,Eastridge Rd
305,31.863169,-102.367131,E 16th St/Center Ave
246,31.903585,-102.340776,E 53rd St/Lauren St
216,31.846975,-102.475077,W University Blvd/N Vega Ave
246,31.760017,-102.543242,I- 20
334,31.853471,-102.371692,E 10th St/N Texas Ave
246,31.945366,-102.396877,de Vaca Ct
246,31.875847,-102.336250,Tanglewood Ln/E 21st St
160,31.924137,-102.299513,Royal Manor
305,31.864574,-102.337511,E 10th St/Spur Ave
246,31.897583,-102.389808,Andrews Hwy/E 57th St/W 57th St
160,31.829151,-102.379835,Keeling St/S Kelley Ave
185,31.841910,-102.370725,S Washington Ave
552,31.900210,-102.353233,Kalenak Ct
160,31.896281,-102.395560,/Dennard St/W 57th St
526,31.842790,-102.354963,Humble Ave/Atlantic St
246,31.851525,-102.409292,Linda Ave/W 22nd St
160,31.782091,-102.495579,S Knox Ave/Catalpa St
160,31.914121,-102.401285,Arkansas St/Kentucky Ave
499,31.877936,-102.375255,N Muskingum Ave/E 36th St
216,31.839151,-102.387377,W 5th St/N Elliott Ave
216,31.861192,-102.458914,W Blair St
216,31.750698,-102.562699,I- 20
160,31.781277,-102.370563,S Grant Ave/S Loop 338 Crossroad/SW Loop 338
160,31.871239,-102.400759,Brazos Ave/W 34th St
246,31.847993,-102.395777,W 14th St/Annex Dr
216,31.920890,-102.405839,Golder Ave/Oregon St
334,31.863860,-102.375623,E 21st St/N Hancock Ave
334,31.837992,-102.347042,Terlingua Ave/Laredo Dr
276,31.899052,-102.366713,Buffalo Ave/Doe Ln
305,31.857398,-102.349680,E 6th St/Royalty Ave
246,31.901709,-102.291887,Parks Legado Rd/E Ridge Rd
246,31.899048,-102.359644,E 52nd St/Conley Ave
216,31.867430,-102.336561,Cambridge St/Custer Ave
390,31.865958,-102.339197,Beechwood St/Cumberland Rd
390,31.855336,-102.358586,N Dixie Blvd/E 6th St
160,31.934748,-102.383751,Edgeport Dr/Yucca Ave
1956,31.868312,-102.380350,W University Blvd/E University Blvd/Andrews Hwy
216,31.897252,-102.311152,E 42nd St
917,31.857962,-102.395448,W 22nd St/Westwood Dr
185,31.842734,-102.506770,N Flamingo Ave/W Bradley Dr
185,31.835242,-102.441418,N F-M 1936
658,31.896435,-102.317351,/State Hwy 191
185,31.823819,-102.462206,N Cedar Creek Ave/W Dunn St
185,31.911671,-102.322001,56th St/NE Loop 338 Naval Base/52nd St
605,31.893210,-102.348926,Penbrook St/Village Way
185,31.866537,-102.325588,I- 20 Bus Loop W/Pagewood Ave
185,31.856498,-102.365846,E 10th St/Pittsburg Ave
390,31.849889,-102.383533,Graham Ave
160,31.989966,-102.616035,Ave I/Alma St
185,31.926636,-102.402741,W 83rd St/Florida Ave
185,31.897302,-102.371772,Clover Ave/Ector Ave/E 53rd St
160,31.865703,-102.513148,N Flamingo Ave/W Jenkins St
246,31.849870,-102.361934,Adams Ave/E 3rd St
362,31.840328,-102.395822,W 8th St/Mac Arthur Ave
276,31.900907,-102.348415,E 52nd St/New Orleans Dr
2141,31.891946,-102.353674,Penbrook St/Ridgedale Ave
499,31.859279,-102.390480,W 22nd St/Beaty Ave
418,31.846450,-102.401412,Harless Ave/W 14th St
160,31.863600,-102.376739,E 21st St/N Jackson Ave
968,31.886186,-102.323780,/Founders Rd
276,31.889656,-102.307503,Rocky Lane Rd/Amber Dr/Opal Cir
246,31.845277,-102.348682,Wabash Ave/E Murphy St
160,31.904154,-102.342641,Lanai Dr/Kauai Dr
246,31.870937,-102.387052,Ranchland Ave/W 31st St
160,31.866581,-102.413252,Iola Dr
160,32.011564,-102.287384,E Stanford St
216,31.904057,-102.356041,N Grandview Ave
216,31.841579,-102.346320,Fitch Ave/Bruce Ave
276,31.861722,-102.384934,W 22nd St/N Washington Ave
160,31.871469,-102.522451,N Greenlee Ave/W 63rd St
445,31.879984,-102.341184,E 30th St/Englewood Ln
216,31.848256,-102.394181,Edison Ave
185,31.870234,-102.385635,Henderson Ave/Barrow Dr
216,31.897259,-102.363648,E 51st St/Dawn Ave
216,31.880589,-102.333534,Pagewood Ave/Kirkwood Dr
160,31.894445,-102.307825,San Mateo Ln
246,31.905879,-102.341730,Aloha/Oahu
246,31.872892,-102.328620,Haywood Ave/Cambridge St
216,31.888129,-102.306747,Rocky Lane Rd/Alta Vista Rd
216,31.883563,-102.417005,W 49th St/Angus Rd
276,31.832102,-102.358038,S Grant Ave/E Monahans St
216,31.879263,-102.317634,Hanover Dr/Pepperidge Pl
160,31.900235,-102.378491,Ft Worth Ave/E 57th St
334,31.847575,-102.338333,E Murphy St/Industrial Ave
160,31.858143,-102.372114,N Hancock Ave/E 14th St
160,31.935325,-102.396049,Holiday Dr/E 87th St
246,31.897466,-102.311322,State Hwy 191 E/E 42nd St
305,31.864124,-102.344169,Central Dr/E 11th St
216,31.960340,-102.409775,US Hwy 385/N Loop 338/NE Loop 338
276,31.843478,-102.386163,N Kelley Ave/W 8th St
445,31.882628,-102.349526,N Grandview Ave/Blossom Ln
362,31.849603,-102.371905,W 7th St/N Lee Ave
216,31.830987,-102.355709,E Odessa St/S Texas Ave
334,31.874634,-102.336562,E 17th St/Sandalwood Ln
160,31.932042,-102.388122,E Hillmont Rd/Cactus Ave
418,31.833609,-102.364619,S Washington Ave/W Clements St
185,31.882793,-102.336672,Fairbrook Dr/Springbrook Dr
499,31.881333,-102.375472,N Muskingum Ave/E 38th St
362,31.846932,-102.384343,Whitaker Ave/W 10th St
185,31.886259,-102.383801,N San Jancinto St/N San Jacinto St/E 45th St
216,31.882879,-102.293943,I- 20 Bus Loop W/N Marco Ave
160,31.919557,-102.403019,Kentucky Ave/W Vermont St
276,31.888241,-102.300275,Cagle/Alcove
216,31.879199,-102.356096,Chisum Ave/Boulder Ave
334,31.923999,-102.370114,Charles Walker Rd/Vis del Sol
276,31.904043,-102.348429,New Orleans Dr/Southbrook Ct/S Brook Ct
216,31.908291,-102.300587,/State Hwy 191 E
418,31.833248,-102.351028,S Dixie Blvd/Snyder St
185,31.783008,-102.495764,S Knox Ave/Buckeye St
185,31.851962,-102.379322,N Alleghaney Ave/W 12th St
246,31.844136,-102.343407,Bunche Ave/Lubbock St
472,31.828299,-102.355323,S Grant Ave/I- 20
160,31.826278,-102.476710,W 11th St/N Canyon Ave
390,31.834710,-102.387236,N Co Rd W
185,31.853740,-102.510288,N Flamingo Ave/W 42nd St
246,31.859851,-102.380639,W 19th St/N Lincoln Ave
185,31.839307,-102.360604,E Ada St/S Muskingum Ave
334,31.846355,-102.378184,W 7th St/Dotsy Ave
185,31.856683,-102.392052,W 20th St/Fly Ave
160,31.834970,-102.340614,Barrett Ave/E Pool Rd
579,31.830693,-102.357041,S Grant Ave/E Odessa St
216,31.857990,-102.367706,E 12th St/Adams Ave
305,31.868035,-102.394853,Eastland Ave
160,31.987032,-102.619274,Odessa St/Ave G
658,31.874939,-102.324928,Valleybrook Ln/Orchid Ln
362,31.851290,-102.321234,E Interstate 20 State Rte N
305,31.896895,-102.380727,E 55th St/Kingston Ave
160,31.986853,-102.620501,Ave G
160,31.913879,-102.394283,Georgia St Crossroad/Andrews Hwy
216,31.854250,-102.403195,W 22nd St/Santa Rosa Ave
160,31.873578,-102.416002,Flint Ave/Kermit Hwy/W 40th St
216,31.854887,-102.406423,Oleander Ln/Manor Dr
216,31.892738,-102.294874,Abbey Rd/Pinecrest Ave
160,31.841555,-102.506391,N Flamingo Ave/W Love Dr
160,31.798401,-102.482667,Carichic St/S Moss Ave
160,31.827286,-102.447398,N Oliver Ave/W Dunn St
185,31.906294,-102.343175,Lanai Dr/Hawaii Cove
445,31.849965,-102.373627,W 8th St/N Lincoln Ave
246,31.837261,-102.335463,E Interstate 20 State Rte S/Industrial Ave
305,31.859587,-102.364591,E 12th St/Center Ave
185,31.867496,-102.301505,E Interstate 20 State Rte N
160,31.844438,-102.366763,S Grant Ave
160,31.674636,-102.336713,S Grant Ave/W Sundown St
216,31.897787,-102.344021,Shaw Ct
246,31.898953,-102.298244,E Ridge Rd
362,31.847899,-102.363404,N Tom Green Ave/I- 20 Bus
526,31.854923,-102.371247,E 11th St/N Jackson Ave
390,31.918117,-102.359786,E Yukon Rd
216,31.866790,-102.339448,Cambridge St/Cumberland Rd
418,31.841315,-102.396140,W 9th St/Mac Arthur Ave
334,31.850725,-102.369734,E 7th St/N Texas Ave
246,31.883650,-102.305099,Richwood Rd/Riders Rd/Neta Pl
246,31.980962,-102.614468,Goldsmith St/Gulf Ave
160,31.832470,-102.472152,N Shermark Ave/W 16th St
216,31.873628,-102.311882,I- 20 Bus Loop W
216,31.872558,-102.390607,W 34th St/N Golder Ave
216,31.897024,-102.309720,E 42nd St
445,31.836695,-102.361285,S Grant Ave
160,31.887150,-102.371321,N Everglade Ave/Alpine St
185,31.954428,-102.373660,Wavyleaf Ct/Cevallia Dr
362,31.919177,-102.297933,Diais Cir/Diais Vis
185,31.854137,-102.460648,N Huntington Ave/W Trimble St
390,31.897893,-102.348671,Foote Ct
276,31.835745,-102.349286,Zacatecas Ave/Honeysuckle St
185,31.865363,-102.377306,E 23rd St/N Jackson Ave
390,31.836486,-102.387847,W 3rd St/N Co Rd W
276,31.861454,-102.343971,E 8th St/Ryan Ave
334,31.836364,-102.356264,E Clements St/Roxanna Ave
185,31.897705,-102.357045,Lamont Ave/Constitution Ave
160,31.823559,-102.355484,S Grant Ave
390,31.875143,-102.360407,Brentwood Dr/Eastover Dr
160,31.839116,-102.455904,N Huntington Ave/W 18th St
160,31.849518,-102.403389,W 17th St/Glendale Ave
216,31.925503,-102.398335,Andrews Hwy/W 81st St
418,31.850571,-102.365300,N Tom Green Ave/E 5th St
160,31.985550,-102.616900,Avenue E/Scharbauer St
185,31.896600,-102.353161,Hinkle St/Lyndale Dr
216,31.885511,-102.366060,Spruce Ave/Melody Ln
160,31.841779,-102.492225,/N Stockton Ave
276,31.867032,-102.302402,E Interstate 20 State Rte N/SE Loop 338 S Naval Base
305,31.863514,-102.364097,E 15th St/N Dixie Blvd/Terrace Cir
185,31.822657,-102.408381,SW Loop 338 Sb/W Murphy St
216,31.900997,-102.375237,el Paso Ave/E 57th St
160,31.839850,-102.478338,N Tripp Ave
445,31.849641,-102.379099,Golder Ave/W 10th St
160,31.847154,-102.346183,Highland St/Hudson Ave
246,31.898893,-102.345675,Graves Ct/Graves Dr
579,31.867738,-102.361989,E 18th St/Maple Ave
276,31.837639,-102.335578,Industrial Ave
246,31.847219,-102.504480,W Palomino Dr/N Robin Ave
216,31.844854,-102.350614,E Murphy St/Lindy Ave
185,31.854608,-102.402062,San Fernando Dr
160,31.984587,-102.616592,Scharbauer St/Ave D
160,31.850059,-102.526828,W 42nd St/N Easy Ave
216,32.046970,-102.437735,US Hwy 385
334,31.878448,-102.334395,E University Blvd/Haywood Ave/Fair Oaks Cir
276,31.842723,-102.345957,Blackshear St
160,31.826430,-102.479037,N Meadow Lake Ave/W 11th St
185,31.887298,-102.367584,Locust Ave/Alpine St
185,31.838246,-102.373424,Bruck Ave/W Mable St
160,31.843052,-102.455131,W 21st St/N Roadrunner Ave
334,31.842431,-102.373980,Golder Ave/I- 20 Bus
185,31.917923,-102.290125,Faudree Rd
472,31.856474,-102.375338,W 14th St/N Grant Ave/E 14th St
246,31.897496,-102.354185,N Grandview Ave/Hanley St
185,31.889414,-102.298446,Dustin
160,31.834796,-102.399844,W 4th St/Glendale Ave
891,31.888646,-102.356215,E 42nd St/Bonham Ave
160,31.849439,-102.529483,N Butterfield Ave/W 42nd St
185,31.932529,-102.409358,Golder Ave/W 87th St
246,31.845926,-102.351620,Highland St
160,32.012825,-102.366733,Arabian Trl
305,31.868158,-102.321529,I- 20 Bus
276,31.847834,-102.405050,W 16th St/Alameda Ave
276,31.828931,-102.385482,Broncho Ave/S Co Rd W
276,31.840816,-102.514453,W Bradley Dr/N Knox Ave
216,31.863510,-102.450175,W Blair St/N F-M 1936
552,31.869841,-102.373577,E University Blvd/Eisenhower Rd
276,31.888121,-102.380202,E 46th St/Sandra Ln
160,31.866440,-102.445036,N Winston Ave
160,32.023175,-102.430410,/US Hwy 385
276,31.847856,-102.404952,W 16th St/Alameda Ave
276,31.862750,-102.345714,E 10th
216,31.857000,-102.391647,W 20th St/Fly Ave
160,31.849679,-102.350882,Washington Ln/Myrtle St
246,31.895033,-102.303252,Sapphire St/Amethyst Cove
216,31.833987,-102.387007,N Co Rd W
160,32.019666,-102.428906,/US Hwy 385
305,31.845190,-102.387701,N Kelley Ave/W 10th St
362,31.855466,-102.398493,W 20th St/Santa Monica Ave
445,31.883408,-102.358483,E Everglade Ave/Dawn Ave
472,31.904500,-102.337678,Lauren St
185,31.892909,-102.379507,E 50th St/Kingston Ave
160,31.837730,-102.486778,N Palomino Ave/W 23rd St
216,31.822971,-102.381024,Windview St/Windcrest Rd
216,31.853887,-102.518633,N Knox Ave/W Westbend St
216,31.837018,-102.384428,I- 20 Bus/N Lasseter Ave
216,31.944279,-102.397163,Cabrillo Dr/Rainbow Dr
185,31.827761,-102.480001,N Meadow Lake Ave/W 12th St
216,31.864701,-102.300917,SE Loop 338 S Sb
160,31.917696,-102.297240,56th St
216,31.846449,-102.458238,N Huntington Ave/W 25th St
334,31.853475,-102.395651,Orlando Dr/W 18th St
526,31.874023,-102.371865,Roger Ave/E 31st St
418,31.875655,-102.364489,Maple Ave/E 31st St
216,31.848277,-102.408948,W 17th St/
185,31.851148,-102.405760,W 18th St
