Estimated daily crossings,Latitude,Longitude,Name
160,30.015724,-100.212664,N Cedar St/S Cedar St/W Main St
160,30.014690,-100.208457,W Bandera St/S Sweeten St
160,30.011946,-100.210568,S Price St/W Houston St
160,30.039051,-100.267437,State Hwy 55
160,30.019373,-100.210577,N Price St/W Sutton St
160,30.020280,-100.207755,N Well St/W Val Verde St/E Val Verde St
160,30.015763,-100.213551,Sonora Rd/W Main St/del Rio Rd
160,30.016611,-100.211625,W Austin St/N Live Oak St
160,30.009608,-100.202624,Windsong Ln
160,30.016625,-100.208466,W Austin St/N Sweeten St
160,30.016391,-100.205464,Austin St/Uvalde Rd/US Hwy 377
160,30.015104,-100.208458,S Sweeten St
160,30.014693,-100.204448,S Broadway St/E Bandera St
160,30.020278,-100.208483,W Val Verde St/N Sweeten St
160,29.728319,-100.036059,Ranch Rd 335/State Hwy 55
185,29.724977,-100.034774,/Market St/State Hwy 55
185,30.023987,-100.205572,N State St
160,30.017514,-100.211628,N Live Oak St/W Kerr St
160,30.017517,-100.210575,N Price St/W Kerr St
216,30.015742,-100.205462,Uvalde Rd/E Main St
160,30.021227,-100.207756,N Well St/W Edwards St/E Edwards St
160,30.016629,-100.207750,N Well St/W Austin St/E Austin St
160,30.017523,-100.208470,W Kerr St/N Sweeten St
160,30.016606,-100.212664,W Austin St/N Cedar St
160,30.020271,-100.210578,N Price St/W Val Verde St
160,29.725712,-100.035055,Church St/State Hwy 55/Co Rd 211
216,30.015739,-100.206718,N Nueces St/E Main St/S Nueces St
160,30.022111,-100.211647,N Live Oak St/W Crockett St
160,30.013801,-100.209486,S College St/W Uvalde St
160,29.783092,-100.080351,State Hwy 55
160,30.022115,-100.210581,N Price St/W Crockett St
160,30.020267,-100.211635,W Val Verde St/N Live Oak St
160,30.022974,-100.207872,N Well St/E Llano St/W Llano St
160,30.010348,-100.205445,Uvalde Rd/Old del Rio Rd
160,30.206998,-100.031797,US Hwy 377
160,30.018448,-100.210576,N Price St/W Kimble St
160,30.015848,-100.213907,Pepper St/Sonora Rd
160,30.015734,-100.208462,S Sweeten St/W Main St/N Sweeten St
160,30.016621,-100.209494,W Austin St/N College St
160,30.014692,-100.205459,Uvalde Rd/E Bandera St
160,30.206768,-100.031828,US Hwy 377
160,30.008786,-100.206704,S Nueces St
160,30.022895,-100.210582,N Price St
160,30.014691,-100.206716,E Bandera St/S Nueces St
185,30.021226,-100.208488,W Edwards St/N Sweeten St
160,30.014689,-100.209488,S College St/W Bandera St
160,30.011024,-100.210567,S Price St/W San Antonio St
160,30.015745,-100.204451,Broadway St/S Broadway St/E Main St
160,29.724676,-100.035701,/Market St
160,30.015578,-100.213903,Pepper St/del Rio Rd
160,30.015736,-100.207749,N Well St/E Main St/W Main St/S Well St
160,30.014686,-100.212664,W Bandera St/S Cedar St
160,30.021221,-100.211682,W Edwards St/N Live Oak St
185,30.023009,-100.206733,E Llano St/N Nueces St
185,30.011946,-100.209480,S College St/W Houston St
160,30.039363,-100.268009,/State Hwy 55
160,30.021220,-100.212663,W Edwards St/N Cedar St
160,30.023001,-100.210456,W Llano St
160,30.023787,-100.208500,N Sweeten St
160,30.023002,-100.210582,N Price St/W Llano St
160,30.009441,-100.205442,Henry Ave/Uvalde Rd
160,30.015732,-100.209272,W Main St
160,30.024377,-100.207750,N Well St
160,30.062006,-100.154883,/US Hwy 377
