Estimated daily crossings,Latitude,Longitude,Name
160,32.553255,-100.380263,State Hwy 70
160,32.780745,-100.207711,FM 57
160,32.848056,-100.462409,S Cleveland Ave/S Tyler Ave
216,32.859671,-100.465652,E 8th St/N Tyler Ave
160,32.851618,-100.467089,S Garfield Ave/N Garfield Ave/W Snyder Ave
246,32.855120,-100.466849,E Burnside St/W Burnside St/N Cleveland Ave
160,32.850884,-100.470989,S Clairemont Ave/W Snyder Ave
160,32.860633,-100.465945,E 7th St/N Tyler Ave
160,32.725292,-100.255024,4th St/Moore Ave
390,32.853003,-100.463656,N Tyler Ave
160,32.745030,-100.377763,S Concho St/S 1st St/N Concho St
160,32.550618,-100.146394,FM 1085
246,32.722904,-100.254300,McCaulley Ave/1st St
160,32.894987,-100.254106,/State Hwy 92
160,32.856113,-100.462149,E Burnside St/N Genevieve Ave
160,32.746623,-100.375519,N Water St/N 1st St
185,32.856685,-100.459884,/N Lakeview Ave/Sally Ave
160,32.886263,-100.481277,Co Rd 328/State Hwy 70
160,32.563440,-100.381524,State Hwy 70
160,32.784382,-100.206359,4th St/Co Rd 750
160,32.855120,-100.461863,E Beauregard St/N Genevieve Ave
160,32.863275,-100.458231,E 6th St/N Morris Ave
362,32.842069,-100.477252,/Co Rd 323
276,32.854230,-100.463666,N Tyler Ave
216,32.854664,-100.463562,E Beauregard St/N Tyler Ave
185,32.859864,-100.457217,Morris Ave/Sally Ave
160,32.745325,-100.381864,N Walton St/N 1st St
160,32.783785,-100.206020,Weekly Ave/FM 57
160,32.748779,-100.381488,W N 4th St/N Church St
160,32.857411,-100.466253,E McArthur St/N McKinley Ave
160,32.861114,-100.463620,E 7th St/N Genevieve Ave
185,32.909405,-100.415610,/Co Rd 213
160,32.848934,-100.464462,S Cleveland Ave/E Stonewall St
160,32.745859,-100.379317,N College St/N 1st St
185,32.860383,-100.457363,E Lee St/Morris Ave/N Morris Ave
160,32.865831,-100.470111,State Hwy 70/N Cleveland Ave/Co Rd 230
160,32.722434,-100.249667,3rd St
160,32.724882,-100.253168,3rd St/Glascock Ave
160,32.745074,-100.383134,N Orange St/N 1st St
185,32.852083,-100.464682,S McKinley Ave/N McKinley Ave/E Sammy Baugh Ave
160,32.860121,-100.468337,W 7th St/N Cleveland Ave/E 7th St
160,32.849817,-100.465253,E Sherman St/S Cleveland Ave/W Sherman St
160,32.723912,-100.372820,Co Rd 106/Co Rd 101
160,32.719915,-100.253539,3rd St
160,32.854121,-100.472083,W Burnside St/N Clairemont Ave
185,32.723793,-100.373348,Co Rd 106/State Hwy 70
216,32.856147,-100.467155,E Johnston St/N Cleveland Ave/W Johnston St
160,32.906895,-100.416695,Co Rd 213
160,32.780515,-100.594730,/FM 1614
160,32.860639,-100.461067,N Lakeview Ave/E 8th St
160,32.742939,-100.382520,S Orange St/S 2nd St
160,32.894883,-100.230622,State Hwy 92
185,32.856598,-100.459859,E Burnside St//N Lakeview Ave
160,32.920878,-100.421128,Co Rd 213
160,32.859650,-100.460778,N Lakeview Ave/E Lee St
160,32.744010,-100.382831,S Orange St/S 1st St/N Orange St
160,32.857630,-100.460168,E Johnston St/N Lakeview Ave
160,32.924006,-100.177727,/FM 540
160,32.782216,-100.203196,6th St/Texas Ave
185,32.745556,-100.375230,S Water St/S 1st St/N Water St
160,32.810403,-100.198898,Co Rd 257
216,32.746920,-100.379608,N College St/W N 2nd St
185,32.850841,-100.465568,W Forrest St/S Cleveland Ave/E Forrest St
246,32.853862,-100.467747,W Beauregard St/N Garfield Ave
160,32.749825,-100.376433,/E N 4th St/N Water St
160,32.737744,-100.552531,US Hwy 180
160,32.855265,-100.476351,W McArthur St/Monroe Ave
160,32.722723,-100.252680,Moore Ave/Co Rd 816
160,32.860155,-100.463341,E 8th St/N Genevieve Ave
185,32.856364,-100.461015,E Burnside St/N Richard Ave
160,32.742337,-100.382338,S Orange St/S 3rd St
160,32.848557,-100.461141,S Florence Ave/E Sheridan St
334,32.863255,-100.467996,N McKinley Ave/E 4th St
160,32.743969,-100.377460,S Concho St/S 2nd St
185,32.858508,-100.455614,E Johnston St/N Roby Ave
160,32.781967,-100.204351,5th St/Texas Ave
160,32.864976,-100.458837,E 4th St
160,32.838203,-100.158721,FM 668
160,32.740904,-100.384607,S Lawrence St
160,32.848590,-100.460968,E Sheridan St
160,32.903387,-100.433370,/FM 2598/Co Rd 233
160,32.852579,-100.474192,W Beauregard St/Jackson Ave
185,32.863999,-100.459673,N Elizabeth Ave/E 5th St
160,32.780003,-100.203758,5th St/Louisiana Ave
216,32.860535,-100.456646,/E Lee St/Sally Ave
160,32.854311,-100.476076,W Johnston St/Monroe Ave
185,32.860965,-100.456362,Sally Ave/N Roby Ave
160,32.719440,-100.254257,3rd St
160,32.859153,-100.468055,E 8th St/N Cleveland Ave/W 8th St
216,32.854117,-100.466559,W Beauregard St/N Cleveland Ave/E Beauregard St
160,32.780189,-100.208020,Arkansas Ave/FM 57
160,32.855604,-100.459572,N Lakeview Ave/E Beauregard St
216,32.856333,-100.471339,N Harrison Ave/W McArthur St
160,32.853234,-100.460070,S Richard Ave/E Sammy Baugh Ave/N Richard Ave
160,32.838031,-100.158456,FM 668/FM 57
160,32.784219,-100.206305,4th St
185,32.857546,-100.455299,E Burnside St/N Roby Ave
