Estimated daily crossings,Latitude,Longitude,Name
579,29.284685,-94.864012,83rd St
994,29.307637,-94.770889,4th St/Ave H
276,29.390299,-94.940622,31st St N/Danforth Dr
305,29.456245,-95.076294,Sherwood Oak Dr/Deats Rd
445,29.495695,-94.988250,Chase Wood Dr
276,29.529593,-95.065849,Pebble Beach Dr/Murfield Dr
390,29.383880,-94.937232,29th St N/Texas Ave
736,29.447764,-95.096193,Glade Bridge Ln/Misty Bay Dr/Glade Bridge Dr
160,29.362814,-94.985323,Magnolia Dr/S Crockett St/W Crockett St
246,29.504409,-94.993738,Jackson Ave/White
445,29.299363,-94.778030,12th St/
305,29.470392,-95.048871,Ohio Ave/Hemlock Cir/Easy St
160,29.477367,-95.154544,Colchester Ln
552,29.290110,-94.806111,/37th St
185,29.484679,-95.223267,W Castle Harbour Dr/Dawn Hill Dr
246,29.516962,-94.478198,Audubon Ave
526,29.397976,-94.937239,29th St N/15th Ave N
216,29.391146,-95.173788,Fir Rd/Bar-E-Bar S
160,29.526243,-95.034922,Stewart Rd
276,29.503450,-95.033084,Seacrest Blvd//Oceanway Dr
390,29.438472,-95.097006,Riverwood Dr/Bentwood Cir
185,29.514390,-95.201053,Mills Dr/Sunset Dr
185,29.521035,-95.058206,Spring Moss
276,29.477441,-95.111208,Tempe St
390,29.288122,-94.819129,Ave N Rear/48th St
276,29.127210,-95.061343,/Gulf Dr
160,29.526521,-95.221862,Rustic Ln
499,29.481623,-95.127227,Brittany Colony Dr/Pelican Landing Ct
418,29.272682,-94.847336,Ave P 1/2
276,29.411250,-95.019517,Blue Bonnet Dr/Lone Trail Dr S
216,29.490065,-95.067495,10th St/Ohio St
276,29.522219,-95.051618,Carmicheal Ct
499,29.384064,-94.899486,4th St N/4th St S/Texas Ave
839,29.294663,-94.812660,41st St/Ave J
334,29.528382,-95.089305,FM 270
216,29.484989,-95.165255,W Bend Dr
185,29.487221,-95.166741,Clearwood Dr/Clearwood Ct
185,29.472748,-95.085379,Snyders Bluff/Millikens Bend
305,29.540085,-95.070471,Pinnacle Cove Ct/Indigo Harbour Ln
736,29.297968,-94.788767,21st St/Ave M
185,29.345243,-94.938752,State Hwy 3
418,29.205060,-94.936721,Pirates Aly
276,29.526237,-95.193393,Brown Dr/Penn Dr
246,29.514179,-95.040921,Falling Springs Ln/Sierra Brook Ln
216,29.477612,-95.073844,16th St
246,29.500667,-95.181575,W Oak Dr/S Friendswood Dr
246,29.532904,-95.202329,Morningside Dr/Shady Nook Ln
185,29.159140,-95.011980,/San Luis Pass Rd
185,29.363314,-95.020517,Prairie St/Delaney Rd
472,29.474949,-95.086139,Snyders Bluff
334,29.476625,-95.043467,Galveston Ave
762,29.295693,-94.783025,17th St/Ave O
788,29.490789,-95.107087,/I- 45
246,29.197713,-94.984986,Anchor Way
216,29.538490,-95.025787,/Hanson Rd
305,29.507409,-94.989351,10th St/Jackson Ave
160,29.489426,-95.062884,Oklahoma Ave/13th St
579,29.270307,-94.843714,Pine St/Jones Dr
216,29.386330,-94.929905,/2nd Ave N
305,29.381043,-94.969917,Red Oak Ln/Live Oak Dr
216,29.343410,-94.986399,Gulf St/Meadowbrook Ave
334,29.479237,-95.134062,Hightsone Ct
445,29.314623,-94.773306,4th St/Mackeral Ave
160,29.293432,-94.914025,Oahu Dr
276,29.520198,-95.039997,Ivory Point Dr
499,29.491444,-95.086738,/Bradshaw Nursery Rd
418,29.330698,-94.934328,/I- 45
552,29.289079,-94.824443,/52nd St
579,29.400317,-94.930709,25th St N
334,29.543757,-95.060862,/Invincible Dr
579,29.397648,-94.994529,Palmer Hwy
160,29.477668,-95.064661,Ave C/21st St
788,29.486264,-95.115496,Brittany Bay Blvd/Hobbs Rd
216,29.467793,-95.075682,Gill Rd
246,29.299649,-94.799429,/29th St
362,29.533871,-95.060307,Masters Ct/Masters Dr
246,29.497380,-95.089694,Washington St/Coleman Boylan Dr
185,29.479192,-95.085465,Modeste Dr
185,29.376872,-94.914327,/14th St S
390,29.396672,-94.926584,/22nd St N
185,29.564563,-94.389239,7th St
185,29.483798,-95.134781,Pickett Dr/Lanier Dr
276,29.205991,-94.933382,Grand Terre/San Domingo Ct
216,29.479249,-95.024035,Branding Iron Circle 2
185,29.476137,-95.158172,Southwell Ln/Cranbrook Ln
160,29.457391,-94.620397,Meynig Dr
305,29.469279,-95.063537,H Ave/28th St
917,29.281400,-94.806843,/40th St
