Estimated daily crossings,Latitude,Longitude,Name
276,30.388015,-96.093131,9th St
160,30.469386,-96.010990,State Hwy 90
185,30.376286,-96.089118,Camelot Ln/Glenshire Ln
160,30.479284,-95.892935,Schaper Ln/Co Rd 211
160,30.387291,-96.084547,Church St/Craig St/Grimes St
185,30.386609,-96.079689,Manley St/Elm St
418,30.419009,-96.106321,State Hwy 6
246,30.387516,-96.086006,Nolan St/Holland St
246,30.385096,-96.091953,McAlpine St/8th St
418,30.394795,-96.081166,Water St/Horlock Ave
305,30.389567,-96.092080,Stoneham St/Chase St/N Railroad St
658,30.390444,-96.090940,/Stoneham St
185,30.403221,-96.101293,Pebble Loop Dr
160,30.626523,-95.904715,Co Rd 227
160,30.421228,-95.935261,N Oaks Dr
160,30.463443,-96.017821,State Hwy 90
185,30.249507,-95.961136,/FM 362
185,30.729030,-96.016158,Co Rd 129
246,30.402042,-96.071167,Alamo/Rattler Dr
526,30.391756,-96.092394,Pierce Rd
185,30.378583,-96.098251,Wright St
160,30.755493,-96.075363,FM 244/Co Rd 109
445,30.356146,-96.059178,/State Hwy 6
216,30.384824,-96.088122,Johnson St
216,30.396501,-96.080172,Felder St/Judson Ave
160,30.349905,-95.872893,F-M 1774/Smith Rd
1097,30.390319,-96.083164,Leon St/McAlpine St
160,30.611740,-95.896391,Co Rd 229/Co Rd 240
305,30.339664,-96.049204,State Hwy 6/Co Rd 451
160,30.323153,-95.876971,Co Rd 202/Planters Row
160,30.326049,-95.847938,/F-M 1774
160,30.717147,-96.025849,/FM 39
216,30.612257,-95.890471,State Hwy 30/Mayfield St/Mayfield Ave
160,30.408990,-96.100397,/N Lasalle St
246,30.336730,-95.865005,F-M 1774/Post Office Rd
160,30.374474,-96.079164,New York St
216,30.374150,-96.044353,State Hwy 105/Glenn Ln
418,30.400586,-96.071575,Austiana Hills Dr/Cottonwood St
499,30.399713,-96.071540,Austiana Ct
216,30.613515,-95.887495,State Hwy 30/Horton Ave
334,30.373014,-96.091456,F-M 379
160,30.549438,-95.870903,Co Rd 250
185,30.381580,-96.082003,/Church St
160,30.569342,-95.926709,/FM 2562
185,30.401617,-96.089360,Smith St
160,30.595608,-96.031301,State Hwy 30
246,30.774541,-95.950012,Magnolia St/State Hwy 90
445,30.392072,-96.094872,N Railroad St
418,30.394666,-96.095314,/Duke St
631,30.387258,-96.090229,/W Washington Ave
185,30.400409,-96.061784,/State Hwy 90
160,30.488158,-95.967745,FM 2819/F-M 1774
160,30.604261,-95.949808,/State Hwy 90
160,30.386442,-96.083104,Brewer St/Johnson St
216,30.351911,-95.818775,State Hwy 105
246,30.298327,-96.047409,FM 1227
216,30.395666,-96.036505,Sandy Creek Dr
160,30.604079,-96.132090,State Hwy 30
160,30.536217,-95.933628,Co Rd 220
276,30.378643,-96.085647,W Lee St
160,30.438286,-96.062728,FM 3090
185,30.395589,-96.089272,E Dickson St/Park Ave
216,30.386083,-96.081288,Manley St/Wood St
160,30.401055,-96.090130,Ashville St/Allen St
390,30.385513,-96.085952,S Lasalle St/Johnson St
334,30.488842,-95.986665,Loop 429/Buffington Ln
246,30.389021,-96.095841,8th St/Pierce Rd
276,30.374535,-96.095572,Carriage Ln
216,30.774630,-96.076800,Brazos Ave/Brazos Rd/Corsicana St
160,30.715274,-96.091501,/FM 244
185,30.334095,-95.863169,F-M 1774/Town Hall Rd
160,30.725770,-96.087239,FM 244/
160,30.609544,-95.950728,State Hwy 90
1071,30.376246,-96.067857,State Hwy 105/State Hwy 6/State Hwy 515
216,30.359481,-96.062333,State Hwy 6
160,30.467768,-95.944082,F-M 1774
160,30.783183,-95.925903,Bracewell Rd/FM 1696
160,30.699024,-96.009970,Co Rd 156/FM 39
710,30.389611,-96.086399,Washington Ave/Craig St
445,30.405132,-96.079863,/State Hwy 6
276,30.389123,-96.098751,Bell St/6th St
631,30.387027,-96.090617,10th St/W Washington Ave
160,30.355786,-96.065645,Magnolia Dr/Hidden Trl
185,30.347303,-96.051596,/Co Rd 450
216,30.373595,-96.081650,S Lasalle St
305,30.325571,-96.047429,State Hwy 6
216,30.379638,-96.090404,Louise St/S Louise St
246,30.323787,-96.046968,/State Hwy 6
160,30.392338,-96.040793,Weir Rd
334,30.417338,-96.105432,State Hwy 6
334,30.380926,-96.085088,W Farquhar St/Anderson St
216,30.377240,-96.089100,Glenshire Ln/Buckingham Ln
276,30.384616,-96.098072,3rd St/Stoneham St
334,30.393939,-96.085552,Brosig Ave
160,30.665613,-96.129113,S Fork Ln
160,30.408227,-95.890644,F-M 1774/FM 2445
160,30.389441,-96.077351,Turner St/Lane St
160,30.487247,-95.983321,Schroeder St
185,30.329620,-96.098584,Morgan Ln
185,30.535780,-95.907228,FM 149
276,30.389149,-96.069069,State Hwy 6
185,30.520788,-96.008410,FM 244
246,30.238709,-96.050889,State Hwy 6
276,30.411307,-96.093041,State Hwy 6
160,30.340600,-95.912470,Stoneham Oaks Ln/Dyer Mill Rd
246,30.397482,-96.089775,Monvil St/Lewell St
305,30.377507,-96.077818,/Montgomery Rd
305,30.342089,-96.050800,State Hwy 6
684,30.387953,-96.089048,Duke St/Washington Ave
418,30.381243,-96.084107,S Lasalle St/Anderson St
160,30.820306,-95.947586,/State Hwy 90
216,30.369791,-96.026034,State Hwy 105
185,30.376337,-96.116805,W Washington Ave
160,30.545133,-95.870743,Co Rd 250/FM 149
185,30.594774,-96.065307,State Hwy 30
160,30.439174,-95.950466,Co Rd 245
