Estimated daily crossings,Latitude,Longitude,Name
305,32.156584,-97.145916,E Marrion St/S Aquilla St
160,31.994613,-97.374762,Beirhalter Ln/Webb Pl
160,32.032148,-97.116432,/Industrial Loop
216,31.903027,-97.331588,Woodland Rd/Greenbriar Rd
1563,32.012349,-97.087892,Lamar Dr
445,31.951994,-97.319194,N Trinity St/E Jefferson Ave
185,31.885087,-97.071491,FM 1242/Bordon/Borden St
185,32.005077,-97.136115,Duncan St/Abernathy St
160,31.873467,-97.369573,Lofers Bend Park
216,32.018217,-97.107205,/Rhoads St/Delmore Dr
246,32.058087,-96.897969,State Hwy 22/FM 308
160,31.851169,-96.790351,Elm Ave/NE 2nd St
160,32.013181,-97.128393,E Paschal St//N Church St
185,32.161029,-97.144626,E Adams St/S Files St
472,32.036292,-97.095021,I- 35
160,31.915434,-96.896561,S Pecan St/E Evergreen St
216,31.916442,-96.895858,E Peach St/S Pecan St/W Peach St
160,31.984179,-97.365562,Short Dr/Shetland Rd
160,32.009237,-97.069761,Hcr 4263/Cr 4263
684,32.005806,-97.121897,Corsicana Hwy/Anderson St
334,32.012459,-97.097065,Dellah
276,32.159262,-97.143451,S Files St/E South St
216,31.882999,-97.072517,/Front St/Mesquite St
160,32.234360,-97.145945,Co Rd 4407
185,31.949525,-97.323339,S San Marcus St/S San Marcos St/W Polk Ave
246,32.043574,-97.088479,Co Rd 4343
160,32.016748,-97.084842,/Old Brandon Rd
185,31.846866,-96.790372,SE 2nd St/S Pecan Ave
472,32.157628,-97.143785,E Marrion St/S Wesley St
362,31.854055,-97.085041,/I- 35
631,32.011817,-97.130132,N Waco St/E Franklin St/W Franklin St
185,31.945711,-97.320665,S Brazos St/Lee Ave
160,32.063339,-97.095355,/Co Rd 4235
246,32.002907,-97.130200,Vineyard St/S Waco St
160,31.917374,-96.897645,S Sycamore St/W Peach St/S Maple St
160,32.040394,-97.401684,Cedar Trl
185,31.988303,-97.314842,Co Rd 1248
246,32.155088,-97.148976,W Marrion St/S Hamilton St
185,31.934023,-97.318557,State Hwy 22/Big Jimm's Rd
160,31.951322,-97.297905,Co Rd 2128/Co Rd 2124
499,31.951170,-97.113131,Service Rd
160,32.008757,-97.133722,W Walnut St
160,31.760696,-96.885795,N Seeley Ave W/State Hwy 31
216,31.947839,-97.320052,S San Jacinto St
185,32.182571,-97.160626,Co Rd 1111/State Hwy 81
160,32.169741,-97.251124,State Hwy 171/Co Rd 4109
445,31.875119,-97.081898,Service Rd
276,32.007525,-97.140976,Carter St
499,31.837347,-97.090569,E County Line E
552,31.890645,-97.086407,I- 35
334,32.006981,-97.140694,Davis St
160,31.994567,-97.350587,Sun Country Dr
334,32.212907,-97.147993,I- 35 W
246,31.883399,-97.075286,/Waco St
160,32.014544,-97.123325,/N Abbott St/Corsicana St
160,31.849812,-96.797299,NE 5th St/N Cypress Ave
185,32.012345,-97.366893,Live Oak Loop/2nd St
160,31.922141,-97.329979,/Barbery St
185,31.969892,-97.279604,State Hwy 22/Co Rd 1256
160,32.000586,-97.101828,Old Bynum Rd/FM 3267 N
552,31.852432,-97.085441,/Co Rd 3102
216,31.995305,-97.131397,Ross Ave
216,32.004803,-97.139276,Lowery St/Davis St
526,31.879898,-97.081486,Houston
362,31.847534,-96.798312,NW 4th St/N Bois D Arc Ave
160,32.030167,-97.355833,Farm Rd 933/Co Rd 1207
305,32.007039,-97.118241,McKenzy Ave/Mulberry St
472,32.010586,-97.136793,Duncan St/W Elm St
185,31.847964,-96.791655,N Pecan Ave/NE 1st St
305,31.954982,-97.310432,E Jefferson Ave/N Hill St
216,31.951771,-97.325619,W Jefferson Ave/N San Antonio St
305,32.062555,-97.082316,Co Rd 4235/I- 35 E
160,31.796978,-97.173601,County Line Rd
362,32.159036,-97.141011,E Marrion St
305,32.159498,-97.147867,E Adams St/S Aquilla St
788,32.017108,-97.094906,/Old Brandon Rd/FM 286
334,32.048602,-97.095153,Co Rd 4235
445,31.848296,-96.797404,NW 4th St/NE 4th St/N Magnolia Ave
185,31.828036,-96.819220,FM 936/Co Rd 3363
305,32.067987,-97.072376,I- 35 E
185,32.147340,-97.396720,Co Rd 1135
362,31.975526,-97.114219,Hcr 3100
160,31.953774,-97.286939,/Co Rd 2415 S
185,32.013230,-97.127336,Williamson St/E Paschal St
216,31.883005,-97.071520,Mesquite St/Borden St
160,32.005327,-97.316566,Co Rd 1248/Co Rd 1227
160,31.880028,-97.075525,2nd St
160,31.974125,-97.368155,Lakeview Dr/Timberline Rd
185,32.043725,-97.096698,/State Spur 579
684,32.017046,-97.097907,Old Brandon Rd
185,31.839799,-96.787769,State Hwy 171/S Magnolia Ave
445,31.950989,-97.322333,N Colorado St/W Washington Ave
305,32.158363,-97.139723,Grayson Dr/E Spurgeon St
216,32.031511,-97.386895,Wood Hollow Dr
160,31.879264,-97.074075,Co Rd 3102
160,31.952984,-97.318159,N Neches St/E Lincoln Ave
160,31.852703,-96.795516,Mulberry Ave/NE 6th St
160,31.882043,-97.075357,Houston St/1st St
160,32.009314,-97.308418,Pr 124/Co Rd 1227
160,31.951444,-97.306538,/Chad Ave/E Chad Ave
160,32.215322,-97.299468,Co Rd 1425
276,32.002965,-97.123308,W Madison St/Sycamore St
185,31.967688,-97.326828,Farm Rd 933
160,31.995962,-97.386172,Lee St
160,32.145170,-97.398244,/Ave A
160,32.031034,-97.376128,White Bluff Dr
160,31.921320,-97.365569,/St Park Rd 47
276,32.101394,-97.014494,I- 35 E
160,31.950974,-97.330686,W Washington Ave
160,32.152150,-97.150388,W Jones St/Weaver St
160,32.160169,-97.152431,W Monroe St/N Wall St
160,31.952063,-97.385067,Co Rd 1230/Farm Rd 1713
185,31.920318,-97.364207,/St Park Rd 47
185,31.935582,-97.316754,S Colorado St
216,31.933149,-97.318785,State Hwy 22
334,32.161684,-97.151054,W North St/E North St/N Hill St
472,32.092564,-97.028624,I- 35 E
160,31.966504,-97.118251,I- 35/Blue Star Memorial Hwy
552,32.009990,-97.130156,S Waco St/Gould St/W Gould St
160,31.975859,-97.366417,Lakeview Dr/Avenue E/Erie Trl
160,32.145698,-97.396630,W 1st St/N Ave B
1511,32.012452,-97.087891,Lamar Dr
216,31.944418,-97.321993,W Coolidge Ave/FM 933 N/S Colorado St
445,32.004899,-97.121916,Peabody St/Anderson St
160,31.856151,-96.852633,Co Rd 3333
160,32.005854,-97.087896,Walnut Hill Ave/Airstream Way
246,32.000261,-97.116400,Alexander St/Lee St
185,32.057139,-96.898904,Phillips St
736,32.012192,-97.098332,Happy Ln
658,31.840877,-96.797557,SW 2nd St/S Walnut Ave
276,31.849768,-96.795499,N Live Oak Ave/NE 4th St
160,32.008747,-97.132454,W Walnut St/S Bois D'Arc St
579,32.164142,-97.148166,N Wesley St/E Wilkerson St
216,32.009532,-97.124497,E Park Dr
160,32.030847,-97.119262,/Co Rd 4230
160,32.013984,-97.365731,1st St/Live Oak Loop
185,32.089778,-97.128521,Co Rd 4281/Co Rd 4228
160,31.845395,-96.788659,SE 4th St
246,31.842149,-96.798909,N Walnut Ave/NW 1st St
160,31.756381,-96.880931,N 2nd St/N Seeley Ave W
246,32.018293,-97.110372,Country Club Dr
276,32.005980,-97.070180,Continental/Executive
418,32.102748,-97.012352,/I- 35 E
276,32.006805,-97.116207,Corsicana Hwy
185,31.884631,-97.076108,Pine St/1st St
160,32.205925,-97.172615,Pr 411/State Hwy 81
160,31.953509,-97.328266,W Roosevelt Ave/Peverly St
185,31.957507,-97.114360,Co Rd 3103
216,31.846850,-96.792199,N Live Oak Ave/S Live Oak Ave/SE 1st St
305,32.126281,-97.117861,I- 35 W//FM 3147
216,31.958221,-97.321657,FM 933 N/N Brazos Ave/E Highland Rd
185,32.139476,-97.395525,E 6th St/S Ave F/Ave F
185,31.954387,-97.380020,Happy Ln/Co Rd 1230
216,32.010007,-97.128442,S Church St/Gould St
160,32.035069,-97.395516,Stonewood Dr/Meadowmore Ct
472,31.884135,-97.084341,Pecan Rd
185,31.952828,-97.322434,N Colorado St/W Lincoln Ave
160,32.179539,-97.420228,/Co Rd 1120
472,32.011588,-97.113548,Corporation St/E Franklin St
472,31.952037,-97.318138,N Neches St/E Jefferson Ave
362,32.010292,-97.138593,N Cedar St/W Elm St
276,31.952707,-97.310563,Pearl St/
246,31.951133,-97.318117,N Neches St/E Washington Ave
160,32.010827,-97.378879,Cottonwood/Oak Run
160,31.982045,-97.368800,Morning Star
246,31.992902,-97.129856,/Co Rd 2452/United States Highway 77 Acces Rd
160,31.953216,-97.384324,/Sharon St/Mohon Dr
185,32.004182,-97.140598,Lowery St/Mary St
160,31.954105,-97.337262,Hill County Road 1239
