Estimated daily crossings,Latitude,Longitude,Name
160,33.246197,-100.573744,E 6th St/6th St/S Main St
160,33.218254,-100.517108,US Hwy 380
160,33.258451,-100.577584,Smith St/FM 1228
185,33.168173,-100.753246,Co Rd 201/State Hwy 208
160,33.167312,-100.753275,State Hwy 208 N/State Hwy 208/Co Rd 200
160,33.240534,-100.759964,Co Rd 108
185,33.157758,-100.658847,US Hwy 380
160,33.252513,-100.578534,Clairemont St
160,33.260586,-100.577671,State Hwy 70/N Main St
160,33.240987,-100.760667,State Hwy 208/Pr Chinnery Sand Trl
160,33.031302,-100.566451,/Co Rd 440
160,32.978332,-100.891488,State Hwy 208
160,33.260930,-100.578011,State Hwy 70
160,33.167265,-100.753822,Co Rd 200
160,33.251651,-100.581809,Jones St/Madison Ave
185,33.157486,-100.657681,/State Hwy 70
160,33.252523,-100.579631,Adams Ave/Clairemont St
160,33.158181,-100.657353,State Hwy 70/US Hwy 380
160,33.390255,-100.788007,State Hwy 208
160,33.252896,-100.581617,Madison Ave
160,33.252039,-100.582777,Monroe Ave
160,33.218447,-100.517139,US Hwy 380
185,33.252582,-100.581676,College St/Madison Ave
160,33.004093,-100.988220,FM 1142
160,33.253553,-100.581897,/Madison Ave
160,33.166298,-100.754954,Broadway/Co Rd 405
185,33.243659,-100.714632,Co Rd 111
160,33.246189,-100.574275,6th St/N Donaho Ave
185,33.252920,-100.582776,Monroe Ave
185,33.252812,-100.582776,College St/Monroe Ave
160,33.156410,-100.838153,P 2040/US Hwy 380
160,33.254568,-100.584905,Jackson Ave/College St
246,33.257520,-100.574718,Travis St/N Main St
160,33.251661,-100.582604,Jones St
160,33.253617,-100.582298,/Madison Ave
160,33.251663,-100.582777,Jones St/Monroe Ave
160,33.157240,-100.658738,/State Hwy 70
160,33.003527,-100.988221,FM 1142
185,33.168155,-100.752715,Co Rd 201/Co Rd 400
160,33.167217,-100.752748,Co Rd 400/Co Rd 200
185,33.157974,-100.657967,US Hwy 380
160,33.389853,-100.788003,/State Hwy 208
160,33.245267,-100.573748,E 7th St/S Main St/Weldon Myrick
160,33.256741,-100.576277,Smith St
160,33.257488,-100.576838,Travis St/Smith St
160,33.167213,-100.753204,State Hwy 208 N/Co Rd 200/State Hwy 208
160,32.982079,-100.884091,P 3050/State Hwy 208
160,33.245259,-100.574280,Weldon Myrick/N Donaho Ave
185,33.252858,-100.583900,College St/Quincy Ave
160,33.240367,-100.760408,/State Hwy 208
160,33.166293,-100.754347,/Broadway
