Estimated daily crossings,Latitude,Longitude,Name
160,33.319266,-101.725136,12th St/Houston Ave
160,32.966832,-101.833797,Hohn St/6th St
160,32.964833,-101.829787,8th St/Small St
185,33.190515,-101.795979,US Hwy 87
185,33.314433,-101.730178,/Studeman Ave
160,33.240408,-101.806372,Co Rd 18/US Hwy 87
160,33.167372,-101.798368,N 1st St/Ave K
216,33.235920,-101.806210,/US Hwy 87 N
160,33.166392,-101.790666,Avenue E/Lockwood St
185,33.238238,-101.806418,US Hwy 87
185,33.169308,-101.794106,/N 3rd
246,33.384813,-101.591586,US Hwy 84
160,33.044643,-101.806570,/US Hwy 87 N
160,33.156157,-101.798451,S 8th St/Ave K
160,33.168357,-101.796087,N 2nd St/Main St
160,33.165108,-101.796796,S 1st St/Ave J
160,33.165092,-101.793471,S 1st St
160,33.204110,-101.799044,/US Hwy 87 N
160,32.967805,-101.833800,Hohn St/5th St
246,33.374357,-101.576494,/US Hwy 84 W
160,32.984070,-101.824793,US Hwy 87 N/Co Rd P
160,33.375267,-101.807376,/US Hwy 87 N
160,33.170366,-101.812868,N 4th St/Avenue S
160,33.153929,-101.796865,Ave J
185,33.078235,-101.806561,US Hwy 87 N/Co Rd 29
160,33.160107,-101.798420,Ave K/S 5th St
160,33.303184,-101.806344,/US Hwy 87
160,33.253988,-101.805864,Co Rd 191/Co Rd 17
185,33.370575,-101.806441,US Hwy 87 N/Co Rd 2
160,33.164041,-101.794022,US Hwy 87
160,33.171242,-101.793878,/N 5th
160,33.078239,-101.806784,Co Rd 29/US Hwy 87
160,33.361401,-101.806566,/Co Rd 3/US Hwy 87
160,33.170440,-101.793475,/US Hwy 87 N
216,33.235925,-101.806453,/US Hwy 87
160,33.170865,-101.815092,Country Club Ln
160,32.970766,-101.831254,Baldridge St/2nd St
160,33.155936,-101.794694,/US Hwy 87
160,32.970752,-101.833711,2nd St
160,33.238524,-101.806164,Co Rd 201/US Hwy 87 N
160,33.171240,-101.796792,N 5th/Ave J
160,32.962168,-101.845318,US Hwy 87/Co Rd 38
160,33.166712,-102.015001,Co Rd D/US Hwy 380
160,33.162765,-101.799959,Ave L/S 3rd St
160,33.166452,-101.804651,Lockwood St/Ave O
160,33.269430,-101.806098,US Hwy 87 N/Co Rd 15
216,33.330131,-101.911774,N 4th St/N Main St
160,33.253090,-101.806362,US Hwy 87
160,32.962654,-101.832617,10th St/Doak St
160,32.968780,-101.834779,4th St
185,33.371687,-101.573211,US Hwy 84/Co Rd Hh
216,33.172209,-101.796786,N 6th/Ave J
160,32.973646,-101.834324,US Hwy 87 N
185,33.166407,-101.793459,/Lockwood St
185,33.170325,-101.806443,N 4th St/Ave P
185,32.963879,-101.831291,9th St/Baldridge St
160,33.166397,-101.792261,Lockwood St/Ave F
160,33.162768,-101.803107,Avenue N/S 3rd St
160,33.320744,-101.723519,12th St/Lumsden Ave
160,33.384951,-101.929362,Co Rd 1/FM 1730
216,33.182436,-101.796032,US Hwy 87
160,33.332571,-101.911769,Bullrun/N Main St
185,33.165112,-101.798384,S 1st St/Ave K
160,33.171237,-101.796067,N 5th/N Main St
160,33.022763,-101.806843,/US Hwy 87
160,33.341831,-101.806317,/US Hwy 87 N
185,33.359700,-101.556850,US Hwy 84
160,33.166421,-101.799940,Ave L/Lockwood St
160,33.169321,-101.796087,N 3rd/Main St/N Main St
216,33.166413,-101.798362,Lockwood St/Ave K
216,33.324768,-101.806288,FM 211/US Hwy 87 N
160,32.961182,-101.824174,Nassau St
160,33.168354,-101.795377,N 2nd St/Ave H
185,33.315269,-101.731168,13th St/Studeman Ave
160,33.157490,-101.801566,S 7th St/Ave M
185,32.998457,-101.812377,/US Hwy 87
160,33.171298,-101.806873,N 5th
160,33.240398,-101.806146,US Hwy 87 N/Co Rd 18
185,33.174100,-101.799922,Ave L
160,33.214199,-101.802775,US Hwy 87
160,33.049197,-101.806779,/US Hwy 87/Co Rd 31
160,33.169398,-101.810726,N 3rd St/Ave R
160,33.167397,-101.793453,/N 1st
160,33.198619,-101.797411,/US Hwy 87
185,33.318164,-101.727991,13th St/Dickson Ave
160,33.191453,-101.795760,US Hwy 87 N
185,33.297873,-101.806007,US Hwy 87 N/Co Rd 13
160,33.326900,-101.929082,FM 211/Co Rd J
160,33.165152,-101.804652,S 1st St/Ave O
185,33.041968,-101.806809,/US Hwy 87
160,33.333428,-101.912502,Hiricheta Dr
160,33.155794,-101.794749,/US Hwy 87
185,33.370734,-101.806725,Co Rd 2/US Hwy 87
160,33.166411,-101.797467,Conway St/Lockwood St
160,33.332597,-101.912515,Hiricheta Dr/Bullrun
160,33.162745,-101.796825,S 3rd St/Ave J
185,33.144522,-101.802006,/US Hwy 87 N
276,33.173191,-101.799903,Ave L/N 7th
216,33.392176,-101.601461,US Hwy 84 W
246,33.165705,-101.794639,Kington St/Harper St
160,33.051350,-101.806557,/US Hwy 87 N
160,33.321420,-101.724408,Lumsden Ave/13th St
160,32.962308,-101.883712,Co Rd 38
276,33.330164,-101.908676,N 4th St
185,33.361068,-101.558433,US Hwy 84
160,33.170279,-101.796078,N 4th St/N Main St
246,33.165662,-101.794739,Kington St/Harper St
160,32.976759,-101.831850,US Hwy 87/Ranch Rd 2053
160,33.158838,-101.793574,S 6th St/
160,32.964836,-101.831282,Baldridge St/8th St
160,33.049204,-101.806570,/US Hwy 87 N
160,33.161451,-101.803110,Avenue N/S 4th St
160,32.961698,-101.832627,11th St/Doak St
160,33.173126,-101.793139,N 7th
185,33.167481,-101.812883,N 1st St/Avenue S
160,32.963825,-102.014567,FM 2053/FM 179
160,33.156193,-101.803141,S 8th St/Avenue N
160,33.130533,-101.806437,US Hwy 87 N
160,33.375265,-101.807617,US Hwy 87
160,32.963847,-102.015683,FM 179/Co Rd D
160,32.969778,-101.829772,3rd St/Small St
160,33.279227,-101.806311,/US Hwy 87
160,32.967803,-101.834965,Gooch St/Vaughn St/5th St
185,33.228817,-101.806289,/US Hwy 87 N
216,32.968795,-101.828258,4th St/Standefer St
160,33.223280,-101.805918,/US Hwy 87
185,33.389792,-101.810557,US Hwy 87
185,33.160223,-101.793569,/S 5th St
334,33.330160,-101.909160,N 4th St/Smith Ave
185,33.171253,-101.799914,Ave L/N 5th
216,33.388935,-101.597357,Co Rd 1/US Hwy 84
160,33.228075,-101.806544,/US Hwy 87
185,33.063656,-101.806556,US Hwy 87 N/FM 3332
160,33.329452,-101.910306,Stadium Dr
160,33.051332,-101.806790,/US Hwy 87
160,33.044735,-101.806798,/US Hwy 87
160,33.225904,-101.806787,Co Rd 19/Co Rd R
160,33.198713,-101.797184,US Hwy 87 N
160,32.976572,-101.832818,/FM 2053
160,32.963841,-101.825938,9th St/Miles St
160,33.130539,-101.806660,US Hwy 87
160,32.961658,-101.828286,11th St/Standefer St
246,32.966821,-101.827097,6th St/Evans St
160,33.169361,-101.804627,/N 3rd/Ave O
160,32.976646,-101.833013,/FM 2053
160,33.170371,-101.815090,N 4th St/Country Club Ln
185,33.177534,-101.795500,/State Loop 472
185,33.330720,-101.908170,Aubrey Ln
185,33.165664,-101.795401,Harper St/Ave H
216,33.166407,-101.794636,Lockwood St/Kington St
246,33.356288,-101.806561,/Co Rd 3/US Hwy 87
160,33.278691,-101.806084,/US Hwy 87 N
160,32.962642,-101.831285,10th St/Baldridge St
160,33.155481,-101.794610,US Hwy 87 N
160,33.225913,-101.806530,Co Rd 19/US Hwy 87
160,33.171205,-101.793155,/N 5th
185,33.173822,-101.798314,Ave K
160,33.278696,-101.806316,/US Hwy 87
160,33.166538,-101.823202,US Hwy 380
160,33.332310,-101.911768,/N Main St
185,32.967786,-101.827104,5th St/Evans St
160,33.166473,-101.639549,/US Hwy 380
185,33.177649,-101.795178,Bu 87 N/Lubbock Hwy
160,32.976410,-101.832484,US Hwy 87 N/US Hwy 87 S/FM 2053
185,33.168440,-101.812879,N 2nd St/Avenue S
160,33.303148,-101.806111,/US Hwy 87 N
185,32.963861,-101.829790,9th St/Small St
160,33.170291,-101.798352,N 4th St/Ave K
185,33.158809,-101.794270,S 6th St/W Access Rd
185,33.177599,-101.795319,Bu 87 N/State Loop 472
160,33.166428,-101.801515,Ave M/Lockwood St
160,32.976029,-101.831924,/US Hwy 87 Bus/State Spur 76
160,33.329006,-101.911764,N Main St
185,33.144645,-101.802228,/US Hwy 87
160,33.173126,-101.790642,Avenue E/N 7th
160,32.965888,-101.842023,/US Hwy 87
246,33.172205,-101.798339,Ave K/N 6th
160,33.153581,-101.796881,State Loop 472/Ave J
160,33.164055,-101.794295,/S 2nd St
216,33.173168,-101.796764,N 7th/Ave J
160,33.174073,-101.795491,Ave H
160,33.361404,-101.806325,US Hwy 87 N/Co Rd 3
160,32.973176,-101.835300,/US Hwy 87 N
185,33.314668,-101.730416,12th St/Studeman Ave
185,33.324199,-101.912991,W Ave A/S 3rd St
185,33.160092,-101.794245,/S 5th St/W Access Rd
160,33.166376,-101.788940,Lockwood St/Ave D
185,33.170256,-101.793746,US Hwy 87
160,33.325156,-101.911771,/Main St/S 2nd St
160,33.156180,-101.801571,S 8th St/Ave M
160,33.173181,-101.795360,Ave H/N 7th
185,33.169354,-101.803064,N 3rd/Avenue N
160,33.093160,-101.807497,/Co Rd 28
185,33.063654,-101.806776,Co Rd 30/US Hwy 87/FM 3332
185,33.169897,-101.793793,US Hwy 87
160,33.172172,-101.793808,/N 6th
160,33.174314,-101.798305,Ave K
160,33.391249,-101.929415,FM 1730
160,33.316812,-101.806286,/US Hwy 87 N
305,33.172219,-101.799912,Ave L/N 6th
185,33.154910,-101.803157,Avenue N
160,33.165667,-101.797453,Conway St/Harper St
246,33.330169,-101.908161,N 4th St/Aubrey Ln
185,33.092691,-101.806755,US Hwy 87/Co Rd 28
362,32.968807,-101.829782,4th St/Small St
160,32.971883,-101.836217,/US Hwy 87
160,33.170297,-101.799926,N 4th St/Ave L
160,33.169890,-101.823682,/Co Rd P
216,33.371997,-101.573203,US Hwy 84 W/Co Rd Hh
216,33.331035,-101.909169,N 5th Ave/Smith Ave
160,32.991216,-101.818810,US Hwy 87/Co Rd 36
390,33.169386,-101.806458,/Ave P
160,32.983881,-101.824153,/Co Rd P
160,32.984215,-101.824982,US Hwy 87/Co Rd P
185,33.319068,-101.726984,Green Ave/13th St
160,32.983888,-101.824361,Co Rd P
160,33.385278,-101.810219,Co Rd 1
185,33.165103,-101.794345,/S 1st St
185,33.297879,-101.806262,US Hwy 87/Co Rd 13
160,33.167403,-101.799944,Ave L/N 1st St
160,33.324196,-101.724507,15th St/Vanham Ave
216,33.388975,-101.596981,Co Rd 1/US Hwy 84 W
160,33.093139,-101.806759,US Hwy 87/Co Rd 28
160,33.166475,-101.808609,Lockwood St/Ave Q
216,33.166408,-101.794347,/Lockwood St
160,32.969786,-101.831273,3rd St/Baldridge St
160,33.161453,-101.801539,Ave M/S 4th St
185,33.173164,-101.796066,Main St/N 7th
246,33.394669,-101.604977,US Hwy 84
185,33.228808,-101.806541,US Hwy 87
160,33.246761,-101.806096,US Hwy 87 N
160,33.165110,-101.797462,Conway St/S 1st St
160,32.964817,-101.825936,Miles St/8th St
216,33.385132,-101.591575,US Hwy 84 W
160,32.976149,-101.832103,US Hwy 87 N/State Spur 76
160,33.156163,-101.800003,S 8th St/Ave L
160,33.204190,-101.799315,/US Hwy 87
160,33.168377,-101.799940,Ave L/N 2nd St
160,32.971882,-101.835908,/US Hwy 87 N
160,32.978395,-101.829930,/US Hwy 87 N
160,33.173195,-101.803041,Avenue N/N 7th
160,33.287450,-101.618787,Co Rd 14/Co Rd Ff
160,33.122269,-101.806452,US Hwy 87 N/Co Rd 26
160,33.146181,-101.800864,/US Hwy 87 N
160,32.967805,-101.829793,5th St/Small St
160,32.979269,-101.829391,/US Hwy 87
160,32.976714,-101.831306,/Ranch Rd 2053
185,33.165098,-101.794744,S 1st St/Kington St
160,33.174290,-101.796061,State Loop 472/Main St/Ave H
185,33.171198,-101.812809,N 5th/Avenue S
160,33.174514,-101.798299,/Ave K
185,33.177717,-101.794953,Bu 87 N//US Hwy 87 N
185,33.166407,-101.795396,Lockwood St/Ave H
160,32.961938,-101.845453,9th St/US Hwy 87
160,33.217210,-101.803802,/US Hwy 87
160,33.364788,-101.806356,/US Hwy 87 N
246,33.171248,-101.798351,N 5th/Ave K
246,33.356296,-101.806328,/US Hwy 87 N
160,33.364800,-101.806587,/US Hwy 87
185,33.172204,-101.796066,Main St/N 6th/N Main St
160,33.323253,-101.911748,S 4th St/Main St/S Main St
160,33.020106,-101.771915,Cr S/FM 213/Sam Rd
160,33.360043,-101.556798,US Hwy 84
160,33.172152,-101.790646,Avenue E/N 6th
216,33.330144,-101.910320,N 4th St/Stadium Dr
185,33.359425,-101.556800,Co Rd 3
160,33.173162,-101.793847,/N 7th
160,33.171422,-101.793620,/US Hwy 87
160,33.342042,-101.806552,/US Hwy 87
246,33.327304,-101.806540,FM 211/US Hwy 87/FM 211 E
246,33.374358,-101.576952,/US Hwy 84
160,33.034672,-101.806590,US Hwy 87 N/Co Rd 32
246,33.157463,-101.794449,/W Access Rd
160,32.971883,-101.836423,US Hwy 87 N
185,33.092691,-101.806521,US Hwy 87 N/Co Rd 28
160,32.961157,-101.828223,Standefer St
160,33.034677,-101.806802,US Hwy 87/Co Rd 32
160,33.221490,-101.805251,/US Hwy 87
160,33.170277,-101.796801,N 4th St/Ave J
160,33.332308,-101.912520,/Hiricheta Dr
185,33.324763,-101.806530,FM 211/US Hwy 87
160,33.253073,-101.806117,US Hwy 87 N/Co Rd 191
160,32.976292,-101.832296,FM 2053/US Hwy 87/State Spur 76
160,33.268455,-101.805856,US Hwy 87 N/Co Rd 15
185,33.166410,-101.793784,US Hwy 87 N/Lockwood St
160,33.318398,-101.726110,12th St/Green Ave
160,33.164102,-101.806491,Ave P/S 2nd St
160,32.976734,-101.831544,US Hwy 87 N/Ranch Rd 2053
160,33.165125,-101.799951,S 1st St/Ave L
160,33.341836,-101.806554,/US Hwy 87/Co Rd 6
185,33.359443,-101.556800,US Hwy 84
185,33.165123,-101.801532,Ave M/S 1st St
160,32.979301,-101.829584,/US Hwy 87 S
160,33.171264,-101.803053,Avenue N/N 5th
160,33.394405,-101.652944,FM 400
160,33.166540,-101.823683,Co Rd P/US Hwy 380
160,33.373167,-101.807203,US Hwy 87
160,33.122278,-101.806679,/US Hwy 87/Co Rd 26
185,33.174143,-101.800227,N 8th/Ave L
160,33.246763,-101.806353,US Hwy 87
185,33.170268,-101.793996,N 4th St
185,33.391870,-101.601468,US Hwy 84/FM 212
160,33.167402,-101.792259,Ave F/N 1st
246,33.165707,-101.794347,Harper St
160,32.962190,-101.824147,Co Rd 38/Nassau St
185,33.170848,-101.812862,Avenue S
185,33.167453,-101.808601,Ave Q/N 1st St
160,33.164033,-101.793486,/S 2nd St
160,33.374604,-101.601451,/FM 212
276,33.168409,-101.806456,N 2nd St/Ave P
160,33.168357,-101.796800,N 2nd St/Ave J
216,33.166409,-101.794021,US Hwy 87/Lockwood St
216,33.394671,-101.605382,US Hwy 84
160,32.973062,-101.835164,US Hwy 87
185,33.329451,-101.911769,N Main St
216,33.324204,-101.911751,S 3rd St/Main St/S Main St
160,32.966816,-101.825930,Miles St/6th St
160,33.324791,-101.724237,16th St
160,33.373179,-101.806960,/US Hwy 87 N
160,33.171296,-101.806447,Ave P/N 5th
160,32.963837,-101.827110,9th St/Evans St
160,33.004272,-101.806669,Co Rd Q
246,33.327303,-101.806309,US Hwy 87 N/FM 211 E
160,33.269434,-101.806336,Co Rd 15/US Hwy 87
