Estimated daily crossings,Latitude,Longitude,Name
418,28.704167,-100.493534,Williams St/Austin St
305,28.700430,-100.468163,Westlake Blvd/Don Martin
185,28.645216,-100.420290,el Indio Hwy/Rosita Valley Rd
334,28.772380,-100.493348,Jazmin Dr
684,28.677303,-100.462736,el Indio Hwy/Homer I Lewis Blvd
276,28.702964,-100.497266,Wilson St
334,28.712705,-100.466863,Calle Chelo Rd/Cll Carr
276,28.711929,-100.505055,N Adams St/Leona St
216,28.672252,-100.486687,Zaragoza St
160,28.754546,-100.502696,Isais St
216,28.714717,-100.505645,Commercial St/Church St
305,28.721107,-100.493361,N Trinity St/Hidalgo St
499,28.728293,-100.478922,Chittim Trl
185,28.690972,-100.487741,Eidson Rd
362,28.734765,-100.495643,Lance Dr/del Rio Blvd
362,28.747073,-100.496437,Dr Gates Dr
160,28.621919,-100.420813,la Grande Rd/la Paloma Dr/la Grande Dr
185,28.692380,-100.468005,Mark Anthony St
276,28.702996,-100.493535,Wilson St/Austin St
334,28.706028,-100.496368,Crockett St
445,28.752448,-100.492673,Siesta Dr/Juanita Dr
185,28.795206,-100.371202,US Hwy 57
579,28.711219,-100.489848,Quarry St/N San Marcos St
276,28.711656,-100.479744,Harold Ave//Edna Dr
472,28.710347,-100.497694,Quarry St/N Pierce St
276,28.680577,-100.480569,Co Rd 511
334,28.677047,-100.473452,Buena Vista Dr/Co Rd 219
160,28.906418,-100.140198,/US Hwy 57
1746,28.708865,-100.479993,Harold Ave/E Main St
160,28.636952,-100.436031,Guajillos St
185,28.619999,-100.443574,/Riverside Acres
216,28.734043,-100.476321,Stone Way Dr/Stone Ln
334,28.670141,-100.418023,Canal St/Chula St
552,28.704375,-100.466302,Texcoco Dr/Falcon Blvd
160,28.694210,-100.468238,Willie St/Duffy St
305,28.736514,-100.483278,N Bibb Ave
185,28.766239,-100.494552,Deer Run Blvd/del Rio Blvd
334,28.726624,-100.503492,Rio Drive St
334,28.728927,-100.500754,Ceniza Dr
552,28.724342,-100.489839,Flowers Dr/Boehmer Ave
276,28.715468,-100.504962,Jefferson St/Cleveland St
362,28.693408,-100.484021,Flores Dr
865,28.702594,-100.466343,Ontario Dr/Falcon Blvd
160,28.777710,-100.393758,US Hwy 57
185,28.688232,-100.497014,Rainbow Cir
552,28.708736,-100.488730,N Blanco St/Main St
160,28.678209,-100.491969,Baltica
160,28.673849,-100.469995,/Canal Rd
418,28.721090,-100.491124,N Comal St/Hidalgo St
334,28.689347,-100.492249,Neviesca St/Albores St/Cll Jon Albores
276,28.733020,-100.475351,Stone Way Dr/Stone Hill
684,28.736815,-100.485193,Loop 431
185,28.636742,-100.426060,/High Noon Blvd
160,28.659383,-100.255244,US Hwy 277
216,28.695154,-100.479358,Rome Marie Dr
276,28.690816,-100.485542,/Cam del Sol
160,28.776919,-100.394887,US Hwy 57
390,28.711860,-100.479397,Harold Ave//Edna Dr
305,28.667978,-100.477686,Rio Cir
160,28.748565,-100.499603,Kiosko Rd/Garcia St
499,28.706938,-100.503890,N Adams St/E Rio Grande St
246,28.675484,-100.473009,Buena Vista Dr
445,28.747644,-100.497193,/del Rio Blvd
160,28.774578,-100.492245,Short St/Cross Creek Dr
185,28.779403,-100.391525,US Hwy 57
185,28.671225,-100.473903,Tesoro Loop
334,28.681003,-100.474587,/Buena Vista Dr
160,28.702959,-100.496306,Wilson St/Crockett St
526,28.753571,-100.495657,Juanita Dr/del Rio Blvd
499,28.728311,-100.478928,Chittim Trl/Cenizo Trl
160,28.769944,-100.480571,Blanca Cir/Elaine Cir
472,28.709055,-100.469329,E Main St
246,28.774836,-100.502219,Dalia St
216,28.664834,-100.480940,la Herradura Rd/Venesa St
418,28.700570,-100.483519,S Bibb Ave
160,28.705723,-100.425162,US Hwy 277
185,28.673800,-100.489132,Fig St/Peach St
216,28.676242,-100.481361,Eidson Rd
160,28.614459,-100.438358,/Riverside Dr/Chick Kazen St
185,28.762615,-100.516900,Imelda Dr/Imelda
160,28.702883,-100.494837,Travis St
160,28.667098,-100.444725,Old Pioneer Rd/Old Oro Rd
160,28.673998,-100.469830,Canal Rd/Los Jardines Verdes
362,28.677917,-100.478231,Sandal Cir/Nogal St
246,28.704216,-100.456323,Cody Dr/Christina Pkwy
160,28.775925,-100.488217,Deer Run Blvd/Blanca Ln/Doe Ln
160,28.610725,-100.438021,Rd 9001
362,28.729312,-100.493268,Butler Rd
418,28.730565,-100.484222,Timber Valley Dr
276,28.747963,-100.493821,Diaz St/San Miguel St
160,28.766842,-100.488999,Bison Dr/Gazelle Dr/Antelope Dr
526,28.728437,-100.481136,Willow Wood Dr/Willow Trl
216,28.705743,-100.498576,S Converse St
160,28.671481,-100.487892,Co Rd 207/Eidson Rd
246,28.614512,-100.440305,Quail Valley
499,28.734563,-100.489672,Flowers Dr/la Jolla Dr
334,28.679520,-100.480964,Co Rd 517/Eidson Rd
246,28.646624,-100.421375,Fresno St/Crane St
445,28.687687,-100.472951,/Siwell Rd
185,29.040431,-100.637650,del Rio Blvd
216,28.696707,-100.468489,Riddle St/Carolina St
1329,28.718280,-100.473511,/Fox Borough Dr/Fox Place Dr
684,28.713404,-100.486960,Kelso Dr/Hillcrest Blvd
185,28.683007,-100.475395,Jalisco St
445,28.689589,-100.481622,Richland
160,28.885013,-100.244541,US Hwy 57
631,28.736458,-100.486954,Point Loma Dr/N Point Dr
1097,28.705566,-100.511467,International Brg
362,28.747755,-100.496348,/Barrera St
472,28.711060,-100.478091,Ralph Dr
160,28.921779,-100.120446,/US Hwy 57
305,28.714131,-100.502209,Ferry St/N Monroe St
305,28.682132,-100.473955,Los Jardins Verde/Memo Robinson Rd
185,28.755937,-100.489473,Mariana Dr
246,28.676246,-100.486812,Zaragoza St/Sevilla
1355,28.724500,-100.484345,Winding Ridge Dr/Winding Ridge Cir
185,28.756968,-100.504690,Desirable Rd/Weyrich Aly
552,28.696423,-100.475633,Janna Dr
418,28.718510,-100.496178,E R R St/1st St
185,28.690695,-100.487835,Ave Linares/Eidson Rd
160,28.666043,-100.415988,Wipff Rd/
216,28.736631,-100.498768,Apple Wood St
216,28.765771,-100.492835,Antelope Dr/Steven Dr
216,28.680823,-100.462305,/Pershing Cir
418,28.722397,-100.476620,/Loop 431
160,28.667729,-100.452280,/el Indio Hwy
362,28.723657,-100.491531,Bowles Ave/Nopal Dr
390,28.730468,-100.500331,Buena Vista Dr
472,28.724775,-100.481424,Meadow Wood Dr
390,28.727823,-100.503270,Rio Drive St
160,28.699779,-100.405261,US Hwy 277
813,28.727075,-100.488043,/Memorial Dr
418,28.725020,-100.493414,de Bona Dr//Boehmer Ave
160,28.939514,-100.633835,Brown Rd
246,28.719865,-100.464236,Second St
246,28.695814,-100.489337,Florence St/Brown St
305,28.715530,-100.493266,N Trinity St/Ferry St
185,28.759950,-100.518855,Kypuros Rd/Eagle View Rd
552,28.748746,-100.491535,Frances Gates Loop
276,28.711646,-100.506176,Washington St/Leona St
445,28.719899,-100.481857,2nd St
216,28.721387,-100.498216,Ave C//4th St
185,28.743728,-100.495521,Barrera St
390,28.716368,-100.488557,Stafford Dr
1149,28.692454,-100.481298,Chorgas Dr/Highway Blvd/Elindio Hwy
216,28.697142,-100.471990,Garza St
246,28.658731,-100.441133,Sahara Dr/Sunset Loop
305,28.688032,-100.466848,Juan Cir/Las Quintas Blvd/Laura St
418,28.699987,-100.466281,Chapultepec Dr
472,28.717423,-100.479610,Vista Hermosa Dr/Acapulco Dr
334,28.699596,-100.491427,King David St
418,28.705114,-100.494781,Travis St/Bryan St
418,28.691807,-100.475886,Trail Valley Dr/Paseo Encinal Dr
216,28.726662,-100.505372,Rio Drive St
579,28.709060,-100.469072,E Main St/Cll de Los Santos
276,28.728325,-100.493475,Ricks Dr/Jodobo Dr
390,28.692458,-100.477125,Catrina Cir
579,28.729393,-100.485144,Misty Hollow Dr/Misty Willow Dr/Raintree Dr
185,28.718721,-100.462604,US Hwy 57
185,28.685302,-100.497975,Buen Vista Dr/Hilltop St/Hillside St/Hilltop Cir
216,28.705759,-100.497898,Pierce St
552,28.732639,-100.489631,Lucino Loop/Flowers Dr
305,28.708984,-100.473324,E Main St
334,28.714406,-100.501114,Ferry St/N Ceylon St
736,28.727537,-100.487006,Rockhill Dr
445,28.705938,-100.502709,E Garrison St/Jefferson St
305,28.680298,-100.462946,Lindburgh Cir/
334,28.681976,-100.461083,Elizabeth Cir
216,28.698898,-100.493322,Harding St/Adolphus St
160,28.687958,-100.478683,Coahuila St
160,28.678863,-100.483979,Guisseppi St
160,28.855830,-100.539042,del Rio Blvd
160,28.798170,-100.478852,/Thompson Rd
390,28.685572,-100.482472,Ferrer Rd/Jose Dr
160,28.653356,-100.425059,Angie Dr/Mari Dr
579,28.690152,-100.478740,Morales Cir/el Indio Hwy
216,28.714295,-100.465250,Cll de Los Santos/Cll Santos
445,28.718639,-100.491107,Thompson Dr/N Comal St
362,28.720533,-100.499696,Ave B
160,28.678465,-100.497884,Baltica
185,28.730505,-100.497336,Roberto Manuel Cir
160,28.754880,-100.501561,Hopedale Rd
445,28.688683,-100.477058,Camarinos Dr/el Indio Hwy
658,28.708540,-100.499508,N Ceylon St/Main St
246,28.706148,-100.497798,N Pierce St/Pierce St/E Garrison St
160,28.891890,-100.213927,US Hwy 57
362,28.720404,-100.498194,Ave C/3rd St
216,28.697842,-100.477011,Cherry Leaf/Camarinos Dr
216,28.684444,-100.484623,/Eidson Rd
305,28.723555,-100.478804,Royal Ridge Dr
185,28.626978,-100.414460,Anda Vista Dr/Santa Ana Cir
276,28.706084,-100.499333,N Ceylon St/E Garrison St/S Ceylon St
276,28.728968,-100.474518,Encino Dr
216,28.724341,-100.478546,Chittim Trl
362,28.706212,-100.494327,Concho St/E Garrison St
305,28.694958,-100.466911,Cecilio St/Chilo St
216,28.702950,-100.499238,S Ceylon St/Highway Blvd
160,28.771318,-100.482652,Black Tail Dr/White Tail Dr
334,28.705126,-100.493261,S Trinity St/Bryan St
216,28.697854,-100.475047,Cherry Leaf
160,29.014100,-100.172267,/FM 481
3447,28.708548,-100.484614,/US Hwy 57
579,28.715123,-100.479418,Zacatecas Dr/Vista Hermosa Dr
185,28.652682,-100.419155,Mezquite St/Las Sauces Rd
216,28.739049,-100.499714,Cesar Chavez Cir
605,28.719679,-100.493330,N Trinity St/2nd St
216,28.655732,-100.413799,Los Charros Rd/Chula Vista Rd
160,28.683440,-100.500309,Buen Vista Dr
276,28.709155,-100.458230,/US Hwy 277/Bob Rogers Dr
305,28.660508,-100.419400,Ranchitos Rd
334,28.729326,-100.497648,Roberto Manuel Cir
276,28.677875,-100.479684,/Eidson Rd/Memo Robinson Rd
160,28.682673,-100.499015,/Cll Coyunda
185,28.702874,-100.498398,Highway Blvd
710,28.711189,-100.488741,Quarry St/N Blanco St
160,28.681342,-100.488348,Callej�n Teran/Mikulinsk Rd
305,28.678392,-100.480065,/Eidson Rd
160,28.946540,-100.625676,1st St
891,28.728770,-100.491246,Spirit Ln/Nelly Mae Glass Dr
185,28.672936,-100.486592,Zaragoza St
1071,28.723512,-100.484333,Winding Ridge Dr/Royal Ridge Dr
216,28.698413,-100.497542,Travis St/Kifuri St
362,28.689923,-100.474914,Cristin Dr
305,28.725870,-100.487997,/Memorial Dr
160,28.620041,-100.433708,Rosita Valley Rd
839,28.739924,-100.496017,Frick St
891,28.691823,-100.483243,Nancy Dr
185,28.697452,-100.489315,King Arthur Dr/Florence St
968,28.711170,-100.487554,Quarry St/N Brazos St
305,28.675957,-100.476155,Mayan Cir
390,28.715135,-100.478074,Dr A K Mittal Dr/Zacatecas Dr
160,28.702482,-100.501691,/Bliss St
160,28.767232,-100.522210,Eagle Cross Rd
160,28.654742,-100.420685,FM 2030/School Cir
276,28.722077,-100.482277,Royal Point Dr/Royal Crown Dr
1071,28.725451,-100.485664,Meadow Briar Ln/Wedgefield Dr
160,28.693100,-100.468427,Los Quintas Blvd/Duffy St
526,28.719785,-100.495438,Medina St/2nd St
334,28.691495,-100.478452,Lakonia Dr/Kiriaka Dr
160,28.712207,-100.503955,Jefferson St/Leona St
684,28.715496,-100.489973,Ferry St/Fox St
839,28.709093,-100.466347,E Main St/Falcon Blvd
390,28.683657,-100.491824,Potro St/Progreso St/Cll Progreso
276,28.680178,-100.477046,Memo Robinson Rd
499,28.756760,-100.491635,Valencia Dr/Mariana Dr
472,28.723511,-100.488018,Memorial Dr/Royal Ridge Dr
276,28.668517,-100.478947,Sauz St/Venesa St
160,28.727147,-100.459776,US Hwy 57
390,28.700420,-100.467346,Don Martin Dr/Falcon Blvd/Don Martin
552,28.730378,-100.499779,Buena Vista Dr
185,28.770144,-100.481253,Blanca Cir
160,28.831701,-100.523374,del Rio Blvd
390,28.721666,-100.488039,Memorial Dr
246,28.701951,-100.492886,Roosevelt St/Luis St
499,28.695292,-100.476039,Omar Dr/Paseo Encinal Dr
160,28.635020,-100.431970,/Lagos Dr
185,28.773420,-100.493593,Iris St/Azucena Dr
445,28.710227,-100.498274,Quarry St
334,28.683562,-100.480752,Ferrer Rd/Hacienditas Rd
185,28.853308,-100.295346,US Hwy 57
216,28.697230,-100.489322,Florence St
334,28.732259,-100.494210,/Kilowatt Dr
185,28.693000,-100.467878,Los Quintas Blvd/Mark Anthony St
160,28.714010,-100.492166,N Colorado St
160,28.950365,-100.622593,4th St/Crockett Ave
276,28.746936,-100.493691,Diaz St/Dr Gates Dr
552,28.706121,-100.492108,N Colorado St/S Colorado St/E Garrison St
276,28.690859,-100.466186,T-Curi St/Las Quintas Blvd/Mark Anthony St
276,28.703598,-100.456125,Christina Pkwy
216,28.681480,-100.472192,Ln 9016
185,28.762286,-100.493386,del Rio Blvd
1123,28.709093,-100.465014,US Hwy 277/US Hwy 57/E Main St
246,28.693837,-100.473055,Montemayor St/June St
788,28.686848,-100.475044,el Indio Hwy/Heritage Farms
418,28.726429,-100.481405,Armando Cir/Maria del Refugio Dr
390,28.696800,-100.476994,Stephanie Dr/Camarinos Dr
710,28.699868,-100.487718,Roosevelt St/S Brazos St
445,28.745490,-100.495164,Becos St
160,28.765454,-100.482730,Sauz Dr/Thompson Rd
216,28.745621,-100.495754,Barrera St
418,28.687824,-100.476625,Heritage Farms
839,28.686404,-100.474495,el Indio Hwy
305,28.692222,-100.473623,Loop 3443
362,28.727749,-100.505361,Rio Dr/Rio Drive St
276,28.715137,-100.477700,Zacatecas Dr/Aztec Mall Dr
216,28.755125,-100.503078,Desirable Rd/Hopedale Rd
185,28.668313,-100.452950,el Indio Hwy
185,28.694312,-100.487098,Eidson Rd
246,28.706127,-100.498310,E Garrison St
216,28.675369,-100.472976,Buena Vista Dr/Las Brisas Dr
160,28.689959,-100.469922,Letty St/Toni St/Lety St
362,28.690156,-100.482316,Zamora Medical Cir
160,28.692345,-100.465836,Michaelangelo Dr/Las Quintas Blvd
390,28.673166,-100.483853,Venesa Dr/Pino St
160,28.663218,-100.484265,Erika St/Mindy St
216,28.705252,-100.499266,Arroyo St/S Ceylon St
160,28.682371,-100.499672,Buen Vista Dr
579,28.689919,-100.478500,el Indio Hwy
160,28.903453,-100.143645,US Hwy 57
390,28.722433,-100.494803,Juarez St/5th St/E R R St
160,28.637742,-100.428470,Arce Ln/Rosita Valley Rd
472,28.722557,-100.490479,Buckley Ave/Arlington St
276,28.703403,-100.456865,Cole St
658,28.705825,-100.504972,Washington St/E Garrison St
185,28.750390,-100.489826,Sueno Cir/Valerie Dr
160,28.656091,-100.424618,Springview Dr/Wildwood Dr
362,28.679765,-100.463503,Lindburgh Cir/
246,28.684530,-100.469534,Cedar Dr
216,28.685505,-100.466994,Las Quintas Blvd
552,28.722982,-100.493245,Buckley Ave/N Trinity St
526,28.723512,-100.487955,Royal Ridge Dr
216,28.704180,-100.490849,Williams St/Adolphus St
579,28.693669,-100.482668,Flores Dr/Elindio Hwy
185,28.646766,-100.194581,/US Hwy 277
994,28.729366,-100.486951,Misty Willow Dr/Rosewood Dr
276,28.699620,-100.504330,Ward St
160,28.645457,-100.416458,Alamo St/Chula Vista Rd
305,28.682147,-100.473943,Memo Robinson Rd
605,28.760557,-100.489757,Siesta Dr/Tina Dr
1537,28.705130,-100.485447,/Bryan St
552,28.708045,-100.499480,/N Ceylon St
526,28.709903,-100.499696,Quarry St/N Ceylon St
418,28.660955,-100.442048,/School Entry Dr
276,28.746292,-100.500278,Seco Rd/Commisary Ave
216,28.673776,-100.458994,el Indio Hwy
631,28.715867,-100.484631,Hicks Cove/Alexander Dr
658,28.731897,-100.481308,Malibu Blvd
552,28.757199,-100.491460,Valencia Dr
160,28.658818,-100.442108,el Indio Hwy
305,28.686971,-100.489453,Barbara/Ocampo
658,28.698670,-100.487510,Epting Cir
160,28.614310,-100.438152,/Chick Kazan St
160,28.673793,-100.487507,Peach St/Balcones Blvd
445,28.708644,-100.494364,Concho St/Main St
472,28.695599,-100.473281,Montemayor St
445,28.712842,-100.490963,Hillcrest Blvd/N Comal St
526,28.726900,-100.481340,Armando Cir
160,28.662632,-100.446452,el Indio Hwy
216,28.685977,-100.466984,Cortinas Cir/Las Quintas Blvd
160,28.608271,-100.425355,Dub Dr/Rios Ave
305,28.730551,-100.498223,Las Brizas Dr
160,28.671459,-100.473636,Tesoro Loop
526,28.681036,-100.466762,/el Indio Hwy
160,28.691723,-100.499646,Industrial Park Blvd
160,28.764342,-100.490824,Darrel Dr/Steven Dr
526,28.680569,-100.466626,Los Jardins Verde
216,28.769351,-100.489352,Bison Dr/Elk Ln
390,28.678745,-100.464578,Canal Rd
362,28.680077,-100.481404,Co Rd 509/Eidson Rd/Co Rd 511
160,28.610987,-100.437536,Rd 9001
362,28.683713,-100.489022,Barbara
552,28.741693,-100.496412,Herring St/del Rio Blvd
917,28.729357,-100.487920,Misty Willow Dr
334,28.651423,-100.429693,Pueblo Nuevo Dr/Wild Wood Dr
305,28.718241,-100.495581,1st St/Medina St
216,28.627779,-100.414405,Anda Vista Dr
185,28.684036,-100.496922,Boulder Ridge Dr
160,28.876001,-100.561124,del Rio Blvd
552,28.684239,-100.471679,Memo Robinson
276,28.693421,-100.480144,Chorgas Dr
865,28.718250,-100.475237,Fox Place Dr
891,28.732621,-100.481302,Foothills St
160,28.907980,-100.596048,del Rio Blvd
390,28.716908,-100.494453,Concho St
1123,28.728156,-100.485074,Raintree Dr
472,28.708233,-100.506253,Commercial St/Main St
305,28.672650,-100.487806,Macarena
276,28.686619,-100.484384,Calle Jon Pot Rd
185,28.659807,-100.443234,el Indio Hwy/School Entry Dr
185,28.713580,-100.498659,W R R St/Leona St/Ave A
246,28.721066,-100.495208,/E R R St/Hidalgo St
390,28.696357,-100.482594,Carthage Ave/Mathiwos Dr
246,28.681478,-100.482518,Eidson Rd/Callejon Teran Dr
185,28.766560,-100.490030,Reindeer Dr/Antelope Dr
246,28.725553,-100.498575,Turnpike St/George St
334,28.656653,-100.427952,Wildwood Dr
