Estimated daily crossings,Latitude,Longitude,Name
276,31.451220,-98.578544,Peach St/Trent St
160,31.452886,-98.568850,2nd St
185,31.468333,-98.435905,/US Hwy 84
160,31.447248,-98.572565,6th St/Lee St
185,31.456302,-98.571749,Berry St/Fisher St
334,31.453487,-98.570526,1st St/Fisher St
276,31.449504,-98.568861,5th St/Fisher St
185,31.446708,-98.559277,Rim Rock Rd
160,31.675118,-98.509020,E 1st/State Hwy 16/1st St
160,31.337752,-98.583741,Co Rd 411
160,31.651363,-98.755689,US Hwy 84
246,31.450646,-98.576779,Pine St/Mesquite St
185,31.446372,-98.567736,State Hwy 16/Commercial Dr
160,31.476696,-98.897864,Co Rd 536
526,31.454455,-98.576668,School St/Hanna Valley Rd
185,31.556927,-98.659985,Hudson St/US Hwy 84
276,31.446196,-98.567444,/US Hwy 183
160,31.456852,-98.576872,Campbell St
185,31.469428,-98.568171,/US Hwy 84
552,31.454859,-98.571106,Fisher St/Hanna Valley Rd
160,31.520025,-98.567027,/Cr 101
160,31.405737,-98.560941,/US Hwy 183/S US Hwy 183
216,31.467268,-98.567901,US Hwy 183/US Hwy 84
160,31.456798,-98.577994,Campbell St
185,31.556502,-98.659229,US Hwy 84
216,31.447197,-98.554209,/Quail Ridge Dr/Boykin Ln
160,31.447588,-98.573890,5th St/Barrow St
185,31.463775,-98.574289,US Hwy 183/Pco Rd 505
216,31.452368,-98.574096,Queen St/Lee St
160,31.468275,-98.575825,Pco Rd 505
185,31.625857,-98.724004,/US Hwy 84
160,31.526153,-98.604137,US Hwy 84
160,31.455662,-98.565928,Miller St
276,31.451202,-98.580283,Driscoll St/Peach St
216,31.451253,-98.574115,2nd St/Lee St
160,31.451341,-98.566519,4th St/Lynch St
160,31.448420,-98.577048,4th St
160,31.392111,-98.549233,/US Hwy 183
160,31.454377,-98.581203,Horton St/Hanna Valley Rd
160,31.525329,-98.602895,US Hwy 84
418,31.451811,-98.568684,3rd St/W Front St
160,31.447914,-98.578421,Trent St
246,31.445343,-98.570610,Hutchings St/8th St
185,31.604187,-98.697058,/US Hwy 84
216,31.469882,-98.409874,US Hwy 84
160,31.581083,-98.678011,US Hwy 84
160,31.643263,-98.521125,State Hwy 16/Co Rd 134/Co Rd 262
160,31.310914,-98.481742,/US Hwy 183
246,31.466773,-98.570456,/US Hwy 183
276,31.445126,-98.571679,8th St/Lee St
160,31.431197,-98.567385,US Hwy 183
160,31.535811,-98.505898,/Co Rd 217
305,31.456007,-98.570656,Evans St/Faulkner St
160,31.558069,-98.662023,Hudson St/5th St
334,31.455733,-98.571506,Fisher St/Evans St
216,31.557330,-98.660705,Hudson St
276,31.451538,-98.582719,Sunset Dr
160,31.456890,-98.576135,Campbell St
160,31.455148,-98.553182,US Hwy 84/Ranch Rd 2005
216,31.448187,-98.569467,6th St/Parker St
185,31.455291,-98.551829,/US Hwy 84
216,31.447537,-98.568040,US Hwy 183/Fisher St/7th St
160,31.451167,-98.570723,3rd St/Parker St
552,31.454436,-98.577319,Earl St/Hanna Valley Rd
160,31.557479,-98.660972,Hudson St/6th St
246,31.454450,-98.575612,Cline St/Hanna Valley Rd
579,31.451513,-98.569674,3rd St/Fisher St
390,31.451752,-98.576858,Mesquite St/S Maple St
185,31.489804,-98.574345,US Hwy 84
160,31.546385,-98.634043,US Hwy 84
185,31.410478,-98.846241,Co Rd 433
185,31.458631,-98.566722,US Hwy 84/Ridgeview Dr
216,31.450766,-98.582729,Sunset Dr
160,31.456847,-98.536962,US Hwy 84
276,31.451182,-98.582229,Peach St/Elza Dr
160,31.466108,-98.458588,US Hwy 84
160,31.683026,-98.595431,/FM 218
390,31.452393,-98.578521,Trent St/Queen St
216,31.445935,-98.573146,Barrow St/7th St
160,31.451592,-98.583794,Freedom St
160,31.520662,-98.567052,Cr 101/Co Rd 101
160,31.675581,-98.510209,1st St/W Ridge Dr
160,31.679057,-98.508446,Co Rd W
276,31.455980,-98.572704,Fairman St/Parker St
276,31.559436,-98.663862,3rd St
160,31.438688,-98.599629,/State Hwy 16
160,31.361418,-98.512799,US Hwy 183
160,31.583838,-98.680231,US Hwy 84
160,31.449515,-98.572382,4th St/Hutchings St
216,31.458532,-98.573774,Parker St/Little St
160,31.300694,-98.473151,/US Hwy 183
160,31.444508,-98.567404,US Hwy 183
185,31.469946,-98.408594,US Hwy 84
160,31.444423,-98.569839,State Hwy 16
579,31.453409,-98.575570,Cline St/Brim St
160,31.665996,-98.512418,State Hwy 16/Co Rd 267
160,31.466081,-98.567969,Old Priddy St
246,31.450461,-98.582723,Sunset Dr/Dixie Ln
160,31.441263,-98.577598,Holt St
246,31.448536,-98.568417,Fisher St/6th St
185,31.456818,-98.577358,Campbell St/Earl St
160,31.448227,-98.572978,5th St/Lee St
605,31.453375,-98.576620,School St/Brim St
160,31.387325,-98.543278,US Hwy 183
246,31.452436,-98.580260,Driscoll St/Proctor Dr
185,31.453184,-98.566034,Reilley St
276,31.559236,-98.664025,Hudson St/3rd St
160,31.536469,-98.619306,/US Hwy 84
246,31.559605,-98.663704,3rd St
160,31.449827,-98.567821,5th St/W Front St
160,31.484960,-98.572253,US Hwy 84/State Hwy 16
160,31.444264,-98.570098,State Hwy 16
160,31.545353,-98.414922,/Ranch Rd 2005
160,31.445191,-98.552225,Cr 360
185,31.451882,-98.568451,3rd St
160,31.487349,-98.573257,/US Hwy 84
216,31.445041,-98.572161,8th St
216,31.456154,-98.570169,W Front St/Evans St
160,31.445380,-98.570441,/8th St
185,31.452640,-98.565925,3rd St/Reilley St
216,31.444279,-98.568487,/Reynolds St
276,31.446919,-98.573563,Barrow St/6th St
160,31.313450,-98.483879,US Hwy 183/P309
246,31.447215,-98.569047,7th St/Parker St
185,31.560160,-98.664534,2nd St
246,31.451792,-98.575251,S Maple St
185,31.460161,-98.575738,Old Post Rd/Cline St
160,31.481999,-98.514171,/210/Ranch Rd 2005
160,31.465150,-98.567610,US Hwy 84
160,31.465060,-98.573582,US Hwy 183
216,31.452277,-98.582760,Sunset Dr
185,31.557185,-98.660447,/Hudson St
160,31.441261,-98.577415,State Hwy 16
185,31.466491,-98.567809,US Hwy 84
160,31.452323,-98.566968,3rd St/Lynch St
160,31.481713,-98.514695,/Ranch Rd 2005
160,31.448905,-98.567472,W Front St/6th St
160,31.309732,-98.480756,US Hwy 183/Pr Rd 415
276,31.446419,-98.578327,6th St
185,31.446166,-98.568125,/State Hwy 16
216,31.458609,-98.568893,Ridgeview Dr/Priddy Rd
160,31.474857,-98.568883,/US Hwy 84
185,31.495646,-98.576864,US Hwy 84
160,31.487738,-98.573427,/US Hwy 84
185,31.450474,-98.581351,Allen Rd/Dixie Ln
276,31.446801,-98.578837,Mockingbird St/Karen Ln
185,31.456520,-98.568891,Evans St/Priddy Rd
160,31.462480,-98.567211,US Hwy 84
305,31.454468,-98.573285,Reynolds/Reynolds St/Hanna Valley Rd
160,31.452776,-98.569112,W Front St/2nd St
160,31.454468,-98.559310,US Hwy 84
185,31.456212,-98.569967,Evans St
160,31.439101,-98.593321,/State Hwy 16
185,31.458551,-98.566710,US Hwy 84
160,31.558439,-98.664623,3rd St/Connally St
185,31.450132,-98.573806,3rd St/Lee St
216,31.466840,-98.570256,US Hwy 183
160,31.450047,-98.591199,Lovers Ln
160,31.455028,-98.564336,US Hwy 84
216,31.458027,-98.571541,Ashley St/Faulkner St
160,31.455100,-98.564459,/US Hwy 84
185,31.334813,-98.637452,/Co Rd 426
160,31.485613,-98.572551,US Hwy 84
160,31.456904,-98.575733,Campbell St/Cline St
246,31.450761,-98.583257,Brooks St
160,31.585255,-98.692370,Pr Rd 547
246,31.451804,-98.574140,Lee St/S Maple St
160,31.519661,-98.594572,/US Hwy 84
160,31.524972,-98.602408,US Hwy 84
160,31.520070,-98.566697,State Hwy 16
160,31.456874,-98.576567,Campbell St/Clyde St
160,31.487808,-98.529312,/210
160,31.454444,-98.559569,US Hwy 84
160,31.454388,-98.562573,US Hwy 84
160,31.519520,-98.462467,/Ranch Rd 2005
246,31.457791,-98.572376,Fisher St/Ashley St
160,31.455735,-98.547279,US Hwy 84/Pr 211
160,31.486189,-98.572787,US Hwy 84
160,31.361303,-98.512692,US Hwy 183/Co Rd 308
160,31.486997,-98.573107,US Hwy 84
160,31.473906,-98.318905,Ranch Rd 1047/US Hwy 84
160,31.334437,-98.496054,US Hwy 183
160,31.464238,-98.474881,/US Hwy 84
160,31.553322,-98.653334,/US Hwy 84
390,31.452378,-98.577227,Queen St/Mesquite St
185,31.452508,-98.573632,1st St/Queen St/Hutchings St
246,31.454488,-98.574157,Hutchings St/Hanna Valley Rd
160,31.482014,-98.571005,/US Hwy 84
185,31.453153,-98.571547,1st St/Parker St
418,31.452510,-98.570097,Fisher St/2nd St
160,31.467242,-98.448567,Co Rd 232/US Hwy 84/Rd 341
276,31.451212,-98.579351,Peach St
216,31.450186,-98.570282,4th St/Parker St
305,31.454553,-98.572151,Parker St/Hanna Valley Rd
160,31.453009,-98.568378,2nd St/E Front St
160,31.557873,-98.660634,Ranch Rd 573/6th St
160,31.536988,-98.620201,/US Hwy 84
185,31.453792,-98.569459,W Front St/1st St
185,31.557860,-98.663624,Connally St
160,31.466384,-98.567796,US Hwy 84/Old Priddy St
160,31.450455,-98.572753,3rd St/Hutchings St
160,31.454836,-98.555913,/US Hwy 84
246,31.452427,-98.582250,Proctor Dr
246,31.455795,-98.573741,Reynolds/Fairman St/Reynolds St
334,31.451799,-98.580259,Driscoll St/Elza Dr
216,31.461335,-98.573900,Fisher St/Weaver St
216,31.551378,-98.647936,US Hwy 84
160,31.431566,-98.567444,US Hwy 183
160,31.367742,-98.519587,US Hwy 183/Co Rd 316
305,31.446240,-98.572145,7th St/Lee St
552,31.454459,-98.576510,Clyde St/Hanna Valley Rd
216,31.459954,-98.574572,Parker St
185,31.520641,-98.566525,Co Rd 213/State Hwy 16/Co Rd 101
276,31.446891,-98.570089,7th St/Reynolds St
216,31.559792,-98.665049,Hudson St/2nd St
160,31.449191,-98.569864,5th St/Parker St
185,31.450136,-98.582721,Sunset Dr
185,31.452925,-98.564904,3rd St/State Spur 15
362,31.454405,-98.578518,Trent St/Hanna Valley Rd
160,31.374614,-98.527622,US Hwy 183
185,31.453552,-98.563273,Chaparral
160,31.454373,-98.580184,Driscoll St/Hanna Valley Rd
185,31.556809,-98.659776,US Hwy 84
216,31.559684,-98.664642,Hudson St
185,31.557079,-98.664213,Masters St
185,31.457969,-98.566621,US Hwy 84/Stuart Dr
362,31.451226,-98.576837,Peach St/Mesquite St
160,31.453672,-98.566260,Reilley St/2nd St
160,31.550244,-98.644883,US Hwy 84
472,31.452388,-98.576590,School St/Queen St
160,31.450759,-98.584631,Brooks St/Liberty St
246,31.458221,-98.574711,Reynolds St/Little St
160,31.470722,-98.408212,/FM Rd 250
185,31.450606,-98.578529,Pine St/Trent St
216,31.450666,-98.574153,Pine St/Lee St
160,31.464200,-98.494291,Co Rd 312/Co Rd 220/US Hwy 84
216,31.450757,-98.583777,Brooks St/Freedom St
160,31.468161,-98.438512,/US Hwy 84
185,31.466304,-98.571549,US Hwy 183
216,31.446374,-98.567512,US Hwy 183
185,31.464365,-98.493539,US Hwy 84
185,31.446402,-98.567523,US Hwy 183/State Hwy 16
160,31.458850,-98.572822,Fisher St/Little St
216,31.456565,-98.570899,Berry St/Faulkner St
362,31.450488,-98.569267,4th St/Fisher St
185,31.651803,-98.756600,/US Hwy 84
160,31.478953,-98.958770,FM Rd 45/Ranch Rd 586
185,31.464132,-98.479405,US Hwy 84
160,31.558462,-98.661614,5th St
160,31.447494,-98.574957,5th St/Mc Intosh St
160,31.616487,-98.711100,Co Rd 190/US Hwy 84
185,31.626140,-98.724298,/US Hwy 84
185,31.470436,-98.409088,FM Rd 250/Co Rd 249
160,31.453854,-98.564436,/State Spur 15
160,31.441279,-98.577367,Cr 431/State Hwy 16
160,31.441194,-98.577592,State Hwy 16/Holt St
216,31.559891,-98.664871,Hudson St/2nd St
160,31.455606,-98.565211,US Hwy 84/Miller St
216,31.558650,-98.663033,Hudson St
160,31.377993,-98.467254,Co Rd 318
390,31.452396,-98.575547,Queen St/Cline St
216,31.447876,-98.570496,6th St/Reynolds St
160,31.460445,-98.574772,Old Post Rd/Parker St
160,31.454705,-98.557075,US Hwy 84
160,31.446782,-98.566648,W Front St
334,31.446574,-98.571099,7th St/Hutchings St
185,31.452159,-98.571150,Parker St/2nd St
160,31.444904,-98.569159,/State Hwy 16/Reynolds St
160,31.457459,-98.530989,/US Hwy 84
160,31.560718,-98.665454,Hudson St/1st St
185,31.455227,-98.552426,US Hwy 84
185,31.454458,-98.562919,State Spur 15/US Hwy 84
160,31.462317,-98.574285,US Hwy 183/Fisher St
185,31.446468,-98.567549,US Hwy 183/Commercial Dr
160,31.653174,-98.759399,US Hwy 84
185,31.451530,-98.573204,Hutchings St/2nd St
185,31.452909,-98.564961,3rd St/Rice St
185,31.446485,-98.574944,6th St/Mc Intosh St
185,31.596859,-98.690461,US Hwy 84
185,31.429757,-98.370870,/Co Rd 333
160,31.678819,-98.507590,Co Rd W/State Hwy 16
160,31.290443,-98.464210,US Hwy 183
160,31.479832,-98.517008,/Ranch Rd 2005
160,31.444938,-98.572738,Barrow St/8th St
160,31.465138,-98.568059,Old Priddy St/Priddy Rd
390,31.451180,-98.581380,Peach St/Allen Rd
160,31.651107,-98.755219,/US Hwy 84
276,31.451157,-98.582704,Peach St/Sunset Dr
