Estimated daily crossings,Latitude,Longitude,Name
160,34.014443,-100.828499,Stewart Ave/State Hwy 70/Pipkin St
160,34.014019,-100.826941,White St
216,34.012190,-100.828358,US Hwy 62/Pipkin St/Bailey Ave
185,34.008271,-100.823771,Hazel Ave/Bundy St
160,34.230460,-100.989407,Tanner St/Main St
160,34.014159,-100.828453,Pipkin St
160,34.230348,-100.989381,Tanner St/Main St
160,34.014474,-100.826932,Stewart Ave/White St
160,34.008291,-100.820771,Hazel Ave/Eubank St
185,34.012194,-100.823795,Bailey Ave/Bundy St
160,34.006974,-100.823770,Burleson Ave/Bundy St
160,34.230379,-100.989186,Tanner St/FM 599
185,34.012740,-100.829243,Echols Rd
160,34.230953,-100.989258,FM 599
246,34.012166,-100.829468,US Hwy 62
