Estimated daily crossings,Latitude,Longitude,Name
185,32.458996,-100.474564,College Dr
216,32.463295,-100.402014,/Lamar St
216,32.456745,-100.419908,Yucca St/Hughes St
185,32.475473,-100.415311,Cypress St
185,32.488572,-100.337326,Co Rd 109/N I- 20
185,32.458023,-100.405403,Pease St/W Arkansas Ave
160,32.462458,-100.416044,W Ave C/Tom Green St
216,32.466142,-100.403680,Lamar St
160,32.486607,-100.192388,N I- 20
216,32.490583,-100.245347,S I- 20
216,32.449916,-100.521637,/Co Rd 104
185,32.458247,-100.404257,Bell St/W Arkansas Ave
216,32.452421,-100.402676,Normandy St/Bell St
276,32.478653,-100.408679,E 12th St/Fowler St
216,32.461517,-100.577060,US Hwy 84 E/Co Rd 111
185,32.511167,-100.650586,US Hwy 84
160,32.425309,-100.585052,Duncan Hastings Rd/I- 20
160,32.467053,-100.405698,W Ave C/Bowie St
276,32.483534,-100.391338,E 13th St/Duckett Dr
160,32.416578,-100.630617,/I- 20 E
216,32.448626,-100.407796,NW Georgia Ave/Throckmorton St
185,32.436859,-100.521975,/I- 20 E
160,32.445331,-100.505674,S I- 20
216,32.452481,-100.474058,N I- 20
305,32.434762,-100.531364,S I- 20
185,32.464740,-100.419878,Poplar St/I- 20M Bus
160,32.435552,-100.542724,10th St/Hickory St
216,32.431946,-100.536773,Bandera Dr
246,32.488703,-100.178325,S I- 20
246,32.451815,-100.476333,/I- 20
813,32.450003,-100.398430,Lamar St/I- 20 E
276,32.464614,-100.381887,Co Rd 304/S I- 20
160,32.435357,-100.543972,10th St/Cedar St
390,32.451323,-100.402374,Bell St/W Mississippi Ave
216,32.452933,-100.408856,W Colorado Ave/Throckmorton St
246,32.493726,-100.309748,N I- 20
160,32.467176,-100.380872,N I- 20
185,32.489756,-100.232972,/I- 20 E
216,32.465451,-100.393517,Newman St/Brookside St
185,32.470753,-100.395412,Newman St/E Ave D
160,32.459357,-100.418550,Mason St/Robert Lee St
185,32.472309,-100.411312,Pecan St/W 5th St
472,32.451485,-100.398814,Lamar St/W Mississippi Ave
362,32.450436,-100.448708,/I- 20 E
160,32.090031,-100.319428,N Blanco Ave/Grand St
216,32.471791,-100.422021,Poplar St/W 8th St
185,32.477709,-100.413549,/W 12th St
276,32.464383,-100.383281,N I- 20
185,32.461650,-100.390238,/Mustang Dr
160,32.461357,-100.408525,Murrah St/Ave J
499,32.450142,-100.442155,/N I- 20
185,32.460098,-100.399962,E Louisiana Ave/Lubbock St
216,32.490807,-100.243752,N I- 20
499,32.434945,-100.534184,N I- 20
160,32.487132,-100.189686,/N I- 20
160,32.494387,-100.292536,I- 20 E
160,32.479566,-100.394796,Lou St/Silas St
160,32.488591,-100.216286,Co Rd 126/I- 20 E
185,32.467019,-100.414882,I- 20M Bus/Mulberry St
160,32.438535,-100.537110,Cypress St/8th St
160,32.448573,-100.420231,NW Georgia Ave/N I- 20
185,32.481345,-100.377876,Mohawk St
276,32.475062,-100.421569,Vine St/W 11th St
185,32.489815,-100.237361,I- 20 E
160,32.449720,-100.519944,/US Hwy 84 E/Co Rd 274
276,32.484667,-100.355757,I- 20
185,32.485466,-100.351722,I- 20
185,32.504682,-100.415531,Redbird Dr/Quail Run Dr
216,32.479541,-100.388790,Hoyt St/I- 20M Bus
418,32.446806,-100.502472,I- 20
160,32.488467,-100.180689,White Flat Rd/I- 20 E
216,32.414964,-100.637683,/S I- 20
605,32.434352,-100.534707,I- 20 E/Main St
160,32.482722,-100.386080,E 12th St/Wardale St
185,32.449157,-100.436064,I- 20 E
216,32.447740,-100.421099,S I- 20
160,32.489880,-100.232487,I- 20/N I- 20
185,32.086047,-100.317879,del Rio Ave/Nueces St
216,32.438725,-100.535885,Main St/8th St
185,32.454714,-100.399694,Lamar St/W Colorado Ave
276,32.464640,-100.402676,Lamar St/Lewis Front St
185,32.468597,-100.416672,W 4th St/Grape St
185,32.483347,-100.366808,/Sl 549 N
160,32.305768,-100.663255,Co Rd 147
216,32.442453,-100.546252,3rd St
334,32.447151,-100.503078,/US Hwy 84 E/Blackland Rd
216,32.422115,-100.602036,I- 20/Co Rd 137
160,32.414591,-100.653044,N I- 20/Co Rd 140
160,32.458191,-100.464155,/Loop 170
185,32.449016,-100.427423,/N I- 20
160,32.431805,-100.393538,State Hwy 70
160,32.153165,-100.324207,State Hwy 70
216,32.494487,-100.295429,/I- 20
185,32.446504,-100.510207,US Hwy 84
185,32.490121,-100.237326,N I- 20
185,32.483263,-100.366903,I- 20M Bus/N I- 20
160,32.431433,-100.393439,State Hwy 70
160,32.425475,-100.585099,Duncan Hastings Rd/I- 20 E/N I- 20
216,32.458854,-100.411655,W Alabama Ave/Coke St
499,32.473049,-100.404727,Pine St/E 3rd St
160,32.488654,-100.180733,White Flat Rd/I- 20
216,32.432290,-100.393666,State Hwy 70
305,32.458828,-100.396041,Neff St/E Oklahoma Ave
216,32.490348,-100.244039,S I- 20
160,32.241255,-100.271950,State Hwy 153
185,32.457418,-100.387277,S I- 20
160,32.491154,-100.167388,/I- 20
216,32.476647,-100.396893,E 3rd St/Woodruff Ln
160,32.471028,-100.399848,Neff St/E Ave B
160,32.484339,-100.402910,Santa Fe St
185,32.476102,-100.398261,Bawcom St/E 3rd St
160,32.473899,-100.394008,E Ave B/Burke St
579,32.434664,-100.534122,I- 20
246,32.474064,-100.402558,Ragland St/E 3rd St
216,32.471156,-100.397105,E Ave C/Seaton St
216,32.483529,-100.364045,N I- 20
160,32.490510,-100.401639,E 17th St/E 16th St
276,32.447533,-100.415959,/SW Georgia Ave
185,32.469553,-100.405891,Lamar St
276,32.088809,-100.315078,Main St/Central Ave
160,32.473264,-100.419848,W 9th St/Lemon St
160,32.457110,-100.417972,Robert Lee St/Hughes St
334,32.470260,-100.407106,State Hwy 70/Locust St
185,32.461070,-100.389786,Corral St/E Arkansas Ave
216,32.465532,-100.404689,Bowie St
276,32.490860,-100.246898,S I- 20
390,32.447371,-100.414028,SW Georgia Ave
185,32.457875,-100.411412,Coke St/W Louisiana Ave
160,32.475181,-100.415300,Cypress St
185,32.086558,-100.323653,/Plano Ave
185,32.469579,-100.409483,Pecan St/I- 20M Bus
160,32.448804,-100.428350,/I- 20
334,32.454257,-100.401970,W Colorado Ave/Henderson St
390,32.446917,-100.501929,I- 20 E/I- 20
334,32.449267,-100.400342,SW Georgia Ave
185,32.436979,-100.522388,/I- 20
160,32.449984,-100.421754,Industrial Blvd
160,32.437375,-100.517867,S I- 20
160,32.443020,-100.535523,4th St/Pecan St
160,32.376524,-100.425956,/Co Rd 147
160,32.482386,-100.387792,E 12th St/Cockrell St
276,32.489578,-100.236839,S I- 20
160,32.488836,-100.180782,White Flat Rd/I- 20 E
390,32.456613,-100.407472,W Oklahoma Ave/Murrah St
160,32.488570,-100.334503,/I- 20 E
160,32.452970,-100.552251,/US Hwy 84 E
160,32.438135,-100.518028,N I- 20
