Estimated daily crossings,Latitude,Longitude,Name
160,32.740330,-97.808783,Mockingbird Ln/Golf View Dr
276,32.965298,-97.681291,Optimist
160,32.745093,-97.877311,Ellis Dr
216,32.734208,-97.750458,Timber Cove Ct
160,32.695847,-97.762734,Bear Creek Rd
185,32.968859,-97.670958,Eastridge Dr/E Third St
1667,32.731949,-97.790078,/Adams Dr
185,32.894588,-97.546129,W Main St/Locust St
160,32.723585,-97.797796,Tin Top Rd
216,32.891135,-97.566139,Azle Hwy/Creekwood Ranch Rd
160,32.751560,-97.732972,Wood Ave
185,32.763089,-97.809806,W Water St/Harcourt St
185,32.738867,-97.778880,Austin Ct
334,32.733891,-97.783262,/Washington Dr
246,32.754929,-97.732178,Rains St/Williams Ave
160,32.757044,-97.720344,/Fort Worth Hwy
216,32.810599,-98.054919,/US Hwy 180
390,32.727351,-97.871078,/I- 20
185,32.800589,-98.035813,/Mineral Wells Hwy/Maddux Rd
160,32.736106,-97.777832,Pleasant Wood Cir
160,32.674680,-97.640454,Pepperbush Ln/Portales Dr
1149,32.743654,-97.759009,Tyler Ct
160,32.930201,-97.752370,Woodhaven Dr/Prather Rd
185,32.753600,-97.764337,Chimney Rock Ct/Chimney Rock Dr
276,32.728198,-97.816910,I- 20
579,32.753534,-97.707471,I- 20 Access Rd/Newell Dr
160,32.945644,-97.586689,Old Reno Rd
160,32.979520,-97.567337,Knob Hill Rd/Adriance Ln
305,32.742575,-97.814502,S Bowie Dr/Charles St
418,32.724942,-97.627881,Pebble Beach Dr/Spyglass Dr
185,32.742226,-97.803597,S Hill Dr/S Brazos St
185,32.756510,-97.813324,W Bishop St/Love St
160,32.882031,-97.823920,Zion Hill Rd
185,32.744669,-97.638490,/Stagecoach Trl
160,32.757590,-97.676850,Arroyo Ct
160,32.772185,-97.790955,E 3rd St
160,32.870828,-97.569239,Baughman Hill Rd/Jeremiah Trl
305,32.746451,-97.734840,E I- 20 E
216,32.760281,-97.824890,Mineral Wells Hwy
160,32.727371,-97.676783,Kortney Dr
246,32.749379,-97.861228,Greenwood Cut Off Rd/Ellis Dr
160,32.695561,-97.642905,Augusta Ct
185,32.768825,-97.732560,Billo Ct
185,32.954357,-97.664445,Highland Rd
552,32.684884,-97.603632,Taos Loop/Village Pkwy/Taos Ct E
185,32.763056,-97.791278,/E Water St
246,32.728105,-97.865943,I- 20
246,32.757017,-97.730040,Fort Worth Hwy/Center Point Rd
305,32.757041,-97.722533,/Fort Worth Hwy
160,32.751789,-97.818577,Ridgeway Blvd/Mineola St
185,32.736314,-97.751986,Burning Tree Ct
160,32.809238,-97.578644,Rancho Dr/Silver Canyon Dr/Shady Elm Ct
305,32.904954,-97.637932,Dana Ct/Loma Vista Dr
160,32.767570,-97.808171,Hobson St
