Estimated daily crossings,Latitude,Longitude,Name
185,34.636423,-102.718457,E 6th St/W 6th St/S Main St/N Main St
185,34.380908,-103.041674,Ave G S/2nd St
185,34.435630,-102.977138,/FM 3333
160,34.641645,-102.718532,W 11th St/E 11th St/S Main St/N Main St
160,34.719229,-102.543266,/US Hwy 60
216,34.509877,-102.889503,H St/9th St
160,34.390002,-103.032603,/FM 292
160,34.481859,-102.923863,/US Hwy 60
160,34.397239,-103.031591,FM 292
160,34.638531,-102.715970,N Pierce Ave/E 8th St
246,34.379606,-103.041682,Ave High School/2nd St
185,34.392929,-102.903699,Co Rd Y/Co Rd 8
160,34.639489,-102.724832,W 9th St/Woodland Ave
246,34.640179,-102.736757,Austin Ave
160,34.348346,-102.945317,US Hwy 70
160,34.636164,-102.728321,W 6th St/Greene Ave
160,34.331417,-102.911859,Co Rd Dd/US Hwy 70
160,34.376683,-103.037914,Ranch Rd 292/5th St
160,34.668113,-102.636958,FM 3140
160,34.526641,-102.886001,FM 1731
216,34.508126,-102.886094,/South St/8th St
160,34.640562,-102.721049,W 10th St/Cleveland Ave
160,34.377425,-103.000596,US Hwy 70/Co Rd Z
276,34.389127,-103.041614,2nd St
160,34.386132,-103.041665,Ave C S/2nd St
185,34.394783,-103.043610,N Stateline Rd
160,34.387430,-103.032565,9th St/Ave B S
185,34.378332,-103.033049,FM 292/Ave I S/900 Loop
276,34.383520,-103.042979,Ave E S/1st St
160,34.637625,-102.711090,E 7th St
160,34.397600,-103.031832,FM 292/US Hwy 60
160,34.388720,-103.036412,6th St/Ave A S
418,34.379662,-103.033784,Ave H S
185,34.641700,-102.713455,S Jackson Ave/E 11th St
216,34.511084,-102.889085,State Hwy 86/Hwy 86/8th St
160,34.644717,-102.723823,Elm Ave/W 14th St
185,34.380901,-103.043778,Ave G S/State Hwy 348
305,34.383525,-103.037730,5th St/Ave E S
160,34.644728,-102.722775,W 14th St/White Ave
160,34.520981,-102.889147,North St/2nd St
185,34.405488,-103.020580,US Hwy 60
185,34.637555,-102.712173,South Virginia Ave/E 7th St
216,34.378324,-103.036277,Ave I S
246,34.643719,-102.718573,E 13th St/W 13th St/N Main St
160,34.641597,-102.722747,W 11th St/White Ave
160,34.379883,-103.043774,Sandia Dr/St Line Rd/State Hwy 348
185,34.510707,-102.890310,9th St/Ave G
160,34.397168,-103.031566,FM 292
160,34.384787,-103.033835,Ave D/8th St
246,34.388710,-103.032574,9th St/FM 292/Ave A S
305,34.512009,-102.888386,7th St/Ave G
160,34.389389,-103.036313,6th St
246,34.380908,-103.035145,Ave G S/7th St
185,34.637814,-102.736348,/Austin Ave/W 11th St
185,34.387426,-103.040369,3rd St/Ave B S
185,34.383503,-103.035121,Ave E S/7th St
160,34.334046,-102.914203,/Loop 403
276,34.384705,-103.032553,9th St/Ave D Exd
160,34.639470,-102.726088,W 9th St/Ashland Ave
160,34.633197,-102.727316,Grand Ave/3rd St
160,34.634254,-102.732126,Beach Ave
160,34.387305,-103.043586,/Ave B S
185,34.641668,-102.716006,N Pierce Ave/E 11th St
160,34.651937,-102.674635,/US Hwy 60
390,34.388736,-103.043613,State Line Rd
185,34.637472,-102.718468,W 7th St/E 7th St/S Main St
160,34.641626,-102.721077,W 11th St/Cleveland Ave
160,34.641559,-102.726108,W 11th St/Ashland Ave
160,34.391315,-103.025990,Co Rd 1/Co Rd Y
160,34.599807,-102.776280,/W 11th St
185,34.378334,-103.041690,Ave I S/2nd St
160,34.567180,-102.590052,Co Rd M/FM 1172
334,34.378319,-103.036862,6th St/Ave I S
160,34.376606,-103.043760,Sr348/John Aldridge Rd
185,34.376622,-103.043093,Manana Dr/John Aldridge Rd
160,34.514912,-102.888032,Boyce St/Avenue E
160,34.668776,-102.636929,Co Rd 23/FM 3140/US Hwy 60
185,34.641465,-102.729516,W 11th St
216,34.383523,-103.043698,Ave E S
160,34.644735,-102.722133,W 14th St
160,34.636336,-102.724762,W 6th St/Woodland Ave
160,34.513733,-102.891767,D Ave/8th St
185,34.375915,-102.997455,/US Hwy 70
185,34.387206,-103.017892,US Hwy 70
185,34.641552,-102.727245,Grand Ave/W 11th St
216,34.387425,-103.036408,6th St/Ave B S
160,34.509878,-102.891862,/State Hwy 86
185,34.351659,-102.952793,/US Hwy 70
160,34.641758,-102.706572,US Hwy 60
160,34.636376,-102.720983,W 6th St/Cleveland Ave
160,34.651693,-102.674495,/US Hwy 60
160,34.702658,-102.543335,Co Rd D/Co Rd 28
216,34.386138,-103.039074,4th St/Ave C S
160,34.646837,-102.689192,/US Hwy 60
160,34.641684,-102.714739,Columbia Ave/E 11th St
160,34.641539,-102.728602,W 11th St/Greene Ave
160,34.716842,-102.548312,/US Hwy 60
160,34.333757,-102.718983,/Hwy 214
305,34.384464,-103.039071,4th St
246,34.390557,-103.043507,/US Hwy 60
185,34.380906,-103.032376,Ave G Exd
160,34.634205,-102.730928,Ash Ave
160,34.639641,-102.709744,E 9th St/S Walnut Ave
185,34.645773,-102.725112,W 15th St/James Ave
185,34.345718,-102.938719,Co Rd 6
160,34.389790,-103.032600,FM 292
160,34.387452,-103.042951,Ave B S/1st St
185,34.376648,-102.997849,/FM 145
160,34.382229,-103.042977,Ave F S/1st St
216,34.376684,-103.036869,Ranch Rd 292/6th St
276,34.513479,-102.888218,Ave F/Halsell St
160,34.639537,-102.719790,W 9th St/Euclid Ave
160,34.635294,-102.727295,Grand Ave/W 5th St
160,34.638510,-102.719788,Euclid Ave/W 8th St
185,34.386129,-103.036430,6th St/Ave C S
