Estimated daily crossings,Latitude,Longitude,Name
160,29.671778,-100.007555,E 5th St/Lland St
160,29.769701,-99.720554,US Hwy 83/Chalk Creek Rd
216,29.714536,-99.760369,FM 1120/Evergreen St/Ranch Rd 1120
216,29.727489,-99.762229,3rd St/Market St
160,29.723943,-99.760190,6th St/Pecan
334,29.724851,-99.761061,School St/5th St
334,29.724225,-99.762086,Evergreen St/6th St
334,29.725918,-99.762784,4th St/Market St
160,29.764989,-99.900079,Pinon Loop E/Ranch Rd 337
216,29.719624,-99.762350,Sunset Ln
160,29.774151,-99.715343,Roy Chisman Rd/US Hwy 83
160,29.665874,-100.010016,Frio St/E South St
305,29.704727,-99.749440,Flat Rock Rd/Flatrock Rd
160,29.724378,-99.954494,Ranch Rd 337
160,29.628517,-99.756307,US Hwy 83
160,29.728828,-99.761265,/1st St/Evergreen St
160,29.702490,-99.754434,Ranch Rd 1120
160,29.727703,-99.763412,Mountain/3rd St
246,29.722295,-99.763331,Market St/7th St
276,29.720404,-99.763313,Clark Moore/Leakey Tower Rd/Market St
160,29.672898,-100.012440,Frio St
160,29.721654,-99.762796,/Vaughan Ln
160,29.669655,-100.011573,/E 4th St
160,29.634032,-99.736368,Deer Creek Rd/Ranch Rd 2748
160,29.723851,-99.750517,Cam Baja
216,29.719338,-99.760452,Middleton Dr/Evergreen St
185,29.723680,-99.749867,Cam Bajo/Cam Baja
160,29.724560,-99.764079,Mountain/6th St
246,29.722075,-99.763329,Market St
160,29.770580,-99.715009,Roy Chisman Rd
160,29.708393,-99.763141,US Hwy 83/Suttle Way
160,29.764767,-99.900301,Mitchell Ranch Rd/H Ray/Ranch Rd 337
246,29.722223,-99.764103,/7th St
334,29.724991,-99.761947,5th St/Evergreen St
160,29.705402,-99.757380,Ranch Rd 1120
185,29.672698,-100.004150,Ranch Rd 337
185,29.669906,-100.012599,/Nueces St
276,29.726731,-99.762604,Market St/Main St
160,29.722526,-99.747102,/Cam Alto/Ranch Rd 337
246,29.727535,-99.762487,3rd St/Market St
160,29.649674,-99.739632,/Ranch Rd 1120
276,29.724394,-99.763106,6th St/Market St
185,29.733551,-99.760993,Market St/Live Oak Cir
246,29.828002,-99.677288,/US Hwy 83
160,29.723090,-99.763324,Market St
216,29.721623,-99.763325,Vaughan Ln/Market St
160,29.728846,-99.761357,1st St/Market St
185,29.722618,-99.747871,Ranch Rd 337
216,29.725451,-99.763890,Mountain
216,29.724673,-99.764910,6th St
160,29.729016,-99.762228,Market St/1st St
216,29.727375,-99.761517,3rd St/Evergreen St
160,29.667434,-100.011743,W 2nd St/Nueces St/E 2nd St
216,29.728249,-99.762362,Market St/2nd St
246,29.719893,-99.762371,Sunset Ln
160,29.695550,-100.023736,Mc Donalds/Dump Rd/State Hwy 55
160,29.731857,-99.760775,Market St/Live Oak St
160,29.727109,-99.763538,Mountain
160,29.724694,-99.770534,6th St/Timbers Dr
216,29.721514,-99.763324,Market St/Cedar Hill Aly
185,29.625052,-99.755454,US Hwy 83
160,29.670854,-100.007234,E 4th St/Lland St
160,29.715508,-99.760218,FM 1120/Evergreen St
216,29.683122,-99.745300,/Ranch Rd 1120
160,29.628326,-99.756261,US Hwy 83
185,29.624763,-99.755369,US Hwy 83
185,29.625381,-99.755536,US Hwy 83
160,29.724688,-99.765719,6th St
216,29.664511,-99.756017,US Hwy 83
185,29.670433,-100.012782,W 5th St/E 5th St/Nueces St
185,29.672317,-100.013445,W 7th St/E 7th St/Nueces St
216,29.730789,-99.760858,Market St
160,29.726068,-99.763759,4th St/Mountain
216,29.718499,-99.760330,Evergreen St/Oak Hills Dr
160,29.730382,-99.753636,Leakey Springs Rd
160,29.684486,-99.746284,Persimmon Rd/Ranch Rd 1120
185,29.670315,-100.013242,W 5th St
185,29.720452,-99.762417,Clark Moore/Clark-Moore St/Sunset Ln
160,29.669428,-100.012433,W 4th St/E 4th St/Nueces St
160,29.665597,-100.011085,Nueces St/E South St/Leon Klink St
216,29.684901,-99.844722,Heyne Ranch Rd
185,29.722610,-99.747810,/Ranch Rd 337
160,29.731382,-99.760771,Market St/Childress Rd
276,29.719359,-99.763303,Middleton Dr/Market St
390,29.715135,-99.763238,Market St/US Hwy 83/Ranch Rd 1120
160,29.665773,-99.756265,Bailey/US Hwy 83
216,29.827502,-99.677532,US Hwy 83
160,29.634456,-99.737329,Ranch Rd 1120/Ranch Rd 2748
160,29.724690,-99.771443,6th St/Ranch Rd 337
160,29.712285,-99.758656,Flatrock Rd
160,29.726885,-99.763586,Mountain/Main St
160,29.665927,-99.756295,/US Hwy 83
160,29.706473,-99.758878,Ranch Rd 1120
160,29.739958,-99.745165,Davis Pl
246,29.725304,-99.763921,Mountain/5th St
185,29.723978,-99.760435,6th St
185,29.705852,-99.751793,Guinn Ave/Flatrock Rd
160,29.741393,-99.746149,Holmes Dr
216,29.726583,-99.761660,Evergreen St/Main St
160,29.672606,-100.012340,Frio St/E 7th St
305,29.724089,-99.761223,School St/6th St
160,29.667136,-100.012864,W 2nd St/Leon Klink St
216,29.721711,-99.763325,Market St
160,29.691774,-99.752848,Ranch Rd 1120
160,29.725628,-99.760896,School St/4th St
160,29.657312,-99.741410,/Ranch Rd 1120
160,29.726227,-99.759201,Main St
160,29.667383,-100.011937,/W 2nd St
216,29.728150,-99.761339,Evergreen St/2nd St
160,29.731481,-99.760766,Market St/Bill Brice Ln
160,29.721678,-99.762674,Vaughan Ln
160,29.726354,-99.774816,Ranch Rd 337
160,29.669716,-100.011342,Frio St/E 4th St
216,29.725768,-99.761807,4th St/Evergreen St
185,29.733332,-99.760961,Market St
160,29.690477,-99.751736,/Ranch Rd 1120
216,29.728171,-99.761759,Market St/2nd St
160,29.723837,-99.759455,6th St
185,29.625234,-99.755500,/US Hwy 83
160,29.740471,-99.608011,/Ranch Rd 337
185,29.729988,-99.762058,Market St
160,29.734614,-99.743478,Bud Danner Dr
185,29.716437,-99.763267,/Market St
160,29.805009,-99.686479,US Hwy 83
246,29.722255,-99.763758,/7th St
160,29.687234,-99.748404,Ranch Rd 1120
160,29.669451,-100.016601,W 5th St
276,29.725150,-99.762949,5th St/Market St
160,29.670804,-100.019233,River Rd
160,29.724242,-99.954761,/Ranch Rd 337
160,29.805428,-99.686026,US Hwy 83
