Estimated daily crossings,Latitude,Longitude,Name
246,34.145465,-99.307610,Franklin Dr/Sand Rd
160,34.150338,-99.235078,/US Hwy 287 E
160,34.153773,-99.274361,St James St/Pease St
185,34.154403,-99.301887,Maiden St/Texas St/Ross St
160,34.214425,-99.386040,/US Hwy 287
160,34.068211,-99.006188,Co Rd 125 S
160,34.072003,-99.335515,FM 433 W
390,34.152575,-99.298729,Stephens St/Bus Hwy 287
276,34.128707,-99.141762,/1st St
246,34.084729,-99.372543,W 4th St/N 21st St
160,34.148842,-99.298660,Stephens St/Yamparika St
185,34.133647,-99.147835,US Hwy 287 E
246,34.148208,-99.227135,/US Hwy 70
160,34.130997,-99.162251,US Hwy 70
185,34.145076,-99.215394,US Hwy 287 E
160,34.134933,-99.333554,Cottonwood Rd
160,34.097822,-99.069781,US Hwy 287
160,33.974237,-99.230313,/Zacaweista Dr
362,34.160302,-99.301499,US Hwy 287 W/Harrison St
185,34.124984,-99.298218,/Stamps Ave
246,34.128791,-99.143006,/King St
185,34.146161,-99.286545,Indian St/Deaf Smith St
160,34.081982,-99.032623,Frontage Rd/Worsham St
305,34.146331,-99.312645,Clair Dr/Yamparika St
579,34.147035,-99.310097,Cindy St/Yamparika St
216,34.143159,-99.300934,Gordon St
185,34.155616,-99.280014,Lexington St/Olive St
185,34.145822,-99.314529,Yamparika St/High School Dr
472,34.152665,-99.292297,Wheeler St/Bus Hwy 287
160,34.046315,-98.952749,County Line Rd
160,34.146312,-99.277481,Pearl St/Indian St
216,34.159881,-99.298159,Dorris Dr/Bentley St
605,34.154599,-99.287842,Lamar St/Texas St
276,34.158432,-99.278976,Dawson St/Eagle St
246,34.155926,-99.299736,Luna St/Harrison St
216,34.148815,-99.300239,Yamparika St/Herbert St
276,34.150933,-99.281059,Paradise St/Bowie St
246,34.126897,-99.338396,Alice Dr/Almonta Dr
160,34.138237,-99.311119,Martindale Dr
160,34.221253,-99.399116,US Hwy 287/Co Rd 93 N/Co Rd 93 S
276,34.142475,-99.285378,Canal St/Fannin St
216,34.146366,-99.300522,Bismarck St/Powell St
246,34.150173,-99.318714,Stadium Dr
160,34.132635,-99.134926,US Hwy 70
418,34.152469,-99.305183,13th St/Bus Hwy 287
160,34.143971,-99.314446,Franklin Dr/Hilltop Dr
160,34.086128,-99.268333,US Hwy 183/Co Rd 132 E
160,34.118371,-99.232271,/FM 1949
160,34.060043,-98.986412,US Hwy 287/Co Rd 127 N
390,34.141636,-99.306038,Sand Rd/Gordon St
216,34.131890,-99.163788,/US Hwy 70
160,34.152401,-99.267860,Harold St/Bus Hwy 287
160,34.141586,-99.280869,Peter Cooper St/Bowie St
160,34.086319,-99.366440,Hwy 70 S/N 9th St
160,34.132462,-99.138392,/US Hwy 287 E
160,34.127597,-99.335129,Alice Dr/Co Rd 95 S
185,34.149966,-99.326116,/Wilbarger St
185,34.152461,-99.327568,Horseshoe Dr
390,34.157905,-99.323898,Brewer Ln/Woodland Ave
246,34.142367,-99.303863,/15th St/Gordon St
185,34.158387,-99.271355,Laurie St
160,34.081055,-99.031929,US Hwy 287/FM 1763
160,34.167017,-99.305095,Harrison St/Richardson St
246,34.155378,-99.297657,Olive St
334,34.161041,-99.301735,US Hwy 287 W/Harrison St
334,34.159585,-99.313305,Bus Hwy 287
246,34.158730,-99.273926,US Hwy 287 E/Dawson St
334,34.150878,-99.284431,Paradise St/Main St
185,34.159416,-99.316788,/College Dr/Garland Johnston Dr
185,34.158259,-99.291206,Dawson St/Wood St
246,34.152782,-99.281059,Bowie St/Bus Hwy 287
160,34.273007,-99.379146,FM 924 W
160,34.161988,-99.292465,Mill St/Wheeler St
185,34.160172,-99.288979,Houston St/McKinney St
160,34.131969,-99.336479,FM 2073/Co Rd 95 S
216,34.164502,-99.315277,Augusta St/Hillcrest Dr
216,34.160766,-99.295237,US Hwy 70
305,34.155846,-99.315422,Yucca Ln/Maple St
216,34.131493,-99.308113,Canyon Oak/Spanish Oak
185,34.147757,-99.308662,Yamparika St/Sand Rd
160,34.154713,-99.275459,Texas St/Eastland St
246,34.155999,-99.320831,College Dr/Stadium Dr
160,34.125255,-99.315247,Foster Rd
160,34.109339,-99.352268,Hwy 70 S
216,34.163947,-99.315055,Hillcrest Dr/Bus Hwy 287
160,34.185112,-99.330482,FM 925/US Hwy 287
418,34.153552,-99.296616,Pease St/Tolar St
160,33.974049,-99.231362,/Zacaweista Dr
445,34.151840,-99.285522,Fannin St/Marshall St
246,34.162343,-99.291338,Wood St
418,34.159256,-99.285667,Dean St/US Hwy 287 W/Fannin St
390,34.149928,-99.286598,Wichita St/Deaf Smith St
160,34.431266,-99.341766,US Hwy 283
246,34.141667,-99.288697,Houston St/Peter Cooper St
246,34.159253,-99.286781,Dean St/Deaf Smith St
185,34.150067,-99.273094,Wichita St/Sherman St
160,34.150998,-99.274231,St James St/Paradise St
276,34.155502,-99.302361,Luna St/Ross St
160,34.126770,-99.334877,Hayden Dr/Co Rd 95 S
276,34.150792,-99.292252,Paradise St/Wheeler St
160,34.165401,-99.316429,Spring Hill Dr/Country Club Rd W/Country Club Rd E
185,34.149998,-99.279892,Wichita St/Lexington St
579,34.153625,-99.293442,Turner St/Pease St
160,34.163916,-99.285609,Fannin St/Ackerly St
160,34.179014,-99.278325,US Hwy 283
160,34.145363,-99.304047,Bismarck St/14th Dr
362,34.159225,-99.288986,Dean St/Houston St
216,34.157984,-99.267123,/US Hwy 287 E
216,34.141671,-99.289879,Peter Cooper St/Antelope St
246,34.157490,-99.278961,Wanderer St/Eagle St
334,34.156464,-99.285622,Fannin St/Maiden St
185,34.150003,-99.278732,Wichita St/Eagle St
526,34.155411,-99.293411,Turner St/Olive St
246,34.149227,-99.230115,US Hwy 287 E
246,34.157585,-99.267256,/US Hwy 70
160,34.143676,-99.299866,Carol St/Gordon St
185,34.244121,-99.459296,/US Hwy 287
160,34.084718,-99.365791,N 9th St/FM 433 W
160,34.130396,-99.157697,US Hwy 70
390,34.146100,-99.292191,Massie St/Wheeler St
246,34.144207,-99.295418,Peck St/Gordon St
216,34.164951,-99.316002,Spring Hill Dr/Country Club Rd
160,34.154942,-99.305489,Cleburne St/1st St/13th St
362,34.157506,-99.312469,Locust St/Bus Hwy 287
160,34.153793,-99.273354,Sherman St/Pease St
216,34.152721,-99.287811,Lamar St/Bus Hwy 287
216,34.141525,-99.303474,15th St//Beaver St
160,34.343986,-99.420189,Britton St W/Adams St N
276,34.151386,-99.289993,Antelope St
185,34.149028,-99.286591,Yamparika St/Deaf Smith St
160,34.144504,-99.298736,Herbert St/Mansard St
276,34.149979,-99.312790,Loma Linda Dr/Yucca Ln
246,34.155904,-99.296646,Maiden St/Bentley St/Tolar St
185,34.132130,-99.302198,Sand Rd
276,34.152649,-99.293442,Turner St/Bus Hwy 287
160,34.145237,-99.285416,Fannin St/Mansard St
160,34.146825,-99.329132,Hwy 70 S
160,34.148911,-99.292236,Wheeler St/Yamparika St
216,34.141575,-99.303291,15th St/Beaver St
276,34.160292,-99.300692,US Hwy 287 W
246,34.160259,-99.284561,US Hwy 287 W/US Hwy 287 E/Main St
246,34.155430,-99.310478,Buffalo St/Kelly St
160,34.152225,-99.312553,Wilbarger St/Loma Linda Dr
160,34.157456,-99.280037,Lexington St/Wanderer St
305,34.154653,-99.282211,Texas St/Mesquite St
246,34.145119,-99.294327,Mansard St/Nabers St
305,34.126049,-99.338074,Hayden Dr/Almonta Dr
334,34.146630,-99.311562,Clair Dr/Yamparika St
160,34.159316,-99.277779,Pearl St/US Hwy 287 E
246,34.142181,-99.306267,Cottonwood Ln/Sand Rd
216,34.153722,-99.281051,Pease St/Bowie St
185,34.076133,-99.021179,/US Hwy 287/State Hwy 240
160,34.086083,-99.268326,US Hwy 183/FM 433 W
160,34.055642,-98.976721,US Hwy 287
305,34.155829,-99.315643,Maple St
160,34.148040,-99.269119,Atlanta St/Georgia St
246,34.157228,-99.267401,US Hwy 287 E
185,34.132240,-99.308243,Oaklawn Dr
185,34.157559,-99.315605,/Hospital Dr
216,34.153644,-99.286690,Pease St/Deaf Smith St
390,34.152290,-99.311313,/Wilbarger St
390,34.154023,-99.305260,Texas St/13th St
185,34.164776,-99.317065,Country Club Rd
160,34.160144,-99.291267,McKinney St/Wood St
305,34.148870,-99.296501,Yamparika St/Tolar St
160,34.159291,-99.281212,US Hwy 287 E/Bowie St
160,34.133453,-99.147392,/US Hwy 70
160,34.072992,-99.014620,Frontage Rd/US Hwy 287
185,34.157539,-99.319008,/Hospital Dr/College Dr
246,34.156250,-99.299866,Luna St/Harrison St
216,34.158940,-99.323852,Brewer Ln/Palmer Dr
160,34.152727,-99.287210,Bus Hwy 287
160,34.144310,-99.299377,Powell St/Mansard St
160,34.147156,-99.284355,Bismarck St/Main St
216,34.305880,-99.299164,Northside Dr/US Hwy 283
160,34.165313,-99.316340,Spring Hill Dr
246,34.149666,-99.269783,Yamparika St/Georgia St
160,34.140866,-99.310860,Cottonwood Ln/Twin Oaks Dr
160,34.149174,-99.264809,Anna St/Atlanta St
216,34.149711,-99.302918,12th St/Wichita St
362,34.148469,-99.312011,/Yucca Ln
160,34.136470,-99.175318,Co Rd 111 N
216,34.145183,-99.289932,Antelope St/Mansard St
160,33.989604,-99.224342,US Hwy 183/Brock I Rd S
246,34.141522,-99.288696,Houston St/
160,34.134587,-99.309998,Youpon Dr
216,34.149044,-99.281006,Yamparika St/Bowie St
246,34.149030,-99.282089,Yamparika St/Mesquite St
160,34.159309,-99.279014,US Hwy 287 E/Eagle St
185,34.153031,-99.324303,Una Dr/College Dr
185,34.147058,-99.294357,Bismarck St/Nabers St
246,34.154404,-99.298759,Stephens St/Texas St
160,34.157444,-99.283386,Cumberland St/Wanderer St
334,34.140888,-99.305748,Beaver St/Sand Rd
216,34.151883,-99.278793,Marshall St/Eagle St
216,34.132953,-99.307709,Johnson Dr
526,34.163062,-99.312217,US Hwy 287 W/
185,34.077828,-99.024860,/US Hwy 287
305,34.160304,-99.304321,US Hwy 287 W/Ross St
305,34.152744,-99.285044,Bus Hwy 287
185,34.151997,-99.271950,Pine St/Marshall St
160,34.150097,-99.271896,Pine St/Wichita St
631,34.156436,-99.289009,Houston St/Maiden St
185,34.155158,-99.258759,US Hwy 287 E
160,34.143559,-99.306839,Circle Dr/Sand Rd
276,34.150947,-99.278755,Paradise St/Eagle St
160,34.144250,-99.289902,Antelope St/Gordon St
185,34.161150,-99.295936,US Hwy 287 W/
160,34.220489,-99.399528,Co Rd 93 S/Co Rd 114 W
216,34.152262,-99.311848,/Wilbarger St
160,34.152757,-99.246590,US Hwy 287 E/US Hwy 70
185,34.127945,-99.133697,US Hwy 287/US Hwy 287 E
216,34.148617,-99.250145,Country Estates Rd/Shivers Rd
185,34.165111,-99.315086,/US Hwy 287 W
246,34.158242,-99.297554,Bentley St/Bacon St
246,34.158260,-99.290184,Dawson St/Antelope St
160,34.150119,-99.264411,Browning St
185,34.081417,-99.033972,Frontage Rd
605,34.160802,-99.315169,/College Dr
160,34.148766,-99.302902,12th St/Yamparika St
305,34.159636,-99.294440,Denton St
246,34.158059,-99.310356,Tolbert St/Locust St
160,34.343467,-99.418510,Jones St/FM 91 W
160,34.130534,-99.143028,Texas St/Loop 145
160,34.084420,-99.370316,W 2nd St/N 17th St
185,34.150639,-99.301506,Paradise St/Powell St
160,34.146983,-99.268700,Rincon St/Georgia St
418,34.159256,-99.283417,Cumberland St/US Hwy 287 E
160,34.149343,-99.232453,US Hwy 70/State Loop 488
160,34.130431,-99.160698,FM 433 E/US Hwy 70
160,34.147086,-99.289963,Bismarck St/Antelope St
390,34.152562,-99.299706,/Bus Hwy 287
160,34.143261,-99.293236,Montgomery St/Beaver St
160,34.162130,-99.284603,Main St
160,34.155605,-99.278908,Olive St/Eagle St
418,34.150869,-99.285499,Paradise St/Fannin St
160,34.102672,-99.356384,Co Rd 128 W/Hwy 70 S
160,34.158524,-99.317842,College Dr
185,34.148082,-99.285469,Fannin St/London St
185,34.151744,-99.262901,Commerce St/Bus Hwy 287
216,34.158336,-99.272438,US Hwy 287 E/Brook St
1097,34.161987,-99.313786,US Hwy 70
246,34.084778,-99.372659,N 21st St
160,34.142487,-99.300087,Beaver St/English Dr
160,34.151862,-99.279953,Lexington St/Marshall St
160,34.148915,-99.226876,FM 1763
305,34.163363,-99.314822,/Bus Hwy 287
160,34.142787,-99.295402,Peck Cir
185,34.161113,-99.295158,US Hwy 287 W/Nabers St
276,34.170120,-99.317922,US Hwy 287
185,34.078971,-99.025893,/Frontage Rd
246,34.155934,-99.311844,Maple St/Bus Hwy 287
160,34.161136,-99.290230,US Hwy 287 W/Antelope St
305,34.158352,-99.284546,Dawson St/Main St
334,34.140922,-99.305763,Crescent Dr/Sand Rd
216,34.165144,-99.315531,Hillcrest Dr
185,34.150128,-99.269981,Wichita St/Georgia St
305,34.150409,-99.326904,/College Dr/Horseshoe Dr
160,34.165421,-99.316371,Country Club Rd E
160,34.143245,-99.294350,Beaver St/Nabers St
160,34.084165,-99.371253,N 19th St/W 2nd St
160,34.163681,-99.285608,Fannin St
390,34.159921,-99.313440,Hillcrest Plz/Bus Hwy 287
160,34.074096,-99.018558,Frontage Rd
362,34.150863,-99.287796,Paradise St/Lamar St
160,34.144219,-99.294350,Gordon St/Nabers St
736,34.153458,-99.303017,12th St/Pease St
160,34.114490,-99.349095,St James Rd/Hwy 70 S
185,34.076689,-99.020784,Frontage Rd/State Hwy 240
