Estimated daily crossings,Latitude,Longitude,Name
185,41.518117,-111.162490,S Main St
160,41.892908,-111.369459,Breeze Way/E Breeze Way/S Spoke Way/Spoke Way
160,41.896106,-111.393663,Wedge Way
185,41.962253,-111.400339,N Bear Lake Blvd
160,41.517928,-111.162888,S Main St
160,41.963589,-111.406268,Newberg Pl/Newberg Dr
216,41.985063,-111.408122,N 660 W
216,41.667679,-111.184908,Canyon St/E Canyon St/N Main St
160,41.986270,-111.410400,N 730 W
185,41.846499,-111.351520,State Hwy 30
160,41.908578,-111.282572,/N Cisco Rd
160,41.937217,-111.397061,Maple Dr/Aspen Dr
305,41.946712,-111.401771,US Hwy 89
160,41.985766,-111.410743,/N Bear Lake Blvd
160,41.893543,-111.369525,Galley St/Spoke Way
160,41.928039,-111.396787,S Bear Lake Blvd
160,41.900732,-111.421053,Aspen Loop/Panorama Cir
160,41.932786,-111.403563,W Spruce Cir
216,41.949788,-111.393288,W 200 N/N Bear Lake Blvd/E 200 N
160,41.953572,-111.396335,N 130 W/W 390 N
185,41.903975,-111.400458,Blue Bell Dr/Monarch Cir
160,42.001134,-111.422118,Lewis Loop Rd
160,41.893968,-111.368814,Crestview Cir/Galley St
160,41.946739,-111.403638,US Hwy 89
160,41.958192,-111.400799,S Bend/Lockwood Dr
160,41.933185,-111.394796,S Bear Lake Blvd/
160,41.799448,-111.089188,Kennedy Ln
185,41.884830,-111.403856,Porcupine/Sweetwater Pkwy
185,41.903485,-111.401560,Blue Bell Dr/Serge Cir
216,41.961534,-111.401484,Harbor Dr E/Harbor Dr W
160,41.754002,-111.140581,/State Hwy 16
185,41.945972,-111.393377,S Bear Lake Blvd/Vista Ln/W 50 S
160,41.906894,-111.381594,S Bear Lake Blvd/State Hwy 30
276,41.929096,-111.398980,/W Clellene Cir S
185,41.965325,-111.399473,/N Bear Lake Blvd
216,41.984472,-111.408415,N Florence Way W
160,41.518002,-111.162888,S Main St
160,41.974823,-111.405341,Cisco Run/Broad Hollow Rd
160,41.986370,-111.410512,N 730 W/W 2190 S
160,41.946332,-111.392002,/Vista Ln
160,41.959192,-111.400952,Lockwood Dr/N Lockwood Dr
216,41.961835,-111.401169,Harbor Dr E
216,41.939114,-111.393524,S Bear Lake Blvd
185,41.937664,-111.391549,Shirley St
246,41.952027,-111.400253,W 200 N
160,41.831934,-111.323348,State Hwy 30
160,41.954910,-111.396161,/N Bear Lake Blvd
160,41.944034,-111.391657,70 E/E 150 S
216,41.930009,-111.399129,/Snow Meadow Cir/Snow Meadows Cir
160,41.931596,-111.436215,Mahogany Dr/US Hwy 89
160,41.963615,-111.406258,Newberg Pl
160,41.934443,-111.394270,S Bear Lake Blvd
160,41.946030,-111.395878,S 100 W/W 50 S
160,41.518809,-111.162902,S Main St
160,41.953009,-111.396338,N 130 W/W 370 N
160,41.831730,-111.322861,State Hwy 30/N Main St
160,41.966267,-111.401544,/Mackinaw Dr
276,41.962396,-111.401380,Yacht Dr
160,41.825554,-111.319913,E Center St/100 East St
160,41.962759,-111.406582,/Newberg Dr
160,41.946939,-111.392003,Vista Ln
185,41.946567,-111.405741,US Hwy 89
160,41.958803,-111.401845,S Bend/Rendezvous Way
216,41.929353,-111.397781,/Snow Meadow Cir/950 S
185,41.946745,-111.404345,US Hwy 89
185,41.856648,-111.364276,State Hwy 30/
185,41.907042,-111.382162,S Bear Lake Blvd
216,41.668236,-111.184914,N Main St
276,41.961946,-111.401328,Yacht Dr
160,41.598694,-111.151453,/E Hatch Ln
216,41.948196,-111.395813,Seasons/N 100 W
160,41.921863,-111.395589,S Bear Lake Blvd
160,41.919722,-111.399859,Lychee Ln/Persimmon Dr
160,41.918103,-111.395945,S Hodges Canyon Rd/Persimmon Dr
216,41.946704,-111.405235,US Hwy 89
160,41.942927,-111.395977,S 100 W
160,41.537201,-111.128031,Little Crawford Rd/Wilson Ln
160,41.985908,-111.408575,/W 2140 N/N 660 W
160,41.918462,-111.396230,Lychee Ln/Persimmon Dr
276,41.961931,-111.401328,Harbor Dr E/Harbor Dr W/Yacht Dr
216,41.847493,-111.352435,State Hwy 30/
160,41.904897,-111.412256,Serviceberry Dr
185,41.665562,-111.184893,Church St/E Church St/Main St/N Main St
185,41.856922,-111.364369,State Hwy 30
246,41.929441,-111.397776,/Snow Meadows Cir
160,41.964459,-111.399722,/N Bear Lake Blvd
160,41.857499,-111.364564,/State Hwy 30
185,41.904047,-111.400291,Blue Bell Dr/Bluegrass Way
160,41.930125,-111.439571,US Hwy 89
185,41.903044,-111.401215,Serge Cir
160,41.918425,-111.396342,Lychee Ln
216,41.947904,-111.395828,N 100 W/W 75 N
160,41.960935,-111.401438,Raspberry Patch Rd/Harbor Dr E
160,41.986475,-111.410884,N Bear Lake Blvd/W 2190 S
160,41.946693,-111.400201,N 300 W/US Hwy 89
185,41.948233,-111.397169,Seasons
185,41.907478,-111.383801,/S Bear Lake Blvd
160,41.953605,-111.397305,W 390 N
160,41.894834,-111.368605,Malablue Dr/Crestview Cir
160,41.883628,-111.403510,Porcupine
160,41.906549,-111.380074,Bear Lake Blvd/State Hwy 30/Sweetwater Pkwy
160,41.754139,-111.140819,Ar41
160,41.942232,-111.392489,/E 250 S
185,41.943231,-111.391629,70 E
160,41.907154,-111.412994,Serviceberry Dr/Sweetwater Pkwy
160,41.936968,-111.397996,Maple Dr
160,41.957976,-111.400819,/Lockwood Dr
185,41.933773,-111.394549,/S Bear Lake Blvd
160,41.946653,-111.395834,US Hwy 89/S 100 W/N 100 W
246,41.929826,-111.400095,Snow Meadow Cir
246,41.914062,-111.391666,S Bear Lake Blvd/
160,41.942344,-111.392176,Thornberg Cir
160,41.958150,-111.401829,S Bend/Wysteria Loop
160,41.958798,-111.400850,Lockwood Dr/Rendezvous Way
185,41.937671,-111.392024,Shirley St
185,41.913725,-111.391551,S Bear Lake Blvd/S 250 E Lp
185,41.929133,-111.399763,W Clellene Cir S
160,41.983767,-111.407878,W Lashbrook Ln N/N Florence Way W
160,41.937819,-111.390960,Kay St/Shirley St
160,41.844969,-111.332742,1200 N/350 W
160,41.892852,-111.368691,Breeze Way/Malablue Dr/S Malablue Dr
