Estimated daily crossings,Latitude,Longitude,Name
160,36.763967,-77.809533,Rose Dr
160,36.934870,-77.978719,Blue Bird Rd/Macedonia Rd
160,36.847825,-77.909249,I- 85
185,36.758940,-77.850473,Windsor Ave/W Church St
160,36.854340,-77.889615,Boydton Plank Rd
160,36.571061,-78.028883,/Hendricks Mill Rd
216,36.925274,-77.754034,I- 85
216,36.557947,-77.868967,/Gasburg Rd
160,36.760630,-77.675797,Governor Harrison Pkwy
160,36.711950,-77.989683,Governor Harrison Pkwy/Dixie Ln
185,36.850186,-77.904005,I- 85
160,36.746719,-77.865688,Northview Dr
160,36.796494,-77.804057,/Planters Rd
160,36.758629,-77.861180,Tuck Ln
160,36.809967,-77.897947,/Christanna Hwy
160,36.836062,-77.892476,Liberty Rd
160,36.748221,-77.858730,/Governor Harrison Pkwy
216,36.577159,-77.786836,/Manning Dr
160,36.830191,-77.888049,/Liberty Rd
160,36.897531,-77.799422,/I- 85
185,36.769031,-77.823035,Governor Harrison Pkwy
185,36.753114,-77.843370,E 5th Ave/Thomas St
160,36.760783,-77.856921,1st Ave/Maria St
160,36.864480,-77.849815,/Township Rd
216,36.767202,-77.711714,/Governor Harrison Pkwy
185,36.755199,-77.846843,/S Main St/E 3rd Ave
185,36.820336,-77.963780,I- 85
185,36.763506,-77.692085,Governor Harrison Pkwy/Freemans Cross Rd
160,36.780582,-77.810880,Governor Harrison Pkwy
160,36.895812,-77.825706,/Flat Rock Rd
160,36.934983,-77.978450,Christanna Hwy
160,36.609096,-77.909872,Huckstep Rd
246,36.778634,-77.778063,Brooks Xing
276,36.918139,-77.766737,I- 85
185,36.746133,-77.674075,Scott Dr
160,36.564744,-77.875076,Gasburg Rd/
185,36.549529,-77.853316,/Oak Dr
160,36.778018,-77.771079,County Pond Rd
160,36.773809,-77.819986,/Planters Rd
246,36.778592,-77.778081,/Brooks Xing/Belfield Rd
160,36.913005,-77.790840,Boydton Plank Rd
185,36.771467,-77.737174,Governor Harrison Pkwy/Vulcan Quarry Ln
160,36.749055,-77.849706,Rollingwood Dr
160,36.846986,-77.899952,/Boydton Plank Rd
160,36.739320,-77.853505,Twin Ponds Rd/Eastview Dr
160,36.855735,-77.887738,Boydton Plank Rd/Main St
216,36.759386,-77.668789,/Governor Harrison Pkwy
160,36.851059,-77.899375,I- 85
185,36.840413,-77.916518,/Campus Dr
160,36.727516,-77.917463,/Governor Harrison Pkwy
160,36.877469,-77.808178,Quail Hollow Ln
390,36.758911,-77.847067,Bank St/N Main St
216,36.890039,-77.821532,/Boydton Plank Rd
216,36.761665,-77.855474,Belt Rd/Maple St
160,36.585392,-77.941431,Gasburg Rd/Hope Ln
160,36.780664,-77.787128,Governor Harrison Pkwy
160,36.938667,-77.764950,/Waqua Creek Rd
160,36.787637,-78.005536,Old Indian Rd/I- 85
185,36.868561,-77.830018,Old Bridge Rd/Poor House Rd
160,36.842873,-77.918722,/I- 85
216,36.745294,-77.873418,Vista Ln/Governor Harrison Pkwy
160,36.584772,-77.938528,/Gasburg Rd
216,36.762229,-77.848268,N Campus Ct/College Dr
216,36.889516,-77.807213,I- 85
160,36.764222,-77.855877,Wilkins Ave
185,36.943642,-77.728136,I- 85
160,36.810616,-77.897529,/Prestwood Rd
276,36.825801,-77.950671,I- 85
185,36.770593,-77.909125,Pleasant Grove Rd
160,36.792443,-77.808277,/Planters Rd
160,36.852793,-77.892126,Boydton Plank Rd
160,36.851684,-77.937452,/Great Creek Rd
160,36.713736,-77.985392,/Governor Harrison Pkwy
160,36.819583,-77.937824,/Millville Rd
160,36.851401,-77.890279,I- 85
160,36.766464,-77.834028,Lawrenceville Plank Rd
160,36.555184,-77.900193,/Stanley Rd
160,36.567030,-77.896764,Gasburg Rd/Lockerman Rd
160,36.744120,-77.881878,/Governor Harrison Pkwy
160,36.731180,-77.910781,Governor Harrison Pkwy
185,36.756910,-77.843518,Walker St/Minola St
246,36.854038,-77.858365,I- 85/Pitch Kettle Rd
160,36.756137,-77.849601,W Railroad St
160,36.802964,-77.897806,/Christanna Hwy
160,36.749276,-77.857795,Cattail Dr/
160,36.819429,-77.729671,Reedy Creek Rd
160,36.758132,-77.860378,Brickyard St
160,36.709163,-78.031574,North Ave
185,36.785382,-77.810315,/Planters Rd
276,36.707174,-78.029691,/Dornia Ave/Piney Pond Rd
160,36.758739,-77.844682,Tobacco St
160,36.759181,-78.029011,Forksville Rd
216,36.757771,-77.846010,E Hicks St/Cotton St
185,36.842160,-77.860674,/Peaceable Kingdom Dr
160,36.853839,-77.890720,Boydton Plank Rd/Rosebud Ln
160,36.951021,-77.791591,/Rawlings Rd
160,36.757444,-77.849573,Hicks St/Sharp St
160,36.867902,-77.905127,/Chalk Level Rd
160,36.759428,-77.853421,Park St/2nd Ave
216,36.846443,-77.914144,I- 85
160,36.800066,-77.767769,/Old Stage Rd
160,36.852984,-77.858189,Pitch Kettle Rd
185,36.703533,-78.021474,Railroad St
160,36.741380,-77.853425,/Christanna Hwy
160,36.853666,-77.890521,/Boydton Plank Rd
185,36.850173,-77.904059,I- 85
160,36.634992,-77.892176,Pearson Dr/
160,36.886508,-77.939354,/Brunswick Dr
216,36.765073,-77.825950,Governor Harrison Pkwy
160,36.817395,-77.752747,Old Stage Rd
160,36.797356,-77.739172,County Pond Rd/Elder Rd
246,36.758092,-77.844264,E Hicks St
160,36.561739,-77.872103,Gasburg Rd
185,36.780535,-77.802632,Kacy Ln
216,36.840919,-77.921740,I- 85
185,36.737295,-77.899092,Governor Harrison Pkwy/Totaro Pl
276,36.925748,-77.754679,I- 85
246,36.808183,-77.978317,I- 85
185,36.766249,-77.835442,Lawrenceville Plank Rd
160,36.907536,-77.781188,Gilliam Ln
160,36.768797,-77.863214,Christanna Hwy
185,36.714506,-77.983412,/Governor Harrison Pkwy
216,36.791302,-78.001329,I- 85
216,36.758055,-77.842667,Turner St
185,36.715882,-77.866595,/Fort Hill Rd
160,36.765583,-77.829700,Cedar St
160,36.711361,-77.990781,Governor Harrison Pkwy
160,36.769211,-77.747105,Freemans Pl/Eastside Rd
216,36.837958,-77.926443,I- 85
160,36.966681,-77.870522,/Pendleton Rd
160,36.835137,-77.892134,Liberty Rd
185,36.776565,-78.014751,/Boydton Plank Rd
185,36.763213,-77.857916,Davenport St
160,36.764879,-77.788633,Western Mill Rd
160,36.902923,-77.927094,Flat Rock Rd
160,36.765949,-77.825305,Governor Harrison Pkwy
216,36.908630,-77.799292,/Boydton Plank Rd
160,36.745638,-77.867653,/Northview Dr
185,36.777282,-77.873293,/Christanna Hwy
334,36.836358,-77.930716,I- 85
160,36.744616,-77.877741,Pleasant Grove Rd//Governor Harrison Pkwy
185,36.777583,-77.764258,/Governor Harrison Pkwy
160,36.646225,-77.870174,Christanna Hwy
160,36.900895,-77.861331,Flat Rock Rd
185,36.747447,-77.864671,Governor Harrison Pkwy
160,36.755734,-77.856632,/W 5th Ave
185,36.770473,-77.909027,Pleasant Grove Rd
160,36.896524,-78.004031,/Blue Bird Rd
216,36.751329,-77.844613,Turnbull St
185,36.746481,-77.869580,/Governor Harrison Pkwy
216,36.818963,-77.964678,/I- 85
216,36.747614,-77.864698,Governor Harrison Pkwy/Brunswick Square Ct
160,36.666345,-77.998461,/Brodnax Rd
160,36.759448,-77.844763,E Church St
160,36.840079,-77.911393,Boydton Plank Rd
160,36.639959,-77.869247,/Christanna Hwy
185,36.863355,-77.876454,Selma St/E 1st Ave
160,36.935856,-77.746978,/Boydton Plank Rd
160,36.966305,-77.870487,Pendleton Rd/Judd Rd
160,36.836358,-77.913754,Christanna Hwy
160,36.845858,-77.913726,I- 85
185,36.757482,-77.843961,Turner St/Railroad St
160,36.845724,-77.901879,Boydton Plank Rd
246,36.861754,-77.841884,I- 85
185,36.747738,-77.839470,Governor Harrison Pkwy/Meadow Ln
305,36.850725,-77.894342,I- 85
160,36.763948,-77.857870,Davenport St
160,36.737755,-77.853836,/Meherrin Beach Rd
160,36.771592,-78.020931,/Tanner Town Rd
160,36.759619,-78.027737,Four Corner Dr/Forksville Rd
160,36.767782,-78.020754,Tanner Town Rd
160,36.756514,-77.849274,N Hicks St/S Hicks St
216,36.780133,-77.777387,/Old Stage Rd
160,36.708845,-77.937019,Diamond Grove Rd/Robinson Ferry Rd
160,36.843880,-77.905891,/Boydton Plank Rd
160,36.804242,-77.959873,/Boydton Plank Rd
305,36.706592,-77.999519,/Governor Harrison Pkwy
185,36.749469,-77.848687,Settle Cir/Crescent Dr
160,36.766466,-77.833900,Lawrenceville Plank Rd/
160,36.561494,-77.857138,/Pleasant Points Rd
185,36.881527,-77.816236,I- 85
160,36.780282,-77.774928,Cabel Ct
362,36.766566,-77.828965,Lawrenceville Plank Rd/Cedar Grove Rd
160,36.847009,-77.896462,Liberty Rd
185,36.758181,-77.853532,Park St/W 3rd Ave
160,36.774200,-77.751127,/Governor Harrison Pkwy
246,36.777023,-77.764777,Richmond Ln
160,36.930309,-77.968901,Lew Jones Rd/Christanna Hwy
160,36.552475,-78.034628,/Meherrin Trl
160,36.553305,-77.864369,/Lakeview Cir
160,36.722516,-77.952789,Governor Harrison Pkwy
160,36.780820,-77.796266,/Governor Harrison Pkwy
185,36.714576,-77.982538,Governor Harrison Pkwy
185,36.753971,-77.854232,6th Ave/S Park St
160,36.761278,-77.853278,Park St/Windsor Ave
160,36.612443,-77.951259,Robinson Ferry Rd
362,36.939736,-77.734444,/Old Stage Rd
276,36.762944,-77.854901,Windsor Ave/Gordon St
160,36.759701,-78.027487,Forksville Rd
160,36.544934,-77.858595,Wm Baird Ln
160,36.778805,-77.773853,Edgerton Ln/Governor Harrison Pkwy
160,36.757868,-77.658887,Governor Harrison Pkwy
160,36.843592,-77.915093,Christanna Hwy
216,36.760278,-77.849163,College View Dr
160,36.666635,-77.865778,Christanna Hwy
160,36.759984,-77.864860,Brickyard St
246,36.781074,-77.803979,Governor Harrison Pkwy/Edwards Ln
160,36.707103,-77.938115,/Robinson Ferry Rd
185,36.851327,-77.888885,/I- 85
160,36.964848,-77.967136,Cedar Creek Rd/Christanna Hwy
160,36.724680,-77.924484,Governor Harrison Pkwy
160,36.896056,-77.826299,/Flat Rock Rd
185,36.863995,-77.868002,Virginia Ave
185,36.705810,-78.025242,/Piney Pond Rd
160,36.772572,-77.743387,/Governor Harrison Pkwy
160,36.761812,-77.856841,Grove Ave/Maria St
160,36.774506,-77.752846,Governor Harrison Pkwy
160,36.564613,-77.874879,/Gasburg Rd/Delbridge Rd
160,36.767542,-77.824131,/Governor Harrison Pkwy
185,36.756905,-77.849089,N Hicks St/New St
216,36.747811,-77.847195,Ogburn Rd/S Main St/Governor Harrison Pkwy
160,36.788783,-77.809138,/Planters Rd
160,36.759008,-78.027542,/Four Corner Dr
246,36.757269,-77.656537,Governor Harrison Pkwy
160,36.781053,-77.796331,/Governor Harrison Pkwy/Bright Leaf Rd
160,36.850187,-77.900081,I- 85
160,36.766182,-77.705916,Governor Harrison Pkwy
160,36.705118,-78.003591,Jones Circle Rd/Governor Harrison Pkwy
216,36.751472,-77.844617,Turnbull St
334,36.759394,-77.847551,Plank Rd/W Church St
160,36.802211,-77.898388,/Walker Pl
160,36.903704,-77.981859,/Danieltown Rd
185,36.630971,-77.933392,/Dry Bread Rd
185,36.850832,-77.884802,I- 85
160,36.748980,-77.844500,Palmer Dr/Turnbull St/Meadow Ln
160,36.810707,-77.951829,Boydton Plank Rd
216,36.753285,-77.851682,6th Ave/S Hicks St
160,36.632321,-77.924994,Dry Bread Rd
160,36.819124,-77.729549,County Pond Rd/Reedy Creek Rd
160,36.855163,-77.887064,Main St
160,36.880095,-77.924216,/Christanna Hwy
185,36.780917,-77.804234,Governor Harrison Pkwy/Knob Hill Ln
160,36.844922,-77.901677,Boydton Plank Rd
185,36.719302,-77.965473,/Governor Harrison Pkwy
160,36.777899,-77.771085,County Pond Rd/Belfield Rd
185,36.738355,-78.021304,/Go Cart Rd
216,36.787455,-78.005012,Old Indian Rd
246,36.763287,-77.855266,/Windsor Ave
160,36.755749,-77.849678,/S Hicks St
362,36.779169,-77.777847,Old Stage Rd/Governor Harrison Pkwy/Brooks Xing
160,36.762807,-77.686728,/Governor Harrison Pkwy
216,36.771773,-77.737537,/Governor Harrison Pkwy
216,36.750810,-77.854943,Christanna Hwy/S Hicks St
216,36.792292,-78.000776,Bobwhite Dr
160,36.826554,-77.911985,Christanna Hwy
160,36.633855,-77.892206,Pearson Dr/
216,36.760692,-77.852706,/Windsor Ave
160,36.561401,-77.871908,/Gasburg Rd
246,36.825652,-77.949891,Tower Rd
185,36.892121,-77.988502,/McDowell Ln
160,36.563351,-77.853854,Kennon Dr
305,36.757776,-77.847056,E Hicks St/Hicks St/N Main St
160,36.699074,-78.033595,Main St/Dugger St
160,36.791976,-77.711395,Reedy Creek Rd
216,36.776803,-77.872534,/Christanna Hwy
160,36.916953,-77.827340,Zero Rd
185,36.899303,-77.797207,/I- 85
185,36.810603,-77.890936,/Prestwood Rd
185,36.776528,-78.027427,I- 85
185,36.918866,-77.994461,/Blue Bird Rd
160,36.552359,-77.941516,/Elam Rd
160,36.779009,-77.874563,Edmonds Ave
185,36.544995,-77.868386,Southpoint Ct
160,36.777810,-77.764180,/Governor Harrison Pkwy
160,36.738017,-78.022096,/Go Cart Rd
390,36.760345,-77.860013,/Union St/2nd Ave
185,36.768660,-77.721314,Governor Harrison Pkwy
160,36.758306,-77.856036,Maple St/W 3rd Ave
185,36.747119,-77.866176,Governor Harrison Pkwy
185,36.737492,-77.899257,Totaro Pl/Governor Harrison Pkwy
185,36.842695,-77.914906,Christanna Hwy
246,36.740377,-77.780619,/Western Mill Rd
246,36.754181,-77.850890,W 5th Ave/S Hicks St
160,36.561896,-78.035885,Poplar Creek Rd
216,36.861996,-77.841421,/I- 85
246,36.777256,-77.764656,Richmond Ln/Belfield Rd
160,36.758167,-77.660539,Governor Harrison Pkwy
362,36.749642,-77.863497,Brunswick Square Ct
216,36.722984,-77.943645,Governor Harrison Pkwy
246,36.748825,-77.848682,Rollingwood Dr/Crescent Dr
185,36.814258,-77.756915,Red Hill Ln/Old Stage Rd
185,36.810679,-77.890565,/Prestwood Rd
216,36.779124,-77.814345,Governor Harrison Pkwy
185,36.747862,-77.839621,Governor Harrison Pkwy/Meadow Ln
160,36.748062,-77.839211,/Governor Harrison Pkwy
160,36.756799,-77.857679,W 4th Ave/Beech St
160,36.787115,-77.809427,Planters Rd
216,36.848663,-77.906779,/I- 85
160,36.888206,-78.016772,Blue Bird Rd
185,36.850431,-77.902896,I- 85
185,36.939401,-77.734479,/Old Stage Rd
185,36.916840,-77.766236,Pine Ridge Rd
246,36.851036,-77.867613,I- 85
160,36.753881,-77.844795,E 4th Ave/Turnbull St
216,36.557579,-77.863780,Gasburg Rd/Stevens Ln
216,36.748341,-77.855148,Christanna Hwy/Governor Harrison Pkwy
216,36.763391,-77.856841,/Goodrich Ln
160,36.739360,-77.852956,Twin Ponds Rd/Christanna Hwy
160,36.716932,-77.975457,/Governor Harrison Pkwy
160,36.630431,-77.940136,/Wright Dr
160,36.940290,-77.731375,I- 85
160,36.656616,-77.986852,Brodnax Rd
185,36.747891,-77.848967,Governor Harrison Pkwy
216,36.762561,-77.827798,Governor Harrison Pkwy
160,36.765601,-77.702606,Governor Harrison Pkwy
185,36.730858,-77.888491,Union Woods Dr
160,36.767993,-77.823542,/Governor Harrison Pkwy
185,36.757628,-77.831406,Rose Dr/Governor Harrison Pkwy
160,36.764838,-77.856930,Christanna Hwy
160,36.702679,-78.012583,Gholson Rd/Governor Harrison Pkwy
185,36.781503,-77.976001,Old Indian Rd
160,36.718354,-77.968668,Governor Harrison Pkwy
160,36.562094,-77.863952,/Cardinal Dr
216,36.762044,-77.683773,Governor Harrison Pkwy
160,36.856100,-77.891179,Cemetery Rd
185,36.849333,-77.907086,/I- 85
160,36.813133,-77.813626,/Piney Woods Rd
160,36.766462,-77.859164,/Christanna Hwy
160,36.710459,-77.992443,/Governor Harrison Pkwy
160,36.851411,-77.890463,I- 85
276,36.752365,-77.844707,Turnbull St
