Estimated daily crossings,Latitude,Longitude,Name
185,37.934797,-76.865047,/Church Ln
160,37.892563,-76.807048,River Stretch Rd
216,37.924931,-76.856392,/Wright St
160,37.939317,-76.869360,Tidewater Trl
994,37.913965,-76.859893,/Church Ln
185,37.851669,-76.774256,Tideview Rd/River Shore Dr
160,37.885685,-76.898949,/Richmond Hwy
185,38.071518,-77.025811,Tidewater Trl/Brookes Bank Rd
246,37.877335,-76.853511,/Tidewater Trl
216,37.848540,-76.805330,/Tidewater Trl
185,37.887238,-76.901789,Henley Fork Dr/Kino Rd
246,37.897043,-76.871252,Tidewater Trl/Richmond Hwy/Church Ln
216,38.020855,-76.997060,Tidewater Trl
160,37.938697,-76.913718,Mt Landing Rd
246,37.923316,-76.855847,Della St/Jeannette Dr
185,38.020737,-76.931134,/Daingerfield Lndg
160,37.807264,-76.942597,/Powcan Rd
246,37.921474,-76.871282,Commerce Rd/Marsh St
216,38.076594,-77.050664,Belle Meade Rd/Tidewater Trl
160,37.864715,-76.877533,Mussel Swamp Rd/Mussell Swamp Rd
185,37.894531,-76.965452,/Sunnyside Rd
943,37.915021,-76.859396,Church Ln
185,37.950679,-76.887330,Tidewater Trl
160,37.929361,-76.900421,Parr Dr
185,38.048717,-77.006820,Tidewater Trl
185,37.768555,-76.741300,Tidewater Trl
160,37.829274,-76.947897,Richmond Hwy
160,37.973852,-76.919575,Wilson Acres Rd
216,37.860693,-76.827755,/Tidewater Trl
160,37.835882,-77.001244,/Maple Valley Rd
160,37.832226,-76.864267,Umphlette Ln/Mastin Rd
246,37.857620,-76.820549,/Tidewater Trl/Dunnsville Rd
216,37.921979,-76.864625,Daingerfield St/Hoskins Creek Dr
216,37.945903,-76.878708,Tidewater Trl
276,37.932765,-76.863818,Church Ln
362,37.921941,-76.859726,/Essex St/Lewis St
185,37.859569,-76.823264,Dunnsville Rd/Wares Wharf Rd
185,37.786383,-76.764965,Tidewater Trl
160,37.842107,-76.803261,/Tidewater Trl
160,37.900198,-76.876664,Hospital Rd
160,37.855609,-76.814514,/Ephesus Church Rd
216,37.920865,-76.862352,Wakefield Ave/Lewis St
552,37.925578,-76.861835,Waller Pl
160,37.914770,-76.845944,Coleman's Island Rd
