Estimated daily crossings,Latitude,Longitude,Name
160,37.305262,-80.737699,Pulaski Giles Tpke
160,37.304796,-80.528941,Maybrook Rd
185,37.320872,-80.593359,/Virginia Ave
160,37.331979,-80.731521,Mill Rd/Craig Ave
216,37.339604,-80.801170,Allen St/Sunset St
160,37.314703,-80.640663,Coal Car Rd/Snidows Ferry Rd
185,37.328650,-80.813403,Monroe St/Mary St
216,37.339713,-80.799938,Sunset St/Hopkins St
160,37.332908,-80.691905,/Ripplemead Rd
216,37.367434,-80.867241,Bell St/Ball Ave
246,37.328057,-80.727793,Mountain Lake Ave/Cherry Ln
160,37.318675,-80.840309,James St
160,37.310601,-80.579717,New Zion Rd/Virginia Ave
160,37.337276,-80.688977,Spruce St
362,37.327127,-80.731452,Wenonah Ave/S Woodrum St/Sunset Dr
216,37.369925,-80.866940,Lurich Rd/E River Mountain Rd
276,37.321926,-80.718149,Pearis Rd/S Clifford St
185,37.338487,-80.751962,Hidden Meadow Dr/Millirons Rd
185,37.301966,-80.549151,Rolling Creek Ln
362,37.326699,-80.729400,Church Ave
160,37.293493,-80.501326,Virginia Ave
216,37.393432,-80.805344,Federal St/Beckett Ave
246,37.370331,-80.865834,Hare Ct/Railroad Ave
185,37.375912,-80.855042,Houston Ln/Risley Cir
185,37.375727,-80.820805,Virginia Ave
185,37.367131,-80.867156,Mikes St/Ball Ave
216,37.337744,-80.728482,Pulaski Ave
160,37.327377,-80.809480,Star Ln/Kimberling St
160,37.266477,-80.719975,Eatons Chapel Rd/Sugar Run Rd
276,37.334680,-80.803959,Old Virginia Ave/Haskins St
216,37.301977,-80.538238,Virginia Ave
185,37.301660,-80.548926,Virginia Ave
445,37.330373,-80.738829,Iris St/Johnston Ave
160,37.331288,-80.635401,Eppling Ln
160,37.322196,-80.699445,Compton Ln/Virginia Heights Rd
216,37.392124,-80.807884,Whitlow Rd/Glory la
418,37.382383,-80.822575,Knob St/Old Va Ave
160,37.370970,-80.862859,Lurich Rd
246,37.319231,-80.612688,Virginia Ave
246,37.320973,-80.633575,Mill Rd/Virginia Ave
160,37.333583,-80.749100,N Main St
246,37.321066,-80.636617,/Virginia Ave
160,37.331755,-80.695023,/Wenonah Ave
185,37.369064,-80.867225,Lurich Rd
216,37.318478,-80.643340,Wilson St/Hoge Ave
185,37.337754,-80.734012,Mill Rd
160,37.319663,-80.647797,/Pembroke St
216,37.309683,-80.736707,/Neal St/Ingram St
160,37.340914,-80.799148,Brookman St
216,37.344138,-80.713278,Witt Rd/Curve Rd
160,37.340526,-80.805833,Nelson St/Warner St
185,37.331094,-80.810606,Main St/Center St
160,37.311037,-80.737466,/Smith Dr
160,37.381254,-80.847402,Houston Ln
246,37.377729,-80.850726,/Houston Ln
160,37.334649,-80.728951,Lynwood Ave/
160,37.348110,-80.761232,/Virginia Ave
160,37.388428,-80.812520,Old Peterstown Rd
246,37.334593,-80.802773,Old Virginia Ave/Virginia Ave
246,37.320116,-80.629464,Sam Robinson Dr
160,37.304866,-80.528694,/Maybrook Rd
160,37.304689,-80.738006,Forest Hill Dr/Morning View Dr
185,37.383013,-80.824755,Virginia Ave
160,37.334141,-80.729204,Lynwood Ave
160,37.290027,-80.632959,Church Hill Rd
160,37.330629,-80.724440,/Valley View Dr
160,37.266148,-80.720170,Eatons Chapel Rd
160,37.321155,-80.730056,Main St/S Main St
160,37.340932,-80.806920,/Locust St
185,37.321840,-80.665797,Virginia Ave/Pleasant Hill Ln
160,37.338290,-80.753131,Harrison Ln
418,37.367849,-80.868306,Virginia Ave
334,37.318715,-80.648091,Thunder Rd
160,37.294027,-80.499928,Willowcroft Ln
160,37.331349,-80.726019,Hale St
246,37.333235,-80.730248,Monroe St/Craig Ave
160,37.291905,-80.485935,Brookside Ln
160,37.339165,-80.744099,Windy Hill
185,37.339464,-80.749565,Hidden Meadow Dr/Windy Hill
185,37.320874,-80.717581,Fort Branch Rd/Clifford St/S Clifford St
658,37.383672,-80.822372,Church St
305,37.328679,-80.715791,Lawndale Dr
246,37.319403,-80.612634,Machine Design Rd/Virginia Ave
160,37.369449,-80.867498,Virginia Ave
160,37.242325,-80.725959,Perdue Rd/Staffordsville Hill Rd
160,37.383511,-80.855683,Spangler Rd
160,37.324624,-80.621150,Suttle Ln
160,37.320104,-80.648566,/Dhill Ave
185,37.295889,-80.876502,Penvir Rd/Wolf Creek Rd
160,37.283144,-80.916707,Lilac Rd/Wolf Creek Rd
246,37.330084,-80.735694,Harvey St
216,37.301679,-80.548726,Virginia Ave/Knob Mountain Rd
160,37.328071,-80.615203,Collins Ave
246,37.335720,-80.807259,Virginia Ave
185,37.392539,-80.808361,Scenic Ln/Glory la
