Estimated daily crossings,Latitude,Longitude,Name
160,36.934517,-78.219825,Oral Oaks Rd
185,36.960047,-78.118557,N 5th Ave/S Grace St/E 5th Ave/Grace St
160,36.966071,-78.155056,Flat Rock Rd
160,36.958554,-78.087780,/Fletcher Chapel Rd/Lambert Spring Rd
160,37.043091,-78.443868,College Park Ln
160,36.997095,-78.227373,Washington Ave/
160,36.991296,-78.222681,Washington Ave/3rd St
216,36.998618,-78.220292,/8th St
160,36.966212,-78.182466,Jackson Rd/K-V Rd
160,36.989577,-78.221244,Washington Ave/1st St
246,36.994668,-78.227871,/8th St
216,36.958955,-78.128121,Virginia St/Broad St
160,36.982608,-78.222745,/W 11th St
185,36.909130,-78.131433,/Mayflower Rd
160,36.932553,-78.222698,New Grove Rd
160,36.988011,-78.389895,/Davis Lowground Rd
185,36.997910,-78.229847,/Main St
216,36.962763,-78.126195,W 6th Ave/Commerce St/N 6th Ave
160,36.961853,-78.129700,Park Ave
160,36.966064,-78.122588,/Nottoway Falls Rd
305,36.989231,-78.227399,W 3rd St/Tidewater Ave
185,37.003185,-78.075191,/Blackstone Rd
160,36.965528,-78.165405,K-V Rd
216,36.990456,-78.231076,Court St
334,36.990635,-78.223940,3rd St/Main St
160,36.972874,-78.366702,Davis Lowground Rd
185,36.993963,-78.082666,/Blackstone Rd
160,37.005988,-78.224915,/Falls Rd
160,37.079845,-78.424465,Germantown Rd
160,37.030381,-78.454905,Lunenburg Conuty Rd
305,36.988297,-78.228796,/W 3rd St
160,37.003275,-78.191955,/Poorhouse Rd
160,36.955988,-78.421659,/Bailey Rd
160,36.924319,-78.143610,/Craig Mill Rd
185,36.914553,-78.021803,Dundas Rd
185,37.080687,-78.424923,Germantown Rd/Patrick Henry Hwy
276,36.992366,-78.225346,5th St/Main St
160,36.924657,-78.365841,/Ontario Rd
160,36.988982,-78.277279,/Couches Creek Rd
160,36.959353,-78.120382,E 6th Ave
160,36.873154,-78.082693,S Hill Rd
276,36.994566,-78.223498,6th St/Lee Ave
160,36.999937,-78.222427,10th St/Stuart Ave
246,36.978693,-78.210585,K-V Rd
216,36.991515,-78.224655,4th St/Main St
160,37.037571,-78.160836,/Falls Rd
160,37.059664,-78.383512,Barnes Rd
246,36.988338,-78.230528,/W 2nd St
160,36.964776,-78.212929,Gallion Town Rd/Oral Oaks Rd
499,36.986165,-78.226519,/W 6th St
185,36.817814,-78.078983,/S Hill Rd
160,36.998237,-78.230442,12th St
160,36.815016,-78.079063,/S Hill Rd
160,36.988167,-78.389871,/Davis Lowground Rd
160,36.916512,-78.080712,Hart Ln
160,36.959635,-78.275037,/Courthouse Rd
445,36.987210,-78.226782,W 5th St/Mecklenburg Ave
185,36.994415,-78.082236,/Blackstone Rd
185,36.943567,-78.389291,State Rte 692/Ontario Rd
305,36.998810,-78.226961,11th St/Lee Ave
276,36.960816,-78.122900,S Decatur St/E 6th Ave/Decatur St
160,36.974864,-78.206158,/K-V Rd
305,36.994308,-78.225101,/Washington Ave
362,36.986207,-78.228294,W 5th St/
185,36.962196,-78.129840,W 6th Ave/Main St
305,36.947485,-78.113822,/Pleasant Hill Ln
160,37.010024,-78.238151,Trailer Park Rd
185,36.984629,-78.221589,W 10th St
185,36.959036,-78.129990,Tidewater St/Shade St
160,36.966870,-78.160726,Epps Ln
160,36.965571,-78.123710,3rd Ave/Commerce St
160,36.974759,-78.206004,K-V Rd
216,36.987165,-78.237469,Bragg Ave/High St
362,36.992793,-78.225693,Main St
305,36.999472,-78.226217,Nottoway Blvd/Needham Dr
160,36.863121,-78.086543,S Hill Rd
185,37.043466,-78.445936,County Line Rd
185,36.987417,-78.081932,Chapel Rd
185,36.984091,-78.222076,/Tidewater Ave
305,36.960894,-78.125063,7th Ave/E 7th Ave/High St
160,36.958352,-78.214741,/Oral Oaks Rd
160,37.081922,-78.377307,Springfield Rd
185,36.988646,-78.228295,W 3rd St/Mecklenburg Ave
160,36.941684,-78.388638,Ontario Rd
160,36.830938,-78.088662,S Hill Rd
160,36.922321,-78.361756,Ontario Rd
160,37.005532,-78.228798,Kelly Dr//Jefferson Ave
160,37.100228,-78.321782,Nutbush Rd
246,36.989340,-78.229026,Mecklenburg Ave/W 2nd St
160,36.975888,-78.107108,Blackstone Rd
160,36.980590,-78.284910,/Lunenburg County Rd
160,36.862799,-78.181087,/Brickland Rd
160,37.001455,-78.420992,Wards Corner Rd
216,36.961799,-78.131744,Shade St/Park Ave
160,36.976575,-78.280694,Lunenburg County Rd/Holder Rd
526,36.986562,-78.227761,W 5th St/Lunenburg Ave
160,36.954062,-78.107650,E 5th Ave/State Rte 137
216,36.958894,-78.119590,E 6th Ave/S Grace St
160,37.000913,-78.129447,/Poorhouse Rd
160,37.001120,-78.222542,11th St/Poorhouse Rd/Needham Dr
185,36.985839,-78.066366,/Varick Chapel Rd
160,36.984416,-78.239217,High St
160,36.967997,-78.119066,N Broad St/N Circle Blvd/N Board St
185,36.994369,-78.221529,5th St/Jefferson Ave
185,36.861051,-78.331619,/Traffic Rd
246,36.984231,-78.215526,/Tomlinson Rd
160,36.984224,-78.222218,W 10th St/Tidewater Ave
160,36.960073,-78.131208,Shade St/Brook St
216,36.987998,-78.231007,W 2nd St/Virginia Ave
185,36.987700,-78.233257,/W 1st St
216,36.961817,-78.135925,/West St
160,36.977122,-78.243167,/Ngblett Field Rd
185,36.919859,-78.356600,/State Rte 49/Rehoboth Rd
185,36.964473,-78.126190,5th St/Station St
160,36.886343,-78.022127,Mill Pond Rd/State Rte 617/Fairview Rd
160,36.967946,-78.201811,/Oral Oaks Rd
160,36.964955,-78.272140,Lunenburg County Rd/Firetower Ln
390,36.963459,-78.132575,Main St
246,36.988035,-78.234478,Court St/Norfolk Ave
216,36.969979,-78.122871,Poorhouse Rd/N Circle Blvd
499,36.987247,-78.228528,W 4th St/Lunenburg Ave
160,36.980567,-78.436787,/Ontario Rd/Tobacco Run Rd
160,36.967934,-78.171192,Ashton Rd
185,36.994112,-78.082525,Blackstone Rd/el Camino
216,36.995230,-78.222230,/Jefferson Ave/6th St
185,36.997427,-78.220385,Stuart Ave/7th St
160,37.002690,-78.179053,/Poorhouse Rd
160,36.935935,-78.162835,Plank Rd
390,36.963568,-78.132889,/Main St
216,37.000775,-78.226728,/Jefferson Ave
185,37.000379,-78.222785,/Stuart Ave
160,36.952865,-78.133587,Craig Mill Rd
276,36.964237,-78.123404,N Broad St/Broad St/W 4th Ave
362,36.999163,-78.226256,Nottoway Blvd/11th St
246,36.998110,-78.216698,/6th St
160,36.955891,-78.170478,/Oakes Rd
552,36.961220,-78.126127,N Broad St/Broad St
276,36.999231,-78.227300,/Lee Ave
185,36.989988,-78.228205,W 2nd St/Tidewater Ave
445,36.994459,-78.225953,/7th St
160,36.935638,-78.088751,/S Hill Rd
216,36.952321,-78.103042,/E 5th St
216,36.997023,-78.229137,Main St
160,36.991188,-78.230999,Mecklenburg Ave
216,37.001736,-78.225956,Falls Rd
160,36.961374,-78.265364,/Courthouse Rd
160,36.985389,-78.224111,/W 8th St
216,36.887009,-78.020240,/Fairview Rd
246,36.995366,-78.224225,7th St/Lee Ave
472,36.962198,-78.125256,W 6th Ave/E 6th Ave/N Broad St/S Broad St
216,36.954081,-78.134020,/Forest Hill Dr
160,36.969750,-78.198091,/Oral Oaks Rd
160,36.961212,-78.267593,Courthouse Rd
160,36.989158,-78.220886,Washington Ave/Lee Ave
246,36.988766,-78.233539,Park Ave/Court St
160,36.969860,-78.193133,K-V Rd/Twin Oak Ln
305,36.999073,-78.221731,Stuart Ave/9th St
246,36.995630,-78.227923,Main St
185,36.997971,-78.222638,/Marshall Ave
246,36.998404,-78.222993,9th St/Marshall Ave
160,36.998573,-78.228570,Washington Ave
160,36.965322,-78.256842,/Courthouse Rd
160,36.938897,-78.164723,/Oakes Rd
160,36.961500,-78.264478,Courthouse Rd
160,36.967488,-78.136521,Hickory Rd
160,37.003909,-78.074910,/Blackstone Rd
160,37.037995,-78.160110,Falls Rd
185,36.942641,-78.386946,State Rte 692
160,36.961571,-78.128756,Main St/Station St
216,36.964701,-78.122238,/Church St/E 3rd Ave
185,36.988113,-78.207733,/Tomlinson Rd
216,36.963715,-78.122456,E 4th Ave/Church St/W 4th Ave
185,36.995476,-78.220632,Marshall Ave
