Estimated daily crossings,Latitude,Longitude,Name
216,37.854385,-76.364646,Jessie Dupont Memorial Hwy/Golf Ln
160,37.868378,-76.268515,Magees Ln
160,37.870852,-76.352603,Jessie Dupont Memorial Hwy
160,37.702653,-76.344908,/Ute Rd
185,37.969120,-76.535321,/Northumberland Hwy
160,37.872956,-76.270115,E Harbor Dr
160,37.763409,-76.364446,/Jessie Dupont Memorial Hwy
185,37.971945,-76.614140,Fruit Plain Rd
160,37.809709,-76.378922,Jessie Dupont Memorial Hwy/Crosshills Rd
160,37.850535,-76.373232,Milky Way Ln
160,37.878487,-76.272279,Sweet Hall Dr
185,37.862036,-76.298129,Northumberland Hwy
160,37.703498,-76.343077,Cheyene Pass/Powhatan Rd
160,37.700654,-76.344131,Tuckahoe Dr
185,37.790495,-76.373590,Jessie Dupont Memorial Hwy
160,37.782705,-76.370842,/Jessie Dupont Memorial Hwy
160,37.687626,-76.327958,/Waterbury Rd
160,37.864074,-76.284321,/Northumberland Hwy
216,37.954927,-76.518161,Northumberland Hwy/Kingston Rd
185,37.979170,-76.607156,/Warrens Ln
160,37.857863,-76.363290,/Jessie Dupont Memorial Hwy
216,38.006708,-76.586936,Hampton Hall Rd
160,37.898459,-76.342354,/Hacks Neck Rd
216,37.881448,-76.337107,Northumberland Hwy
160,37.824644,-76.376775,/Jessie Dupont Memorial Hwy
160,37.955371,-76.596530,/Lively Hope Rd
160,37.819703,-76.377507,Jessie Dupont Memorial Hwy
160,37.984704,-76.609413,Fruit Plain Rd
216,37.915793,-76.415354,Gill Ln/Newmans Neck Rd
185,37.887481,-76.356945,Blundon Rd/Northumberland Hwy
160,37.854235,-76.357852,Blackwells Wharf Rd
160,37.898944,-76.422972,Northumberland Hwy
160,37.829909,-76.275695,/Menhaden Rd
160,37.892714,-76.363005,State Rte 640/Hull Neck Rd
160,37.732051,-76.363284,Jessie Dupont Memorial Hwy
160,37.964635,-76.565918,/Owl Town Rd/Richmond Rd
160,37.894578,-76.466844,/Courthouse Rd
246,37.800418,-76.311937,1030//Harvey Ln
216,37.932591,-76.403145,/Hull Harbor Rd
160,37.967362,-76.547426,/Northumberland Hwy
160,37.874533,-76.320817,/Northumberland Hwy
160,37.916665,-76.473299,Monument Pl
185,37.968923,-76.480217,Coan Haven Rd
390,37.968237,-76.557802,Movie Hall Ln/Northumberland Hwy
216,37.732716,-76.324046,Ditchley Rd
160,37.780899,-76.401098,/Crawfords Corner Rd
185,37.968227,-76.542180,Northumberland Hwy
160,38.017777,-76.558927,Wilkins Creek Ln
185,37.892050,-76.395652,Northumberland Hwy
216,37.911633,-76.431641,/Northumberland Hwy
160,37.837413,-76.313980,/Whays Creek Rd
216,37.846247,-76.271222,Captains Way St/Sutton Ave
