Estimated daily crossings,Latitude,Longitude,Name
160,36.633263,-82.644962,Shawnee Dr
185,36.619378,-82.566803,US Hwy 23 N
185,36.745107,-82.797254,/US Hwy 23 S
160,36.697862,-82.489279,Snowflake Rd
160,36.656406,-82.561413,Fore Dr
160,36.713899,-82.826541,Duff Patt Hwy
160,36.758642,-82.814408,US Hwy 23 N
160,36.742704,-82.751641,Mabe Stanleytown Rd
216,36.752581,-82.414920,Bond St/Nickelsville Hwy
160,36.638662,-82.666585,US Hwy 23 N
216,36.628497,-82.555149,Broad St/Boone St
526,36.637984,-82.570813,Margie St
185,36.713667,-82.814393,Duff Patt Hwy/Ross Carter Blvd
160,36.606298,-82.562731,Newland Hollow Rd/Long Ridge Rd
160,36.679035,-82.755444,/US Hwy 23 N
160,36.682534,-82.510603,/Revolver Dr
334,36.620864,-82.565845,US Hwy 23 N/Winfield St
216,36.634295,-82.615847,State Rte F 605/Brittany Ln/Benbolt Rock Ln/White Pine Ln
216,36.624346,-82.562971,Wilmeth St
305,36.601519,-82.571343,State Line Cir/Annak Dr
418,36.633373,-82.620329,Pioneer Hill Dr
160,36.618877,-82.575357,Meadow Lark St
160,36.750598,-82.418760,Boatright St/Nickelsville Hwy
160,36.694301,-82.753429,/US Hwy 23 N
160,36.598775,-82.461859,/Browders Chapel Rd
246,36.637984,-82.563818,US Hwy 23 S
216,36.752784,-82.414462,Nickels St/Nickelsville Hwy
160,36.742629,-82.508898,McLellan Town Ln/Ladyslipper Ln
216,36.637939,-82.575411,Clyde Williams Ave/Magnolia Ave
160,36.619018,-82.575242,Meadow Lark St
160,36.631811,-82.594482,Bartlet Dr
160,36.699055,-82.850073,Pattonsville Rd
246,36.641815,-82.581930,Poplar St/
185,36.619717,-82.565633,Roland St/Locust St
246,36.644087,-82.567870,Reed Hollow Rd
160,36.752957,-82.413997,Roy Dr/Nickelsville Hwy/Dean Hollow Rd
160,36.620694,-82.564427,Roland St/Jude St
160,36.674699,-82.565537,Reed Hollow Rd/Alley Valley Rd
160,36.593973,-82.671103,Stanley Valley Rd
216,36.689058,-82.752458,/Redstone Dr
160,36.631925,-82.629450,Logan Dr/Daniel Boone Rd
305,36.639732,-82.578435,E Jackson St/Tucker St
160,36.631989,-82.631574,/Marble Point Cir
160,36.641373,-82.740027,US Hwy 23 N
160,36.632698,-82.634672,Cumberland Dr/Marble Point Cir
246,36.774733,-82.701128,McNew Cemetery Dr/Mabe Stanleytown Rd
160,36.642180,-82.728646,/US Hwy 23 S
246,36.640864,-82.576868,Solon St/E Jackson St
160,36.641799,-82.705538,Sweet Gum Dr/Scotch Pine Ln
276,36.602170,-82.570463,State Line Cir/US Hwy 23 S
160,36.739230,-82.687624,Stallion Dr
160,36.604654,-82.523655,E Carters Valley Rd
160,36.635566,-82.616258,/Brittany Ln
160,36.708174,-82.482869,Snowflake Rd
160,36.678817,-82.878513,/Canton Rd
