Estimated daily crossings,Latitude,Longitude,Name
160,36.893517,-77.203497,Old Forty Rd
362,36.943614,-77.392182,I- 95/Sussex Dr
334,36.978488,-77.394881,Blue Star Hwy/St John Church Rd
160,37.027346,-77.294078,Jerusalem Plank Rd
246,36.899065,-77.399945,I- 95
216,37.039224,-77.096085,/N County Dr
334,37.034306,-77.102494,/Moore St
445,36.765822,-77.479620,/I- 95
362,36.935264,-77.394026,State Rte 659/I- 95
185,36.798493,-77.469640,/S Halifax Rd
246,36.807575,-77.462568,Blue Star Hwy
276,36.954831,-76.965214,General Mahone Hwy
160,36.798154,-77.469669,S Halifax Rd
216,37.035127,-77.098238,/W Main St
160,36.915070,-77.279401,Old Forty Rd/Courthouse Rd
185,36.894088,-77.152736,Jerusalem Plank Rd
390,36.918974,-77.397076,/Blue Star Hwy
185,36.943653,-77.384298,Sussex Dr
160,36.921253,-77.159262,/Jerusalem Plank Rd
160,36.919709,-77.267340,/Sussex Dr
246,37.098573,-77.186478,/General Mahone Hwy
334,37.028028,-77.089227,Dogwood St
605,36.975022,-77.393134,Blue Star Hwy
334,37.021668,-77.071324,S County Dr
185,36.978530,-76.984108,Club Dr
334,36.871344,-77.408570,Blue Star Hwy
305,36.874530,-77.406252,I- 95
160,36.795293,-77.431624,/Henry Rd
246,36.807638,-77.462744,Blue Star Hwy
160,37.020303,-77.263576,/Cabin Point Rd
185,37.022398,-77.084488,Brian Ct
246,36.882187,-77.403173,I- 95
160,36.972595,-76.969267,/Rocky Hock Rd
160,36.943178,-77.383352,/Sussex Dr
362,36.955192,-77.392527,/I- 95
160,36.967649,-77.185838,Jerusalem Plank Rd
160,36.871936,-77.491451,Little Mill Rd
185,37.094080,-77.178645,/General Mahone Hwy
160,36.842140,-77.442998,Wyches Ln
160,36.972476,-76.970056,/Rocky Hock Rd
579,36.909536,-77.398486,/I- 95
216,37.031830,-77.112757,W Main St/Lobbs Shop Rd
362,36.804813,-77.466850,/Mayes St
418,36.766207,-77.477566,I- 95
418,36.952409,-77.392184,I- 95/Setzer Rd
631,36.982886,-77.392429,/I- 95
160,37.038802,-77.102942,Oak St/Maple St
160,36.952683,-77.390858,Setzer Rd
185,36.972901,-76.994903,Knight St/Railroad Ave
216,36.769840,-77.472598,Blue Star Hwy
160,37.051859,-77.247005,Nary Ln/Cabin Point Rd
160,36.889175,-77.153856,Jerusalem Plank Rd/State Rte 724
160,36.967011,-76.976902,Williams Ln
160,36.943846,-77.477705,Shands Rd/Sussex Dr
160,36.914510,-77.279372,Courthouse Rd/Thorton Sq
276,36.992674,-77.392760,Blue Star Hwy
160,36.939806,-77.289244,Bethel Church Rd/Booker Rd
216,37.036507,-77.098141,Burt St/Johnson Ln
160,36.980632,-76.989996,E High St
185,37.006134,-77.371010,Rowanty Rd
605,36.944944,-77.392416,I- 95
160,37.042490,-77.101097,General Mahone Hwy/N County Dr
185,36.995584,-76.990310,/Spring Hill Rd
246,36.895988,-77.401030,/Blue Star Hwy
160,36.944429,-77.463978,/Sussex Dr
160,37.027849,-77.083061,/Beaver Dam Rd
185,36.951464,-77.391346,Baskerville Ln
418,36.839674,-77.440855,/Andrews Rd
472,36.953109,-77.392499,/I- 95
160,36.971252,-76.978986,Thornton Ln/E Main St
499,36.982902,-77.393238,Blue Star Hwy
246,36.975950,-76.983375,North St/Richardson St/E North St
305,36.949759,-77.392456,I- 95
246,37.039479,-77.096476,N County Dr/Maifield Ave
160,36.927114,-77.276267,Bethel Church Rd/Courthouse Rd
305,37.023223,-77.084161,Brian Dr/Brian Ct
185,36.973117,-76.977856,/Johnson Ave/N Johnson Ave
246,36.966529,-76.979450,S County Dr/Baptist St
185,36.789436,-77.461000,/Hassidiah Church Rd
445,36.976150,-76.993021,/County Dr
160,36.913571,-77.107985,/Union Hill Rd
362,36.968280,-76.975786,Williams Ln
216,36.767027,-77.473205,I- 95/Blue Star Hwy
160,36.945663,-77.395981,Prince St/Lee Ave
390,36.853760,-77.424311,I- 95/Owen Rd
160,36.983046,-77.380361,Chambliss Rd
305,36.972537,-76.975122,Johnson Ave
246,37.038651,-77.094721,/Hunter St
276,37.035176,-77.094391,/Bank St
160,36.932032,-77.201166,Sussex Dr
185,36.946871,-77.400285,Hardy St/Hartley St
216,37.029118,-77.090164,Middle St
160,37.010165,-77.012101,Owens Grove Rd/
390,36.971728,-76.984034,Sylvan Rd/S County Dr/N County Dr
160,36.991294,-77.318922,Railroad Bed Rd
160,36.815788,-77.453967,Reesetown Rd
334,36.951146,-77.392839,Setzer Rd/Blue Star Hwy
305,36.858957,-77.417089,I- 95
160,36.809508,-77.462064,Blue Star Hwy/Willway Ln
160,36.939279,-77.182595,/Sussex Dr
246,36.979565,-77.391645,/Cabin Point Rd
246,37.025044,-77.086242,Bank St/Barkley Pl
276,36.874699,-77.406141,I- 95
2009,36.978092,-77.396053,/St John Church Rd
160,37.010287,-77.011598,Owens Grove Rd
160,36.945572,-77.453145,Concord Sappony Rd
160,36.944215,-77.466662,/Sussex Dr
276,37.033877,-77.102161,New St/W Main St
160,36.935335,-77.368688,Sussex Dr
160,36.995071,-77.026021,Owens Grove Rd/
276,37.034095,-77.116233,Lobbs Shop Rd
185,36.990548,-76.994694,Old Wakefield Rd
185,36.789715,-77.470429,S Halifax Rd
445,36.814829,-77.456683,I- 95
362,36.781648,-77.462487,/I- 95
499,36.911655,-77.398114,I- 95/Urquhart Dr
390,37.030102,-77.085051,Locust Dr/Railroad Ave
160,36.954426,-77.268333,Courthouse Rd
390,37.026514,-77.085634,/Amherst Ln
390,36.944678,-77.392122,I- 95
160,36.919471,-77.295702,Sussex Dr
160,36.772426,-77.478585,Lee Rd
499,36.860266,-77.414606,/Andrews Rd
160,36.956050,-76.992736,Courtland Rd
362,37.035512,-77.094470,/Bank St
185,36.973628,-77.408711,/St John Church Rd
445,37.034016,-77.091034,/Railroad Ave
362,36.857565,-77.421108,/Green Church Rd
160,36.794430,-77.470014,Ridge Rd/S Halifax Rd
276,36.805903,-77.458838,I- 95
160,37.041182,-77.087819,Chappell Ln/Jasper Ln/Thomas Cir
276,37.035336,-77.097595,Burt St/W Main St
160,37.072900,-77.181365,Atlantic Ln/Cabin Point Rd
160,36.981051,-76.988627,/Old Wakefield Rd
160,36.919514,-77.290029,Sussex Dr
305,36.967006,-77.393040,Blue Star Hwy
499,37.039467,-77.099564,New St/S Church St/N Church St
216,37.026758,-77.117902,/W Main St
160,37.035154,-77.115922,Leo Ln/Susie Ln
246,36.947190,-76.955668,General Mahone Hwy
472,36.971086,-76.975910,Williams Ln/Burt Place Ln
185,37.028777,-77.083129,Railroad Ave/Beaver Dam Rd
160,37.064772,-77.212990,/Cabin Point Rd
246,36.943952,-77.391414,Sussex Dr
390,36.914677,-77.397289,/I- 95
1020,37.036225,-77.093373,E Main St/Hunter St
276,36.946863,-76.955141,General Mahone Hwy/Skeet Ln
160,36.759504,-77.382926,/Mason Rd
216,37.054972,-77.120240,/General Mahone Hwy
160,37.058724,-77.126000,/General Mahone Hwy
185,37.036221,-77.067149,/Blows Ln
185,36.967501,-76.990936,/W Main St
185,36.949520,-76.958720,/General Mahone Hwy
276,37.010748,-77.054559,S County Dr
216,36.960111,-76.971674,Fredenburg Rd/General Mahone Hwy
185,37.037451,-77.308289,Jerusalem Plank Rd
390,36.806765,-77.462785,Henry Rd/Blue Star Hwy
362,36.804777,-77.466697,Mayes St/Hillcrest Ct
160,36.944300,-77.491096,Sussex Dr
185,36.974695,-76.988288,/Church St
185,36.785027,-77.468478,Blue Star Hwy
216,37.025488,-77.088049,Locust Dr/Bank St
160,36.812938,-77.469499,S Braxton Ave
418,36.973052,-77.392318,I- 95
185,37.040249,-77.100836,N Church St
160,36.965572,-76.978353,General Mahone Hwy
362,36.805493,-77.467266,Bellwood Ct
160,36.944711,-77.452988,Vinco Cir/Concord Sappony Rd
362,36.930632,-77.395073,Blue Star Hwy
472,36.826293,-77.452319,Andrews Rd
418,36.968220,-76.989806,Prospect St
362,36.867219,-77.410592,/I- 95
160,36.810308,-77.468101,Grigg Ave//S Halifax Rd
160,36.926587,-77.020285,Cedar Sign Post Rd
160,36.921200,-77.313063,Sussex Dr
185,36.973315,-76.979414,Pine St
246,36.992873,-77.028116,/Chinquapin Rd
185,37.016675,-77.062629,/Walnut Hill Rd
276,36.971497,-76.977391,E Main St/South St
160,37.040449,-77.096369,Hunter St/Spring Branch Rd/Maifield Ave
185,36.845756,-77.434129,/Andrews Rd
160,36.810411,-77.462020,/Blue Star Hwy
445,37.032145,-77.088180,Railroad Ave
216,36.979221,-77.390930,Jackson Rd
160,36.967084,-76.992143,Brittles Mill Rd/W Main St
160,36.925063,-77.336503,/Sussex Dr
362,36.848667,-77.430874,/I- 95
160,36.982052,-76.989746,Old Wakefield Rd/E High St
160,36.919576,-77.282142,Sussex Dr
160,36.977024,-77.002343,Glyndon Ln/Carver Ln
185,37.036870,-77.089499,/E Main St
216,36.927391,-77.224641,Sussex Dr
160,36.920517,-77.305442,/Sussex Dr
362,36.871059,-77.408505,I- 95
160,36.768592,-77.463278,/Jefferson Rd
552,36.974178,-76.989013,Sussex Ave//County Dr
276,36.943795,-77.392169,I- 95/Sussex Dr
216,37.087666,-77.166408,General Mahone Hwy
499,36.953148,-77.392192,/I- 95
160,36.973198,-77.004673,Faison Rd
160,37.015777,-77.063544,/Walnut Hill Rd
160,36.943632,-77.425199,/Booth Rd
160,36.972566,-76.969439,/Rocky Hock Rd
160,36.798066,-77.469677,/S Halifax Rd
216,36.971084,-76.974701,Burt Place Ln
390,36.941688,-77.392724,I- 95
334,36.907925,-77.398766,/I- 95
362,36.804963,-77.467472,Mayes St/Bellwood Ct
276,36.964352,-76.976862,General Mahone Hwy/Cedar Ln
246,37.028451,-77.115935,/W Main St
445,36.972934,-76.986484,/S County Dr
334,36.988120,-77.392093,/I- 95
160,36.970859,-76.991708,Sussex Ave/Railroad Ave
160,36.967488,-76.995745,Brittles Mill Rd/
552,36.931798,-77.394868,Blue Star Hwy
160,37.002966,-77.372021,Rowanty Rd/Scotts Ln
160,36.971023,-76.992071,Tunnel Rd/Railroad Ave
160,36.971507,-76.992796,Railroad Ave
305,36.851090,-77.427575,/I- 95
160,37.038272,-77.080920,E Main St
160,36.816130,-77.462232,/S Halifax Rd
216,36.949288,-76.958434,General Mahone Hwy
445,36.912386,-77.397681,/I- 95
160,36.943495,-77.408349,Booth Rd/Sussex Dr
216,36.978180,-76.987433,Church St
185,36.793954,-77.466323,Blue Star Hwy/Ridge Rd
185,36.873611,-77.405616,Andrews Rd
160,36.977704,-76.988799,Vance St
160,36.946861,-77.399335,Hardy St/Church St
160,36.946686,-77.401700,Park Ave
160,36.979726,-77.232693,Jerusalem Plank Rd
839,37.036981,-77.093029,/N County Dr
160,36.952771,-77.014191,/Brittles Mill Rd
160,36.841907,-77.442626,Wyches Ln
276,36.837829,-77.443756,/Blue Star Hwy
216,36.863803,-77.412833,/Blue Star Hwy
185,37.032064,-77.110053,W Main St
334,36.867006,-77.410386,I- 95
160,37.030001,-77.100986,/Wye St
160,36.810160,-77.461890,/Blue Star Hwy
160,37.026831,-77.092667,Forest Ln/Norris Ave
160,37.037639,-77.084746,Jackson Ln/E Main St
246,36.882251,-77.402119,Briggs Rd/Eugenes Ln
185,36.808425,-77.469033,1st St
334,36.862006,-77.413019,/Andrews Rd
160,37.017790,-77.123939,/Trailer Ln
160,37.031745,-77.300657,Whitleys Ln/Jerusalem Plank Rd
216,36.947465,-77.393696,Halifax Rd
185,36.795737,-77.434717,/Henry Rd/Harrell Rd
334,36.786302,-77.461573,I- 95
160,36.986000,-77.145908,/Sussex Dr
160,36.820454,-77.349437,/Bell Rd
185,37.078506,-77.153845,General Mahone Hwy/Cabin Point Rd
216,37.024888,-77.085640,/Bank St
160,36.978484,-76.990364,/E High St
160,37.089737,-77.141179,/Petersburg Rd
160,36.983180,-77.380879,Chambliss Rd/Cabin Point Rd
185,36.808325,-77.469054,1st St
160,37.025811,-77.082917,/Beaver Dam Rd
