Estimated daily crossings,Latitude,Longitude,Name
160,36.965270,-82.548963,Meade Ln
362,36.880274,-82.745024,E 27th St S/2nd Ave E
160,36.856656,-82.754067,Irondale Rd/Wildcat Rd
216,36.937918,-82.472341,May Ave SW/Morris St SW
185,36.859447,-82.786087,Shawnee Ave W
185,36.914680,-82.365699,/Dwina Rd
160,36.856497,-82.797952,Dacota Ave W/Pennington Gap Hwy
160,36.967971,-82.622247,/Eisenhower Rd
246,36.942737,-82.470290,Front St W/Laurel Ave/Front St E/2nd St SW
185,36.973389,-82.588039,Crestview Dr SW
185,36.855149,-82.805512,Dawson Rd
185,36.866141,-82.764167,Howard Ave E
216,36.870989,-82.776477,E 6th St N/Railroad Ave E
160,36.840483,-82.823603,Strawberry Patch Rd
305,36.867895,-82.743431,Alto St
1798,36.971438,-82.562500,/Twinleaf Way/Clinch Valley Dr
362,36.879013,-82.760786,3rd Ave E
710,36.969112,-82.597292,Norton Rd
390,36.872052,-82.777832,/E 6th St N
216,36.919827,-82.664130,Powell Valley Rd
160,36.969520,-82.564739,Eagle Ave
160,36.935776,-82.532772,River Bend Rd/Stone Mountain Rd
276,37.100667,-82.599684,Orby Cantrell Hwy
160,36.906125,-82.781469,Depot St/E Main St/W Main St
216,36.939226,-82.463004,Trent St SE/Quillen Ave SE
390,36.865552,-82.776868,Wood Ave E/E 2nd St S/E 2nd St N
499,36.865317,-82.780084,Cherokee Ave E//Proctor St N
160,36.902169,-82.774384,Cold Springs Dr
216,36.962830,-82.596634,/Wise Norton Rd
216,36.898325,-82.785323,4th St//5th St
185,37.117966,-82.599459,Old Indian Creek Rd/Chestnut St
390,36.978517,-82.582271,Club Ave NW/W Main St
160,36.881990,-82.733420,Orby Cantrell Hwy
160,36.908937,-82.319335,Bull Run Rd
160,36.926347,-82.446101,Nighthawk Rd
185,36.972296,-82.583723,Hospital Dr SW/Norton Rd
216,36.866705,-82.783821,W 1st St N/2nd Ave W
276,36.974757,-82.570563,Craft Ave NE
216,36.928577,-82.669009,McKinley Rd
216,36.867383,-82.772701,E Jerome St S/Clinton Ave E
390,36.974355,-82.566731,Darden Dr NE
362,36.974199,-82.577003,Railroad Ave SE
185,36.866537,-82.764596,Virginia St S/Taggart Ave
216,36.840484,-82.763903,Orby Cantrell Hwy
276,36.860180,-82.783445,W 6th St S
305,36.954868,-82.607914,Hunter Rd
185,36.983116,-82.625415,/Union Hall Rd/Truman Rd
185,36.967902,-82.563081,Eagle Ave/Heritage Rd
160,36.907993,-82.795921,Sulfer Springs Dr
160,36.967286,-82.593901,Freeman Rd
160,36.947027,-82.421071,Grayson Rd
160,36.989170,-82.586008,/Coolidge Rd
160,36.831372,-82.767642,Willis Rd
216,36.870091,-82.750527,E Stone Gap Rd/Mann Rd
160,36.966683,-82.536965,Airport Rd
185,37.127093,-82.598791,Clintwood Hwy
160,36.939568,-82.464148,Spring St SE
160,36.909293,-82.319871,Bull Run Rd/Hardy Hollow Rd
160,36.995684,-82.589896,Marigold Rd/
160,37.123444,-82.610740,S River Rd
160,36.935402,-82.488032,/Riverview Rd
160,36.962858,-82.534732,Coeburn Mountain Rd/
160,36.940693,-82.459859,US Hwy 58 Alt/State Rte 72
216,36.871138,-82.770979,Shawnee Ave E/E Algonquin St S
185,36.869881,-82.740665,Preston Rd
185,36.873169,-82.757814,Ridge Pl/Ridgeview Dr
160,36.869846,-82.709395,/Clinch Haven Rd
246,36.983161,-82.586636,/W Main St
246,36.869043,-82.777406,Powell Ave E/E 4th St N
185,36.850258,-82.709216,Willow St/Orchard Dr
216,36.973208,-82.582202,/Spring Ave SE/Glade St SE
160,37.017292,-82.590162,Orby Cantrell Hwy
276,36.867420,-82.782957,2nd Ave W/2nd Ave E
160,36.866595,-82.744089,Logan Ave/Alto St
185,36.983776,-82.588088,/Roberts Ave SW
185,36.879508,-82.757113,E 20th St S/3rd Ave E
216,36.868639,-82.783816,/Orr St
160,36.927082,-82.362731,Bull Hill Rd/E Hill Rd
160,36.862332,-82.746824,Racoon Rd
160,36.907601,-82.772878,E Main St/Lee St
185,36.943928,-82.422263,Markham Rd/US Hwy 58 Alt
526,36.980473,-82.567458,Hurricane Rd NE/Old Hurricane Rd NE
160,36.880031,-82.751881,E Church St S/Fowler Ave E
160,36.885705,-82.732441,2nd Ave E
160,36.986933,-82.606162,/Stephens Rd
160,36.940133,-82.460005,/State Rte 72
160,36.875486,-82.853352,Juniper St/Exeter Rd
216,36.865827,-82.751077,Orby Cantrell Hwy
246,36.973884,-82.567862,University St NE/Grant Ave NE
216,36.934752,-82.484862,/Morgan Dr
418,36.905307,-82.316328,Wise St
185,36.943387,-82.468511,Front St E
390,36.871729,-82.779049,E 5th St N/3rd Ave E
160,36.902720,-82.661191,Grindstone Rd/Powell Valley Rd
445,36.973645,-82.557154,Highland Way
246,36.865548,-82.772737,Pearl St/Pearl Ave E/E 5th St S
185,36.941746,-82.644246,Polk Rd
160,36.960393,-82.533179,Van Buren Rd
185,36.969459,-82.599064,/Washington Rd SW
472,36.978813,-82.582975,D Ave NW/W Main St
216,36.904037,-82.309975,Russell St/5th Ave
185,36.882103,-82.745406,E 27th St N
362,36.872382,-82.778232,E 6th St N/3rd Ave E
160,36.910377,-82.773917,/Bell Ave
