Estimated daily crossings,Latitude,Longitude,Name
160,37.909515,-80.352422,/Back Vago Rd
216,37.794856,-80.432507,E Washington St
185,37.902216,-80.638056,I- 64
160,37.731186,-80.635886,Virginia St/The Cedars/E Hemlock Ave
160,37.967285,-80.682772,/McClung Ave
246,37.778277,-80.457000,E Fair St
185,37.953180,-80.657760,Rockcliff Rd/US Hwy 60
216,37.726545,-80.645810,W Riverview Ave/Clay St
185,37.793108,-80.442337,Garner Ln/Longview Ave
246,37.778507,-80.457348,/E Fair St
246,37.798018,-80.301580,/Garden St
185,37.812294,-80.700103,Snake Run Rd
160,37.795340,-80.301670,Big Draft Rd
160,37.857294,-80.410355,Airport Rd
216,37.970226,-80.765483,3rd St
185,37.780970,-80.459017,Maplewood Ave/W Baker St
185,37.744766,-80.474267,Walker St
216,37.785601,-80.457168,/Pierrine Cirle
216,37.781995,-80.461583,/3rd St
160,37.983659,-80.373515,/US Hwy 219
216,37.799921,-80.290853,E Main St/Circle Dr
276,37.728305,-80.637112,Virginia St/Cedar Ave
246,37.800489,-80.448202,McElheny Dr/S Court St
276,37.823846,-80.411849,/N Ridge Dr/Brush Rd
216,37.727880,-80.639187,Washington St/Walnut Ave
276,37.840381,-80.749819,I- 64
160,37.813053,-80.297089,Draft Ln/Big Draft Rd
160,37.850108,-80.492848,I- 64
185,37.941312,-80.632409,/Keiffer Rd
160,37.843018,-80.420721,Heatherton Dr/Enderley Ln
943,37.768679,-80.465477,Seneca Trl/Maplewood Dr
362,37.783818,-80.308995,/US Hwy 60
160,37.856681,-80.549845,/State Rte 12
185,37.769918,-80.485256,/Davis Stuart Rd
160,37.832025,-80.487370,US Hwy 60/Co Rte 60/11
216,37.790500,-80.303402,Salisbury Ave/
185,37.777521,-80.458674,/Seneca Trl
160,37.801235,-80.453692,McElheny Dr/
246,37.798337,-80.447924,Preston Aly/Austin St
160,37.839295,-80.391504,Brush Rd
185,37.865823,-80.409539,/US Hwy 219
917,37.813383,-80.431044,/N Jefferson St
185,37.793881,-80.429030,E Washington St/
216,37.821727,-80.423025,N Jefferson St
160,37.896226,-80.359895,Vago Rd
160,37.789616,-80.384202,I- 64
160,37.782728,-80.460076,/3rd St
