Estimated daily crossings,Latitude,Longitude,Name
305,37.570056,-81.823898,Lick Fork Rd
185,37.611708,-81.375428,Otsego-Right Fork Rd/Otsego Rd
362,37.585063,-81.533825,/Main Ave
185,37.585927,-81.352863,/Gulf Rd/State Rte 16
917,37.584576,-81.537685,Oakwood Ave
216,37.580449,-81.540992,Maple Ave
334,37.617777,-81.764148,Josh Fk Rd/Long Br Rd
334,37.584860,-81.534661,Main Ave
185,37.644476,-81.672746,State Rte 971/Sunset Dr
246,37.622610,-81.701046,Co Hwy 6/Sugarwood Ln/Charley Hatfield Rd
185,37.639720,-81.455533,State Rte 97
216,37.579390,-81.812579,Saint St
160,37.626672,-81.566964,Turkey Creek-Right Hand Fork Rd
160,37.585583,-81.381765,Fairview St
579,37.582877,-81.537030,Park St/River Drive Ave/Pine Ave
185,37.695199,-81.526772,Ravencliff Rd/
160,37.685779,-81.515171,Ravencliff Rd/Pinewood
216,37.466021,-81.451323,Keystone Mountain- Burke Mt Rd
216,37.582329,-81.600990,State Rte 97/
185,37.745065,-81.681524,/Big Huff Creek Rd
362,37.588919,-81.534664,Main Ave
216,37.555408,-81.650657,/Little Huff Creek Rd
160,37.679885,-81.547362,Hurricane Branch Rd
160,37.678874,-81.620858,Jesse Mountain Rd/Oak St
418,37.685858,-81.624753,/Cook Pkwy
185,37.733459,-81.738091,State Rte 10
246,37.749196,-81.568030,Kopperston Rd
185,37.580148,-81.803512,State Rte 97/US Hwy 52
160,37.586911,-81.821422,US Hwy 52
160,37.679248,-81.622556,Summit Dr
185,37.600128,-81.641774,State Rte 97
216,37.490882,-81.322201,Covel-Gooney Otter Hollow Rd
185,37.750727,-81.668540,/Big Huff Creek Rd
390,37.696761,-81.646248,Mingo St/Valley Dr
160,37.596815,-81.635228,/Lanes Branch Rd
160,37.598291,-81.626162,Shannon Mill Branch Rd
445,37.699437,-81.638479,Cook Pkwy
160,37.736816,-81.586403,74th St
246,37.674361,-81.663276,Hurst Ave/Westdale St
216,37.583041,-81.385546,/Circle Dr
710,37.694683,-81.525621,Glen Fork Rd/Co Hwy 1/1/Akers Ave
185,37.533702,-81.375166,State Rte 10
185,37.639734,-81.467277,State Rte 97/
276,37.645955,-81.458659,Wood Brook Ln
160,37.580884,-81.328523,Chip Hill Rd
276,37.611303,-81.540928,/Rockcastle Rd
160,37.617050,-81.537840,Bowman Bottom Rd
305,37.681876,-81.661737,State Rte 971
216,37.585012,-81.548951,Birch St
160,37.639708,-81.455527,Starbuck Ln/State Rte 97
305,37.624566,-81.669656,Laurel Branch Rd
362,37.691591,-81.633417,Monroe St/Mulberry St
160,37.557729,-81.789547,/US Hwy 52
579,37.699517,-81.637441,Wildwood Ln
246,37.593370,-81.378270,/Moran Ave
185,37.698104,-81.615850,Railroad St
160,37.637760,-81.456828,State Rte 97
185,37.675652,-81.622814,Oak Grove Loop
185,37.580982,-81.538643,Maple Ave/Beech St
160,37.577483,-81.557056,Buzzo Trailer Pk
160,37.679191,-81.546412,Clover Lick Rd/Accord Bottom Rd
160,37.654523,-81.662768,Maple Ln/Sprout St
216,37.712904,-81.597051,Clear Fork Rd
160,37.553443,-81.828291,Little Cub Creek Rd
185,37.580043,-81.803485,US Hwy 52
246,37.612238,-81.541147,Main Ave
160,37.690978,-81.632011,Webster St/Willow Ave
362,37.582198,-81.537105,Park St
160,37.679237,-81.546381,Glen Fork Rd/Hurricane Branch Rd
185,37.570179,-81.617982,Shop Branch Rd
362,37.683552,-81.625145,Laurel Ave/Circle Dr
160,37.640722,-81.535167,Coon Fork Rd
160,37.581761,-81.381906,Guyandotte St/Wyoming Ave
160,37.586860,-81.821413,US Hwy 52
185,37.680858,-81.509546,/Kathryn St
160,37.713648,-81.587802,Koppers City Bottom Loop/Chester St
160,37.608081,-81.598391,/Phillips Coal Rd
246,37.580883,-81.382545,Front St/Eleventh St
246,37.684906,-81.660356,1st St/South Ave
216,37.585366,-81.548745,Williamson Ave/Birch St
160,37.570086,-81.489062,State Rte 10
276,37.693842,-81.635457,Mulberry St
160,37.679194,-81.465480,Phillips Roadd/Phillips Rd
305,37.685324,-81.661263,North Ave/1st St
305,37.592208,-81.533677,Main Ave/Cherry St
185,37.592521,-81.376618,Lewis St
216,37.677123,-81.617775,Old Delta 40 Loop
160,37.587313,-81.528330,/Walnut St/Rolling Hills Rd/Oak Ave
160,37.675962,-81.614438,Jesse Mountain Rd/Clacey Ln
160,37.673911,-81.661631,State Rte 971
160,37.701147,-81.475671,Priv Ln
276,37.562222,-81.632045,Brookwood Ln
246,37.686144,-81.657231,Morris St
160,37.608210,-81.598772,/Turkey Creek-Right Hand Fork Rd
160,37.644247,-81.455168,State Rte 97/Muscari Ln
276,37.645804,-81.458677,Wood Brook Ln
246,37.594956,-81.379074,Shumate St
160,37.667331,-81.591768,D St
160,37.563162,-81.632124,/Hoover Ln
216,37.584536,-81.390876,Newsome
160,37.687933,-81.545509,/Glen Fork Rd
216,37.586553,-81.589885,State Rte 97
160,37.618454,-81.618423,Shannon Mill Branch Rd
276,37.692407,-81.623649,Jefferson St/Madison St
216,37.750998,-81.660902,Big Huff Creek Rd
160,37.588056,-81.679857,Bluebird Ln//Little Cub Creek Rd
362,37.595710,-81.378633,Moran Ave
216,37.581161,-81.538529,Maple Ave/Beech St
305,37.592745,-81.533259,Mulberry Ave
334,37.689460,-81.659471,/Lynco Rd
160,37.593642,-81.377410,State Rte 54
