Estimated daily crossings,Latitude,Longitude,Name
160,45.784466,-92.385031,State Hwy 70/Railroad Ave
160,45.916026,-92.319501,Devils Lake Rd/Stone Rd
185,45.802800,-92.377676,Service Rd/State Hwy 35
185,45.784479,-92.384407,State Hwy 70/Gandy Dancer Trl
160,45.890968,-92.274342,Hopkins Rd
185,46.006909,-92.372602,3rd Ave/Main St E
160,45.773095,-92.713573,/State Hwy 70
160,45.769473,-92.486913,State Hwy 70
390,45.791793,-92.381053,2nd Ave/Southshore Dr
160,45.775068,-92.692408,W Saint George Ave/S Russell St
160,45.888366,-92.354257,Oak St E/Austin Lake Rd
160,46.012225,-92.378628,6th Ave N/Oak St
160,45.784434,-92.391340,State Hwy 70
160,45.770684,-92.378917,/Hwy 35
160,45.761255,-92.385364,Tewalt Rd
185,45.816628,-92.344729,Herman Johnson Rd/State Hwy 70/Kruger Rd
216,45.815954,-92.478121,Co Hwy N
160,45.931625,-92.423441,Eagle Point Trl
246,45.878437,-92.364739,Lakeland Ave N/W Elm St
276,45.790742,-92.382335,1st Ave/Works Progress St
246,45.813510,-92.065329,/Poquette Lake Rd
160,45.801655,-92.379093,State Hwy 35/Service Rd
160,45.959890,-92.162684,Kilkare Pass
160,45.877440,-92.368540,Pike Ave N/Main St W/Pike Ave S
216,45.784627,-92.374934,Co Rd B
185,46.006987,-92.368320,N Glass St/S Glass St/Main St E
185,46.006460,-92.371157,S 2nd Ave
305,45.792816,-92.381155,2nd Ave/Elizabeth St
185,45.890097,-92.364488,Lakeland Ave N/
185,45.772177,-92.581709,/State Hwy 70
160,45.922487,-92.046134,Mooney Rd
185,45.893000,-92.364632,Lakeland Ave N/Willow St W
160,45.936811,-92.378822,Co Hwy U
305,45.793504,-92.381276,2nd Ave
334,45.793753,-92.381320,Park St/2nd Ave
160,45.791729,-92.687329,N Park St
160,45.790198,-92.687397,Industrial Ave/N Park St
160,45.987406,-92.127769,Josephine Dr
185,45.779358,-92.377551,4th Ave
160,45.777264,-92.376704,Lofty Pines Rd/Tower Rd
160,45.860055,-92.385577,N Bass Lake Rd/Old 35
185,45.889373,-92.364485,/Lakeland Ave N
160,45.983052,-92.385483,Glendenning Rd
160,45.773143,-92.732088,State Hwy 70/Jensen Rd
185,45.785368,-92.377963,4th Ave/Bradley St
160,45.790822,-92.379557,3rd Ave/Works Progress St
160,45.965507,-92.210065,Deerpath Trlw/Deerpath Trail Way
185,45.885289,-92.364619,Lakeland Ave N/W Maple St
160,45.886771,-92.364552,Poplar St E/Lakeland Ave N
