Estimated daily crossings,Latitude,Longitude,Name
160,45.881134,-88.132137,Old Hwy 69
160,45.851279,-88.137514,/E Lake Elwood Rd
160,45.787591,-88.218594,Swanson Ln/Co Rd U
160,45.899818,-88.137735,Hayes Ln
160,45.889613,-88.146963,Tall Pines Rd
160,45.883742,-88.155812,Old Hwy 69/Lake Anna Rd
185,45.787158,-88.139176,Co Rd N
185,45.922477,-88.254617,2 Ushy
160,45.924366,-88.236735,Montgomery Lake Rd/Kelsey Rd
160,45.925584,-88.251931,Quinnesec St/Alley
160,45.923217,-88.242994,Fisher Lake Rd/2 Ushy
276,45.922866,-88.252010,/Alley/Quinnesec St
160,45.929477,-88.248942,/Bill Anderson Dr
160,45.777363,-88.555222,/Morgan Lake Rd
185,45.843579,-88.670556,Elm St
160,45.923370,-88.253460,Pewaubic St/Florence Ave
160,45.890026,-88.116286,/Polk Ln
160,45.928276,-88.249517,Terrace Rd
160,45.892545,-88.141030,Cleveland Ln
160,45.886237,-88.140651,/Tall Pines Rd
160,45.944626,-88.293380,Thunder Ridge Dr/2 Ushy
216,45.923226,-88.244627,US Hwy 2/2 Ushy
216,45.891431,-88.113224,Channel Rd
160,45.785910,-88.114543,Calvary Dr
216,45.925562,-88.250496,Chapin St/Alley
160,45.890550,-88.117902,/Polk Ln
185,45.883354,-88.143455,Tall Pines Rd/2 Sthy
160,45.743864,-88.401055,Co Rd C/Struts Rd
160,45.744067,-88.414966,Co Rd C
216,45.891321,-88.113425,Taylor Ln
160,45.948779,-88.306740,Second Crossing Rd/Carlson Rd/Harding Rd
185,45.948045,-88.302874,/2 Ushy
160,45.921158,-88.259996,/Blome-Helgren Rd
160,45.895963,-88.112814,Pulnam Ln
160,45.776216,-88.078175,Co Rd N
160,45.900362,-88.169794,2 Sthy
305,45.925079,-88.249062,Cyclops Rd/Koman Ave
185,45.878307,-88.120655,2 Ushy
160,45.957814,-88.314477,2 Ushy
160,45.784829,-88.094006,Co Rd N
160,45.924267,-88.244800,Furance St/Olive Ave
216,45.881978,-88.129861,N Ellwood Lake Rd/2 Ushy
334,45.924203,-88.249076,Cyclops St/Olive Ave
216,45.922400,-88.244870,Main St/Central Ave
362,45.926006,-88.250465,Chapin Rd/Chapin St/Negaunee Rd
185,45.924978,-88.247662,Norway St
276,45.922844,-88.249141,/Alley/Cyclops St
160,45.926033,-88.253365,Pewaubic St/Negaunee St/Pewaubic Rd
160,45.948838,-88.306510,C-2 Rd/Harding Rd
216,45.783944,-88.089825,Co Rd N/Birch St
216,45.903336,-88.132364,O Twrd
160,45.820143,-88.230833,/Power Dam Rd
160,45.920550,-88.249846,Spring Ave
160,45.889292,-88.147393,/Tall Pines Rd
160,45.959009,-88.314274,Whitetail Rd
216,45.891392,-88.113278,Channel Rd
160,45.842837,-88.666122,East St/Maple St
160,45.959784,-88.315790,US Hwy 2/
160,45.775812,-88.078522,Melin Rd/Co Rd N
160,45.895689,-88.114273,Putnam Ln
160,45.921346,-88.633210,Wisconsin St/Dream Lake Rd
160,45.918639,-88.238819,2 Ushy
160,45.924269,-88.253444,Pewaubic St/Olive Ave/Pewaubic Rd
160,45.955611,-88.309850,/Whitetail Rd
334,45.922449,-88.252026,Quinnesec St/Central Ave
160,45.986039,-88.654285,State Hwy 139/Brule River Rd
160,45.855328,-88.125222,Frog Lake N/Frog Lake Rd
185,45.843608,-88.665305,East St/Oak St
160,45.783591,-88.088071,Co Rd N/Elm St
160,45.875983,-88.107722,2 Sthy
160,45.923659,-88.243366,Alley
160,45.744089,-88.416510,Co Rd C/101 Sthy
160,45.891493,-88.119077,/Polk Ln
246,45.923300,-88.249127,Florence Ave/Cyclops St
362,45.921966,-88.252041,/Quinnesec St
246,45.891036,-88.112535,Polk Ln
185,45.909890,-88.216891,US Hwy 2/Town Rd
160,45.882283,-88.131046,/Fdr Ln
185,45.921219,-88.263074,/Blome-Helgren Rd
