Estimated daily crossings,Latitude,Longitude,Name
334,43.859194,-91.284653,I- 90
246,43.840473,-91.213322,Sunset Ct
185,43.886078,-91.168620,Hansen Pl
185,43.916334,-91.249197,Co Hwy Z/Co Hwy Zm
216,43.787848,-91.237067,Townsend St/13th Pl S
1589,43.814999,-91.245332,Pine St/8th St N
362,43.899997,-91.239326,Stuhr Ct/Schnick Dr
362,43.851452,-91.239793,George St/Livingston St
246,43.797846,-91.247411,7th St S/Farnam St
579,43.811751,-91.225158,21st St N/Main St
917,43.808774,-91.251786,4th St S/Cass St
418,43.858958,-91.239153,N Salem Rd/George St
216,43.932142,-91.259036,Co Hwy Ot/Co Hwy Xx/Co Rd Ot
579,43.814717,-91.254543,State St/Front St N
334,43.846414,-91.245405,Avon St/Gillette St
3981,43.871364,-91.195085,Theater Rd/State Hwy 16
246,43.781203,-91.218565,Diagonal Rd
185,43.798440,-91.197377,Orchard Valley Dr/Vista Dr
276,43.856735,-91.267119,Sharon St/Church Dr
362,43.883931,-91.229476,6th Ave N/Main St
605,43.884161,-91.212492,Main St
216,43.760556,-91.185019,US Hwy 14/Co Hwy Mm
185,43.782895,-91.195476,Hagen Rd
185,43.838652,-91.236131,Gateway Ct/Ramsay Pl
160,43.915563,-91.051747,Neshonic Campgrounds Rd
216,43.897502,-90.923523,I- 90
710,43.876858,-91.183748,/State Hwy 16
216,43.861972,-91.228096,Commerce St/Enterprise Ave
216,43.876095,-91.217108,Rosewood Trl
246,43.876013,-91.169282,I- 90
160,43.890225,-90.984372,13th Ave
160,43.926883,-91.232743,/Navaho Pass
185,43.767616,-91.219571,W Burr Oak St
246,43.941446,-91.247355,Sandlake Rd
943,43.781809,-91.219230,Losey Blvd S
185,43.792404,-91.227115,Travis St/20th St S
472,43.962939,-91.257732,1st Ave W
185,43.913424,-91.073625,/State Hwy 16
160,43.959712,-91.274670,Sheffield Dr/Buckingham Ln
552,43.850327,-91.239774,North St/George St
246,43.902076,-91.226622,10th Ave N/Westwood Dr
185,43.886212,-90.999990,I- 90
1071,43.802589,-91.239625,Mississippi St/West Ave S
865,43.790595,-91.239631,Weston St/South Ave/West Ave S
390,43.862702,-91.264307,Central Rd
160,43.972051,-91.289966,James St
160,43.942970,-91.245028,Capitol Ct
160,43.887178,-90.980550,I- 90/Co Hwy B
305,43.908413,-91.073486,Driftwood St/Mark St/Lakewood St
684,43.884168,-91.213215,17th Ave S/Main St/17th Ave N
185,43.834701,-91.240990,Kane St/Hagar St
185,43.869431,-91.224253,Hazelwood Ln
305,43.846427,-91.242512,Gillette St/Charles St
305,43.906325,-91.074521,Mark St
185,43.869587,-91.255066,Fanta Reed Rd/Fishermans Rd
185,43.885782,-91.169816,French Rd
185,43.963333,-91.278478,Starlite Dr/Lilac Ln
216,43.917039,-91.248226,Westview Dr/State Hwy 35
552,43.796097,-91.221382,Denton St/23rd St S
390,43.804662,-91.255075,Market St/2nd St S
1071,43.840266,-91.246770,Caledonia St/Saint Paul St
185,43.807535,-91.209892,Baier Ln
160,43.926623,-91.229330,Wendtland Rd
160,43.834636,-91.250910,Hagar St/Sumner St
418,43.779798,-91.208598,33rd St S/Park Lane Dr
390,43.785113,-91.230692,17th St S/Thompson St
390,43.942461,-91.248044,Pinecrest Ave/Freedom St
160,43.803412,-91.214138,Jordan Pl/Janice Ct
276,43.884342,-91.222489,11th Ave N/Main St/11th Ave S
160,43.850752,-91.223385,Shiftar Rd
