Estimated daily crossings,Latitude,Longitude,Name
185,42.572457,-90.391731,W Main St
160,42.681856,-90.109270,E Catherine St/East St
185,42.805827,-89.858247,Blake St
276,42.679251,-90.118901,W Ann St/Sherman St
160,42.664849,-89.906221,/Whiteside Rd
160,42.637273,-89.951887,Park St/Mineral St
276,42.701216,-89.865948,N Broad St/E Milwaukee St/S Broad St
185,42.580878,-90.133069,State Hwy 23/State Hwy 11/Co Rd P
160,42.646445,-89.970875,Cherry Rd
160,42.571351,-90.229478,E Water St/N Charity St
216,42.738577,-90.335243,Highland St/W Commerce St
185,42.738584,-90.336429,W Commerce St
160,42.687342,-90.114012,Frank St/Ohio St
362,42.681932,-90.115280,Keep St/E Catherine St
160,42.573984,-90.232662,N Mineral St/W Truth St
160,42.569736,-90.230159,Merton St/S Sidney St
160,42.572480,-90.232643,E Water St/W Water St/N Iowa
185,42.743528,-90.343259,US Hwy 151
160,42.683693,-90.110460,Clay St/E Mary St
276,42.809645,-89.861540,Mason
418,42.698549,-89.859653,Monroe St/State Hwy 81
160,42.571075,-90.383724,Cross St/W Main St
160,42.809649,-89.867776,/W Olson Rd
185,42.743185,-90.344882,US Hwy 151
160,42.678308,-90.116583,E Alice St/Wells St
185,42.744067,-90.341768,/US Hwy 151
216,42.681896,-90.108125,E Louisa St/E Catherine St
160,42.580639,-90.240882,Co Rd O/Silverthorn Rd/Seymour Rd
160,42.743895,-90.342270,US Hwy 151
160,42.507237,-90.018547,State Hwy 78
160,42.750189,-90.324222,Schultz Ln/Mound Avenue Rd
160,42.624444,-90.313142,Co Rd Q/Rural Ridge Rd
160,42.683693,-90.109229,East St/E Mary St
160,42.525427,-90.308777,White Oak Rd
216,42.701252,-89.862076,E Milwaukee St/Breeze Ter
160,42.699924,-89.864028,Monroe St/S Lafayette St
216,42.738965,-90.336320,Spring St
305,42.576799,-90.232104,N Center St/W Diagonal St
160,42.567988,-90.382200,Alma St/S Van Buren St
305,42.685514,-90.112838,E Minerva St/Division St
160,42.667785,-90.339144,State Hwy 81
160,42.668281,-90.127168,State Hwy 23
276,42.746244,-90.340448,/First Capitol Dr
216,42.809322,-89.863367,Locust St
160,42.682791,-90.109255,East St/E Harriet St
160,42.733753,-90.338666,W Platteville Ave
185,42.569568,-90.383099,1st St
216,42.577951,-90.230191,E Faith St/Mercy St
160,42.706188,-89.867167,N State St
216,42.810793,-89.861928,Mill St/S Main St
246,42.700410,-89.861545,Poplar St/Elm St
472,42.572181,-90.229354,E Main St/N Charity St
390,42.575932,-90.231215,N Mineral St/W Diagonal St
246,42.741304,-90.327572,George St/E Liberty St
160,42.733762,-90.331609,E Platteville Ave/Hazel St
160,42.570181,-90.231105,S Judgement St/Cyclops St
216,42.577027,-90.234914,/State Hwy 11
185,42.733753,-90.336424,W Platteville Ave/Chestnut St
185,42.755210,-90.044600,/Co Rd F
160,42.671561,-90.122733,Kennedy Dr
160,42.580250,-90.240896,Seymour Rd
160,42.576427,-90.238159,W High St/Co Rd O/W Water St
185,42.755013,-90.045151,Co Rd F/County G
160,42.582842,-90.065896,Patch Rd/State Hwy 11
185,42.571917,-90.244119,State Hwy 11/Miner Way
185,42.575850,-90.235966,W High St/State Hwy 11
160,42.687435,-90.110590,Frank St/Clay St
276,42.684654,-90.115244,Keep St/E Lucy St
160,42.574631,-90.237024,W Hope St/State Hwy 11
160,42.701529,-89.872042,Railroad St/W Milwaukee St
334,42.701208,-89.867061,N State St/E Milwaukee St/S State St
160,42.741394,-90.334131,First Capitol Dr/Mound Avenue Rd
390,42.576495,-90.231063,N Judgement St/E Friendship St
160,42.660764,-90.127178,State Hwy 23/Co Rd K
160,42.701185,-89.883320,State Hwy 81/Co Rd G
216,42.576337,-90.235519,W Union St/State Hwy 11
160,42.734361,-90.338865,W Wisconsin Ave
185,42.701472,-89.868750,W Milwaukee St/E Milwaukee St
185,42.673192,-90.122404,/Huntington Ct
160,42.700042,-89.865924,Monroe St/S Broad St
160,42.535534,-90.335686,Co Rd W
160,42.699191,-89.864027,Mill St/S Lafayette St
160,42.529389,-90.322875,Ridge Rd
160,42.734363,-90.340918,Mates Ave/W Wisconsin Ave
160,42.580826,-90.023376,Main St
160,42.570795,-90.383250,1st Ave/W Main St
160,42.690843,-90.113676,Sunset Ter
160,42.569370,-90.387681,3rd St/Park Ave/Railroad Ave
305,42.741462,-90.328151,George St
160,42.530322,-89.985517,Co Rd Kk
160,42.686485,-90.117448,E North St
246,42.702441,-89.867069,N State St/Grant St
160,42.687319,-90.112834,Frank St/Division St
160,42.572747,-90.233566,E Water St/Gratiot St/W Water St
185,42.737286,-90.328096,S Park St/E Commerce St/N Park St
160,42.690080,-90.115243,Keep St/Sunset Ct
160,42.568824,-90.241115,Co Rd O
160,42.571147,-90.226509,E Main St
160,42.575371,-90.234854,N Center St/W High St
160,42.753058,-90.323942,US Hwy 151
160,42.704228,-89.865994,North St/N Broad St/Broad St
160,42.748041,-90.330206,US Hwy 151
185,42.567704,-90.231112,S Judgement St/W Oates St
185,42.678950,-90.114097,W Alice St/Ohio St
185,42.674153,-90.120578,Galena St/Hill St
216,42.682196,-90.107744,E Louisa St/State Hwy 81/Arthur St
216,42.574644,-90.231078,N Judgement St/W Peace St/E Peace St
185,42.812491,-89.863318,W Church St
185,42.809302,-89.864504,Railroad St/W Olson St
246,42.808156,-89.859080,E Olson St
185,42.745557,-90.339440,First Capitol Dr/Co Rd G
160,42.579331,-89.907319,Swanson Rd/Sargent Rd
185,42.682778,-90.107027,/State Hwy 81
216,42.573494,-90.227347,E Truth St/N Layfayette St
160,42.564737,-89.947001,Mau Rd/State Hwy 11
160,42.762299,-90.407268,Pleasant View Ln/W Mound Rd
160,42.570051,-90.380091,N Van Buren St
216,42.746310,-90.335448,US Hwy 151
160,42.743980,-90.342462,US Hwy 151
160,42.739093,-90.333880,Mound Avenue Rd
160,42.809667,-89.867506,W Olson St/W Olson Rd
185,42.704899,-89.867141,N State St/Park Ave
216,42.676557,-90.122527,Summit Ave/Ravine St
246,42.667968,-90.130658,State Hwy 81
160,42.568952,-89.878703,S Warren Ave/E Center St/N Warren/W Center
160,42.579890,-90.231221,N Judgement St/State Hwy 11
160,42.659768,-90.127171,State Hwy 23
