Estimated daily crossings,Latitude,Longitude,Name
185,45.136590,-90.343173,/E Division St
216,45.136406,-90.353964,/S Gibson St
185,45.323251,-90.208507,Kennedy St
160,45.263827,-90.538073,Forest Rd 605/Lake 19 Rd
160,45.166371,-90.810591,N 3rd Ave/E Main St/S 3rd Ave
185,45.141776,-90.346913,/E Taylor St/Main St
185,45.148352,-90.367946,Allman Ave
185,45.320726,-90.204964,Fayette Ave/West St
334,45.150627,-90.334535,N 8th St
160,45.189846,-90.440941,Clear Lake Rd/Perkinstown Ave
160,45.076927,-90.312026,/S Gershwin St/Stetson Ave
246,45.135638,-90.340058,S 3rd St/South St
185,45.128672,-90.352378,S Gibson St
160,45.148523,-90.360519,Allman Ave/W Allman St
160,45.294300,-90.304367,North St
185,45.140513,-90.363839,W Broadway Ave
160,45.130168,-90.352825,S Gibson St
160,45.139019,-90.345702,S Main St/E Broadway Ave/N Main St/W Broadway Ave
216,45.144065,-90.334654,del Rea Ct
216,45.141961,-90.332037,/E Broadway Ave
160,45.318063,-90.205381,Pearl St/State Hwy 102
160,45.317466,-90.204152,Mc Comb Ave
276,45.316587,-90.204117,Mc Comb Ave/Railroad St/2nd St
160,45.144378,-90.341793,Pine St/Jackson St
246,45.140749,-90.345363,Lincoln St/N 2nd St
160,45.149421,-90.078259,Nickels Rd/State Hwy 64
160,45.121709,-90.331638,State Hwy 13
160,45.320727,-90.206465,Fayette Ave/S Front St
160,45.147771,-90.345437,Brehm Dr
276,45.139411,-90.333335,S 8th St/Clark St
160,45.317659,-90.291073,/State Hwy 13
185,45.128943,-90.352464,S Gibson St
216,45.134682,-90.333340,S 8th St/E Perkins St
160,45.251164,-90.782489,State Hwy 73/Scott Ave
160,45.137931,-90.342481,Clark St
160,45.144765,-90.348189,/N 2nd St/N Second St
160,45.077908,-90.309013,N Jefferson St/E Centennial Ave
160,45.320727,-90.205353,Pearl St/Fayette Ave
276,45.318090,-90.204143,State Hwy 102/Mc Comb Ave
216,45.137679,-90.356374,/W Broadway Ave
216,45.142833,-90.343726,E Taylor St/Shattuck St
160,45.135934,-90.344956,W Division St/S Whelen Ave
334,45.150316,-90.334577,N 8th St
160,45.309235,-90.221115,State Hwy 102/W Rib Rd/Fawn Ave
185,45.324569,-90.208481,Kennedy St
160,45.142605,-90.287504,State Hwy 64
185,45.142234,-90.353992,W Brucker St/Madison St
160,45.165870,-90.810589,/S 3rd Ave
