Estimated daily crossings,Latitude,Longitude,Name
160,43.001485,-108.755370,/Yellow Calf Rd
160,43.033716,-108.402838,W Sunset Dr
160,42.842637,-108.731825,N 5th St
160,42.895372,-108.794810,/US Hwy 287
160,43.038481,-108.377204,Edward Ave
216,42.983188,-108.445101,17 Mile Rd/Mission Rd
160,43.036291,-108.373247,Fir St/Woodridge Dr
160,42.991808,-108.479307,Left Hand Ditch Rd
160,42.834033,-108.744826,S 10th St
216,42.836334,-108.740856,Lincoln St/N 2 St/N.8th St
185,42.833798,-108.719372,Vista Cir/Valley View Dr
160,42.837832,-108.724475,(Alley Lane To Mob Hms)/Wood St
246,43.016902,-108.404381,Butte Dr/Mesa Ct
160,43.019063,-108.444812,Village Dr
160,43.099547,-108.381066,Sherry Lynn Dr/Burma Rd
160,43.031268,-108.374124,/Mary Anne Dr
185,42.836644,-108.731947,N 4th St/Amoretti St
362,43.027663,-108.380610,E Jackson Ave/N Federal Blvd
216,43.029816,-108.382041,E Roosevelt Ave/N 7 St
185,43.028633,-108.400406,/N 8 St
185,43.045196,-108.380596,N Federal Blvd
160,43.029363,-108.407628,Pioneer Ave
160,43.037682,-108.374213,Beech Dr/Timber Ln
160,42.805201,-108.696400,/E Main
160,42.841315,-108.727931,N 3rd St/Jefferson St
160,42.992954,-108.483818,Left Hand Cir
185,42.842774,-108.737558,Jefferson St
246,42.836346,-108.725298,Eugene St
160,42.942210,-108.449111,State Hwy 789
160,42.826438,-108.719537,Hill Dr
160,42.832326,-108.738023,S 6th/Sweetwater St/S Sixth St
160,43.026775,-108.383447,N 6 St/E Park Ave
160,42.958876,-108.821021,US Hwy 287/Ray Lake Rd
185,42.838740,-108.738181,Evergreen Ln/Eugene St
160,43.025987,-108.369349,Ashley Ave/N 17th St E
246,42.975809,-108.394842,/Elmwood Dr
185,43.538141,-109.628427,Hays St
216,43.003908,-108.883850,N 5 St/Sharpnose St
160,43.525796,-109.613776,US Hwy 26
185,43.027632,-108.400399,W Jackson Ave/N 8 St
362,42.834416,-108.737221,N 6th St/Main St/A Sixth St
160,43.030861,-108.434434,Henry Rd
185,43.013028,-108.402068,Wyoming Heritage Trl
160,42.842820,-108.739926,Jefferson St/N 2 St
160,43.059849,-108.400465,Little Bear Dr/N 8th St W
160,43.049687,-108.380637,N Federal Blvd
160,42.999936,-108.883001,Enga Dr
216,43.023748,-108.396267,S 5 St/W Washington Ave
160,43.240986,-108.115470,Pine St/W 7 St
160,43.006198,-108.882726,N 5 St/Little Shield Rd
185,43.519653,-109.595431,Medill Ct
160,43.003995,-108.887962,N Fork Rd
160,43.042535,-108.394392,/Red Fox Dr
246,43.023556,-108.397628,S 6 St/W Washington Ave
160,43.025261,-108.735519,/Ethete Rd
160,43.078366,-108.515446,Arroyo Ln
