Estimated daily crossings,Latitude,Longitude,Name
160,18.250533,-66.999446,Pr- 119
160,18.237313,-67.018018,Pr-4406
334,18.250430,-66.987954,Pr- 124
185,18.251733,-67.001107,Pr- 119
160,18.229276,-67.013456,/Sec Los Cosme
160,18.253023,-66.993685,Pr- 119
160,18.259055,-67.041347,Pr-4406
185,18.251954,-66.994557,Cll Comercio
160,18.251964,-66.993335,Cll Comercio
216,18.248654,-66.994327,Cll Los Rasas/Cll Luis Munoz Marin
362,18.252369,-66.992380,Francisco Serrano/Cll San Benito
160,18.253775,-66.987804,Pr- 119
160,18.231716,-67.019091,/Pr- 119
334,18.250707,-66.988129,Cll Rafael Quiles
185,18.251705,-67.001035,/Pr- 119
362,18.251352,-66.990292,Cll Santa Ana/Cll Capa Prieto
362,18.247479,-66.994052,Pso Ramon Rivera Rivera/Cll Trinitaria
552,18.251919,-66.989714,Cll Maties Brugman/Pr- 124
185,18.241029,-66.991904,/Pr- 120
185,18.245207,-67.006178,/Pr- 119
390,18.247620,-66.993663,Pso Ramon Rivera Rivera/Cll Los Rasas
160,18.259229,-67.041455,Pr-4406
160,18.214332,-66.976786,/Pr- 408
160,18.252775,-66.983806,Cll Agustin Torres/Cale Agustin Torres
185,18.256218,-66.991253,Cll Nueva
305,18.247549,-66.988812,Pr- 120
216,18.244670,-67.006968,Pr- 119
334,18.250654,-66.988213,Cll Rafael Quiles/Pr- 124
216,18.230277,-67.017346,/Pr- 119
160,18.240489,-67.022762,Pr-4406
160,18.244368,-67.011979,/Pr- 119
658,18.252366,-66.991598,/Cll San Benito
160,18.253000,-66.993834,Pr- 119
390,18.250786,-66.988456,Pr- 124
246,18.249306,-67.003365,/Pr- 119
216,18.229147,-67.016272,/Pr- 119
418,18.250388,-66.990883,Cll Los Robles/Cll Laurel/Cll Guama
526,18.252314,-66.989529,Pr- 119
160,18.239824,-67.021691,Pr-4406
185,18.249123,-66.993594,Cll Luis Munoz Marin
160,18.253617,-66.987514,Cll Barbosa Bernard
185,18.248877,-67.003952,/Pr- 119
160,18.253733,-66.987499,Cll Barbosa Bernard
160,18.239299,-66.992065,Pr- 120
160,18.258961,-66.981437,Cll Agustin Torres/
185,18.247935,-67.004495,/Pr- 119
160,18.239515,-66.992177,/Pr- 120
160,18.228161,-67.014114,Sec Los Cosme
305,18.246989,-66.989475,/Pr- 120
710,18.252055,-66.991102,/Cll Comercio/Cll Palmer/Cll Maties Brugman
185,18.251591,-66.993125,Ave Augusto Cruz Zapata
185,18.237570,-67.017701,Pr-4406/Pr- 119
160,18.207198,-67.010453,Pr- 106
160,18.249150,-66.994710,/Cll Los Rasas/Cll Trinitaria
418,18.247633,-66.993440,Pso Ramon Rivera Rivera
160,18.255752,-66.991111,Cll Nueva
579,18.251544,-66.989821,Cll Santa Ana
160,18.241041,-67.022889,Pr-4406/
185,18.259056,-66.982189,Cll Agustin Torres/
334,18.251659,-66.992340,Cll Santa Ana/Cll Francisco Serrano
185,18.247819,-67.004575,/Pr- 119
160,18.252832,-66.988457,Pr- 119
185,18.251881,-66.996217,Pr- 119
160,18.250747,-66.998777,Pr- 119
185,18.251784,-67.001363,Pr- 119
160,18.253534,-66.983633,Cll Agustin Torres/Cale Agustin Torres
160,18.251085,-67.000192,/Pr- 119
185,18.251329,-67.001502,/Pr- 119
185,18.235114,-67.024792,Furnias/Pr-397
160,18.228389,-67.014348,Sec Los Cosme
334,18.250673,-66.989044,/Pr- 120
305,18.229371,-67.016462,/Pr- 119
631,18.251962,-66.990056,Cll Maties Brugman
160,18.251201,-67.002269,/Pr- 407
160,18.237199,-67.017804,Pr- 119
160,18.208508,-66.997620,/Pr- 120
334,18.250625,-66.988165,Cll Rafael Quiles/Pr- 124
276,18.250849,-66.989611,Ave Augusto Cruz Zapata/Cll Capa Prieto
362,18.251965,-66.992371,Cll Santa Ana
216,18.252009,-66.995481,Pr- 119/Cll Comercio
160,18.246243,-66.998829,Pso Ramon Rivera Rivera
579,18.252289,-66.990132,Pr- 119
216,18.249747,-66.989498,Pr- 120
185,18.251727,-66.993679,Cll Comercio
216,18.230378,-67.017381,/Pr- 119
334,18.250725,-66.988202,Cll Rafael Quiles
276,18.249933,-66.992492,/Cll Laurel/Cll Luis Munoz Marin
160,18.248640,-67.004182,/Pr- 119
160,18.237491,-67.019289,Pr-4406
160,18.249033,-66.993754,Cll Luis Munoz Marin
160,18.251174,-66.987358,Cll Rafael Quiles
185,18.241144,-66.991853,/Pr- 120
160,18.263040,-66.982814,Pora Acevedo/Paro Acevedo
472,18.250888,-66.990757,Ave Augusto Cruz Zapata/Cll Los Robles
276,18.246855,-66.989749,Pso Ramon Rivera Rivera/
160,18.245035,-67.024905,Pr-4406
160,18.244990,-67.025091,/Pr-4406
160,18.256699,-66.991420,Cll Nueva
472,18.251433,-66.990680,Cll Los Robles/Cll Santa Ana/Cll Francisco Serrano
160,18.248012,-66.987143,Pr- 124
305,18.247583,-66.988788,Pr- 120
552,18.252297,-66.989930,Pr- 119
160,18.239849,-67.021874,Pr-4406/
160,18.229168,-67.013634,Sec Los Cosme/
185,18.250011,-67.001599,Pr- 119
160,18.252630,-66.988263,Cll Barbosa Bernard/
305,18.248956,-66.989126,/Pr- 120
160,18.252715,-66.983864,Cll Agustin Torres//Cale Agustin Torres
276,18.250112,-66.988294,Pr- 124
160,18.228210,-67.014061,Sec Los Cosme
160,18.232394,-67.019329,/Pr- 119
246,18.246520,-66.999712,Pso Ramon Rivera Rivera
605,18.251748,-66.989339,/Pr- 124
160,18.231748,-67.019229,/Pr-397
216,18.250285,-67.002359,Pr- 407/Pr- 119
160,18.258682,-67.040538,Pr-4406/
658,18.252069,-66.991615,/Cll Comercio
276,18.246784,-66.989592,Pso Ramon Rivera Rivera/Pr- 120
710,18.252357,-66.991089,Cll San Benito/Cll Palmer
160,18.240051,-67.021960,Pr-4406
160,18.253036,-66.993753,Pr- 119
334,18.250406,-66.987892,/Cll Bda Pueblo Nuevo
160,18.228478,-67.014011,Sec Los Cosme
276,18.247057,-67.005122,/Pr- 119
216,18.253236,-66.991322,Cll Nueva/Pso Adrian Acevedo/Pr- 119/Cll Palmer
160,18.252849,-66.986847,Cll Rafael Quiles
684,18.252422,-66.991088,/Cll Palmer
185,18.262014,-66.986436,Cam de la Vega del Combate
276,18.246282,-66.989714,Pr- 120
160,18.238287,-67.017053,/Pr- 119
160,18.209666,-67.031699,/Pr- 119
185,18.248731,-66.988119,Pr- 124
305,18.250367,-66.987789,Cll Bda Pueblo Nuevo
246,18.253174,-66.991478,Pso Adrian Acevedo
160,18.244087,-66.988963,/Pr- 120
246,18.251529,-66.988028,/Cll Rafael Quiles
246,18.249797,-67.003018,Pr- 119
185,18.235286,-67.024010,Pr-397
276,18.247330,-67.004966,Pr- 119
185,18.250640,-66.987294,Cll Agustin Torres//Cll Bda Pueblo Nuevo
246,18.252399,-66.995203,Pr- 119
185,18.251717,-66.993697,/Ave Augusto Cruz Zapata/Cll Comercio
160,18.253445,-66.986734,Cll Barbosa Bernard
216,18.244872,-67.006615,Pr- 119
160,18.263808,-66.982252,/Pora Acevedo
185,18.251588,-67.001566,/Pr- 119
160,18.237235,-67.017799,/Pr- 119
160,18.252378,-66.993353,Cll San Benito
185,18.247447,-66.991632,Pso Ramon Rivera Rivera
185,18.258128,-66.986366,Pr- 119
160,18.246114,-67.005917,Pr- 119
160,18.237593,-67.019153,Pr-4406/
160,18.232647,-66.957764,Pr- 370
216,18.244666,-67.008523,/Pr- 119
276,18.229722,-67.016937,/Pr- 119
160,18.252755,-66.984066,Cll Agustin Torres
605,18.252367,-66.991834,Cll San Benito
276,18.250929,-66.992177,Ave Augusto Cruz Zapata/Cll Luis Munoz Marin
160,18.228413,-67.015694,Pr- 119
185,18.251470,-67.001560,/Pr- 119
160,18.246481,-66.998816,Pso Ramon Rivera Rivera
246,18.250470,-66.992309,Cll Luis Munoz Marin/Cll Guama
445,18.251507,-66.989149,/Pr- 120/Pr- 124
185,18.251993,-66.995515,/Pr- 119
160,18.253169,-66.983686,Cll Agustin Torres/Cale Agustin Torres
160,18.235157,-67.025096,Pr-397
160,18.259663,-67.041000,Pr-4406
160,18.244667,-67.011126,/Pr- 119
334,18.250286,-66.988006,Pr- 124
185,18.228973,-67.016171,Pr- 119
185,18.251901,-66.995726,/Pr- 119
445,18.251438,-66.990289,Cll Santa Ana
579,18.251739,-66.989328,Pr- 124
579,18.252075,-66.991845,/Cll Comercio
160,18.255044,-67.036593,Pr-4406
