Estimated daily crossings,Latitude,Longitude,Name
334,18.426561,-66.491129,Cll Rosa
362,18.462446,-66.488263,Cll Estrella de Mar
160,18.450571,-66.509339,Pr- 616/Cll 6
362,18.427015,-66.490468,Eugenio Sanchez Lopez/Cll Marin/Cll Francisco F Alvarez/Cll Francisco Alvarez
658,18.427605,-66.492126,Cll Betances/Cll Qui�ones/Cll Quinones
276,18.426163,-66.462751,/Pr- 686/Pr- 670
418,18.428019,-66.490404,Cll Qui�ones/Cll la Cruz/Cll Quinones
362,18.458880,-66.487881,Cll Balllena/Cll Faro
246,18.380886,-66.481886,Pr- 643/Pr- 149
276,18.440458,-66.500935,Pr- 685
334,18.443173,-66.465498,/Pr- 686
216,18.427741,-66.452585,Cll Monte Verde/Pr- 670/Pr- 672
160,18.432267,-66.447180,Cll Monte Dorado
216,18.415365,-66.488963,/Cll 2
246,18.439713,-66.448623,/Pr- 2
246,18.412485,-66.485902,Cll M/Cll 2/Cll Rainier
216,18.435156,-66.488237,/Pr- 604
276,18.438460,-66.454952,/Pr- 2
246,18.430104,-66.454525,Cll Monte Everest/Cll Monte Claro
160,18.447721,-66.501081,/Pr- 616
526,18.434926,-66.467226,/Cll Marginal
579,18.430293,-66.486385,Pr- 669
891,18.443833,-66.440827,Expreso Jose de Diego
418,18.426413,-66.488435,Cll Barbosa
305,18.435610,-66.488575,/Pr- 604
445,18.439270,-66.441929,Pr- 2
418,18.459431,-66.487993,Cll Balllena/Cll Sol
160,18.449636,-66.513315,Pr- 616/Cll 4
362,18.465878,-66.489529,Pr- 685
276,18.462463,-66.489202,Cll Estrella de Mar
216,18.438581,-66.478712,/Expreso
160,18.470301,-66.484145,Pr-648
658,18.417978,-66.482470,Pr- 668
1252,18.432555,-66.484942,Pr- 2/Pr- 668
762,18.431993,-66.488750,Pr- 2/Cll Vendig
216,18.413872,-66.487809,/Pr- 149
160,18.404260,-66.535628,Cll San Pablo
305,18.431216,-66.450337,Cll Monte Kolima
246,18.450397,-66.496643,/Pr- 685
684,18.428129,-66.486238,/Cll B
185,18.411008,-66.487775,Lagrimaldi/Cll B/Cll Monte Carlo
216,18.416361,-66.482366,/Cll 2
526,18.439042,-66.452259,/Pr- 2
710,18.429618,-66.489688,Pso Atenas/Cll Berreteaga
418,18.432676,-66.448913,Cll Monte Olimpo
246,18.419984,-66.465515,/Camino
216,18.438188,-66.476009,/Cam la Inmaculada
276,18.423179,-66.480271,Cll 6
160,18.428380,-66.483695,Cll 17/Pr- 668
246,18.458078,-66.486205,Cll Ballena
160,18.433627,-66.445475,Cll Robles
160,18.423184,-66.451517,Pr- 672
160,18.371445,-66.517299,Cll Alfredo Sanchez Peraza
276,18.426183,-66.476732,� Calle C/Cll C-1
472,18.465846,-66.487976,Pr- 684/Pr- 685
246,18.467861,-66.490521,/Cll Dolores Lolita Natal/Cll Lolita Natal
362,18.433390,-66.484104,Cll F Vegas Jimenez/Cll F Vega Jimenez/Cll Reyes Lopez
334,18.459148,-66.486550,Cll Argentina/Cll Palmar
160,18.369922,-66.476792,/Pr- 149
276,18.441233,-66.475900,Expreso Jose de Diego
185,18.433523,-66.442522,Cll Robles/Cll Bucare
390,18.466970,-66.482226,/Cll Villas de Mar Chiquita
185,18.465563,-66.481084,Pr- 685
160,18.429246,-66.498417,Callej�n Mendez
216,18.427334,-66.485229,Callej�n Mendoza
445,18.424983,-66.489525,Escaleras
216,18.436549,-66.489393,Escaleras
216,18.435458,-66.494544,/Cll Concho
185,18.447232,-66.498503,Pr- 685
216,18.439524,-66.477933,Pr- 149
216,18.469358,-66.486947,Cll Aguaviva
684,18.427883,-66.492191,Cll Betances/Cll Georgetti
276,18.427451,-66.494365,/Cll Georgetti
246,18.424957,-66.481033,Cll A/Cll D
160,18.475699,-66.439094,Pr- 686
216,18.439054,-66.485947,Pr- 604/Cll 6
216,18.440900,-66.449178,Cll Sin Salida
472,18.433414,-66.470896,Cll 11/Ave 8
216,18.427237,-66.495062,Cll A/
472,18.423705,-66.474860,/Pr- 149
246,18.426281,-66.492841,/Cll Eugenio S�nchez L�pez
185,18.434462,-66.465451,Pr- 686
160,18.443674,-66.535514,Expreso Jose de Diego
276,18.438619,-66.454211,/Pr- 2
305,18.426616,-66.491828,Cll Betances/Cll Eugenio S�nchez L�pez
334,18.465179,-66.492465,Pr- 6684/
305,18.428119,-66.496233,Ave Domena
362,18.445247,-66.443158,/Expreso Jose de Diego
160,18.383650,-66.489160,Pr- 6685
445,18.425313,-66.486717,/Pr- 670
276,18.465044,-66.492479,Pr- 6684/Pr- 685
160,18.434766,-66.447956,Monte Vis
185,18.439723,-66.446682,/Pr- 2
185,18.441414,-66.500942,Pr- 685
216,18.450679,-66.484222,Cll la Milagrosa
1226,18.432727,-66.484953,/Pr- 668
160,18.387437,-66.484142,/Cll Gumani/Cll Guamani
605,18.430185,-66.486988,Cll Ethier Collazo/Pr- 669
160,18.458210,-66.485550,/Cll Italia
499,18.435479,-66.476526,Pr- 149
185,18.426763,-66.494946,/Cll B
390,18.434916,-66.467844,Cll Marginal/Ave 1
276,18.432150,-66.448874,Cll Monte Verde/Cll Monte Brisa
246,18.427393,-66.480901,Cll Afrodita
185,18.469730,-66.489698,Cll Orilla
579,18.442254,-66.438739,Expreso Jose de Diego
185,18.450830,-66.487522,Cll Alborada
334,18.425509,-66.474749,Pr- 149
1097,18.433199,-66.481220,Cll P F C Tirado Gracia
185,18.449270,-66.514239,Cll Amatista/Cll Esmeralda
1459,18.432202,-66.481978,/Cll Marginal/Cll Hambollan/Cll Flamboyan
160,18.452316,-66.473468,Cam Dupont//Callej�n Dupont
185,18.453455,-66.494345,/Cll Orteg�n
499,18.424974,-66.478764,Cll A
185,18.420407,-66.481250,Cll 9
160,18.367757,-66.477048,Pr- 6685
