Estimated daily crossings,Latitude,Longitude,Name
276,18.207963,-67.125947,Pr- 106/Cll Los Pinos
334,18.232024,-67.151513,Cll Fraile
185,18.200456,-67.131314,Cll Mestre
362,18.228362,-67.129654,Cll Pirineo
658,18.170980,-67.140092,Cll J Ortiz de Pe�a
472,18.183580,-67.134454,Pr- 348
216,18.187417,-67.158514,Cll Tulio Larrinaga
472,18.204421,-67.134711,Cll Cruz Roja/Cll Dr Pedro Perea
160,18.185714,-67.154439,Cll Zafiro/Cll Topacio
305,18.192660,-67.139539,Cll Leopoldo Feliu/Cll Santa Maria
605,18.185572,-67.142789,Pr- 348/Cll Ramon Emeterio Betances
418,18.262014,-67.160722,/Pr- 2
552,18.197968,-67.137823,Cll Ramirez Cuerda
390,18.198678,-67.136583,Cll Mariano Abril/Callej�n 113
390,18.208468,-67.154023,Cll Abraham Lincoln/Cll San Pablo
160,18.171715,-67.126828,Cll A/Cll Jose Antonio Figueroa
552,18.170938,-67.138088,Cll J Ortiz de Pe�a/Cll Wenceslao Colon/Cll F Martinez de Matos
390,18.197292,-67.131920,Cll Eugenio Cuevas/Cll Margarita Vilella
658,18.210819,-67.151641,Ave Gonzalez Clemente Pr 102
390,18.191767,-67.138748,Cll Alemany/Cll Prolongacion Alemany
1746,18.203040,-67.146745,Cll Ramon Valdez/Cll Virginia
658,18.205590,-67.135300,Cll Dr Garc�a Sanjurjo
160,18.193225,-67.070772,/Cll Vendrix
334,18.236912,-67.126869,Miradero Gardens I
276,18.201799,-67.150916,Cll Pachin Marin
185,18.212498,-67.112132,Pr-106
1046,18.181959,-67.146288,Cll Ceiba
160,18.187901,-67.056567,Pr- 105/Cam Pomarrosa
390,18.231956,-67.150100,Cll Laliza
1667,18.199632,-67.149312,/Cll Jose A Sanabria Rivera
160,18.174087,-67.098963,Cam Los Striker
1046,18.158580,-67.147184,Cll Magnolia
5020,18.201316,-67.139509,Cll Peral/Cll de la Candelaria/Calle McKinley Plz
185,18.168838,-67.099729,/Pr- 348
185,18.165628,-67.124704,/Pr- 380
1278,18.199998,-67.139723,Cll Mu�oz Rivera/Cll Peral
185,18.189051,-67.160153,Ave Jose Gonzalez Clemente
276,18.200903,-67.152416,Ave Gonzalez Clemente
276,18.227237,-67.131424,Bella Lomes/Cll Cruz Maria
160,18.181925,-67.165049,Cll Manuel A Barreto
216,18.206609,-67.130632,Callle Isaac Diaz/Cll Isaac Diaz
1433,18.217859,-67.150831,Cll Ramon Power
185,18.206654,-67.131123,Cll Isaac Diaz
160,18.220891,-67.092653,/Cam Vazques Grau
246,18.225685,-67.156814,Pr- 104
216,18.183978,-67.145030,Cll Fabregas
246,18.176259,-67.134887,Cll Villa Soledad
246,18.214558,-67.111316,Cll Mamey
